,source_id,spectraltype_esphs
0,1836765205345905536,G
1,1837032176211580416,B
2,5862461931932192512,O
3,245181304769802368,F
4,5862540993695277184,B
5,246522056120436096,B
6,5862479214881623552,O
7,5862257628973937792,O
8,5862306385399671296,O
9,5333033957754074624,O
10,5862428018868640256,B
11,5862277145307174912,F
12,5862232065334823168,O
13,5862233542795077760,G
14,5332848002849260544,F
15,462349179266375040,G
16,2203316406091313792,F
17,2012961393951374208,G
18,2012965757637441152,B
19,2203217037728935296,F
20,2203398319703185408,B
21,2203412201037415424,K
22,4269210896877319296,B
23,423818409181760000,F
24,4280703915769688064,O
25,423263396328864128,G
26,4269163544810692096,K
27,4280827718203391616,O
28,4281515428378667904,B
29,4152354251273549056,G
30,4152362772489044096,O
31,5932921454582938496,K
32,5885709559094895744,B
33,4152423829745129088,G
34,3126306286741735936,G
35,3125730451886137728,G
36,3126515297030284416,K
37,3002275499614631424,A
38,3125925237244613248,M
39,5593627250105823360,B
40,5593891304693469952,B
41,5593891373412950784,B
42,4056080910062883328,F
43,4054242625399283072,B
44,4054244141538557696,O
45,413559622093641216,F
46,4054437479477074048,O
47,4054294238038901632,O
48,2053821303326394240,F
49,2054029080953179136,B
50,2054047154175599616,B
51,4312463897586946048,M
52,5953049458011519104,G
53,4312476301452801408,B
54,5543283395815536896,F
55,5543113658704265728,B
56,1956447080388268416,B
57,1956174981321683328,F
58,5334660582132721280,F
59,2168803045330976768,G
60,2170090642162326528,K
61,5334608286619266304,G
62,5334648178281751808,O
63,2169142347744057216,G
64,2169165471848702976,G
65,2169181311688135040,K
66,5334692983370877184,B
67,5334656111016518784,B
68,2168724013630822784,G
69,2168958901098918528,K
70,5942240983838918144,F
71,3133893569808649856,G
72,4309443328652392320,B
73,4309468479993071616,B
74,3133710050145771392,B
75,4309797032104899328,O
76,4309396534999827328,O
77,5994826707951507200,G
78,3450607275711723648,F
79,3449411793037536640,F
80,4118680775654556928,G
81,5241658494167182848,O
82,2007418171718891904,G
83,2007420027146455936,G
84,2007634500633337472,B
85,4268458796543223424,O
86,3107527762016884096,G
87,3106995392226665472,F
88,1932400864166788864,F
89,5983807333701215872,G
90,2068359187792090752,K
91,2068777551968758656,O
92,2068392276221901952,B
93,4146544844158897920,B
94,2069974439093241344,K
95,4146209213920694912,G
96,4146126583063400320,O
97,2068585824630647936,G
98,2068891969899248384,F
99,2068642793076229760,G
100,2068657052367492480,G
101,2070151426108806528,B
102,2068985119149247744,B
103,2069819545390584192,O
104,455172082756757504,F
105,2055307950422680064,B
106,2055335953613902464,B
107,2055217584308255744,B
108,2055236413445273472,B
109,5339628755438775808,F
110,514548833091696768,O
111,513885866245673344,F
112,4057250275070511360,O
113,1825455903656930560,O
114,1825537748545815936,G
115,5338859788828267520,B
116,5338872261413522560,A
117,5941437687463380480,F
118,5941353162540324992,O
119,5941447956730261504,F
120,5941530321348115840,G
121,5941626288094275072,F
122,5941301038811672832,F
123,5941637351930679040,G
124,5941403671346407040,K
125,5941569663242883840,G
126,5941482870548147712,M
127,5941577016226216192,G
128,4057667814586542592,B
129,4057805077430468352,B
130,3604406412447539456,B
131,2173746930649636096,G
132,2173778713408448128,B
133,2173474629722138368,B
134,6057435133454825600,F
135,6057441215129530112,O
136,6057484886339860608,B
137,6057412043708653952,B
138,5034740198300160640,A
139,4094785471743245440,O
140,4094667308584021632,G
141,2198223983630013440,F
142,4603718274276965248,F
143,2197961269071870208,F
144,505171240162594560,F
145,506352596689220736,F
146,505923649712560128,K
147,4655572032951410816,G
148,5877179891503999232,O
149,5877101723095768448,B
150,4096904196292245120,F
151,5877071486531226240,B
152,2027790060607353856,B
153,2027569093126782464,K
154,2027801742918771072,G
155,2027519993058385920,B
156,6004714100607200768,A
157,3031754986908175616,B
158,5880673211743213440,O
159,5880412902352256128,O
160,5880311708610537344,B
161,1949380519157717248,F
162,1948893366779640832,F
163,5350347383221980032,B
164,5350671910945418880,G
165,5350356866515279744,F
166,5350363051263290752,F
167,5350702250593310720,G
168,5859928038698318464,F
169,5350579929921019392,B
170,5350404248591565568,F
171,5350407925083621376,O
172,5258742602730616320,O
173,5258746382301596800,O
174,6055968895986183296,G
175,5258349561694308096,B
176,5258781154357802752,O
177,5258784281093855488,O
178,5258501603529721088,B
179,5258960610962107904,O
180,5258631345907368064,O
181,5258521356065843328,F
182,5258659727039678336,G
183,5258849736390437248,G
184,5258669141607898496,B
185,5259051256256247936,B
186,5259061667256877824,O
187,5258414192353423360,O
188,5258304516075951104,G
189,5258558052264724608,G
190,5258904024778875392,O
191,5258913130109610240,G
192,2061430134240761728,K
193,2061471262848521728,F
194,2061473698082672384,K
195,6053443012900060160,B
196,6053628040051534848,F
197,6565909096025405824,F
198,4306551308158093568,B
199,4306840406675813504,O
200,4155018024350569216,G
201,4155020463891889792,G
202,4155024548396108288,O
203,4155030015899868800,G
204,4155033005197110272,O
205,4155069082923691776,B
206,4155087843341158784,G
207,4155119827949122560,G
208,5609195991154761472,F
209,4155253178098418048,G
210,5981157098349212800,B
211,5981466404722103936,B
212,5981500042907727232,G
213,1887771614176403584,B
214,5974915922444828672,G
215,5974923795125110016,O
216,5975097621052241408,O
217,5975281308199864832,G
218,5975324322294234240,K
219,5345638479831413376,F
220,4319542793941448960,O
221,4319389721313566208,O
222,4319829903914985088,B
223,2168142651160142720,B
224,4319900891136543488,O
225,5865371961264256000,O
226,5865251496027997056,B
227,5865217411265042432,G
228,5865325060231338752,B
229,5865334096843189120,B
230,5865334371721132928,G
231,5865263178340506240,G
232,5865289463535978752,B
233,5594743048248355712,B
234,5865240565286205056,O
235,4008812252341928832,F
236,5935459333529466496,B
237,5978491435617575424,B
238,2061389417949991808,G
239,5935496167158769664,G
240,2060968957831040512,B
241,2061339836862081024,F
242,2061242908036996352,B
243,2061366087703839232,O
244,2060913191990736768,O
245,1972019046961709056,G
246,2061380346995578240,B
247,5523662954407951360,B
248,5523718651542356736,K
249,5976550140319047424,F
250,5523218201962883840,B
251,5522837770932725248,O
252,3430011808017107328,G
253,4065476649330280576,K
254,259725953816511488,G
255,3429096769525402368,K
256,2216315107427765504,B
257,2929787343700870144,G
258,2172760187675233408,O
259,2930027380830974464,F
260,5335102207846402176,B
261,4563140866372054144,F
262,1827888366966285952,G
263,1827894276841303040,B
264,1827851361525715200,G
265,1827703820803190912,B
266,5337233714203015424,O
267,5337172416430975104,O
268,5337178944781172608,O
269,5337133654334557824,O
270,5337149223604334720,O
271,5337278416226918400,O
272,1200240602415900672,F
273,4061944914866424064,A
274,5526959977464273792,B
275,5526511926474986624,O
276,5526523127750224512,B
277,5526527628875709184,B
278,4319930096909297664,B
279,4320224628632235136,B
280,4320228064606499968,B
281,5939592741343279872,B
282,5939611020725019776,K
283,5939911183066947072,G
284,5353421067970937984,F
285,5980242162929480832,B
286,5876815884452239232,G
287,5978950546010001280,G
288,5307161761930337792,K
289,2039038648650065536,F
290,5877601416826508672,B
291,349913085847134848,F
292,2999967452909563136,B
