,source_id,spectraltype_esphs
0,511224704508742400,B
1,5338559068062247424,B
2,508118481081238528,B
3,507530620312623360,B
4,5338768628101732736,B
5,5540781212278203264,B
6,5351654943057229568,B
7,2011324663504606848,B
8,5951456574900012544,B
9,5333189087628524672,B
10,2013088662423506432,unknown
11,524073803551337728,B
12,5598747778839181184,B
13,5943511052858450048,B
14,2013028635958122240,B
15,5330082043864764928,O
16,5884642272590433536,B
17,2021021119110890752,B
18,517984639434312832,B
19,4116876408353305472,B
20,462474557952394368,B
21,430618854243540480,B
22,2006159196548316544,B
23,465484677193202816,B
24,5933747458327368832,B
25,2020135977888277120,B
26,2953068368541590784,B
27,4532944802443580416,O
28,5878588533368804992,B
29,6054311730150633856,B
30,464430584838608896,B
31,2198310020416621312,B
32,2163280022322754560,B
33,4268670177618486144,B
34,5351454247831073408,B
35,2058276425682766208,B
36,5308893217870489344,B
37,5865659758421059072,B
38,5781393255961324416,A
39,4094632738369550848,B
40,5969963825151584640,B
41,5242148841998453760,B
42,2031703493052541824,B
43,4146142044945078784,B
44,5876949264609120768,B
45,5876809489193122688,G
46,5964026157435761920,O
47,428765215076017408,B
48,6129591202451666560,A
49,5939641115528678016,B
50,5524635747319495296,B
51,1810833120523030784,A
52,5598943732432470528,A
53,2198750546615470848,B
54,5867861766645792256,B
55,5245839455819346176,B
56,5865777028216106880,B
57,5329674567436577664,B
58,5312864447697499776,B
59,6028166507530363648,O
60,5598047729222927232,unknown
61,1999589648923328640,B
62,5543204883811913216,unknown
63,2007344263919334656,B
64,5594486724606048640,B
65,5254554867866952192,B
66,5942692019772974208,B
67,6062884308727639168,B
68,473696929538610048,unknown
69,5350317245404819712,unknown
70,3459910999508485888,B
71,5597653004552962944,
72,5351192632790981120,B
73,5877873099253366144,B
74,4063510374548718080,B
75,5865215173442070144,B
76,4153024163106555904,B
77,5351462665966608000,B
78,2021162341981856768,B
79,2016519585368148736,B
80,5910150843581383808,B
81,245741982680145792,A
82,3429126323198505216,B
83,5935443042690936064,B
84,5325241821888517632,B
85,5860168243269357312,F
86,2175065245092827264,A
87,5865627769499672064,B
88,5865037641022891904,B
89,458923307197565952,B
90,5865179546827046400,B
91,4153657271324352768,B
92,5772739790209538688,B
93,513430977662608384,B
94,2013103299671931648,B
95,6057464854631696512,B
96,429437772596816640,G
97,5878920521470243968,B
98,274752017165580288,B
99,511299058984639744,B
100,5940953936741757568,B
101,4041322577924875008,F
102,5878259337024304000,B
103,3447561555485992448,O
104,5655791159337566848,B
105,2010777935648376832,B
106,4145577273927989632,B
107,6055015447608371328,B
108,5350301238089589248,B
109,6055282289644711296,B
110,5867147019691369088,B
111,5961176944904382592,B
112,5941445006118997376,F
113,429382281620189696,B
114,5864850208708888832,B
115,506584387481455104,B
116,4053537597926061952,B
117,5865589939431464960,B
118,5940677375202352000,G
119,5618501054988479616,B
120,4116328061287276032,B
121,5334627940391543808,B
122,5859141235001357440,B
123,441913759231466624,B
124,511482127667381504,B
125,2200165648133262592,B
126,2175230343631558144,B
127,5865560046451988608,B
128,5880408057629154048,O
129,5540335502056749568,B
130,5716715583970981120,B
131,2007797842516671488,B
132,2014838329008459648,B
133,2162179621648118016,B
134,4242794197955522560,unknown
135,6650885328918669056,A
136,5619272980870430080,B
137,464612691450868352,B
138,6017114014796162560,B
139,5241183986179007232,unknown
140,6058593949972313600,B
141,2198510986214594048,B
142,959568639650999040,B
143,5259996041675283200,B
144,5933436919343196928,B
145,5588702640604312192,unknown
146,2020089356034968320,O
147,2198299471977389824,B
148,5342396299245870976,B
149,5423552145822887936,B
150,5864510906241831168,B
151,5240999543089448448,B
152,5325321983159407616,A
153,4078664878917893632,O
154,5308551540312621696,B
155,5541831864358088576,B
156,4117016286848873856,B
157,5797125618093587584,A
158,1972919345123123840,B
159,5322894364564839680,B
160,2197777066511333248,B
161,5979819984829824896,O
162,2874726653229176960,A
163,5825184605114014720,O
164,5519793979153618944,G
165,275908291082872192,B
166,5941584300496745344,A
167,4094028457991091072,B
168,4494329271178956928,B
169,3046422094059360512,B
170,5242153961599320064,B
171,5337929945592032256,B
172,2212711011384594944,B
173,5940718675610571008,B
174,5854425700195642752,B
175,5313364450619974016,B
176,2172643089692957568,F
177,5334743698351081088,B
178,5350305288216091264,B
179,2067583374960263424,B
180,466152596145231232,O
181,1973635676948456704,B
182,5933167951360260992,B
183,502298525508742912,O
184,4146036418800865536,B
185,5237660601148563584,A
186,5862417401711819392,O
187,5355202173726876032,B
188,5979522188967953152,B
189,429819818526227456,B
190,6056671625702062848,B
191,5868370913595417984,B
192,3424568813142676224,B
193,5933423656483529600,B
194,5308315493243528704,B
195,5258040938206078592,B
196,5940679505506594304,B
197,456711983153665152,O
198,462013072306689408,B
199,514321272848951424,B
200,5347718588343251328,B
201,5351625565480239360,B
202,3390031980383965440,B
203,430976642197542400,B
204,5338741934926504320,B
205,2199916338180302208,B
206,5254218833968364160,B
207,5876121886493546752,B
208,5619013083808645504,B
209,512638500359343744,B
210,5523792662418517248,B
211,5337168907403080704,O
212,2062122448615438848,M
213,4064444478394566016,B
214,6055355269730706816,B
215,6053351341111003648,B
216,2059080890230885632,B
217,5940356901919834496,B
218,465845969841748352,B
219,3052767547466535040,B
220,507767045371514752,B
221,4056715878027032064,B
222,2054385288369582592,B
223,1997802702008144000,B
224,5880653210047462144,B
225,403243797841227520,B
226,429579850113569280,B
227,2071892365363621632,B
228,5883197587355902208,B
229,2011682936798594304,B
230,5309258835530059008,B
231,5865008057313556736,B
232,4346894004663799424,unknown
233,6913910539170818816,O
234,5601712268350257280,B
235,5878336642130645632,B
236,5357478300230051200,B
237,2014040495884928256,B
238,2009861355273039616,B
239,5350301822204870400,B
240,5426897783604249088,B
241,5964274372184298240,B
242,5233807534441956608,A
243,524443548692482432,unknown
244,5541363785953573632,B
245,508222900322701184,B
246,464702683911206400,B
247,4065873946593883776,B
248,597786677973273472,B
249,4252888784152609024,B
250,5258872310739497984,A
251,5865376148813776640,B
252,5587508674057555328,B
253,2019918107096191872,B
254,6055500920665217664,B
255,5254181480590007680,B
256,5865189747238992768,B
257,3119628815185476608,B
258,507092086973996672,B
259,5241049463464526848,G
260,5865192947127190400,B
261,2011719255039053696,B
262,2066795441742244224,B
263,4096403364403789440,B
264,5965792248019530240,B
265,4049346298392094080,B
266,5308395585773720320,G
267,4065872232967017984,B
268,5865996449501864064,B
269,5627377721592085504,A
270,3448021293083220096,B
271,4063386164092994048,B
272,5972022213998286336,B
273,5866397595115009408,B
274,5857973691154925440,B
275,430991245086296960,B
276,5938678153849787904,B
277,4096551012578341376,B
278,5983678381592921344,B
279,5312222436001568768,B
280,5865798331257060480,B
281,508640268066145920,B
282,2015991476192512384,B
283,6416572288572864512,O
284,3369944590139275648,B
285,5350941944144263168,B
286,5597258902659080704,B
287,3126159532000331392,B
288,5350350613037629696,B
289,5341388699933243776,B
290,2012161705389421056,B
291,5863193755671391232,B
292,6055212573743746304,B
293,5711520322813548928,B
294,2015558234251037056,B
295,5308759386685514496,B
296,5933491826207853056,B
297,1828032403006053632,B
298,4145714575459238016,B
299,5866875886996171520,B
300,5406359357373233280,B
301,5237391117730127616,B
302,3976925453063171072,O
303,5351447032285948800,B
304,5933172108888814720,B
305,3959682976140480640,A
306,5885328990628894976,B
307,4097585721681776768,B
308,5943227310140775168,B
309,2021004905668968064,B
310,2172127006421883264,B
311,1963426574048034304,B
312,2005429670587790592,B
313,430682591555768192,B
314,5255694790869564672,B
315,5933005842170915200,B
316,5830369936299879296,B
317,4094443038251468288,B
318,5937876060107377536,B
319,527105535062586752,B
320,4067403646461213696,K
321,5862247076162742912,F
322,5334955216885256832,B
323,5869354632883903360,B
324,4151862146798947712,B
325,5969679743151226496,B
326,5941154185286793856,A
327,206570098533742592,B
328,2178078594145607296,B
329,5865187037250733184,unknown
330,4154657006618643584,B
331,1978160304740929024,F
332,4054371959770688000,O
333,5334603815494656128,B
334,5918428894825068928,B
335,4094791308562194560,B
336,5913924264411712384,B
337,5351797497294062720,B
338,2075366680335198592,F
339,5255623253891288576,B
340,4322483747025689600,B
341,5338642184267430656,B
342,5940150842242764928,B
343,507986333525305216,B
344,5884174331682256640,B
345,2055905706788980992,G
346,5241193435107631744,B
347,2014061077369022720,B
348,2198574796557354496,B
349,6860930674469451648,B
350,6059260219659405952,B
351,5969819346807021184,B
352,5408938154520051200,B
353,4148005644131794176,B
354,5974306969099980672,F
355,4362699445655203712,B
356,4065636280279533056,F
357,5254268071479961856,B
358,5867267313135339392,G
359,5333259185830699264,B
360,2200970838549574016,G
361,1674944684600857216,B
362,4486718486050792064,A
363,5350749770113845504,B
364,5258612241890794496,B
365,4053536945090907904,B
366,182606276965747072,G
367,5969265399088871424,B
368,4062785555871295872,B
369,3685172413454924544,B
370,5951483066260857600,B
371,5934281614822015872,B
372,5334492081984456704,B
373,2169391627642352384,B
374,4093921526145632128,B
375,5868783161744290944,B
376,5306749238912083968,B
377,5308736365663580544,B
378,2232167178876101120,G
379,1980962959882131968,B
380,429379876438922368,B
381,2177663975182718592,B
382,5597075902693646080,B
383,5332936135585412736,B
384,2198064210845612160,B
385,251814658419960576,O
386,183513129241177472,B
387,523027270332326016,B
388,5863329171726560768,B
389,4041243992779955072,A
390,5937500302032646528,B
391,6053186964111678720,B
392,5312539748185100416,unknown
393,5865189270634258304,B
394,119044643631730560,B
395,5966753045040824576,B
396,1823919714104085376,B
397,6055719104999857920,B
398,5335724600157018624,B
399,4098273156954417280,B
400,4052752688441542656,O
401,5955726558325638272,B
402,5548340874425832192,B
403,3325806727368768640,B
404,5333216029996226048,B
405,3375114154514430976,B
406,537820550748807680,F
407,5334849354537392000,B
408,5602424545732662400,B
409,3416832232714231040,B
410,5933336653291490432,B
411,5853690264354833152,B
412,4053993968324349056,B
413,6128043708555577728,O
414,5333931502805953408,B
415,5530368424849793280,B
416,5876969128867704960,A
417,430917955765550464,B
418,5333638482967849344,B
419,5351586769019987840,B
420,5255453757305523328,B
421,5253916326493179264,A
422,5976342130818475392,B
423,6059081411575543168,B
424,6031579052338300672,B
425,1998001159557212800,B
426,5241804007665020416,B
427,6053448132501956608,B
428,2058614766007862272,B
429,6053950330076266624,B
430,6054364850310287488,B
431,2008509093404729472,B
432,2006743449538846464,B
433,5337795117979767680,F
434,5983085882254830720,B
435,5312294488367796864,B
436,527033139094336768,B
437,5865055473759150848,A
438,4063516804173387136,B
439,3376901131489603072,B
440,4146047345196620672,B
441,4095655352902837888,B
442,201697986414506368,B
443,1828392115078939008,B
444,459350948498887680,B
445,5423496139448524288,B
446,2074638189471497984,B
447,185483797677743872,B
448,2015674954282286592,B
449,3208462482760921088,unknown
450,5312283871208714752,B
451,5254222819697834624,B
452,4156192508943551232,A
453,4113605193800417280,F
454,5889106633404235264,G
455,4095738782665148672,B
456,4057348745744951680,G
457,4300570617724887680,
458,476305761393257472,B
459,4144027233092371328,B
460,5940467471600053504,B
461,511300330289706880,B
462,5863362294517910144,B
463,5337712242292293248,B
464,178869101362832768,B
465,4766580616640592128,O
466,508607695036702976,B
467,5528775752196418304,B
468,5949206046394324480,B
469,5944057372703982464,B
470,5972690687046492800,B
471,3417312929750660352,B
472,2922829771558287232,B
473,2068840185472179968,B
474,5336291153526412672,B
475,5342309128585867008,B
476,5255461041573105664,B
477,512311399953608704,B
478,5331154922396196608,B
479,5255296110504276608,B
480,5865129003642848896,B
481,5869734234951201024,A
482,4069109057709755392,G
483,5513299610637196544,A
484,5932777693439425280,B
485,5828657412543207936,B
486,4053345011595434880,B
487,5327666893557215488,B
488,5934924489847715968,B
489,5254894586937016576,B
490,5935464070849851520,A
491,1971826842892723200,B
492,1971961906714992128,unknown
493,2930236008859297280,B
494,5525340121952406528,B
495,460385623297613056,B
496,5337354591762216576,B
497,5878899390230812544,B
498,5940988223424807808,A
499,5612537372639102848,B
500,5937524319491742208,B
501,465581670433308544,B
502,507343565901645184,B
503,5972710714437642880,B
504,5338280243134648832,B
505,5922597487023363328,B
506,2013325568508296960,B
507,5853886183583525504,B
508,4064485538282302976,B
509,6054099490053962624,B
510,2058360710101484288,B
511,2057528139272332928,B
512,5865561416521518592,B
513,5546181983338611712,B
514,5853828291798243584,B
515,5878510021367846656,B
516,2172070690809360384,B
517,5964005846518148352,B
518,5312374340402373120,B
519,464674474564796288,B
520,5978562354005062016,B
521,5818044445302448000,O
522,5318438834214880128,unknown
523,5865199303679908736,B
524,4253162597025979264,B
525,5863135107916716416,B
526,444034133044347776,B
527,2066113194774769024,B
528,5972683883810111360,B
529,3455717359080299648,B
530,4057373076830187904,B
531,5884063139211669760,B
532,5865245929750119168,B
533,2008735936401391488,O
534,3030957149478032768,B
535,4061318876074910464,A
536,4058834362147833088,G
537,5967517136904111232,B
538,5865447788867170432,B
539,2202622201940611968,B
540,465677396664350720,B
541,5943319845238861312,B
542,5718852587902788096,B
543,5932819440484998400,B
544,5313567619744926208,B
545,426213008067891968,B
546,5962723850325274112,B
547,5878691823057119104,B
548,4091447968576579584,B
549,182867307897233664,B
550,6061212230741493248,B
551,2931004709228481152,B
552,2015302632155046656,B
553,6202472399415600128,B
554,2175167637107629184,B
555,1328057905737009152,M
556,4260316569315431936,B
557,6660910714598126592,B
558,462083337972899200,A
559,4039055006938925824,unknown
560,5350715753971256320,B
561,5975204445464667904,O
562,5863030104557579392,B
563,6120897123486850944,F
564,175657707072824704,F
565,160249563437511680,B
566,5865143297296639360,B
567,4153577389253043712,O
568,3444565764256845952,B
569,2013829458375509120,B
570,5527824468480384896,B
571,5862896440854315776,A
572,5852140988141140096,B
573,5330201169079186304,B
574,5874867687324563456,B
575,5933365000072969728,B
576,6048784274694237824,F
577,6419257300266866048,F
578,5892974857096350720,B
579,5350620371335066112,B
580,4063402729874705920,O
581,4158778697723006464,B
582,2011367063421745792,B
583,2164957537778290944,B
584,4110447018468581504,F
585,2175012365453747200,B
586,2033964677405948416,B
587,5878059088481558400,B
588,1913949444142541312,G
589,4152992792665716864,B
590,2013758299354984320,B
591,5939560546266303360,B
592,5916356074900330880,O
593,3429265308340602240,B
594,5877587599830364032,B
595,2163012432989755008,B
596,2058555804711517952,O
597,4096415051116341760,B
598,2007945662421591680,B
599,3209559486129350912,B
600,5851610473740929920,B
601,5865170063537685376,B
602,5972751877401819648,B
603,2020851180167094016,B
604,5350348482733597056,B
605,5524238686182371968,B
606,5869336216060842112,B
607,5878642856115012096,B
608,5862009272410444032,B
609,546757862292757760,O
610,4658744089627006464,F
611,2164619536722261120,B
612,231258498264124800,B
613,2200954208435356416,A
614,5241250124335678848,B
615,341808310759852416,B
616,5861182199149027200,B
617,523733264184150656,B
618,4145062217139910144,A
619,5255603874998691072,B
620,4333416122413060608,B
621,5620163310411260928,B
622,4559556080509089280,B
623,4160846604244233344,O
624,5862287006505330816,B
625,506316862559720832,B
626,5866448103929812352,B
627,5864444591940830976,G
628,2011969703179725568,B
629,5974461828439893504,B
630,3054243126428995456,B
631,4054721703231401856,B
632,6629561267269651968,O
633,2174321906512504832,B
634,2170939190270853632,B
635,5337573772560869248,A
636,5617165148359306880,B
637,4055980300453803392,B
638,5974209731049047808,B
639,5933330266741678336,B
640,465462235983822080,B
641,5854141613879652224,B
642,4040143278561114240,A
643,2014079902202853760,B
644,508065734580082304,B
645,541060983314207616,B
646,4145697326858291968,A
647,3444363694644753792,B
648,6054707554311000448,B
649,5970176756764377088,B
650,5350553266772717056,B
651,2171991629057834880,F
652,518490552217732736,B
653,5876640370563865472,B
654,258473747512982272,B
655,5960473807205086592,O
656,427539878084229376,B
657,5868515293194412032,B
658,2019541180809889664,B
659,5895675944821302016,F
660,3028520051898307200,B
661,3119063283953843712,B
662,5861682889255305856,B
663,2013349177952004992,B
664,514864809550685312,B
665,5523814102895110400,B
666,5334775893434774016,B
667,5355183000986050944,B
668,6054352412084146048,B
669,2015595205330148224,B
670,449933184726707200,B
671,2006216268070175744,G
672,195253340744720128,unknown
673,3028001013690507136,B
674,3455829440547966080,B
675,2062256412922773760,B
676,258815523830310272,B
677,4041676959847116032,B
678,3113264597067438080,B
679,1982737056241878784,O
680,5974154682444298624,B
681,419537838618836096,B
682,5332432490519977344,B
683,4662340901404211328,B
684,2013607284004339200,B
685,5934868620929554048,B
686,4521902136589563008,B
687,5600344132288136320,B
688,428101969045877504,B
689,5934432492784049536,B
690,5548162787901969280,B
691,509861516254823040,B
692,465578578056857728,B
693,4156717594452251904,B
694,4155485213727146240,B
695,2054399685100177408,B
696,5966886360824648320,B
697,5990098842316868352,O
698,2010614894388270976,B
699,2063384580575152000,B
700,4067881070709858304,B
701,1757209079439977728,O
702,5583458034555821056,F
703,5337931423060566912,B
704,2058264502852849152,B
705,5522012072066579456,B
706,2015509099824567040,B
707,4098044286741199360,B
708,4097462748166140032,B
709,465455849372943744,B
710,2163404993002449280,B
711,296407654581453824,B
712,3026437267636722176,B
713,4059995549487966848,B
714,4091269645861378944,B
715,5940476851810082560,B
716,2959522433074162688,O
717,6048501945023784704,unknown
718,2060656176833785472,unknown
719,5965795099878277760,B
720,2200004470910740608,B
721,4153659990090746624,B
722,3455813738147570944,A
723,2207490770697741952,B
724,2060741599461878016,F
725,2030449435664136192,B
726,5865682538928660480,G
727,4153613913676642560,B
728,5972646431702487424,B
729,5966689552550729600,B
730,5515362019584047616,B
731,5862184580162814464,B
732,2012694758071467520,B
733,4293608475759292928,B
734,5816714551604008960,B
735,5338028901648783360,B
736,511518995667298432,B
737,6045108061867289984,F
738,274907598060377984,B
739,6054381995821249024,B
740,6062005459688893696,B
741,5330583764767999488,B
742,5974400324509964160,B
743,2937363386827123328,
744,5864205997952166528,B
745,5618039534984617344,F
746,5718860898657810816,B
747,5313539169880390400,B
748,5331666680639199616,B
749,456795099361563264,B
750,2007113194680834688,B
751,4057525835839856384,A
752,5337309747972562176,B
753,2009014417775823872,B
754,2017652597780193664,O
755,5868342532449639808,A
756,2211790479636489600,B
757,4148002315615884800,B
758,5940971391490304256,B
759,4053793651059853440,O
760,4378419236413544576,F
761,5972272078013885952,B
762,3443193646763772672,B
763,5865989508834049664,B
764,1997279403193125504,F
765,4595471799628917888,B
766,6011898653184089600,O
767,5981119852391875840,B
768,3429581589733672320,G
769,5876952185188397312,B
770,4104224744696927488,B
771,340729724213583616,B
772,5934369747550368896,O
773,5933418743040451200,unknown
774,1827158188170572928,B
775,3569085460399339008,B
776,5521677476940341760,B
777,476636748751998976,B
778,6379745044249965824,O
779,2946782323126889728,B
780,5321206304975208320,A
781,5862832742239883392,B
782,5829556533885152896,G
783,606912551468559488,B
784,5978754012616132736,B
785,2014000363709997696,B
786,5334478952209082624,B
787,4318063263644544640,B
788,5337176230361411840,B
789,5404400783593632384,G
790,5325028482277296896,B
791,5963705890347419904,A
792,5972270261305524608,B
793,5932790543929746176,B
794,5870777259172458752,B
795,5877083856037712512,B
796,429512264511310976,B
797,4153374976032040704,B
798,5334914122650082688,B
799,6055297437979166464,B
800,510900829611381632,B
801,4108360042292482816,B
802,2059467746523555200,B
803,465315799077063808,B
804,5868978393764002048,B
805,5858683391559242752,B
806,5942324954688699264,B
807,5865239057801485824,B
808,2930138809465862528,B
809,5971995344682287872,B
810,5600502427604245760,B
811,2060687173633598976,B
812,3311181332928254464,O
813,445757823683113344,B
814,5961151553053425152,B
815,3404527598088192896,B
816,5522975759640941312,B
817,3039678445648280832,A
818,4153209976257929600,B
819,4145607029462962944,B
820,5127023995925535872,B
821,5240368045467099392,B
822,5337388294335133312,B
823,1371398313336636672,A
824,5948301796820556032,B
825,5620209249382238720,B
826,2015562254340350208,B
827,5145983321599970816,O
828,4359773340274465280,F
829,507965374085090176,B
830,5882074882963295744,G
831,5865126009919005184,B
832,2028608715764971776,B
833,5972659690223800448,unknown
834,5836557747274118528,B
835,4211138128628995072,B
836,5878892724441330816,B
837,5967395331636148864,A
838,5383566824924285184,B
839,2008233700103499264,B
840,5330046344096560512,B
841,5308885933605777024,A
842,2005723996106253056,B
843,5970881509388408960,A
844,5953743039344147712,B
845,5978631103515297408,B
846,5875167922695729280,F
847,5858334567112958464,B
848,6054598427799658752,B
849,462016095963629696,B
850,5976727883246862848,B
851,2067586368557498112,A
852,4475766594324074624,B
853,949925755172786560,A
854,6056305247799046784,B
855,4064497839069176320,B
856,5254465571249143040,B
857,3113157497763208832,B
858,5960286684055414912,B
859,4095523308425952640,B
860,5254201443612841216,B
861,4063413308287863168,B
862,2194044842999493120,F
863,461300794929153408,B
864,5258720505107983360,B
865,5334982086202802304,B
866,4320192742789069824,B
867,5351674390669312512,B
868,5539692768785642624,O
869,5878919937354674176,A
870,5337948121895405696,B
871,2931470936519788416,B
872,5965798256628765952,B
873,4065714517407845632,B
874,2001446586627751168,B
875,5963735985141005056,B
876,213932875067601792,B
877,5890717864611295488,B
878,5963461352060091008,B
879,5965488537950170624,B
880,5313080673537927040,B
881,5332822198669976704,B
882,2055281837020607872,B
883,2929799369608953600,B
884,5526668293340965888,G
885,5860809292906981120,B
886,2138801049492438016,F
887,4319205140793760256,unknown
888,254373252037235712,B
889,464608160271831424,B
890,5877179891503999232,O
891,5313643417330272896,B
892,5350306082812792576,O
893,2198720653649920384,B
894,6055591114983292800,B
895,5830275172120989568,O
896,5853516648966487680,A
897,5312164230601143552,B
898,5854336678444158208,B
899,5338390705339724160,B
