,source_id,spectraltype_esphs
0,19477887141367552,unknown
1,20161096179157248,F
2,23769177945357440,F
3,25685523633347584,A
4,51220203721624064,F
5,63850190711122176,A
6,66719297584339968,unknown
7,72425797289881344,F
8,80556926295542528,A
9,82164274856435072,F
10,83015880971855360,B
11,87159184382553088,F
12,90314748394496256,F
13,97582348455500928,F
14,99384413653590400,F
15,104648767952686080,B
16,106337278511338880,F
17,114797397716085120,F
18,115744253324806528,F
19,116493948453592576,F
20,118398440032278528,A
21,129208426043112192,F
22,136287116259342848,G
23,136503307733082624,unknown
24,136762586318515200,G
25,140238486171592832,F
26,141047073895228288,B
27,143299182946691968,F
28,143684183814640640,F
29,144809087288307584,A
30,149887353540965248,F
31,150700408030576384,G
32,150710990829979776,F
33,152779962474627840,F
34,155563170002149376,F
35,166891403944921344,G
36,169789235561764992,F
37,172136280566920192,F
38,172314229650814208,B
39,182142003881848832,F
40,190905906126863872,F
41,192324035609022592,F
42,192956907628969472,F
43,203517338858689152,G
44,206402697888002560,F
45,215698965618620288,F
46,216914956762173056,F
47,218086520760842624,A
48,218513612308131712,F
49,224381087391704448,F
50,224452212049687552,F
51,231277670997906560,F
52,234108363683247616,G
53,235949942578219136,A
54,236066353372132096,F
55,237130680629521792,F
56,237875737194524288,F
57,239191749533107072,B
58,240553494685732992,G
59,240759309517274624,F
60,240925610650924672,F
61,240950418382889856,unknown
62,243356905740181120,F
63,244516031514817152,A
64,246756973652292992,F
65,253596451374628736,B
66,255409438666669824,F
67,260985925424637184,F
68,262196419005626112,F
69,262489301415512832,G
70,262844684188926848,B
71,265608031786302208,B
72,271809655329016960,B
73,273264893325541120,F
74,276336207260335744,F
75,277256253675880704,A
76,280642444548762496,unknown
77,286427078301012608,F
78,287174918006025856,F
79,288037622316627968,F
80,288476842850595072,F
81,289092844240061440,F
82,289662047665943552,F
83,291192842729858176,F
84,292205767816719744,B
85,294072906063827072,B
86,303712912915905536,F
87,306256422612670848,B
88,307028146631847552,F
89,308108245007332224,F
90,312130292901682688,B
91,315028326379733760,B
92,316067369162854528,F
93,316125437120884480,F
94,317254635562605184,A
95,320273310376883840,unknown
96,320685627237234176,G
97,322910282858325888,F
98,323121419155355648,B
99,326383086038685952,F
100,327301766659961600,F
101,328576512953800576,F
102,338409926477347456,F
103,338866773559116672,F
104,341387919360706176,B
105,341924927712909184,F
106,345032559889364736,F
107,346052906680064896,A
108,346213160500048000,F
109,348659642591311744,A
110,350356738788869504,F
111,354808558290775680,A
112,355604737850265344,G
113,358693648267575424,F
114,361739123675786752,F
115,362365432986571648,F
116,363101693459636608,B
117,364465362757049600,F
118,365284017883062784,F
119,367292825627187328,F
120,369362136574999680,B
121,371836351270855424,B
122,372108549118220928,B
123,372879100611041152,A
124,377004021562940928,G
125,378144696158046336,unknown
126,379114396692108928,F
127,380026097990259840,F
128,380489851379496448,F
129,380937283891664000,A
130,382281849174100864,B
131,384590857952363776,F
132,387280091595430272,B
133,388075553898248832,F
134,389273952854576896,B
135,391221050508652544,F
136,395870679030956672,F
137,397931782288929152,F
138,398743015711581056,F
139,399269750500472064,A
140,399895784933610496,G
141,401242411799902080,F
142,403743594595392256,unknown
143,406965988297962496,F
144,407350473770669568,A
145,408817359720855168,F
146,409622477114027008,F
147,410606127701356672,A
148,411578851897102976,F
149,412572810414744064,F
150,412710283723457152,A
151,413542064271808128,F
152,413562233439652096,F
153,414877352418530176,B
154,415000566440590976,G
155,416445908838640384,F
156,417140765825876224,B
157,417906781834850816,A
158,418856961738857344,F
159,420412019078637312,B
160,422761499325397120,unknown
161,426915664720211072,F
162,429488934247825536,B
163,433499437258738304,B
164,434013596384509568,K
165,435993198353915264,F
166,436206709768402688,F
167,438349172593149312,F
168,439770879787366272,unknown
169,441782466373426944,F
170,442643938031545472,A
171,447017447391379456,B
172,447400700210609408,F
173,454048691111323648,G
174,455850000397387264,G
175,459031059334476800,B
176,468529087451089024,F
177,471158638229882240,B
178,474739644518865920,B
179,475399626372168704,B
180,476292459874275840,F
181,478544023470366080,G
182,482736736184250368,B
183,483705268488402688,F
184,491104466350124544,G
185,496563507219380224,F
186,497943944067924608,F
187,500406094199327488,A
188,502556257907177344,F
189,503166040182536704,F
190,505353346777448832,B
191,513069135264870784,F
192,516241741701329024,F
193,522037095690741376,F
194,522194909969271168,F
195,524234950722731392,F
196,524535426630702464,F
197,524613865611227520,F
198,525266769361764864,F
199,532730980145341056,B
200,535471684673688704,F
201,535903105548185600,F
202,537040928284437632,B
203,538196892963081088,F
204,538832101445230720,G
205,549622364962290176,unknown
206,550445761732141568,F
207,550670989817507456,B
208,554519349234120320,G
209,555245473584364672,F
210,557805617689619200,F
211,558619943490268928,G
212,560846076578641280,F
213,561150813098052096,G
214,563328155359003264,F
215,563939140226898560,F
216,564883861232883584,F
217,567372227845025792,B
218,568205142263138304,F
219,571961864258248320,G
220,572938986496769664,B
221,572946064603101824,F
222,573782758591811072,unknown
223,576582596231278592,F
224,578153626548627968,F
225,579165001151941760,A
226,579670437198935552,B
227,580348453620559360,F
228,580383264331008896,F
229,580485518912334464,F
230,580978684237551104,B
231,582019956109094912,F
232,582311322394316288,F
233,584371601026374272,F
234,585206856201832576,F
235,586254622063844736,F
236,588953373353973248,B
237,590357587141762176,unknown
238,593234665474220032,F
239,593827920716707584,A
240,595352561092332800,F
241,595604800227745920,F
242,597182736851923200,B
243,598165081771805824,F
244,598452535342949760,F
245,599099323058438016,F
246,599404609334109312,A
247,603014546526261248,B
248,603291108060958848,F
249,604767752175631744,F
250,605046444013475584,unknown
251,606056482882628864,unknown
252,609425214712107776,F
253,609962257422780288,A
254,610143127085410944,B
255,610579392683347968,B
256,612024219681403008,F
257,612591803903942016,F
258,612782092430236160,F
259,613345931441786496,B
260,617869047400413824,B
261,619077277536014976,unknown
262,625195333894472704,A
263,626819694821103872,F
264,627485346032381184,B
265,627719232771542912,F
266,628186009817147008,F
267,629850189385293184,B
268,630369880428308224,F
269,630421935431871232,F
270,632467228922479104,unknown
271,633152366400873728,F
272,635766627094916096,F
273,641523085862046464,F
274,642859954562367744,B
275,644849280334780928,F
276,644916208810347136,F
277,646258746867774976,F
278,648476397396238976,A
279,648525566184565888,F
280,648822503043489792,F
281,649257944006486016,G
282,652841252402785920,B
283,657203427346091648,F
284,657680512312286848,unknown
285,663638971983488640,B
286,666167814367063296,B
287,666353013356114688,B
288,667841752100734720,F
289,668027908865948032,F
290,669367839880113920,F
291,670266862434827776,A
292,670484634456082560,F
293,670801774841145600,F
294,670994498613388032,F
295,673531140659262720,B
296,674288223133915648,F
297,675232974203031040,A
298,675237754503574784,B
299,675464975453569664,F
300,679611371240857216,F
301,680218817055329920,F
302,682639563701964544,F
303,683581020533190016,F
304,683896305493072640,B
305,686327256981818752,F
306,686737855855649664,B
307,689686230645254912,F
308,690888512251408512,B
309,692459783086685824,F
310,693017991395512320,B
311,693662339568755072,F
312,695463751932925824,F
313,695655337537044864,B
314,701477874378036608,B
315,702294777158642688,B
316,703542447977629184,F
317,706120081189906816,B
318,709223521478479616,F
319,711398664715720960,B
320,714368170745506944,B
321,714577181033569664,F
322,716134089498539008,B
323,717128151089339904,F
324,719368131152859136,F
325,725396684687000960,F
326,725722724244414848,F
327,727207060646675328,unknown
328,727369479129926656,F
329,729403339418654080,A
330,730416367584683520,F
331,730980520129043072,A
332,733011421184981888,F
333,734933981690515584,F
334,738353875169744128,F
335,739029628143831552,F
336,739451741824861696,B
337,742910079556254976,F
338,744128819476073344,B
339,744372945417155968,B
340,745266607852366464,B
341,745761186221843328,F
