,source_id,spectraltype_esphs
0,2012912500041834752,unknown
1,4658034384914198272,O
2,4658103452373995264,B
3,4658107541182452608,O
4,4152476297066998784,O
5,4054404631566479616,O
6,4054407689583282432,B
7,4054149755376098176,unknown
8,5334571178097948672,unknown
9,2069091531258827648,O
10,2070186369963278080,O
11,4094631265217282176,O
12,2037452671855902464,unknown
13,4482304251807050240,unknown
14,5350458670093520640,O
15,5350357519345171200,O
16,5350370026290390912,B
17,5258563412384119168,O
18,5258583929469166720,unknown
19,4155087293585479552,O
20,5595121310305893760,B
21,5865360897441115904,B
22,2061291595788070656,B
23,4660242311676443520,O
24,4660134353378816000,O
25,4660141568924683264,O
26,5337185679290680320,M
27,4660117444051372160,O
28,5337277763391663488,O
29,5876955556746594048,unknown
30,3373452826804138752,B
31,4651738821845582464,O
32,5351703390282380800,O
33,5864010933331665280,B
34,5240040631514998272,B
35,3032940844556081408,B
36,5878402612822904704,K
37,5934037012236694272,F
38,524101256981955200,B
39,5338256844150504960,O
40,5338141464150107008,M
41,5338229115839425664,B
42,5338152837224212992,O
43,5882956313277086336,O
44,4104216429639420032,O
45,4069477595953048448,O
46,5337417985482248576,O
47,5337421730693859840,O
48,5868912491781014144,unknown
49,4513494205567536512,unknown
50,5876711014185935232,B
51,6054132505411481984,unknown
52,2198726735325037440,O
53,2067745076187793024,O
54,5980784844951253376,O
55,4258703207808502144,O
56,5259375577836135168,B
57,5939094009724936320,unknown
58,5617746515133032448,O
59,5337974815066189184,O
60,5337916682731668992,B
61,5337926269099549056,O
62,6055101523064612864,O
63,5829299664809018880,B
64,5255667681036173568,O
65,5255677056923564544,O
66,5255569549619300096,O
67,5255678160756667776,O
68,5255494370519800832,O
69,5964124353254695936,O
70,4655312994920412416,O
71,4256734875858811904,unknown
72,5336895957960832000,M
73,2401578693530126720,B
74,6054397075394503040,O
75,5940491385980774528,O
76,4655071686436958976,O
77,4655085086736326912,O
78,5336089702383462528,O
79,5934745299485840768,unknown
80,2006888825592397440,O
81,2057563358004716928,unknown
82,2014674226896884864,G
83,2028294667765054464,O
84,4660554813484441984,O
85,4660634218836656640,O
86,4660550071840404992,O
87,4098014389460991872,O
88,5943094788943803904,unknown
89,4053636485258105472,B
90,4053745100746865152,unknown
91,4053667756967584128,O
92,4658620394567370752,O
93,4658569439072726656,B
94,5868477256969661824,unknown
95,4658829954619222272,O
96,5339121811857056128,O
97,5830472049111663872,B
98,2060661846184974464,B
99,5337612324165433472,unknown
100,4657274386230566656,O
101,3324744805291306368,B
102,5338564015865196800,unknown
103,4259258010195996416,O
104,5951318036426102656,O
105,4659446643210791936,O
106,4659451934611219072,O
107,4659458321188311296,B
108,1825407490781545216,O
109,2165537770680635904,unknown
110,5852718536596531968,B
111,4661553960318315776,O
112,4661671882931385216,unknown
113,5254268071479968512,O
114,4095125220807894400,unknown
115,2006219978921880192,O
116,2059076148587289728,O
117,4658236287121102592,O
118,4657680380866211200,O
119,4657685500468567040,B
120,4657685977170493568,O
121,4657686222022977920,B
122,4657686290742293888,B
123,4657687733851287040,O
124,4657696564305131648,O
125,4657703264455142784,O
126,4256868152952578304,unknown
127,5329864237502044160,B
128,5862643935490696960,O
129,4254678995275751808,unknown
130,2062560122958679936,O
131,508955656105078912,B
132,4661263551844927616,B
133,5963639571706070400,unknown
134,4661784273646151680,O
135,5943179829303158656,unknown
136,2032145466709678464,B
137,2182307453299864064,B
138,4269407881268423168,unknown
139,2922367976673391232,B
140,5972179719043340800,unknown
141,5972220130436920832,B
142,5861676086032316288,unknown
143,4069167881581956864,O
144,5878338708038978304,O
145,5878214222686129408,B
146,4658435195586546048,O
147,4658441998830755328,O
148,4658486597762537984,O
149,4658512573729193984,O
150,1821509378448652416,O
151,4657648769903196032,O
152,5851583256480676864,B
153,4657669969864318208,O
154,4657670072943726080,O
155,4690516883290136832,O
156,4254815437833064064,unknown
157,4685879040157034624,O
158,5351131506811580032,K
159,4685927349999737088,O
160,1829046152689890560,B
161,5597770416085979648,O
162,2034210349533480192,O
163,6057676201358478336,B
164,5973474703218558080,O
165,4152844491726272640,G
166,4153009457139196032,B
167,4662157695285974272,unknown
168,4662107598784242432,O
169,4152574080574698752,O
170,5858741184645789184,B
171,5972658869920060544,O
172,5972660411778306304,O
173,2013906561629759232,O
174,2030934212864924032,O
175,4069911426323829888,B
176,4069585661644839808,B
177,4266952014602177920,unknown
178,5966563486675142912,B
179,5338422591176599040,O
180,4658195605177235584,O
181,512856654641310976,K
182,276644757710014976,B
183,5334559736303965824,O
184,5972469577791009152,unknown
