,source_id,spectraltype_esphs
0,5937175430711309824,F
1,5937205216231011456,F
2,5937087332353571200,A
3,5937181512385890816,B
4,5937154780506488192,A
5,5937211233562429184,F
6,5937118737157353984,A
7,2270945648314550144,B
8,5937106298930813440,A
9,5912754001774270592,F
10,2266953046717627264,F
11,2270238868499353728,B
12,2270245534288597760,G
13,2269040400823934848,B
14,5912775687075448832,B
15,5937136398064552704,A
16,2265319378597122816,F
17,5913044479005752704,B
18,5912526407174473856,O
19,5912528777995768960,B
20,2264519243369801216,B
21,5917185484632789248,B
22,4125939545264768768,G
23,5917118964185965184,F
24,5917358211043742976,O
25,5917282585257309952,O
26,4125853409707961856,B
27,4126132376424546432,B
28,5917305601960471552,B
29,4125998304732055168,B
30,5917166655505358848,B
31,5253645095055153792,A
32,5917429400093721856,O
33,5253739240730675072,B
34,5961181304227572608,B
35,5542246693787335296,B
36,5542772737073750656,B
37,5253623173538970496,O
38,5961266314527252224,O
39,5542815828494437376,A
40,5961268577990500736,B
41,5542467145869832320,A
42,5542828404158638336,A
43,5253708763655584640,B
44,5542317543569498624,A
45,5542841082903149952,B
46,5253711168837587840,unknown
47,5253668219160904704,B
48,5542661072233866752,B
49,5253814076245224704,B
50,5253714261214986496,B
51,5253719380815517824,B
52,5542365234886908288,B
53,5961257960805563264,B
54,5542700379764299264,O
55,5253681516353939456,O
56,5253724152479009664,B
57,5542204534390473344,A
58,5542206797825668864,B
59,5542554282164476288,B
60,5542389905176194560,A
61,5542220820901959936,B
62,5542743569964592896,A
63,4264841540733473536,O
64,5542930177706258944,F
65,5543021127933398912,O
66,6030103988835748736,A
67,4264978872268147456,A
68,5818107117448787200,O
69,5817689195644995584,B
70,4264825838330176512,B
71,4264958947972900992,A
72,5817963768629665664,B
73,4264963105499616896,A
74,5817564955130432384,F
75,4265007567005142912,B
76,5251741015780023552,G
77,4128941525555607296,B
78,4128943106103641472,M
79,5251664565359493632,A
80,4128645271580930176,F
81,5901228199341775360,B
82,5251680336478654848,F
83,6027859915583397120,A
84,6027814492008333440,B
85,5251970362738776832,F
86,5835791181536033664,F
87,5835814511777409792,unknown
88,1836903365855518208,B
89,5835802657690285824,A
90,1836919102621053952,O
91,1837172814934641152,A
92,1836922572940663936,B
93,1836923943034886400,B
94,5862475637138610944,A
95,5862475980736160384,O
96,5835761322919717632,B
97,5862540993695277184,B
98,6027927299366665856,B
99,5238501074706781312,B
100,5862581916157659008,A
101,5862483509849360512,B
102,5862545529181186432,B
103,5862545597900692096,M
104,5862484643720833536,B
105,5862547900003013248,B
106,5238351811684911488,B
107,5862487048902525056,B
108,1836470811122256512,B
109,5835786611649345024,unknown
110,5862421318719336192,A
111,5862558207925493120,A
112,5862594251304764032,M
113,5238371431095838080,G
114,5862559547955391744,B
115,5862595483907343232,B
116,5862429496337780608,B
117,5862431661001381760,A
118,5862435303133388160,A
119,4149192055874754560,A
120,5862435543651841664,B
121,5238533819536641408,B
122,5862600298619436160,A
123,5238537083711718272,F
124,5238464172353997824,F
125,5862374348956794240,B
126,5862515086450844416,A
127,5862606345933860224,F
128,5862520274771770624,F
129,4149202088899623936,O
130,5862459045714192640,B
131,5332970495312010240,M
132,4149315029352571776,B
133,5862465780223232640,B
134,5862532472479471104,A
135,5862532919156158336,B
136,4470892699807986048,O
137,5862533606350866560,B
138,5862468219764884608,A
139,4149359697035017344,B
140,5862537901318570240,B
141,5862220623532649728,B
142,5862188119215964928,B
143,5862473579884591232,A
144,4149326883459326208,O
145,5862263397039227008,B
146,5862191933147897472,A
147,5862224403103831936,A
148,5862164166111386752,B
149,5332942904454407424,B
150,5332899061394779264,B
151,5332784780913371520,A
152,5862194544488327424,A
153,5862167984406953728,A
154,5332863877049661056,B
155,5862199217412902912,A
156,5332866385310543360,A
