,source_id,spectraltype_esphs
0,6030055331064244608,O
1,5253742230037659264,O
2,5253648118711766656,O
3,5961553591992387456,O
4,5253750029656167296,O
5,5253650352103082368,O
6,6030087667955808640,O
7,5961459381956866816,O
8,5961528754280049152,O
9,5961463780003416832,O
10,6030091928565272064,O
11,5961532254594280448,O
12,5961467765734816896,O
13,5961508207154392576,O
14,5961508305855819136,O
15,5961559231376246016,O
16,5961559781132195840,O
17,5961559918571219712,O
18,5961561907047122304,O
19,5253769889593994496,O
20,4116873870121443584,O
21,5253623173538970496,O
22,4116826414973346816,O
23,5961563423265770368,O
24,4116851501942760832,O
25,5961477042864262528,O
26,4116877374815110528,O
27,4116853563511515520,O
28,5961516900168978944,O
29,5961517037607934208,O
30,4116829889662806656,O
31,4116878744816408448,O
32,5253675847023537280,O
33,4116855693815511808,O
34,4116897264723305088,O
35,4116880261034612992,O
36,4116831607649070848,O
37,6030078459543117312,O
38,4116857274274806656,O
39,5961482952739698432,O
40,5961541634800981376,O
41,5961483846093076480,O
42,5253681516353939456,O
43,4116858644367470336,O
44,4116899566820159744,O
45,4116882906734671104,O
46,6030132846641358848,O
47,4116859782624670464,O
48,5253685635209699456,O
49,4116812739793232512,O
50,4116862252140282624,O
51,4116862497045276160,O
52,4116862703204760320,O
53,4116813774940489728,O
54,4116814152897281664,O
55,5961404333294247296,O
56,4116886888076021504,O
57,4116814462135266944,O
58,5917333884347485056,O
59,5961547544676399488,O
60,4116905377945583872,O
61,5961406669751489920,O
62,5961547750889153536,O
63,4116816519419101952,O
64,5961547823941570048,O
65,4116905717249590144,O
66,4116867406101835392,O
67,5961578060505645824,O
68,4116906786759396992,O
69,4116890603318488704,O
70,5961549709339854080,O
71,4116818757063329664,O
72,4116870399786089728,O
73,4116820539425972224,O
74,4116893588231252480,O
75,4116871666709100032,O
76,4116821643322694784,O
77,5917429400093721856,O
78,4116821986920847232,O
79,4116844007128942464,O
80,4116844011517638912,O
81,5917358211043742976,O
82,4116844763039744128,O
83,4471536635658387456,O
84,4116846274867783040,O
85,5917195002285834240,O
86,4471370231442678912,O
87,4116913589988183936,O
88,5917367900490348672,O
89,5917282585257309952,O
90,4470892699807986048,O
91,5917223417764125440,O
92,4471111601393140096,O
93,2266704763248676736,O
94,2270245637368647808,O
95,5818041593441919488,O
96,5818044445302448000,O
97,5817947482092762112,O
98,4471659884031043584,O
99,5817693151310694912,O
100,5817552924924552832,O
101,5817555300059068672,O
102,5835786401126516736,O
103,5817750459061212160,O
104,5818107117448787200,O
105,4149232153678862976,O
106,5835729505797287680,O
107,5902594140703585408,O
108,5835791971769900032,O
109,5835764071699037440,O
110,5835764209138029184,O
111,4149326883459326208,O
112,5835794097711378816,O
113,5835814752320314880,O
114,4149153091929614848,O
115,5902610461563857792,O
116,5835770801803741056,O
117,5902442957854455296,O
118,5947879176350910848,O
119,4149202088899623936,O
120,5947516990350776576,O
121,5947806196252710528,O
122,5835743588895356800,O
123,5835710229896901504,O
124,5835775925810356736,O
125,5542863966488852864,O
126,5835746170273253504,O
127,5542508514995655424,O
128,5542700379764299264,O
129,5835807223131744384,O
130,5835808945523391104,O
131,5835810727825215872,O
132,5542902518115802368,O
133,5542903274030048256,O
134,5835783759832031360,O
135,5089985400556230912,O
136,5542909905459505280,O
137,5542914544020602880,O
138,5542914647104635776,O
139,5542914715819266432,O
140,5835812828174391808,O
141,5085311307908331008,O
142,5542222298376078080,O
143,5085399852951576448,O
144,5085401880178564608,O
145,5835721499977827456,O
146,5543021127933398912,O
147,5090520793999781376,O
148,5542419793842027264,O
149,1836752659739051520,O
150,5095305112688488448,O
151,1836960334308315904,O
152,1836579284811904000,O
153,1836756684138773632,O
154,5542586030563753344,O
155,1836756989067079040,O
156,1836757646211468544,O
157,1836582171029883136,O
158,1836767851045749504,O
159,1836771527537824896,O
160,5543049955753408512,O
161,1836987925178899200,O
162,5947867700198022656,O
163,1836804203649459712,O
164,5947774168678826112,O
165,1836820421439289856,O
166,1836483386786827392,O
167,1837137768003436672,O
168,5087543557030184064,O
169,1837139898304210176,O
170,5077675680688640768,O
171,1836631820847200896,O
172,1836846599264396800,O
173,5096959568452123008,O
174,1836856086856121344,O
175,5092747133247311360,O
176,1837282731732046592,O
177,1836688376977224832,O
178,1836689545208338816,O
179,1836690301122593536,O
180,1837174773439876352,O
181,245866880331406848,O
182,4128760930755294720,O
183,1836523999991752704,O
184,1837187898852565632,O
185,1837188586047366784,O
186,1837068567485484288,O
187,1836919102621053952,O
188,1837194633361327616,O
189,1837201951985619200,O
190,1836712115248451968,O
191,245054135076947200,O
192,1837203807411469056,O
193,245057674131139840,O
194,245513907032799232,O
195,1837217413867901184,O
196,5084896688945791232,O
197,245087640122628352,O
198,1836722908515284352,O
199,5862457327727203200,O
200,1836726378850337024,O
201,5862460042146355456,O
202,5862578136585480960,O
203,5862376925937405824,O
204,5862377097736114688,O
205,5862461485255686528,O
206,5862461931932192512,O
207,5862462103730930944,O
208,5862462344249088896,O
209,5862462653486548352,O
210,5862462855315511168,O
211,245154534234568320,O
212,5862379296759456512,O
213,1836733216437589760,O
214,5862463821717875328,O
215,5862464160985611520,O
216,1837248509431848576,O
217,5862380739868182656,O
218,5862464783790786176,O
219,1836740878660649856,O
220,5251640444821283328,O
221,5251819493421219712,O
222,5862466055101507456,O
223,5862466158180420096,O
224,1836749468593938176,O
225,246486699949950592,O
226,5862385614639827968,O
227,5862468941319212416,O
228,5862167808267202304,O
229,5862387130780810880,O
230,6027908848185670784,O
231,5862469559794504704,O
232,5862470865464711296,O
233,5862471445251287808,O
234,5862471964976408192,O
235,246522812035187584,O
236,246822875624967552,O
237,5862472961409153152,O
238,5862473133207843200,O
239,5862474022235903488,O
240,5862474335805702144,O
