,source_id,spectraltype_esphs
0,6030023174764215296,K
1,6030055369793290880,M
2,5961497418190016512,M
3,6030058840128494208,M
4,5961553282754599424,M
5,5961413541698631680,M
6,5961502155469250048,M
7,5961413747857274752,M
8,5253605405219064064,M
9,6030114880875606400,M
10,5253754462095498880,M
11,5961557749521224704,M
12,5961506935843365248,M
13,6030092439582368768,M
14,6030067223906441472,M
15,4116846962062546432,M
16,5253704193810401024,M
17,5253621524271385728,M
18,5961472610458271744,M
19,5253624852829473664,M
20,5961423819626052480,M
21,5961424609900075648,M
22,6030043481322067456,M
23,4116876653260786304,M
24,5253670830501579136,M
25,5961477004138434048,M
26,5961516036797342336,M
27,5253673957237814656,M
28,5253675262907807616,M
29,5917147757648349696,M
30,4116831465823697152,M
31,5961481642703458688,M
32,4116832049939458560,M
33,5917075155517788416,M
34,5253718624901645184,M
35,5917154350395148544,M
36,5253686739061778560,M
37,5961402585305833856,M
38,4116813293903619840,M
39,6030108141985317760,M
40,5917254783906705536,M
41,4499617166194414848,M
42,5961577746888386176,M
43,5917096802153985152,M
44,5917097244505721984,M
45,4116839544751028352,M
46,5961548854733928192,M
47,4116841430144135552,M
48,4116841636302577664,M
49,4499227316303853056,M
50,4116844045877412480,M
51,5917432221923737216,M
52,4498892381876441216,M
53,4471355044438546944,M
54,5917114806657307008,M
55,5917278015412156544,M
56,4498966667629713280,M
57,4471044294964870400,M
58,4499017378305710848,M
59,5817467918929152000,M
60,4471077211595765120,M
61,4499048065849843200,M
62,4471430803363354752,M
63,5817909445886698240,M
64,5817796849018906880,M
65,5917227467911898880,M
66,4471614529185821440,M
67,5917310554084703360,M
68,2270176363837855360,M
69,5817805984401608448,M
70,5818021110724246912,M
71,5817925354448793728,M
72,4499932932189975168,M
73,2263525009980846464,M
74,5902455499159420672,M
75,5817831621076529920,M
76,5818044445302448000,O
77,2270414103165185792,M
78,4149171508749600512,M
79,4149260191227912704,M
80,4149217890048207872,M
81,5818072998240957184,M
82,5817866496212218752,M
83,5835722045333742336,M
84,2269613246381697024,M
85,5817734279932860544,M
86,5902641518459326336,M
87,5902399149186967680,M
88,4149313100886057984,M
89,5902579980164038144,M
90,5817577943127412224,M
91,5817578767761140224,M
92,5902316960697519872,M
93,4149227583834726656,M
94,2270675683853258880,M
95,5902320705909332224,M
96,5835726069824348416,M
97,5902501365083273984,M
98,5835792311004668160,M
99,5817600861073654400,M
100,4149276576482848512,M
101,5902663341219659264,M
102,5902664268932713216,M
103,5835793621077972608,M
104,5902513051724226688,M
105,5835814477441870464,M
106,4149365503826256000,M
107,5902607712801212288,M
108,5835796369857511424,M
109,4149195423129239424,M
110,5835816775137777024,M
111,5835769427415187840,M
112,4149196557000339456,M
113,5902437529015849728,M
114,5835799084276903680,M
115,5902354825131071488,M
116,5835819489556893440,M
117,5835772146238899456,M
118,5835800905343414400,M
119,5947799255595678464,M
120,5542844209639336192,M
121,5835707618641722240,M
122,5947518914496253312,M
123,4149205662331339136,M
124,4149294619688647296,M
125,5835776063249363584,M
126,4149295375602092928,M
127,5835712016688632320,M
128,5835805440829667712,M
129,5835713184919772928,M
130,5947531558883011712,M
131,5835747196668018176,M
132,5947900475073321600,M
133,5542881593035574528,M
134,4149299666228034176,M
135,5835781418967317504,M
136,5947823341773267072,M
137,5835751118076363264,M
138,5835751461684206976,M
139,5835751564752965888,M
140,5947547703644718848,M
141,5542727523965886464,M
142,5835752492466163584,M
143,5947631094723222144,M
144,5835812175339255040,M
145,5947562272173774976,M
146,5947652676951739264,M
147,5947850520328599680,M
148,5947468195204315392,M
149,1836577738623683328,M
150,4071723902541831040,M
151,5081841455368449536,M
152,5095722789669842432,M
153,5076712130545086848,M
154,5076827338748087168,M
155,5096196198144358144,M
156,5096255296894495232,M
157,5100590082831402496,M
158,4071676692259347840,M
159,4071733072260041984,M
160,5100971239707162240,K
161,4071683044476484480,M
162,1836493316744510464,M
163,5083116132943397760,M
164,1836495064780900608,M
165,5088259064224172416,M
166,5088299917953016064,M
167,5088316170109262720,M
168,4128554566190513024,M
169,4128642114806883840,M
170,4128753401674755072,M
171,5251781487228933632,M
172,1836908210584156032,M
173,1836523244077482112,M
174,5251942466927205632,M
175,5251790390721085056,M
176,4071756990971377408,M
177,5093713707047438592,K
178,5251712114917315968,M
179,5251713562347057408,M
180,5089796456355685888,M
181,245535789891488768,M
182,5251807566269693184,M
183,1836945280434702592,M
184,246406366883953408,M
185,1837089595646455424,M
186,1837093993692791168,M
187,5251818320864229376,M
188,4128936165436321152,M
189,6027751854211133440,M
190,5862537935678307840,M
191,4128538584592497920,M
192,6027909569740206208,M
193,5251972119383929856,G
194,4128543875992222080,M
195,6027912249800383872,M
196,6027716463677835520,M
197,5862473575554049152,M
198,5251745585624813440,M
199,6027757867164714496,M
200,246587300962681856,M
201,5862547728204321792,M
202,5862488281523741696,M
203,246630220577569152,M
204,5862260996228704640,M
205,5251927039403831808,M
206,5251928929189791360,M
207,5862558963839765888,M
208,5332926652296569216,M
209,5332977676498224768,M
210,6027875072566369536,M
211,5332979360125644800,M
212,5862184781955278208,M
213,6027876927992348160,M
214,5862150632736785280,M
215,5332826180070409856,M
216,6027731517611233408,M
217,6027732067332529792,M
218,5862187844338095232,M
219,6027773466486045184,M
220,5332886245240818944,M
221,4103724776223653120,M
222,5862518556784763264,M
223,5862234161270526720,M
224,5862235565653097088,M
225,4103698937696456064,M
226,4103699693610713088,M
227,5886040301626318464,M
228,5332949432805722752,M
229,5862163414561031680,M
230,5332846284862199040,M
231,5886163485638280704,M
232,5862166438218858112,M
233,5886046628157849600,M
234,462777026727715840,M
235,5886177190828229504,M
236,462128727185880192,M
237,462482838650572288,K
238,4203926565017487616,M
239,2197741946548746368,M
240,4203926844258994560,M
241,4203827437143886848,M
242,4194296664196150400,M
243,2197772393587294080,M
244,2196287709281536896,M
245,5886148504791203328,M
246,2195313129662738048,M
247,5886197329983694336,M
248,5859067322892315776,M
249,2195932773183963392,M
250,5859070213498702720,M
251,4203878804958163328,M
252,5859072343802730752,M
253,5859045130884998016,M
254,5859045268258147712,M
255,5859074302307737728,M
256,4203810983188011648,M
257,4203850325109041792,M
258,5859133980786640896,M
259,5859111445190230400,M
260,5859115327841667712,M
261,5859052277712079872,M
262,6653444648391368192,M
263,5859025369656637440,M
264,5859120962838979328,M
265,4295894807119904384,M
266,4295896903064067072,M
267,4295850964117749504,M
268,5859089248796657152,M
269,4295900579556597248,M
270,4295947652403047808,M
271,4295853124421821184,M
272,6653504915370981888,M
273,4295948064719782656,M
274,5901332244947951360,M
275,6653104486981424384,G
276,2253553161071930368,M
277,5901120279725054976,M
278,2248780108079089536,F
279,4295907790761910656,M
280,4295957857246468096,M
281,2253747087435936384,M
282,5823609348529209088,M
283,4295916930452338688,M
284,5823697064623888128,M
285,4295960537306606336,M
286,5823887902930063744,M
287,4295866529082094720,M
288,5901263731627258240,M
289,4295964626115826816,M
290,4295964694835111296,M
291,5901265346535009408,M
292,4295924253418944640,M
293,4296001116161572736,M
294,2253975167379501824,M
295,5823811108912885760,M
296,5901272252842570752,M
297,6653185575964965248,M
298,4295970707789934720,M
299,4296007056049401728,M
300,6653857588025946624,M
301,4295972150899118976,M
302,5937082796867774080,M
303,4296008258640148352,M
304,5901282870002245760,M
305,4295933633628851200,M
306,5901168108476262400,M
307,5823827081872610432,M
308,5823827945185657984,M
309,5901174533747605376,M
310,5901295548746118400,M
311,4295838010495128192,M
312,5823558633558893952,M
313,5901404499154594688,M
314,5823924427334373504,M
315,5901310323434287872,M
316,5901189961270756608,M
317,5937130625627874816,M
318,5823564302916070016,M
319,5823741702237563520,M
320,5901199341479599616,M
321,5823744863333913472,M
322,5901105122758779648,M
323,5823862201844291712,M
324,5901008537529830272,M
325,5937144850561130624,M
326,5937104477864563840,M
327,5823768159237596416,M
328,5823770083383494656,M
329,5937107776399949952,M
330,2202743732332750592,M
331,1995616220058020864,M
332,2012610168702147968,M
333,5937109631825996800,M
334,5277687462943482496,M
335,5937211920757240576,M
