,source_id,spectraltype_esphs
0,5912913366551134976,
1,5912431088963901696,
2,2267141475522684928,
3,2264137059999970816,
4,4126115570219432448,
5,5961160898927927680,
6,5542262052593581696,
7,5542893378427078784,
8,5253779540372803840,
9,5817589861640683904,
10,5251602064992259712,
11,5251708885101740160,
12,5862477904880912512,
13,5238682558530136320,
14,4469514633772760192,
15,4658058269260567168,
16,4295818799048312320,
17,6653626789362930432,
18,2012876727243918336,
19,2013017022366185984,
20,1995369448410054144,
21,1996208066551960320,
22,5834093879161345664,
23,4036215483720144256,
24,5834125490103717504,
25,424346896316851072,
26,423772848172434688,
27,423774944116472960,
28,423569679038402944,
29,358295350180820864,
30,358390423576631808,
31,359045041016883584,
32,358586480240747392,
33,5932942379598118272,
34,357475251945199744,
35,5593463491594279168,
36,3125034151787417856,
37,3125506151511957120,
38,3126164793342179200,
39,3003353639480780800,
40,1935590856632083456,
41,1934292780077598592,
42,1934292780080008064,
43,3001780852521446656,
44,5947900956108091520,
45,1933537724829053440,
46,3352352060497965696,
47,3352404669555107584,
48,412757287848448896,
49,413642016741167104,
50,413396722579537408,
51,414095049894176000,
52,415001631592456192,
53,413567456119791872,
54,413173173815631872,
55,415665972835198592,
56,416081592529661824,
57,5543922207761110912,
58,5543676265064247808,
59,5278374520268763520,
60,5278405237882286592,
61,137451430353207296,
62,245009884034302464,
63,1956590012598399872,
64,1956786481582910976,
65,2990413895153253248,
66,2984032810701949440,
67,2991407583086382592,
68,5712111516474343808,
69,5712112272382483968,
70,2990704166223063424,
71,2984350161541760640,
72,2988965082425201920,
73,2984464510751597696,
74,5712138248346760704,
75,2984528381209341568,
76,5712156184131153408,
77,5712161574309345792,
78,5712202982095892864,
79,5712203390105196544,
80,5712594992341637120,
81,5712597496307938304,
82,5712866365561117952,
83,5712874714977825536,
84,2983458629411444992,
85,5712676321848425472,
86,5712483181462333568,
87,3288851832314759936,
88,5573137335520788096,
89,5334651304999910272,
90,5577050737920577024,
91,5334704184646610048,
92,578483097784850176,
93,584069716365033984,
94,581529470843531008,
95,584182420602629120,
96,3132755261737190784,
97,583551777670626688,
98,3133047903628151936,
99,3132807355399750912,
100,3133105151253261824,
101,5942255792887507584,
102,3450898886812556544,
103,3450951629010289920,
104,3449370389552813184,
105,3450716264799020800,
106,486976178144007680,
107,3450016455715279232,
108,3450883940323906048,
109,5952817598503851904,
110,5952891776828093824,
111,5923724074119780480,
112,5918751532769935488,
113,5318310569310235648,
114,3842161057330690560,
115,3838991818142731264,
116,3842301902193348736,
117,3846250557685790720,
118,3840920365832986112,
119,3843860283831758464,
120,3835315119978452992,
121,3844840743260748928,
122,5241676395601573632,
123,5241766658618992768,
124,3838645579353925632,
125,4189113433245979776,
126,5241674604544201600,
127,2928100864662424704,
128,2927730569758401024,
129,2928181743183835776,
130,2927806470416728576,
131,2927810593593493760,
132,2927591889550988416,
133,2928216828767703168,
134,2927616804671519744,
135,2927878243615387648,
136,5444882911914499456,
137,2927464758523632896,
138,5445756851859162752,
139,5441585334804565248,
140,5443176194987462528,
