,source_id,spectraltype_esphs
0,5937201887712513152,B
1,5937112896001274752,A
2,5937113995513060480,A
3,5937148453945003136,B
4,5937178621793214080,B
5,5937206698076755712,M
6,5937179175923311616,A
7,5937115782219522816,F
8,5937212642311470720,unknown
9,5937093998143380736,A
10,5937094857136900864,M
11,5937187624044706048,M
12,5937100079817764352,K
13,2264589715193276416,F
14,5937100595213896064,A
15,2266366938301292544,M
16,5912884916686859264,A
17,2268377086074867968,M
18,5937125849623950336,A
19,2263308642411356800,unknown
20,2268473980536520960,unknown
21,5937224045370841984,G
22,2270952966942528256,M
23,5937224943058021120,unknown
24,5912575198003563008,M
25,5912913366551134976,
26,5912740365268127104,F
27,2265040137004405120,M
28,5937171681125939456,A
29,2270207429338727168,K
30,2270208975526953344,F
31,5912929240750426496,G
32,5912591072202876288,F
33,2265130709274764416,B
34,2270251684681744256,F
35,2266997336420370560,unknown
36,5937201063078739072,M
37,2267025648844890624,F
38,5937135878282169984,A
39,2269279269724591616,F
40,2263752162211460864,M
41,5912613131155449088,B
42,2263816861598546560,G
43,2265487535156870272,M
44,2269555522021252096,M
45,2265524162637872640,M
46,5912978821852329088,A
47,5912813654587851136,F
48,2269698419879996800,B
49,2267671371409176448,B
50,2269823837219471744,B
51,2263977699533605248,F
52,2263996803548048512,G
53,2270679360345219456,F
54,5902412442080457088,F
55,5912659482443856768,G
56,5913047541322494080,M
57,2265907651677900288,F
58,5912364087462856448,G
59,2265977161428715264,F
60,5902438319289773312,M
61,5902523531444657536,F
62,4125915974482653184,M
63,4126012598381549952,K
64,2264451863923170944,F
65,5902292698391974272,M
66,4125933914578969856,F
67,5917269494196096896,M
68,4126027269990466560,M
69,4126030117541751296,B
70,5902670659844287360,M
71,4126309913194433664,M
72,5902474500095801600,M
73,4125846572119983872,F
74,4126039227180406784,M
75,5902627126054456704,M
76,5917364430156640128,M
77,4126133819543054720,F
78,5902325550632566656,M
79,5902386229933233536,M
80,4125865744854863488,F
81,5917371920579923456,M
82,5917072784695790080,M
83,5917141126218543744,F
84,5917377177620081152,F
85,5917081164144945408,M
86,5917383499812218752,B
87,5917085463415442560,M
88,4126167011039115904,F
89,4126004901800190464,F
90,4125891510350428928,unknown
91,4125891652097835008,G
92,4125892648530298752,F
93,5917315708045620352,unknown
94,5917239017107500288,M
95,4125898661486313472,B
96,4126183194477661952,unknown
97,5902406875802988544,B
98,4125901955709404672,F
99,4125902234899404032,F
100,5917326222125610880,G
101,5917107655506962432,F
102,5253728451787343744,M
103,5961211029780840320,A
104,5917430022900171136,A
105,5917413324066975232,B
106,5917432114515772032,M
107,5961212949550768896,unknown
108,5961246351601296000,B
109,5917439677987246976,F
110,5542763636053403264,A
111,5961232435881083008,F
112,5253694366924143104,M
113,5542589500897081984,A
114,5961214328315885952,M
115,5253616404633929344,F
116,5253787619245358976,F
117,5961248103924989952,G
118,5253653375752946432,B
119,5542252466223189760,A
120,5253617538541549824,A
121,5253617813419571968,B
122,5542601251928742912,A
123,5542784732931747840,G
124,5542259544329147520,A
125,5961165537469541504,M
126,5253746147038477056,M
127,5542261640273476480,F
128,5253620012443365120,B
129,5253699246007660288,A
130,5542607711559465600,F
131,5253699933201955456,F
132,5253621485608602112,G
133,5253700139360472960,A
134,5253656566871821568,B
135,5253748792738975104,B
136,5961184916376756096,M
137,5961237005727566336,M
138,5253657189683717888,B
139,5542805829798494080,F
140,5961217317613223424,K
141,5253797819752727936,B
142,5542620768260017536,B
143,5542283836665368832,M
144,5253704361268060032,B
145,5542627193531032320,M
146,5253660350780471808,M
147,5253626850031815296,B
148,5961268131289454976,unknown
149,5542298542623508608,B
150,5253629392652335744,B
151,5253805275816207104,M
152,5253805589389313536,G
153,5253758482185507328,F
154,5253709072893310720,F
155,5961269819283453056,M
156,5253759341179045376,unknown
157,5961254082520428288,A
158,5542488620702766464,B
159,5253635263861673984,unknown
160,5542852730854001536,A
161,5542497927886297216,M
162,5253671448977014912,B
163,5542856304266809088,F
164,5253593830319803904,A
165,5542338021973499008,A
166,5253816103469925376,B
167,5542340152279261056,A
168,5253715154567861760,A
169,5253715154569924224,M
170,5253673270042838784,A
171,5253596407300230912,K
172,5542512122768309248,B
173,5253674953670199168,B
174,5542515485712589568,M
175,5961256586416223104,M
176,5542877229348784512,M
177,5253821910266328704,M
178,5542878565067943296,B
179,5253642449354079744,B
180,5542363963576563072,M
181,5253600083793275264,F
182,5253600289951644800,B
183,5542690136262747904,M
184,5253720720826640896,B
185,5961225598311496448,unknown
186,5542532979126813312,B
187,5253721201881711488,B
188,5253680863546174720,F
189,5542889289616766976,unknown
190,5253721889077419520,B
191,5961257965171084672,M
192,5542199242990772992,A
193,5253724019381501312,F
194,5542548475368955136,B
195,5542386022525882752,A
196,5253685261592690048,B
197,5253724667875147392,B
198,5542553388811257344,A
199,6030095394520813568,G
200,5961259575713485312,M
201,5961259614439072896,M
202,6030115842948009856,M
203,5542910042898470912,B
204,6030075706389312256,M
205,5542570087645100416,unknown
206,6030054373398950912,K
207,4264839135551748864,A
208,5542407566081719936,A
209,6030118656061500672,M
210,4265009315004969856,M
211,6030077561815436032,K
212,4265010551955192832,B
213,5542998965901305984,B
214,4264971867234744448,unknown
215,5543004188581182848,A
216,5543006799923779712,B
217,5817604434486365312,B
218,6030038121252192128,M
219,4264974749099447552,A
220,4264895416795037312,B
221,6030061928140398208,M
222,4264851161460872192,M
223,6030085017879209856,M
224,4264854867976108288,M
225,6030108141985317760,M
226,6030043275163643648,M
227,4264857105696105600,M
228,5543057343098570752,B
229,5817644016906313088,A
230,6030067155224604672,M
231,6030045302388691584,M
232,4264949254172364928,B
233,5817499877795128576,M
234,4264920224544306944,K
235,5901348870742263168,F
236,5817693151310694912,O
237,5817807156942091008,F
238,4265036978944113536,B
239,4264958913613154688,M
240,5817553478992864384,G
241,5818074681868284288,M
242,5901173846552787328,M
243,4128617444516675328,M
244,5901187796607056640,K
245,5901391515498423680,F
246,4128720111398696704,F
247,5251812861991613824,M
248,4128927369343274496,B
249,4128631291477529984,B
250,5901455321534560640,M
251,5901455836930775424,B
252,5901012905538779008,M
253,5251651680455534336,M
254,5251663946884242944,F
255,4128569890614319744,unknown
256,4128950733965519872,B
257,4128750343658048768,F
258,5901414811401467264,A
259,4128572227076282112,B
260,4128957361081575552,M
261,4128760930755294720,O
262,4128966883035896448,M
263,4128762923634222848,M
264,5251906286120799360,unknown
265,5901041492842195072,A
266,4128971139336655232,F
267,4128770173538816512,M
268,4128514880695401472,F
269,5251602099352012160,F
270,4128776942407294976,unknown
271,4128518209269967872,M
272,4128667197416293248,F
273,6027730486819022336,F
274,5251689166931657216,B
275,5251856601940094336,M
276,4128671939060369024,M
277,5251765239392706816,G
278,5251698890741988736,M
279,5251924599862264064,M
280,5251963529448588672,M
281,4128597034828121088,M
282,5251619863338175232,M
283,5251777059142564736,F
284,4128896651736054016,F
285,6027738934947877248,M
286,6027768488695763840,M
287,6027818958774318848,M
288,6027819134904134528,M
289,5835788771951595776,unknown
290,5835742386301638272,B
291,5835766717399254912,K
292,5251794239011718272,F
293,5835767851270725120,M
294,5835720159947714304,M
295,5835791692528795904,M
296,6027903453706571136,M
297,1836986585149131648,K
298,1836815233125608320,K
299,1836990570878849152,F
300,5251810388090212864,unknown
301,5835748128778447104,M
302,5835812072261150720,B
303,1837131995564481024,K
304,1836650920553902464,unknown
305,5835797980360908672,B
306,6027783057227379072,M
307,5835814649219363200,M
308,5835732048345132544,B
309,6027843255442683648,M
310,1837282731732046592,O
311,5835776681724692224,F
312,1836523999991752704,O
313,5835734728479292288,B
314,1836703598341750400,B
315,1837168966643846144,K
316,1836527058008460544,M
317,6027791921988920064,M
318,5238667032246875648,K
319,1837175391915229824,G
320,1837175838591814144,B
321,1837182676181120896,G
322,5862539000830524032,B
323,5238588073564473728,M
324,5835782385442363392,M
325,1836547708211465088,M
326,1836720846931064704,F
327,5835762250576244864,B
328,5862543398877355392,B
329,5238425307169069568,B
330,1836559935967589376,unknown
331,1837084132447863424,A
332,5862546697412360704,B
333,5835709229152613632,A
334,5862547556405939456,A
335,5862547728204321024,B
336,5238507774863737472,K
337,5862341256202610304,B
338,5835710229896901504,O
339,1836751014782174208,M
