,source_id,spectraltype_esphs
0,5253741027437175552,B
1,5253654200386962560,B
2,5253707114388522880,B
3,5253684917995274240,B
4,5253796346624992128,B
5,5542307338725942016,B
6,5542337472217623936,B
7,5542548715887064192,B
8,5542559367407005184,G
9,5542757863615582720,B
10,5542942306693737344,G
11,5542963163052538624,B
12,5542808063193621248,B
13,5542817340322914176,F
14,5542643480047807616,G
15,245435944790397312,B
16,245895639429336064,G
17,5251808704462892160,B
18,245140004363839488,B
19,246453817680192512,G
20,245630798868409472,G
21,5862628198728937728,B
22,246810265606108544,G
23,4128542226726930816,B
24,5862391146542715008,B
25,5862171244219358208,B
26,246612353513728512,G
27,246137776809763712,B
28,5862299960127967488,O
29,5333029456628202496,B
30,5862147574720649856,G
31,5332926274339367424,G
32,5862497700422091648,G
33,5862225193377914368,O
34,5332935379670830336,G
35,5862155924136679552,B
36,461899062395383808,O
37,5862365862101887360,B
38,461531726732684032,B
39,5862324836571718144,B
40,5332839447273473920,B
41,461946173894975488,B
42,5862196502993338240,G
43,5862445297493072896,B
44,5332947336860779520,G
45,5862452586081876352,B
46,5862199698449319424,G
47,5333007981789730304,G
48,462340554972245120,B
49,462035023880343936,B
50,461330584822512512,B
51,462751909759119872,O
52,462097150585872768,K
53,461734139948353920,G
54,462106324635910656,B
55,5332972110219970048,G
56,462473114843400704,B
57,5886215678039660672,B
58,462502114462474752,B
59,462886904874101760,O
60,5886227429070361344,B
61,462527334510314112,O
62,462538845023004800,G
63,462942778106056704,O
64,2197798262160720384,B
65,2197800499853988224,O
66,5859137730393584000,K
67,4295886045385731072,B
68,5859029394143226496,B
69,5859088870839431040,O
70,2252393932218460032,B
71,2012619304091739776,K
72,2012998502466554752,B
73,2013000113064071040,B
74,2012631025063830912,B
75,2012631506100502400,O
76,2012831922144678272,G
77,2012834091116571776,B
78,2013169167283783808,F
79,2013020286541808768,O
80,4295833921685541888,B
81,2013021970168476160,G
82,2013176623347278208,G
83,2012423286078570240,B
84,2012669885928751360,B
85,2013028635958122240,B
86,2012445924843863168,B
87,5823840761370140160,B
88,2012685760128345472,F
89,2012455068837180416,G
90,2012489630431063552,O
91,2012896557122014080,B
92,5823935491151006720,B
93,2202852618343700736,O
94,2013232870240311040,G
95,2012734344797223296,G
96,5823667588289170048,B
97,2012925762900707712,G
98,2012549695561911296,B
99,2012569005734643328,G
100,2012943458167099648,G
101,2013105155097732224,B
102,2202883610828359424,B
103,2012945691550387840,B
104,2012774648771228416,B
105,2012790316811739392,F
106,2012607415617634560,B
107,2202897011127189120,G
108,2013124911940344832,G
109,2013300073581133056,B
110,2012797979034343040,B
111,2013131921326515712,F
112,2203059910645827968,G
113,1996197823048795136,B
114,5278247286162431104,B
115,2203414984176353920,G
116,2202839145015959296,O
117,4320615230134526976,B
118,1995788499784304384,B
119,4320521909088318080,G
120,4320641309177461248,B
121,358959042887484672,B
122,4269209866084700032,B
123,359190524444398464,B
124,423134787827478272,G
125,4658038443727082368,O
126,359626480805627264,B
127,423149081478526464,B
128,4658064965083157888,B
129,4658065450490462720,O
130,4658040711469671936,O
131,4658041020708638080,B
132,4658041158146252544,B
133,424101533426332672,B
134,423794769680615808,O
135,4658042429459941248,B
136,4658067580794642304,O
137,423818374822038144,B
138,4658069023904610304,B
139,4269146502379144192,K
140,4658071252912919424,B
141,4658097331954438528,O
142,4658097508137047808,O
143,4658097679935723648,O
144,4658098160971972992,O
145,4658098642008178560,O
146,4658047995736260608,O
147,4658047995736276864,O
148,4658048339334108032,B
149,359456709337950464,B
150,5992548210643684480,F
151,4658099638440263424,O
152,4658048992169062912,O
153,424203856730139648,B
154,4658101184628451328,O
155,4658051878390176256,B
156,4658077201525517440,O
157,4658077201525520128,B
158,423283359337756544,G
159,4658103692892274816,B
160,4658077545122538624,O
161,4658103864690822144,O
162,4658052565585127552,O
163,4658053076774319360,B
164,4658053076782040832,B
165,4658104998561861888,O
166,4658105445238818688,B
167,4658079675427259520,O
168,4658106750908479104,O
169,4658106819627852032,B
170,4658080259542568576,O
171,4658106991427587840,O
172,4658107163226307328,O
173,4658055413103632768,B
174,4658107262004657920,O
175,4658081079910982272,O
176,4658081118537212416,B
177,4658081255976169728,B
178,4658081290335814400,B
179,4658056482594317440,O
180,4658057272868532096,O
181,4658109087370363520,B
182,4658058372379782400,O
183,4658058647257810560,B
184,4658059055203261312,O
185,4658059128296785280,O
186,5885871565270477824,O
187,5885780782521301120,G
188,5793860721394122240,B
189,4152489319408027776,O
190,4152520483690947712,O
191,5932844209518910720,B
192,5932899631779826816,G
193,3125987119132872064,B
194,5932863386620982400,K
195,6021772125857703168,O
196,3125740210051788800,B
197,3126071021315911936,G
198,3126084254113495040,G
199,3125782262072311808,G
200,3125794086121828736,O
201,3125794429719215872,G
202,3125815286080316800,B
203,3125815659737982848,G
204,3126714033757351552,O
205,3125824180953091072,O
206,3126166403947995776,B
207,3003171116254666368,B
208,5593381646700440448,B
209,3125618714017476096,G
210,5593400063520933120,B
211,5593923705927824256,G
212,3002416718140190336,B
213,3002429053286191232,B
214,5593710916069895296,O
215,5594001771255385600,B
216,4056046580389101440,F
217,3002971043795474176,B
218,5593137825689885568,B
219,4056012873481996672,K
220,5593164145249439872,B
221,5594073342593669632,B
