z_lo,z_hi,logL_lo,logL_hi,logL_med,z_med,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,42.0,42.5,42.466,2.2317,1050.0,0.178852,1.524321,45
2.0,2.4,42.0,42.5,42.466,2.2317,1051.0,1.566633,1.745991,45
2.0,2.4,42.0,42.5,42.466,2.2317,1052.0,0.162998,1.614464,46
2.0,2.4,42.0,42.5,42.466,2.2317,1053.0,1.057754,1.395437,47
2.0,2.4,42.0,42.5,42.466,2.2317,1054.0,1.924133,1.105906,50
2.0,2.4,42.0,42.5,42.466,2.2317,1055.0,0.9741,1.132099,56
2.0,2.4,42.0,42.5,42.466,2.2317,1056.0,0.543657,1.544681,59
2.0,2.4,42.0,42.5,42.466,2.2317,1057.0,0.612795,1.549767,60
2.0,2.4,42.0,42.5,42.466,2.2317,1058.0,2.021298,0.928832,62
2.0,2.4,42.0,42.5,42.466,2.2317,1059.0,1.306376,1.154707,66
2.0,2.4,42.0,42.5,42.466,2.2317,1060.0,0.947699,1.135777,70
2.0,2.4,42.0,42.5,42.466,2.2317,1061.0,1.003111,1.05874,77
2.0,2.4,42.0,42.5,42.466,2.2317,1062.0,1.042074,0.956264,98
2.0,2.4,42.0,42.5,42.466,2.2317,1063.0,0.998541,0.692936,124
2.0,2.4,42.0,42.5,42.466,2.2317,1064.0,1.628647,0.689099,149
2.0,2.4,42.0,42.5,42.466,2.2317,1065.0,1.360115,0.551964,159
2.0,2.4,42.0,42.5,42.466,2.2317,1066.0,1.094583,0.502011,165
2.0,2.4,42.0,42.5,42.466,2.2317,1067.0,1.812624,0.826516,169
2.0,2.4,42.0,42.5,42.466,2.2317,1068.0,1.813725,0.590472,172
2.0,2.4,42.0,42.5,42.466,2.2317,1069.0,1.78385,0.518755,177
2.0,2.4,42.0,42.5,42.466,2.2317,1070.0,1.697927,0.503715,182
2.0,2.4,42.0,42.5,42.466,2.2317,1071.0,1.470087,0.551381,190
2.0,2.4,42.0,42.5,42.466,2.2317,1072.0,2.293115,0.623273,198
