z_lo,z_hi,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,1050.0,1.619551,0.217225,1267
2.0,2.4,1051.0,1.317885,0.224438,1299
2.0,2.4,1052.0,1.503878,0.190866,1352
2.0,2.4,1053.0,1.598508,0.227655,1394
2.0,2.4,1054.0,1.766672,0.205858,1443
2.0,2.4,1055.0,1.62336,0.178585,1486
2.0,2.4,1056.0,1.820527,0.181371,1533
2.0,2.4,1057.0,1.589224,0.198296,1581
2.0,2.4,1058.0,1.88918,0.164648,1633
2.0,2.4,1059.0,1.620067,0.159004,1682
2.0,2.4,1060.0,1.644306,0.148478,1729
2.0,2.4,1061.0,1.324652,0.167663,1781
2.0,2.4,1062.0,1.512495,0.179594,1861
2.0,2.4,1063.0,1.438534,0.165774,1914
2.0,2.4,1064.0,1.669197,0.145241,1963
2.0,2.4,1065.0,1.406478,0.149687,2020
2.0,2.4,1066.0,1.419242,0.152186,2082
2.0,2.4,1067.0,1.666192,0.145787,2122
2.0,2.4,1068.0,1.505721,0.161492,2162
2.0,2.4,1069.0,1.551778,0.143207,2198
2.0,2.4,1070.0,1.430399,0.171683,2237
2.0,2.4,1071.0,1.33981,0.138632,2297
2.0,2.4,1072.0,1.657064,0.149911,2350
2.0,2.4,1073.0,1.219437,0.140445,2397
2.0,2.4,1074.0,1.517555,0.128772,2448
2.0,2.4,1075.0,1.348232,0.13247,2487
2.0,2.4,1076.0,1.561685,0.137468,2534
2.0,2.4,1077.0,1.573698,0.12022,2581
2.0,2.4,1078.0,1.47854,0.131667,2623
2.0,2.4,1079.0,1.327404,0.140572,2660
2.0,2.4,1080.0,1.333271,0.117792,2700
2.0,2.4,1081.0,1.214169,0.124221,2740
2.0,2.4,1082.0,1.571182,0.130741,2783
2.0,2.4,1083.0,1.428259,0.117964,2833
2.0,2.4,1084.0,1.354089,0.12442,2891
2.0,2.4,1085.0,1.379913,0.118364,2944
2.0,2.4,1086.0,1.572748,0.108281,3005
2.0,2.4,1087.0,1.176649,0.111646,3045
2.0,2.4,1088.0,1.133044,0.126536,3098
2.0,2.4,1089.0,1.326129,0.114051,3154
2.0,2.4,1090.0,1.374581,0.101132,3198
2.0,2.4,1091.0,1.60096,0.107396,3251
2.0,2.4,1092.0,1.422899,0.109021,3293
2.0,2.4,1093.0,1.484966,0.102204,3338
2.0,2.4,1094.0,1.37224,0.125213,3383
2.0,2.4,1095.0,1.400939,0.096197,3425
2.0,2.4,1096.0,1.191778,0.093014,3456
2.0,2.4,1097.0,1.399366,0.098062,3492
2.0,2.4,1098.0,1.252712,0.110589,3532
2.0,2.4,1099.0,1.288786,0.103413,3551
2.0,2.4,1100.0,1.349148,0.093379,3576
2.0,2.4,1101.0,1.33473,0.101241,3620
2.0,2.4,1102.0,1.452581,0.090782,3660
2.0,2.4,1103.0,1.380234,0.088556,3677
2.0,2.4,1104.0,1.191435,0.084884,3704
2.0,2.4,1105.0,1.313399,0.100272,3738
2.0,2.4,1106.0,1.114248,0.085643,3771
2.0,2.4,1107.0,1.136384,0.094143,3820
2.0,2.4,1108.0,1.142221,0.096405,3846
2.0,2.4,1109.0,1.252569,0.086176,3868
2.0,2.4,1110.0,1.315037,0.084627,3908
2.0,2.4,1111.0,1.204274,0.097326,3935
2.0,2.4,1112.0,1.271703,0.094291,3958
2.0,2.4,1113.0,1.255722,0.109822,3994
2.0,2.4,1114.0,1.231068,0.087802,4025
2.0,2.4,1115.0,1.187408,0.078981,4049
2.0,2.4,1116.0,1.194509,0.081284,4079
2.0,2.4,1117.0,1.168708,0.089975,4114
2.0,2.4,1118.0,1.186491,0.095925,4146
2.0,2.4,1119.0,1.106465,0.087263,4176
2.0,2.4,1120.0,1.065509,0.077067,4207
2.0,2.4,1121.0,1.134641,0.076066,4233
2.0,2.4,1122.0,1.129422,0.077086,4263
2.0,2.4,1123.0,1.137577,0.079879,4302
2.0,2.4,1124.0,1.194057,0.077928,4332
2.0,2.4,1125.0,1.157976,0.074665,4353
2.0,2.4,1126.0,1.263943,0.081156,4367
2.0,2.4,1127.0,1.230322,0.078448,4388
2.0,2.4,1128.0,1.082135,0.078662,4411
2.0,2.4,1129.0,1.141071,0.076646,4423
2.0,2.4,1130.0,1.308392,0.074977,4439
2.0,2.4,1131.0,1.102913,0.078814,4456
2.0,2.4,1132.0,1.092733,0.068432,4485
2.0,2.4,1133.0,1.170013,0.077268,4520
2.0,2.4,1134.0,1.119331,0.080928,4553
2.0,2.4,1135.0,1.093741,0.075009,4578
2.0,2.4,1136.0,1.197862,0.082853,4611
2.0,2.4,1137.0,1.230889,0.094142,4639
2.0,2.4,1138.0,1.259074,0.076989,4649
2.0,2.4,1139.0,1.181635,0.071015,4664
2.0,2.4,1140.0,1.093832,0.085767,4685
2.0,2.4,1141.0,1.154241,0.070148,4718
2.0,2.4,1142.0,0.992348,0.066207,4742
2.0,2.4,1143.0,1.048085,0.069322,4767
2.0,2.4,1144.0,1.061387,0.07658,4793
2.0,2.4,1145.0,1.110547,0.070509,4806
2.0,2.4,1146.0,1.033274,0.064288,4824
2.0,2.4,1147.0,1.155235,0.065144,4847
2.0,2.4,1148.0,1.084278,0.061685,4867
2.0,2.4,1149.0,1.099357,0.065386,4889
2.0,2.4,1150.0,0.992559,0.063457,4908
2.0,2.4,1151.0,1.020331,0.061919,4918
2.0,2.4,1152.0,0.966548,0.057989,4934
2.0,2.4,1153.0,1.059398,0.060609,4942
2.0,2.4,1154.0,1.004404,0.062381,4968
2.0,2.4,1155.0,0.992266,0.069056,4981
2.0,2.4,1156.0,0.94303,0.070867,4990
2.0,2.4,1157.0,1.023613,0.062691,5000
2.0,2.4,1158.0,0.949576,0.063903,5000
2.0,2.4,1159.0,0.928136,0.060635,5000
2.0,2.4,1160.0,0.953723,0.058575,5000
2.0,2.4,1161.0,0.997569,0.057478,5000
2.0,2.4,1162.0,1.016427,0.0566,5000
2.0,2.4,1163.0,0.985387,0.065796,5000
2.0,2.4,1164.0,1.010725,0.054226,5000
2.0,2.4,1165.0,1.076427,0.068104,5000
2.0,2.4,1166.0,1.030061,0.058414,5000
2.0,2.4,1167.0,0.964817,0.059877,5000
2.0,2.4,1168.0,0.952203,0.067471,5000
2.0,2.4,1169.0,0.924643,0.055615,5000
2.0,2.4,1170.0,0.964508,0.061524,5000
2.0,2.4,1171.0,0.878986,0.053021,5000
2.0,2.4,1172.0,0.919814,0.065621,5000
2.0,2.4,1173.0,0.91647,0.05835,5000
2.0,2.4,1174.0,0.872352,0.053241,5000
2.0,2.4,1175.0,0.774769,0.051919,5000
2.0,2.4,1176.0,0.957058,0.052561,5000
2.0,2.4,1177.0,0.952959,0.058227,5000
2.0,2.4,1178.0,0.960313,0.051025,5000
2.0,2.4,1179.0,1.025508,0.060316,5000
2.0,2.4,1180.0,1.001475,0.050211,5000
2.0,2.4,1181.0,0.946387,0.05817,5000
2.0,2.4,1182.0,0.889174,0.053248,5000
2.0,2.4,1183.0,0.869208,0.05956,5000
2.0,2.4,1184.0,0.834703,0.052445,5000
