z_lo,z_hi,logL_lo,logL_hi,logL_med,z_med,n_stack,n_raw,reliable,ebv,beta_W1_1268_1350,beta_err_analytic_W1_1268_1350,beta_err_boot_W1_1268_1350,beta_err_final_W1_1268_1350,beta_W2_1350_1500,beta_err_analytic_W2_1350_1500,beta_err_boot_W2_1350_1500,beta_err_final_W2_1350_1500,beta_W3_1268_1500,beta_err_analytic_W3_1268_1500,beta_err_boot_W3_1268_1500,beta_err_final_W3_1268_1500
2.0,2.4,42.0,42.5,42.466,2.2317,445,445,1,0.1369,-2.0513,1.1754,1.9637,1.9637,-0.6328,0.6154,1.1922,1.1922,-1.6824,0.2916,0.6583,0.6583
2.0,2.4,42.5,43.0,42.804,2.2261,3000,33258,1,0.0839,-0.751,0.4517,0.4849,0.4849,-1.2726,0.1988,0.2387,0.2387,-1.8945,0.1125,0.132,0.132
2.0,2.4,43.0,43.5,43.102,2.2321,3000,9980,1,0.147,-1.4512,0.2608,0.2694,0.2694,-1.1611,0.1306,0.1406,0.1406,-1.6418,0.066,0.0743,0.0743
2.0,2.4,43.5,44.5,43.567,2.2398,178,178,1,0.2331,-2.3558,0.8519,1.3373,1.3373,-1.188,0.2886,0.4789,0.4789,-1.2975,0.1576,0.2907,0.2907
2.4,2.8,42.0,42.5,42.472,2.4855,143,143,1,0.5496,,,2.3508,,-0.5281,0.7865,2.009,2.009,-0.0317,0.4337,1.4663,1.4663
2.4,2.8,42.5,43.0,42.848,2.5526,3000,30936,1,0.228,-1.6526,0.4957,0.5903,0.5903,-0.4155,0.2252,0.3317,0.3317,-1.3179,0.1225,0.1628,0.1628
2.4,2.8,43.0,43.5,43.102,2.5991,3000,13484,1,0.2202,-1.134,0.3135,0.3322,0.3322,-0.8638,0.1613,0.2094,0.2094,-1.3492,0.0823,0.1044,0.1044
2.4,2.8,43.5,44.5,43.591,2.6201,396,396,1,0.1798,-0.1911,0.5644,0.8392,0.8392,-1.7411,0.2635,0.4786,0.4786,-1.511,0.1443,0.2336,0.2336
2.8,3.2,42.0,42.5,42.488,2.9207,6,6,0,,-4.6918,3.8558,2.1693,3.8558,,,2.0694,,,,1.9957,
2.8,3.2,42.5,43.0,42.881,2.948,3000,16330,1,0.4925,-0.03,0.5899,0.9217,0.9217,2.2157,0.7292,1.0017,1.0017,-0.26,0.2764,0.5765,0.5765
2.8,3.2,43.0,43.5,43.118,2.9961,3000,13241,1,0.4922,0.4765,0.4828,0.5521,0.5521,0.4831,0.5447,0.9744,0.9744,-0.2614,0.2287,0.3469,0.3469
2.8,3.2,43.5,44.5,43.599,2.999,413,413,1,0.3993,-1.0907,0.5972,0.8046,0.8046,-0.4971,1.1248,1.4354,1.4354,-0.6328,0.3178,0.7691,0.7691
