gid,n_mem,grp_ra,grp_dec,grp_wave,grp_z,semi_a_arcsec,semi_a_kpc,grp_dom_type,grp_field,lan_name,lan_ra,lan_dec,lan_z,lan_r_iso_kpc,lan_logL,lan_type,lan_flag_res,lan_dbic,sep_arcsec,delta_z,pos_match,z_match,full_match
501114262,9,221.68011,50.84973,3949.97998,2.24922,3.01570,25.44341,agn,dex-spring,HLAN3090271723,221.68004,50.84969,2.24874,47.18246,44.51155,agn,0,210.14452,0.21295,0.00048,True,True,True
501102298,8,173.17998,54.35188,3971.96997,2.26731,3.01960,25.44136,agn,dex-spring,HLAN3090247188,173.18025,54.35155,2.26355,57.87886,44.71383,agn,0,326.77286,1.30179,0.00376,True,True,True
501113568,4,222.98692,52.87482,3784.00000,2.11269,3.27960,27.93911,agn,dex-spring,HLAN3090270434,222.98770,52.87528,2.11214,44.48800,44.02413,agn,1,-682.43219,2.37070,0.00055,True,True,True
501007153,3,201.18420,51.07148,3766.22998,2.09807,3.22940,27.53782,lae,dex-spring,HLAN3000874881,201.18350,51.07253,2.09875,29.52367,43.54929,lae,1,-782.89758,4.09673,0.00068,True,True,True
501102212,3,169.16870,53.21714,3967.70996,2.26381,3.16570,26.67945,agn,dex-spring,HLAN3090246990,169.16875,53.21736,2.26800,47.11354,44.62843,agn,0,514.65265,0.81623,0.00419,True,True,True
501126625,3,12.38522,2.28649,3642.04004,1.99591,3.22390,27.66187,lae,dex-fall,HLAN4014495747,12.38558,2.28672,1.99673,27.74084,43.25705,lae,1,-520.70453,1.55151,0.00082,True,True,True
501132844,3,22.73889,2.35837,4276.04004,2.51743,3.03950,25.08445,agn,dex-fall,HLAN4090332096,22.73871,2.35803,2.54992,46.01799,44.64226,agn,0,574.98016,1.39769,0.03249,True,True,True
501140015,3,173.97716,54.06926,3662.50000,2.01274,3.00510,25.75982,agn,dex-spring,HLAN4090355549,173.97691,54.06919,2.01504,39.02807,44.40276,agn,0,429.95932,0.56060,0.00230,True,True,True
501141140,3,149.56155,1.92309,4160.27979,2.42221,3.12260,25.98293,lae,cosmos,HLAN4017220260,149.56233,1.92233,2.42421,30.84768,43.28243,lae,1,-952.89691,3.90896,0.00200,True,True,True
501145254,3,241.25537,52.54257,3966.90991,2.26315,3.30270,27.83543,lae,dex-spring,HLAN4017974143,241.25580,52.54175,2.26399,22.18778,43.02510,lae,1,-367.62888,3.08412,0.00084,True,True,True
