Star,Gaia_DR3_ID
HD 200253,1871257194353687552
BD+36  4329,1871553375298871936
BD+36  4338,1871584917539602432
BD+36  4438,1868534459965296384
BD+35  4319,1869990007205502080
TYC 2713-1088-1,1868280816378894208
BD+36  4481,1868690590616621440
BD+38  4450,1965540213352395648
BD+37  4297,1964494165477909120
HD 205998,1966481395304110464
HD 215227,1982359580155628160
HD 215472,1982298041864422912
BD+43  4303,1934261684516471296
GAT 1199,1934239007090332032
HD 214558,1982527736716035328
*  11 Lac,1982252790090609152
V* V379 And,1936231012921636736
*   4 And,1936166725851110656
HD 222641,1926649147044326784
V* TZ And,1939472716796045696
BD+46  4175,1939433752855275008
TYC 3638-993-1,1927284492965670272
HD 224872,387127465637556096
IRAS 00106+4608,386178999420078080
HD   1918,391814065232340864
HD   3989,389845217864701952
IRAS 00464+4643,390139813964892544
HD   5526,377845319757446912
HD   5006,377521891539083392
HD   4335,388066478631001728
V* V415 And,378110645657223680
HD   7158,397829489051137280
HD   9668,397064611211974016
* chi And,350442122738958336
HD  10204,348684450322398976
HD  11719,346203402334371328
HD  16004,335057859121122432
*  16 Per,143293685388561664
HD  16327,333729545995783168
BD+37  4092,1872495210090724736
HD 198797,1872793486980614272
HD 200031,1872939103546224640
HD 200465,1872982706058721152
HD 200577,1872147730054524544
BD+39  4364,1872908454666277376
BD+39  4392,1873059190835449984
BD+38  4271,1872807024714710528
BD+38  4275,1872796510634533760
BD+38  4288,1872843927078513536
BD+38  4297,1872573412852599552
BD+38  4314,1872192191557369472
BD+40  4456,1968711376689667584
BD+40  4471,1968717595802240256
BD+40  4448,1968924578862102272
V* V1070 Cyg,1965737747481185280
BD+41  4072,1969061772993889408
BD+41  4088,1968809130143510400
BD+40  4497,1965757779216462848
HD 205939,1974055140639995520
LS III +43   25,1972916493264679808
HD 207218,1972708754286744192
HD 209945,1962865754393950080
V* V2075 Cyg,1973205046347588096
V* HT Lac,1975079709369839360
HD 211096,1963019544282480384
BD+46  3702,1987364831966871808
BD+47  3847,1986991994446574592
HD 215242,1983551244604519552
BD+46  3884,1984486619761078656
*   8 And,1942705624581332224
*  11 And,1942451431236802816
HD 219962,1942432705179524864
HD 221203,1942136936550920448
HD 221246,1942136485574628992
BD+48  4076,1942159888856178432
HD 221604,1942084366151771264
BD+48  4067,1942890617412703744
V* Z And,1941894322438077312
TYC 3641-828-1,1942055847569810176
2MASS J23365114+4824413,1940310853894607488
HD    743,393130386810314880
IRAS 00094+4755,393128015988361216
HD   1279,392687455423041024
V* KO Cas,392626771827960960
IRAS 00252+4724,389536942292381312
HD   3574,391403741238153728
2MASS J00330933+4832245,390956274365279488
2MASS J00332410+4829546,390953250708316672
HD   2301,391636287948266112
* omi Cas,390548351252549760
IRAS 00388+4850,390657413360637952
FJJ NGC 185 a,391253142505186816
2MASS J00385488+4819230,390508326456196480
V* QV And,401569963186136960
HD   7189,401416375155487744
IRAS 01072+4854,401871156354807936
V* V446 And,399722886730541312
*  49 And,398968209436589312
IRAS 01228+4608,398185322798150144
IRAS 01280+4719,399103002690161664
HD   9860,399154714096802304
BD+46   405A,399160452173066752
BD+45   413,351086505271693312
HD  10274,351073792168794368
HD   9548,398684123120068352
HD  10212,350486446801241088
HD  10306,350578187303177600
HD  10597,351010467171147008
HD  10943,350883301779206784
HD  12137,346716874264268032
BD+43   457,351946490865807872
HD  16693,337165829070036608
HD  18339,143183837304899840
HD 196810,2064452038861129984
BD+39  4263,2064568655813359616
HD 196642,2063197186858948992
HD 197074,2063576552729539584
HD 197226,2063614004844763136
HD 196643,2063181484458243328
IRC +40451,2065357727207978496
BD+42  3899,2065991252064917504
HD 199693,2065740013659292544
BD+42  3916,2162030775251225088
BD+42  3920,2162012422852495616
* nu. Cyg,2065606182478642560
HD 199871,1873462058759751552
HD 202710,1971547596983970048
HD 202253,1970219769209144320
*  68 Cyg,1971467916750747264
HD 204171,1972128487034070400
HD 204536,1972189578650611456
* g Cyg,1972198271665518208
* rho Cyg,1971163631220899968
HD 206523,1977929785242199040
HD 207350,1977857561083120512
HD 208835,1975214163330411264
BD+46  3471,1974732783388041216
V* HK Lac,1975290167073179904
HD 207991,1979339496603106432
HD 210289,1976755987876310784
HD 211210,1999976402146936064
BD+49  3789,1999976707072522368
BD+49  3797,1999980490953658624
V* V350 Lac,1988073256751956224
TYC 3615-484-1,2000190669469120256
HD 215953,1988557767726186752
HD 235874,2000383496322448000
HD 217694,1986075414066434048
TYC 3648-1806-1,1991449689460241664
HD 221913,1944792772529493248
NSV    84,395935206617053568
V* V486 Cas,416171752482254848
HD   2774,416384782862127872
* nu. Cas,415024618257029888
V* V526 Cas,415147351243290112
HD   6173,404284245079055744
* ups Per,399402894487590144
BD+44   454,352294383216785408
HD  14797,354005399405885184
V* UX And,341798827472181504
V* V459 And,341813980116646144
HD  17238,337537704518873216
HD  19066,239836716182552704
* ome Per,238798433608754816
HD 275198,235980862045430912
HD 194194,2067563966005519232
BD+40  4159,2067597672911291904
HD 195647,2067794657290378880
V* V405 Cyg,2067536581298109568
HD 228997,2061492561579055744
HD 194558,2067477207669515136
HD 194576,2067281181061257856
HD 195194,2067196660404421888
HD 195176,2067197141442142592
NGC  6910    27,2067567436342772736
EM* MWC  349B,2067727788948060544
HD 194092,2068322006258582144
HD 194193,2068328710703917696
HD 228609,2062201441655897984
HD 229084,2061438518017139712
HD 194205,2061426663907123584
[CPR2002] A25,2067730816896271488
LS III +42   17,2067978546312956288
BD+41  3794,2068151478876679168
HD 196360,2067915775367392256
BD+40  4219,2067835682818357376
RLP  210,2067848048024783360
ALS 15150,2067926598685455744
RLP  631,2067830833796676352
GSC 03161-01143,2067831525289977856
2MASS J20324675+4126160,2067833277636820608
Schulte 41,2067782936320586240
ALS 15173,2067779916962859136
Schulte 20,2067847502568383744
Schulte 30,2067882755658754432
RLP 1252,2067913164027256960
IRAS 20297+4220,2068172025997844992
HD 196241,2067857153357270656
[CPR2002] A30,2067826332670106112
RLP 1592,2067840149584105344
GSC 03157-01008,2067766684167207424
GSC 03157-01112,2067775823854708096
[CPR2002] A24,2064757698797394688
[CPR2002] B15,2067759056302388992
Schulte  8C,2067784246289931776
BD+44  3582,2067148453692128640
BD+43  3729,2067072346872560640
BD+43  3730,2067067948825524736
EM* LkHA  168,2162948867459145856
BD+43  3733,2067054376729339776
HD 198896A,2066846225433765504
HD 199547,2162139936140541952
HD 197139,2069603800593460224
HD 199395,2162100010124281984
BD+42  3881,2066803305820861312
BD+43  3745,2066865810486581632
TYC 3179-153-1,2162945362766044032
BD+43  3752,2162957109497830784
BD+43  3758,2162940174445231488
[M60] +43 332,2162068811482018560
BD+43  3770,2162143165955928064
BD+43  3757,2162860047535081984
[CP2005]  4,2162889493831375488
2MASS J20574153+4335555,2162117808468977024
HD 199069,2163301329668342400
HD 199137,2163297000341434240
HD 200060,2162233119762380288
HD 200858,2162817475845771264
BD+45  3398,2162794313061987456
V* V1981 Cyg,2162604441146179840
Cl* NGC 6996     ZS       4,2163018686462369664
Cl* NGC 6996     ZS      11,2163019511101998464
Cl* NGC 6996     ZS      14,2163019201840829952
BSD  40-1037,2163016384359891968
Cl* NGC 6996     ZS      29,2163016109481972352
Cl* NGC 6996     ZS      50,2163022500393482240
Cl* NGC 6996     ZS      51,2163020954205050880
HD 199956,2162224461108306560
BD+44  3620,2162984150611919616
TYC 3179-1209-1,2162998929612532608
StRS 383,2162964535499756160
HD 201837,2165255917745856256
HD 201455,2164335798327254656
BD+45  3463,2164193995677157376
BD+45  3375,2163588400977314432
BD+45  3417,2162756379908458624
BD+44  3731,2164005463792330240
BD+44  3723,2162549023199355008
BD+44  3726,2164053670511654912
LS III +47   41,2164727838614244608
V* V2164 Cyg,1978330797762551680
BD+48  3391,2170772408104053888
HD 206601,1978932642938708864
HD 207945,1979680723168088448
* pi.02 Cyg,1978185009394330240
V* MT Cyg,1981069921751399808
IRAS 22068+5130,2004172997513531520
IRAS 22079+5150,2004188012719571968
IRAS 22011+5125,1980331874552683776
HD 235757,2004338851972842880
HD 211209,2004341875627761280
BD+52  3172,2004312704208893824
HD 211972,2001663052983848960
BD+52  3192,2004720515632558336
BD+51  3305,2004275801848292608
BD+51  3313,2004282570717508608
BD+51  3321,2001282759400699136
BD+51  3323,2001256199322846592
HD 211822,2001284511747551744
BD+51  3333,2001281178853006976
BD+51  3336,2001214967638385536
HD 235802,2001215276872597888
BD+51  3325,2001201326818233088
HD 235794,2001202598128525312
HD 235796,2001188544995602432
BD+51  3374,2001336841625289088
HD 213036,2001333543090468736
BD+51  3389,2000658442950177280
HD 212691,2000527532346786816
V* YY Lac,2000898754960129536
TYC 3982-1724-1,2004771097478814336
TYC 3618-2362-1,2001246441156466560
