Star,Gaia_DR3_ID
BD+36  4330,1871638376981991168
BD+37  4115,1871653499579301504
BD+38  4351,1872028398681830656
V* V1334 Cyg,1964855904803120640
HD 221661,1937312073368767232
*  22 And,386906188924249088
V* CG And,386569051169184384
HD  11905,345791016754361088
LS  II +39   58,1872982736105457408
LS  II +39   56,1872790806921033600
HD   8507,399726735021059072
HD  10286,351111102548222848
HD  10006,398747310678916352
HD  10547,350422572047386752
HD  19993,139323074022561024
BD+39  4313,2065198538541030656
HD 210819,1976779730456798848
V* V411 Lac,2000294573320350976
BD+49  3818,2000122259232505856
V* AO Cas,394976501194687488
HD 229196,2067571937468635264
HD 194779,2067699824415577472
2MASS J20314884+4038001,2067735760399789568
HD 229114,2061452330632062976
HD 228852,2061478409674502144
[CPR2002] A20,2067755379810392320
ALS 19666,2067518164478235648
BD+41  3775,2068037752438731264
BD+40  4227B,2067784619950644480
GEN# +9.00030603,2067828020596671104
TYC 3161-732-1,2068155125305302144
BD+45  3345,2163708522622066304
HD 199098,2163281710240891776
HD 199206,2163276865534720768
BD+44  3602,2163194329132241408
LS III +46   50,2164406304498006528
HD 201935,2164059992699323136
HD 206121,1979113031579142016
HD 206312,1978878526359073792
LS III +47   49,1978385223592136960
IRAS 22042+5134,1980173304379885568
BD+50  3587,2004105240107022976
BD+51  3338,2000998295125246976
HD 212511,2000532239630579584
HD 213050,2000557356600571648
V* YZ Lac,2000927823299498496
DO 41154,2004685198129561344
HD 212827,2001811933730626816
LF  4 +53 1046,2003021980631268224
HD 215807,2002715457403175552
HD 216438,2002479062403840000
BD+51  3489,1990321727974353920
HD 215684,1989993351957427712
HD  12740,358136917427585408
HD  16780,438203285442199936
HD 228530,2074659178963838464
HD 193117,2062546275984196224
BD+43  3648,2070574944242942080
BD+45  3341,2163756493126751488
BD+47  3250,2168496865699549184
HD 200448,2165457918647080576
HD 200576,2165466817819464064
HD 235513,2172062581910854912
HD 207119,2173145463437167232
BD+51  3079,2172596875843165696
IRAS 21455+5407,2173916152360396928
IRAS 21477+5308,2173623750989499520
IRAS 21521+5304,1981433791382727936
IRAS 21524+5226,1981333082986380416
IRAS 21526+5329,2173602447951231488
V* V2359 Cyg,1981545735407091328
IRAS 21578+5256,1981454922620456320
BD+51  3188,1981338340027079936
HD 209218,2197837127336168448
IRAS 22122+5449,2005881260628142208
IRAS 22011+5359,2005589065410268160
IRAS 22056+5249,2004484399824051072
V* PY Lac,2005891980866958848
GSC 03973-02374,2005729218786707328
TYC 3986-1658-1,2006103602489218048
HD 239967,2007534376355668736
HD 235870,2006463933066607104
IRAS 22236+5423,2004933069284796160
IRAS 22314+5512,2006472832239157888
BD+54  2726,2005917269635469312
V* LN Lac,2005066213273490560
BD+54  2736,2005840063305262848
V* NT Lac,2007518261638449280
HD 215836,2003957317120396672
IRAS 22322+5643,2007632439049111040
IRAS 22380+5704,2007276747038004608
IRAS 22421+5442,2003627021264735616
IRAS 22433+5511,2003831221188627072
Hilt 1143,2006853331981685760
C* 3139,2007642953128321664
HD 217673,2009864516369291648
V* V343 Cas,2009116534918128128
IRAS 22492+5710,2007115565502632960
IRAS 23101+5648,2009473743056770944
V* V562 Cas,2009258925975285504
V* V837 Cas,2009555583654127744
IRAS 23138+5645,2009297580681622784
HD 240326,2010899809639682688
[D75] 183,2011072055008214528
HD 224436,1995081135855943552
HD 223473,1997966048204721152
IRAS 23453+5725,1998318441682458880
IRAS 23487+5633,1997974672498945792
[D75] 189,1999217773472153984
V* V373 Cas,1998132418058968064
DO 43486,1998734881712849152
NGC  7789   489,1995013584608541312
NGC  7789   415,1995061928762465536
HD 224981,421033311868814848
HD   4253,425106830652021632
HD   4266,424528384454737408
IRAS 00429+5745,425106968090978432
HD 236589,423977219895137408
BD+56   208,413511140506063616
IRAS 01180+5616,412590780557592064
BD+56   229,413436579877011200
HD 232522,409411366582583040
V* V353 Per,455390949988697984
HD  17818,437855186934649216
BD+44   732,241725608442857472
* nu. Per,243276881910517120
HD 227262,2075239210019309952
HD 226695,2075478937909296000
TYC 3158-534-1,2075200417874009856
HD 195338,2083587423848624896
HD 199216,2167352514618739584
IRAS 21497+5435,2174043214671399168
HD 208063,2174870150492072064
BD+54  2629,2174743569219972480
V* V2267 Cyg,2174071698893163008
[MK97] 81,2174570155621032064
IRAS 22064+5540,2197954122246094848
V* AA Cep,2198033630682855808
IRAS 21528+5549,2198888191728839040
IRAS 21577+5559,2198158012935357824
V* V635 Cep,2198279440248902016
HD 212043,2006336767675635200
LS III +57   28,2198646161734895360
LS III +57   33,2198457904729542528
[H96] MU Cep  1,2200017458888732672
V* V677 Cep,2007978510332586112
V* V682 Cep,2200209289306359168
V* V681 Cep,2007600587574126464
IRAS 22246+5800,2200070785203599616
HD 217490,2013621547597313408
IRAS 22475+5842,2008245004457107584
IRAS 22382+5941,2200640263502720000
BD+60  2481,2014822970204514944
*   2 Cas,2013693531246217088
BD+58  2536,2013590108435796736
IRAS 23145+5855,2010738490668315776
IRAS 23271+5840,2011222000904416640
HD 220819,2015440655230740096
HD 240348,2011390501063828096
HD 220102,2013854025588890240
HD 220369,2010848922869467008
BD+60  2585,2012485580285747712
LS III +61   38,2015655987706974208
V* PY Cas,2012623809518831872
IRAS 23426+6010,2011786153451222656
IRAS 23452+6025,2011815221790570240
LS   I +61  134,429708836571279232
HD   1057,429703132856963072
HD   1383,429709420686842624
BD+59    12,429182376660681984
HD   1070,429030231736304256
HD 224893,429481924861315584
LS   I +60  102,428729515299909632
BD+60    50,430388815793980672
BD+60    57,428679247012413184
LS   I +60  110,428644612395192320
HD 236433,428617468202189824
HD 236446,428577920141354624
[I81] M 232,430392320487169536
[I81] M 345,430144758572134912
HD   5149,426152156975840640
BD+59   201,414290969130885632
IRAS 01156+5930,510315064795406720
HD   7733,413463586628312448
V* PP Cas,413409916718979968
HD 236695,413980906852870912
HD 236724,413036117126742912
HD   9900,508947650286285312
BD+56   335,505969794839766272
IRAS 01567+5530,504618563770668032
LS   I +56   22,504932783579892096
IRAS 01532+5646,504943194580487424
HD  11103,505581388054169088
BD+57   473,505237898056449920
HD  14544,457527992577946752
HD  13745,456780633911740288
HD  13309,457005724557591680
IRC +50067,454102945139475968
IRAS 02340+5414,454161665932470272
HD  23082,244541457720905344
LS III +42    1,2077132809554569984
V* V1673 Cyg,2078696074567293440
ASAS J194803+4146.9,2076953898398418304
TYC 3145-675-1,2075564424941551616
TYC 3148-449-1,2078732457225562240
TYC 3148-491-1,2078752110995885312
TYC 3149-399-1,2079049842437139328
IRAS 19580+4427,2076146994301926144
TYC 3559-1211-1,2082650330698748032
TYC 3563-1368-1,2082880403508938496
TYC 3563-1916-1,2085777135609334784
HD 196379,2180724328359582720
BD+57  2368,2178562207462714496
BD+57  2421,2202422262617913600
IRAS 22041+5831,2199767590564273408
HD 210885A,2199924653236866304
IRAS 22079+6039,2203086092767834368
IRAS 21545+5916,2202539017011331456
IRAS 22500+6306,2208108971110321792
IRAS 23350+6133,2015555038795176704
V* DQ Cas,2016500683213967232
IRAS 23158+6208,2015069741848381312
BD+61  2526,2012887864108269824
BD+61  2550,2012971323913160064
BD+63  2082,2016203338338434304
BD+62  2299,2016253812792696320
BD+61  2524,2012958198494600832
*   6 Cas B,2012942564808184832
TYC 4285-1968-1,2012997402954710400
V* FP Cas,429716567512337280
V* V741 Cas,432099896402423808
LS   I +63   35,431607555719341952
BD+63  2099,431725203459461888
BD+63  2105,431665108274770304
HD    371,431540863464936960
BD+62     6,431547116937140736
HD   1201,431272548266615168
LS   I +64   12,431740596622036864
LS   I +62   56,429952721997035136
BD+62  2353,430076176533095936
DO 43982,429936534251138816
BD+62   117,430853874851910784
BD+62   133,427824754676615296
LS   I +63   71,431056184993452032
BD+62   180,523358055838503424
BD+61   175,427540496559482496
BSD   8-1186,522445766125577216
HD   7720,510955908273310976
BD+61   251,510937938129502848
IRAS 01057+6054,522499577779156480
BD+60   156,426623091547738240
HD   9146,509882303896322048
Hilt  164,511397259113208960
BD+60   279,509918209817986816
LS   I +60  170,509604642847348224
LS   I +60  176,509716552518467584
BD+60   337,511279611374493696
BD+60   347,511216526891152512
HD  10332,509720469527150976
IRAS 01359+6024,509900995589912448
LS   I +61  222,511299093346043392
NGC   663   140,511193471505349504
BD+60   342,511217076650996480
BD+60   369,508180500411425792
BD+60   373,508288527419655168
HD  12650,507214579443494144
HD  11425,508072713913759488
BD+59   387,507936511903779840
BD+59   388,507929158919835264
HD  12423,507172969799637248
HD  12380,505450275601881600
HD  13784,458590430051949696
BD+59   451,507276530050417792
HD  13437,506910564480154624
BD+57   520,506803121575668096
BD+59   461,507268696030184192
HD  14173,507378612830913792
HD  14346,459199662573391104
HD  14050,458784734372573440
HD  14415,459112148318029056
BD+57   540,459156987777928576
HD 236961,458438869247190912
HD  15135,457672509641513600
HD  15332,457599289037851264
HD  15571,458019199401130880
V* DP Per,457670173179419776
HD  15000,459046864814063104
NGC   869   649,458372864185390336
IRAS 03069+5401,447155921434583552
HD  21085,441682037156822272
BD+50   745,442714650372363136
BD+43  3339,2079567123991248640
StM 492,2077742316948587264
TYC 3143-517-1,2077826704467004032
TYC 3148-702-1,2079621725917969536
TYC 3148-780-1,2079627597130763264
TYC 3148-957-1,2079854684942866688
TYC 3148-1229-1,2079700237920041088
ASAS J194655+4350.5,2078813069478750720
HD 186925,2080429592086511232
TYC 3148-698-1,2078948275048770560
TYC 3557-1994-1,2080392307466599168
TYC 3557-2254-1,2079782937510515584
TYC 3561-936-1,2086321118985514240
TYC 3562-2361-1,2085562279862646400
HD 188872,2085564345750116608
TYC 3566-465-1,2086933203364767872
HD 207198,2216034525806770560
LS III +64    4,2206443451510865408
IRAS 22579+6605,2212155066519931776
DO 43715,2017562197265887232
IRAS 00081+6434,431922565795303040
BD+65    24,528298642613372928
HD   4613,524561333873143040
IRAS 00275+6643,527936280513104384
V* V1057 Cas,524535426630702464
BD+63   102,524425269311815936
BD+62   282,512434029859641472
LS   I +62  183,511593861234713856
BD+63   257,518011371310397568
HD  10125,512896271420357376
LS   I +63  169,512196672785908352
BD+61   342,511774563399666560
HD  12568,514824230698900480
BD+59   490,459278277652787840
[NB54] 139,459339506698468480
BD+61   419,513993584023087872
BD+60   484,465400839431818496
HD  14794,465373385999251200
2MASS J02342176+6148375,465918606330052096
2MASS J02310183+6141074,465549617100179072
IC 1805   10,465521888790539008
TYC 3699-2153-1,465282573206375296
BD+57   604,464167462263009920
HD 236999,464823458388350976
V* DO Cas,465564048188844672
HD  17234,464065207681918720
IRAS 02418+5904,464139699594054912
HD 237032,461394871894780544
HD  19089,460481933643630848
BD+57   676,461113946672802944
HD 237098,448104834327880192
IRC +60118,449247673585288448
IRAS 03151+5446,446839674402231168
IRAS 03417+5201,443750046728847616
HD  24432,250094953513778688
HD 183985,2126700339915931776
HD 183124,2126627291112264192
IRAS 19230+4328,2126041934308534912
TYC 3146-53-1,2126219647176597120
TYC 3147-334-1,2126307023992034048
TYC 3147-849-1,2126410034488253824
AG+46 1500,2080493466840322176
BD+46  2757a,2080502159854264832
Cl* NGC 6811    SAN     172,2128132243353007232
NGC  6811    79,2128121905372322432
TYC 3556-815-1,2128015836860310912
TYC 3556-2243-1,2128040369713580416
TYC 3557-1020-1,2080407361335096064
TYC 3561-1061-1,2080504320216965248
TYC 3561-1465-1,2080497658728557440
V* V391 Cyg,2134785804823841536
IRAS 19501+4913,2087149566635153920
TYC 3560-2326-1,2128953170521251968
TYC 3565-790-1,2086798994224946560
TYC 3565-992-1,2134920632443780224
ROTSE1 J193437.56+481439.9,2128858475083071104
HD 207884,2217715812225379840
V* GT Cep,2213360032485424768
BD+66  1646,2210870532001393408
BD+68  1381,2214439679886962048
IRAS 00139+6716,528727761385369728
BD+67    68,529750101043191296
BD+66    75,526676789943086592
HD   8701,525385349118520448
*  55 Cas,520166963851585536
IRAS 02124+6438,515426007156830976
HD  15022,514075428921543808
HD  16799,465825250923209856
IRAS 02371+6204,465996190622641152
BD+61   523,466707643359253888
BD+59   593,463076673706403968
HD  18749,461333471040550400
BSD   9-1150,463001120942141568
BSD   9-1151,463005175392635136
BD+60   652,462954872728641536
BSD   9-1191,463379829678633728
BSD   9-1207,462934497409493248
BD+59   610,462926457230782208
BD+59   601,462806747902083456
BSD   9-502,462813826008089344
BD+58   591,461817565394440960
IRAS 03125+5944,462164804911940224
HD  19536,462986037016545024
BSD   9-377,463034071930933632
LS   I +57  131,449499942783207808
BD+58   611,450196414681407104
BD+54   720,444649962637740160
IRAS 03435+5431,444554202044447360
BD+44  3094,2127151448919727232
ROTSE1 J191805.52+444116.3,2126955323535081728
HD 182549,2127599942284854912
IRAS 19259+4746,2129245503175696512
TYC 3547-20-1,2129100810019649280
IRAS 19321+4845,2129014777532409216
TYC 3551-1389-1,2129859649138207104
TYC 3551-1508-1,2135922592474466944
TYC 3555-238-1,2136154181407819136
TYC 3564-665-1,2135045358292394624
TYC 3564-1049-1,2135058105754640000
TYC 3564-1163-1,2135099234362120448
IRAS 19323+4817,2128910152129554432
TYC 3568-1050-1,2136405385454967680
TYC 3568-1518-1,2136098827870264192
TYC 3568-1791-1,2136483897457180800
HD 189251,2234317480024413696
HD 208411,2222778483448264832
V* BI Cep,2223117957663356288
BD+67   186,520596357500974720
V* V990 Cas,520228085530541184
HD  16066,517593041489613440
IRAS 02384+6622,516616709527485568
BD+64   348,515840935355299072
LS   I +65   25,468306779942552192
BD+65   297,516284755796270336
BD+61   542,463645812715185152
BD+62   524,466746229344933632
IRAS 03275+5923,450307671516566144
IRAS 03386+6044,474404048656176512
BSD   9-1232,463394127630908416
HD  23278,473241869166026880
HD 237180,473217645549778560
V* GL Cam,472975718632867200
LS   I +57  142,469689209658823040
EM* CDS  394,469600802053511680
HD 237201,469617500886090880
TYC 3541-3305-1,2106420225897734016
TYC 3546-133-1,2132493116925116288
TYC 3546-1107-1,2130465686203592704
TYC 3546-1358-1,2131006882142232192
IRAS 19170+4937,2132656737999685888
TYC 3550-133-1,2132950719919873408
TYC 3550-1658-1,2132796719573475968
ROTSE1 J191904.23+491644.8,2132606396684495872
BD+67  1257,2246860051540350848
Cl* NGC 7023   SCKM      42,2246938877076586240
*  31 Cep,2231107421466197120
RAFGL 5081,541795319640750720
BD+67   223,541629087226720640
LS   I +68   18,541609364736942080
V* CQ Cam,491055881678884224
IRAS 03236+6338,487960309769669504
BD+64   394,491149305807104128
HD  24116,487125127610612992
HD  25877,470608916774465920
HD  25291,470456462615652864
IRAS 04073+5714,469262702225122560
BD+57   778,469351212912255616
TYC 3540-1525-1,2107487576805824512
TYC 3540-2380-1,2107017501228237440
TYC 3540-2491-1,2106820276330930176
TYC 3540-189-1,2117459631876745728
GPM 281.983258+45.776579,2118992763402418560
2MASS J18492216+4612217,2107110027705412480
GPM 282.516400+45.698168,2107069693671125376
GPM 282.598429+45.585910,2107057014927924224
TYC 3545-546-1,2131491427471789184
TYC 3548-492-1,2131745139779627776
TYC 3548-1731-1,2131829527296715264
HD 180656,2141145586239482112
V* BE Cam,488354175450563968
HD  28617,277491725259259136
TYC 3733-47-1,273025302870107392
BD+46  2552,2119109238616798336
TYC 3527-1561-1,2119295953732980096
TYC 3540-1693-1,2119136833784856320
TYC 3544-981-1,2119201941190931840
GPM 281.431567+45.138160,2117461586083576192
TYC 3544-1283-1,2143722188659904768
TYC 3548-1729-1,2131846397928429312
V* CK Cam,279382060625871360
HD  33601,212080399835555584
HD 171871,2145164954072838912
HD  32356,285506409111263488
HD  36067,213914797549847168
*  74 Dra,2298101352139398144
HD  20084,571348130611591296
BD+68   954,1634656272161261184
HD 151286,1650312119445493760
HD 101828,1133769287657559808
HD  49633,954565316285473024
HD 150030,1407199240867095552
HD 135721,1615814392368111488
BD+60  1598,1615049716390987008
HD 135962,1615034804264571520
HD  57790,973711009180488832
HD  72742,1034191982728352256
HD 125918,1611278391507865856
HD 115019,1566218721374765696
SDSS J141022.25+430151.5,1504507978430712448
HD  91840,830688770023440640
HD  90566,833329522075257856
HD  85015,819930529781177088
V* IX UMa,819919362866219904
PB  2187,1491075725910684288
SDSS J135137.87+434659.1,1502219207538732160
PB   871,1501992708142766464
HD  93471,781368904651425280
HD  18904,27274970770950400
HD  19349,5181749610217581440
HD  18934,5078079579413915392
HD  19998,5167803542169845888
HD  20874,5168430912337084928
2MASS J03142084-1035112,5165882351758796544
HD  20965,5099889148463937280
HD  20554,5099216178628577664
HD  20176,5058498479914259328
HD  20071,5057577913803607552
HD  21382,5164853792991428480
HD  22229,4859713713982148352
HD  22198,3275861102433078912
HD  22953,3270967141818958208
HD  22589,3244067761643728896
HD  23033,5101117474753567744
HD  23044,4863220370097714304
V* XY Per,223935338503901952
HD  24399,70522886262534784
HD  24253,3270635158027436416
HD  24703,3256436442823619200
HD  23530,5082197937653015168
HD  23757,5082214018012274304
HD  25518,226558807607711616
*  36 Tau,66010696701152384
HD  25738,3251915216650075904
HD  26054,5097638791760036480
HD  25803,5091170261774464000
HD  25981,5090376483098578304
* f Per,227814278088126848
HD  26081,162348771653286144
HD  27271,3283125644478062336
HD  27178,3253955875869693824
HD  26386,3251876733743612032
HD  27179,3202157848727653760
HD  27262,5091418712746208128
HD  27140,4886127698430053248
HD  26743,4882093349749546624
HD  28085,3313787519083515520
HD  28337,3280410537952335872
* d Eri,3198981050397690752
HD  28586,4863964876909177856
HD  29684,2977380082456460672
HD  28776,4867641437633550720
V* RX Cae,4863928799183389056
HD  29370,4815611138657756416
HD  30298,3281467301769280128
HD  30664,3187596290390035712
HD  30240,4881286273855401984
HD  30461,4874463598046188288
HD  30351,4814582442449523712
HD  31118,205244602908028928
BD+43  1163,205548549150678528
HD  31534,202055263272234752
* zet Aur,200929706966014976
HD  31982,3291233718099391744
V* V1360 Ori,3238478566084270208
HD  32431,3238542269039349888
HD  31331,3228374397821605504
HD  31513,3181424254883288064
HD  31341,4881405807088207616
V* SU Cae,4880504624167293696
HD  33268,185749849427592704
HD  32867,3235117908793644032
HD  33159,3181970299845970688
V* TU Lep,2986758882280087296
HD  33291,2982633549014913536
HD  33709,2959696224630830080
V* SZ Col,4824470728477430016
HD 280769,187552395662731136
HD  34656,187469760492408960
*  19 Aur,181259753177437568
HD  34054,3393520597636890240
HD  34136,3235802148622527744
HD  34272,2990290479270590592
HD  35525,3014724891814491648
HD  35104,2985246057361234944
HD  34513,2981660412503887616
V* RT Col,2955278593068930432
HD  34295,2954791234539940864
HD  34358,4820990877254292608
V* V430 Aur,194269037318697600
HD  35633,182641663196974720
HD  35653,182607720075169024
HD  36212,182993270699222144
HD  35921,183255985260080896
NGC  1960   134,3449520717707461888
HD  36931,3447580251480873344
HD  36429,3223905089212727552
HD  36046,3220542782654734720
HD  36898,3220807932459364864
V* V1099 Ori,3217228064335286272
HD  37173,3217331693306617344
HD  37140,3217810049583742848
* del Ori,3220756843825383936
HD  36016,3210550897721491968
HD  37058,3209572233592263424
BD-06  1178,3208927022126871680
HD  37237,3010538570011316736
HD  38232,3444174479853674880
HD  38658,3443134135696407040
2MASS J05422123+2236471,3403535563721314944
[SSC75] M 78  11,3219148185299243776
HD  37660,3217427488256683392
HD  38087,3216556606326986112
HD  38051,3023468380077283968
HD  38109,3023047919958564736
HD  37635,3012143238511733760
V* WX Lep,3010252834427350016
HD  38803,2966116754061932928
HD  38804,2904596089190256640
HD  39866,3431586480467585152
HD  40110,3431470821291988864
HD  38750,3429048665891970048
HD 248768,3431057340497305856
HD  39746,3431075757316582016
HD 249681,3431255321308952064
HD 249384,3430764316347931136
TYC 1863-2383-1,3424336262134242176
HD  38960,3398880716823578368
HD  39632,3336034144007602816
HD  40335,3315163867123687808
HD  40167,3025465535573429376
HD  40261,3019441281301758464
HD  39347,3018951822531367552
HD  39419,3018940380738492928
HD  39592,3022095158773802752
HD  40475,3019199251304365824
HD  40148,2990802611172281472
* eta Col,4803692295174064256
HD  40798,4803659378544740096
HD  40733,4803141646006500096
HD  40530,3431617850909731200
HD  40510,3429724663684783488
HD  41994,3430248306097176832
HD  42351,3373336072412412160
*  66 Ori,3318108290544104960
HD  41985,3317290082094723328
HD  42510,3317332069696186240
HD  41363,3315660021746620032
HD  41604,3315448022160458752
HD  42001,3121303818070529536
HD  41529,3021240215467416192
HD  41836,3021034301851613568
HD  41913,3020835354670318208
HD  40966,3017871964675071616
HD  41447,3019286245866206976
HD  41794,3020016669479810560
HD  42051,3019945338662964736
HD  41507,3005532287411286656
HD  42439,3004348731864235648
HD  41860,2998169579597068032
HD  42385,2994409520409275904
HD  40864,2994139594601732864
HD  42265,2912903036977685248
HD  42448,5568027767546514432
HD  43581,3432909055515765120
HD  42981,3426062495389845760
*  12 Gem,3377499819869005184
*  11 Gem,3377528716408925696
HD  42379,3375419372069615872
HD  42400,3375310795296736512
HD  42841,3374073020081652608
HD 253576,3373448669275870720
HD  43282,3373882701491728896
HD  43480,3373788555808640384
HD  43839,3373807178787041664
HD  43335,3370258917324876288
HD 255252,3369110202551243648
HD  43496,3369821758373013120
HD  43097,3344882154596122240
HD  44034,3344641773867070848
HD 254429,3331960419070804480
HD  42877,3121938889114951168
HD  43133,3124769994119611264
HD  43889,3124600080913420544
HD  42959,3118009406357191680
HD  43156,3021507018836195072
HD  42945,3019883662933857152
HD  43612,3004603784202177664
HD  44660,3001112972222639488
HD  44422,2999948692488298624
HD  44182,2944369410498302848
V* UZ CMa,2944449365609329664
* del Col,2891816671700460288
HD  43847,5574441218871410944
HD  46277,3434100342003683584
HD  45800,3384255150589547136
V* OW Gem,3369457476429102336
HD  44965,3331264977964582400
HD  45046,3356400226092290560
EM* LkHA  215,3327680844934824192
HD 259264,3327214377127614464
*  77 Ori,3120313707851927296
HD  45258,3116687930820056064
HD  45998,3104329901160610432
V* V723 Mon,3104145904761393408
HD  46206,3006971410695862016
HD  45341,3003301996792359936
HD  45342,3003173246558442752
HD  46060,3002950320574710272
HD  45937,3002015018435235840
HD  45261,3000472231822180352
HD  45695,2951464593392751744
HD  45142,2951371822099316352
HD  45888,2950242795457889792
HD  46410,2950189567922222720
HD  47550,3357810968230100608
