Star,Gaia_DR3_ID,otype
BMB 188,4050184297972507904,AGB*
LINEAR 11002062,6298010098619753856,AGB*
V* V1506 Sgr,4050205978979070976,AGB*
CRTS J150936.7-082617,6320563964028024832,AGB*
IRAS 17021-3509,5977250842829747200,AGB*
IRAS 17511-2203,4070268316615047424,AGB*
ASAS J213445-0546.8,2670878498813809920,AGB*
2MASS J02393145-3422586,5062266162669820032,AGB*
CRTS J174720.7+213308,4553101844182120064,AGB*
[DHS2014] 61002085,6204589234176298496,AGB*
2MASS J05095811-6546492,4663558232582533248,AGB*
2MASS J00234271-7207538,4689625930962792192,AGB*
FBMC Fornax 26,5062210499893915392,AGB*
2MASS J13262299-4740371,6083695181956033664,AGB*
IPHAS J054837.39+243947.0,3428928514186508928,AGB*
2MASS J05063467-6521592,4663582627997882112,AGB*
WEL  86,5062207029560315776,AGB*
IRAS 12364-6539,5860205390504499584,AGB*
2MASS J05061020-6522192,4663582387479708416,AGB*
2MASS J16205449-3654431,6021577035566171264,AGB*
2MASS J02403907-3426461,5062215722574024320,AGB*
Gaia DR2 4899322215920272384,4899322215920272384,AGB*
[KRC2012] 69259,4182478224166058496,AGB*
2MASS J05311990-7001545,4657993329331609984,AGB*
IRAS 19041+0952,4312220729395489664,AGB*
IRAS 18152-1530,4098098850007802752,AGB*
2MASS J09121484-6451520,5248759101563622912,AGB*
OGLE LMC-LPV-58935,4658021366931613184,AGB*
CRTS J134147.3-081347,3618504728495585280,AGB*
[GGA99] Sgr I 112,4062346958187265664,AGB*
2MASS J16232184-2630495,6045477802715776128,AGB*
ISOGAL-P J180347.6-295656,4050200447058047104,AGB*
2MASS J00253529-7206543,4689626691177152128,AGB*
2MASS J17210447-3502401,5975627207687039744,AGB*
ISOGAL-P J180235.0-300135,4050225422228212480,AGB*
2MASS J15433057+0030389,4422613041139308288,AGB*
IRAS 18418-0338,4258482515217611008,AGB*
IRAS 17139-3746,5973513293518219136,AGB*
IRAS 18242-1124,4153389647641082752,AGB*
IRAS 17194-4203,5959600279592133120,AGB*
ISOGAL-P J180306.0-295302,4050251471295751040,AGB*
LINEAR 10823089,3645554535604760960,AGB*
