Star,Gaia_DR3_ID,otype
EM* LkHA  257,1976042404824692736,Ae*
BD+46  3471,1974732783388041216,Ae*
EM* LkHA  170,2162954949132840192,Ae*
EM* LkHA  168,2162948867459145856,Ae*
EM* LkHA  176,2162939246732335232,Ae*
EM* AS  442,2067032661374161408,Ae*
EM* AS  444,2067018505163447424,Ae*
EM* LkHA  169,2162942236029808640,Ae*
EM* LkHA  371,2067030702869079424,Ae*
EM* LkHA  132,2066987890637295360,Ae*
EM* LkHA  147,2066856327196978048,Ae*
EM* AS  441,2066940886514158848,Ae*
EM* LkHA  131,2066987443960692864,Ae*
EM* AS  443,2067031939819593600,Ae*
EM* LkHA  183,2163086473912437760,Ae*
EM* LkHA  192,2162236693175188992,Ae*
EM* LkHA  193,2162276687911558016,Ae*
EM* LkHA  194,2162212675717093120,Ae*
EM* LkHA  167,2163147741628918144,Ae*
V* V645 Cyg,1979222432974084480,Ae*
BD+40  4124,2068392276221901952,Ae*
EM* LkHA  224,2068392276221902208,Ae*
EM* LkHA  225,2068392276220214272,Ae*
EM* LkHA  198,422993981619055104,Ae*
V* V376 Cas,422994084698268288,Ae*
EM* LkHA  324,2168758339005340160,Ae*
EM* MWC 1080,2014109142339316096,Ae*
IRAS 21289+5815,2179471159976791168,post-AGB*
V* LT Cep,2179194048688570240,Ae*
V* V488 Cep,2178435351312223488,Ae*
HD 216629,2207203626363177088,Ae*
EM* LkHA  350,2207157275075625216,Ae*
EM* AS  505,2207340064583721344,Ae*
V* VX Cas,430319134244652160,Ae*
EM* LkHA  201,427582411138427904,Ae*
BD+61   154,427618149568528384,Ae*
EM* LkHA  259,2209766862845871104,Ae*
HBC   1,432259531738647296,Ae*
BD+65  1637,2218012096241598976,Ae*
EM* LkHA  234,2218012031823081856,Ae*
V* BO Cep,2229359472855896832,Ae*
V* BH Cep,2223441007923049600,Ae*
BD+68  1118,2270536045876468096,Ae*
HD 200775,2270245431209611776,Ae*
V* XY Per,223935338503901952,Ae*
V* V892 Tau,164513602672978304,Ae*
V* AB Aur,156917493449670656,Ae*
HD  31648,156728858488206080,Ae*
V* UX Ori,3212878018378138752,Ae*
V* V1366 Ori,3014390365402220544,Ae*
HD  36112,3417062653416093184,Ae*
V* CQ Tau,3416747570320423552,Ae*
HD 244524,3340563307280619776,Ae*
HD 245185,3338005774514542720,Ae*
V* BN Ori,3333213690522941056,Ae*
* tet01 Ori A,3017364132050194688,Ae*
V* T Ori,3017347673735214592,Ae*
HD  36412,3209398648192413440,Ae*
HD  37258,3016986239338948224,Ae*
BD-06  1253,3016923017420354688,Ae*
V* BF Ori,3016930993175889792,Ae*
V* RR Tau,3441021939498830976,Ae*
V* V351 Ori,3219190589510786176,Ae*
HD  37357,3016879109970689024,Ae*
Parenago  2649,3016864678880575616,Ae*
HD 249879,3348977801049367936,Ae*
V* V1818 Ori,3011245246750171264,Ae*
EM* LkHA  208,3373609228036492032,Ae*
HD 250550,3349288614945575680,Ae*
BD-10  1351,3005326094621204224,Ae*
EM* LkHA  215,3327680844934824192,Ae*
V* VY Mon,3327886213092092800,Ae*
EM* LkHA  341,3327905415887432448,Ae*
HD 259431,3327685002463040384,Ae*
SS  43,3002852983733291648,Ae*
EM* LkHA   25,3326715851681467904,Ae*
V* R Mon,3326498762563125376,Ae*
2MASS J06465642+0116405,3125726156919234176,Ae*
HD  50138,3099471086259621888,Ae*
V* ZZ Mon,3050857180371867136,Ae*
EM* LkHA  218,3046037608588438400,Ae*
EM* LkHA  220,3046028812495321344,Ae*
HD  52721,3046088976398149760,Ae*
V* Z CMa,3046019775884203392,Ae*
SS 103,2931756259785199744,Ae*
V* RZ Psc,307981178401165184,Ae*
HD 200391,1845206534070618624,Ae*
*  17 Sex,3771987343323001984,Ae*
V* AK Sco,5971474902099064576,Ae*
CD-38 11837,5972520571950262656,Ae*
V* T CrA,6731196273845607168,Ae*
V* TY CrA,6731200706257840384,Ae*
HD 144432,6042124910722287744,Ae*
HD 169142,4048015133392824064,Ae*
HD 145718,6242664222334854784,Ae*
HD 150193,6047858485904034944,Ae*
CD-24 13510,4068454603459965440,Ae*
CD-24 13830,4065975170390881536,Ae*
CD-24 13874,4066061967403287936,Ae*
EM* LkHA  119,4066061726885099648,Ae*
EM* LkHA  115,4066064643142852224,Ae*
HD 163296,4070355800839765248,Ae*
HD 313571,4069918538790476288,Ae*
V* EU Ser,4146596315030403456,Ae*
NGC  6611   299,4146598823293463296,Ae*
2MASS J18265832-1132585,4153378137128057856,Ae*
EM* MWC  297,4257580091025232640,Ae*
EM* AS  310,4256460509022075008,Ae*
EM* MWC  953,4258472104216576256,Ae*
V* VV Ser,4273215283809210112,Ae*
IRAS 18454+0250,4279403262234315264,Ae*
HD 190073,4248713560548849792,Ae*
HD 179218,4512807594894454912,Ae*
V* WW Vul,2018777118955910400,Ae*
CD-44  3318,5511716210812918656,Ae*
ESO-HA  161,5525337338813641088,Ae*
Cl* Trumpler   14    VBF      93,5350362978223239168,Ae*
Cl* Trumpler   14      Y     555,5350363841537227008,Ae*
