Star,Gaia_DR3_ID,otype
ATO J289.7886+15.7111,4320874886645120384,BYDraV*
ZTF J043722.37+431310.0,252380627733108096,BYDraV*
ZTF J185846.05-002346.7,4265759770339738624,BYDraV*
ZTF J144633.49+594904.1,1617638688317128576,BYDraV*
ATO J287.2329+35.9247,2050648976051168768,BYDraV*
ZTF J185611.23+232619.7,4533297200227507584,BYDraV*
V* V1326 Ori,3017363994611276032,BYDraV*
V* AB Crt,3759964905228025088,BYDraV*
ATO J258.1909+28.6844,4575435502314129280,BYDraV*
V* V526 Per,442480690613749888,BYDraV*
ZTF J222532.38+644248.6,2206323634804511488,BYDraV*
ZTF J183731.25+002751.4,4272725520099031168,BYDraV*
ZTF J053607.81-025344.1,3216090791354699776,BYDraV*
2MASS J06392598+0914571,3326585284676026368,BYDraV*
ZTF J191021.50+181840.1,4514543655052687872,BYDraV*
ATO J265.6708+48.4629,1363897518027790720,BYDraV*
ZTF J195325.17+400513.5,2073562179914101248,BYDraV*
ZTF J222929.31+470909.9,1986549922051249920,BYDraV*
ATO J106.6330+18.2342,3361705816371807360,BYDraV*
V* V1308 Her,4603912681675697792,BYDraV*
V* V533 Per,249209331258050816,BYDraV*
ZTF J191101.80+155347.7,4512862020763716608,BYDraV*
ZTF J203847.15+432049.6,2069625546010896768,BYDraV*
V* V427 Peg,1788895973760477568,BYDraV*
ATO J251.9450+26.7104,1307230166201718784,BYDraV*
2MASS J22543506+6223473,2207210871968594688,BYDraV*
ZTF J213835.45+495541.8,1979118765338986368,BYDraV*
ZTF J183644.82+083053.3,4479079422873766400,BYDraV*
LAMOST J044458.49+184824.1,3409878375720453120,BYDraV*
ATO J083.9003-01.6589,3217361277041144576,BYDraV*
ZTF J192306.28+504846.4,2130187028725089792,BYDraV*
2MASS J17240357+5800451,1433169224478605440,BYDraV*
ZTF J000406.12+542304.6,420301174562315520,BYDraV*
ZTF J192702.90+210322.3,2018020212611608704,BYDraV*
2MASS J06154311+1754005,3370369521322180352,BYDraV*
ZTF J221034.15+610202.3,2204588536737190528,BYDraV*
2MASS J05355864-0053197,3217657801583480832,BYDraV*
ZTF J192345.34+533258.5,2139855305046626048,BYDraV*
ZTF J204401.89+643904.4,2245212678181719296,BYDraV*
ATO J060.4488+46.1955,245566477436573952,BYDraV*
ATO J344.3061+45.4468,1935692767619412992,BYDraV*
ATO J110.0335-06.5468,3058005827017524352,BYDraV*
ATO J061.1351+43.8990,233088566650542080,BYDraV*
ZTF J231815.64+551645.2,1996894058728008704,BYDraV*
2MASS J19142206+5050368,2133312665403665152,BYDraV*
ZTF J183913.26+020646.4,4279671959695963392,BYDraV*
ZTF J195523.56+283311.3,2028483337059807488,BYDraV*
ZTF J080011.88+511523.8,935847848808868736,BYDraV*
ZTF J023809.06+553410.1,454278592123443584,BYDraV*
ZTF J062048.93+071417.0,3324980238219643264,BYDraV*
ZTF J190449.56+191801.5,4517843873526051840,BYDraV*
ZTF J231210.63+324039.2,1910826281362961536,BYDraV*
V* V786 Per,337163355168929792,BYDraV*
ATO J176.4118+28.3938,4019774967385803392,BYDraV*
ZTF J174854.69+272342.1,4595924489182181888,BYDraV*
UCAC4 655-058628,1380265810191404032,BYDraV*
ZTF J215041.93+151646.9,1769323258035943296,BYDraV*
ZTF J030933.64+635257.6,467129580945786240,BYDraV*
ZTF J221218.68+611532.3,2204597676428951936,BYDraV*
ZTF J195032.31+204237.9,1826547203317265408,BYDraV*
2MASS J21084866+7503128,2277440944537414528,BYDraV*
ZTF J200709.25+362306.9,2059220184611438208,BYDraV*
2MASS J22145213+6131052,2204625988853921280,BYDraV*
ZTF J194458.30+305212.1,2032211055122675328,BYDraV*
ZTF J235159.57+573835.0,1998349502883424128,BYDraV*
ZTF J164433.17+281732.1,1310702286483067776,BYDraV*
ZTF J220415.85+464233.1,1975068271882222336,BYDraV*
ZTF J060011.50+234008.4,3424861592472664576,BYDraV*
ATO J292.7789+10.7927,4314679791497024512,BYDraV*
SSTGLMC G041.6247-00.4609,4307165449797294848,BYDraV*
HD 103720,3601912720075891968,BYDraV*
ZTF J230728.23+591121.9,2013318460344971520,BYDraV*
ATO J081.7163+00.3843,3221779320919445376,BYDraV*
ZTF J195941.67+281848.8,2029176682206274304,BYDraV*
ZTF J055539.32+032709.5,3316695418101640576,BYDraV*
HAT 214-12886,70823156016339712,BYDraV*
2MASS J19595098+4341376,2075947501661405184,BYDraV*
ZTF J190858.33+135257.2,4314369316869688192,BYDraV*
ZTF J195936.79+022200.6,4240921596517288704,BYDraV*
ZTF J041017.72+361038.8,177181458393609472,BYDraV*
ZTF J051510.18-020436.6,3215021894253700608,BYDraV*
ZTF J202718.69+541312.7,2185002734256300160,BYDraV*
ZTF J214549.97+543044.0,2174678487571197056,BYDraV*
V* V2398 Cyg,2076394173950795136,BYDraV*
ZTF J070149.06+384523.3,947304519452659584,BYDraV*
V* V548 Car,5251903880939228544,BYDraV*
UCAC4 755-001125,429414717211174016,BYDraV*
ZTF J235402.45+644701.2,2017220558391207168,BYDraV*
2MASS J22143682+6150250,2204838130182026496,BYDraV*
ZTF J054132.74-032824.9,3215774063286431360,BYDraV*
V* V775 Per,337161018706732032,BYDraV*
ZTF J040659.52+571320.5,469294343243782528,BYDraV*
V* V462 Gem,871671382320546176,BYDraV*
ZTF J183803.65+003456.3,4272734350551791872,BYDraV*
ZTF J044623.06+262039.0,154273064905354624,BYDraV*
CoRoT 105573697,4286540643208843904,BYDraV*
ZTF J045137.58+420711.4,203435150364322560,BYDraV*
ZTF J195632.20+262016.0,2027254254843474176,BYDraV*
UCAC4 676-129308,1926087399677426432,BYDraV*
V* V1328 Ori,3017363921584733312,BYDraV*
2MASS J19290367+4947165,2129867002122652032,BYDraV*
ATO J271.9531+10.9610,4483163387002582912,BYDraV*
ATO J301.8652+27.0741,1836664153361601408,BYDraV*
ATO J343.8452+59.2209,2013515238568186624,BYDraV*
2MASS J18502770+4059056,2104388843804440448,BYDraV*
ZTF J063654.00+043952.8,3130876505602901120,BYDraV*
ATO J304.3698+19.8213,1816485125698385792,BYDraV*
2MASS J10491611+3253136,737691659931750272,BYDraV*
ZTF J195059.86+232309.2,1828242787670491520,BYDraV*
ZTF J221405.06+495747.7,2000728365016289920,BYDraV*
ZTF J051255.15+441343.2,208572996403064064,BYDraV*
HD  13531,333053037107550080,BYDraV*
ZTF J015116.30+713442.1,534282872086511360,BYDraV*
ZTF J213826.86+573745.4,2178402743918952320,BYDraV*
ATO J271.3082+47.9112,2122642764047814144,BYDraV*
ZTF J000424.54+584459.2,423089192453111936,BYDraV*
V* EW CVn,1521999524800418048,BYDraV*
ATO J274.8635+35.5280,4605666127844655872,BYDraV*
ZTF J191447.87+145441.9,4320537920727592448,BYDraV*
1SWASP J225155.50+353915.2,1903521882023818240,BYDraV*
RX J211732+51271,2172251556166765696,BYDraV*
ZTF J025321.18+513016.1,440653306591143552,BYDraV*
ATO J309.3494+43.5370,2069641046550017280,BYDraV*
ZTF J193957.50+021113.7,4288166752176209152,BYDraV*
ATO J313.3755+51.6760,2170046215021234944,BYDraV*
CRTS J103243.7+335420,749453788649385472,BYDraV*
ZTF J165935.49+603123.2,1438012195241882496,BYDraV*
UCAC4 760-074105,2015582320428467584,BYDraV*
ZTF J230128.92+595618.1,2013635733864374400,BYDraV*
GSC 04775-00559,3215637689485259904,BYDraV*
ZTF J213930.83+445308.7,1974038098211604352,BYDraV*
ZTF J210240.47+350119.5,1868150558607107072,BYDraV*
2MASS J19191255+4652413,2127829332198772352,BYDraV*
ZTF J055126.75+235613.5,3427520623904696320,BYDraV*
ZTF J192947.42+295511.3,2026619046365648640,BYDraV*
ATO J293.0797+05.9959,4294405896567259392,BYDraV*
ATO J085.3076+08.6204,3334608627182422528,BYDraV*
ATO J281.7137+38.9300,2097370901603360768,BYDraV*
ZTF J183822.30+042118.8,4283586835260507008,BYDraV*
2MASS J19261948+4128503,2101658206680043264,BYDraV*
ZTF J194600.31+360840.2,2047896687985122944,BYDraV*
2MASS J10482797+5220208,837035735253320320,BYDraV*
ZTF J231716.17+701333.3,2227091833204577664,BYDraV*
ATO J286.6107+25.9274,2035957404766673280,BYDraV*
ZTF J023453.39+605431.8,465454956019758208,BYDraV*
ZTF J190209.87+404625.3,2103772876775835264,BYDraV*
ZTF J220355.15+463524.7,1975054081310298752,BYDraV*
ZTF J191124.98+025538.2,4268236007983623552,BYDraV*
ZTF J203216.54+255238.3,1855856919100262784,BYDraV*
ZTF J235319.12+502308.0,1941000110251059712,BYDraV*
ZTF J191251.87+014836.4,4267805991544079872,BYDraV*
ZTF J052910.66+360314.5,183360370143499008,BYDraV*
ZTF J032900.72+562652.3,448606555226963584,BYDraV*
ZTF J061117.34+255119.7,3426815798301281920,BYDraV*
ZTF J185738.46+212940.0,4519284817889088768,BYDraV*
V* V962 Per,175329120598595200,BYDraV*
ATO J101.4147-00.2671,3107464265214875520,BYDraV*
ZTF J194300.83+031646.4,4289841892497186048,BYDraV*
ZTF J185420.17+105843.1,4311982689430495360,BYDraV*
