Star,Gaia_DR3_ID,otype
EM* GGA   25,414092369841623296,Be*
HD  98927,5337470796415505408,Be*
IPHAS J002754.61+603001.4,428640454866844416,Be*
HD 114800,5862225193377914368,Be*
HD 199218,2065490287079134720,Be*
HD  75658,5329486486537914624,Be*
2MASS J02050415+6302159,514837905874693632,Be*
V* MO Cam,468769605621837312,Be*
HD 246338,3444228699520665728,Be*
NGC   884  1912,458459278932818176,Be*
IPHAS J023411.99+595634.4,465112178967589120,Be*
HD  36665,3442722162432553216,Be*
NGC  6705  1353,4252503680314290048,Be*
EM* AS  222,5972325576126499200,Be*
HD 134484,5887982318393200768,Be*
BD+63   124,523393343291802368,Be*
[MA93]  869,4688992857129466112,Be*
2MASS J02315004+6049524,465440215690905472,Be*
2MASS J02174783+6434198,515225415006645504,Be*
HD  46380,3003888169636885248,Be*
BD-10  2073,3034973875918319360,Be*
2MASS J02083759+6520282,518488902950462720,Be*
CD-28  5235,5597764368772206848,Be*
HD  87565,5256726304583758592,Be*
BD+55   880,278120130515116672,Be*
HD 110863,6056444881441900416,Be*
UCAC4 395-082960,4153431218611897600,Be*
HD 250163,3350658125395928064,Be*
[BSM2020] 545,4688993681762943360,Be*
HD 308852,5334155287798323968,Be*
CD-46  4821,5330149285872275584,Be*
HD  84361,5305863066904566016,Be*
* c Per,246137776809763712,Be*
BD+62  2346,431593257757382912,Be*
NGC   663   180,511192509432680320,Be*
2MASS J01562783+6129390,508319622989054080,Be*
[MA93] 1038,4689019554651325312,HighMassXBin
HD 106262,6054131719485263360,Be*
HD  93561,5353066097519477376,Be*
[D75b] Em* 22-120,2014636431185097600,Be*
HD 218066,2207689919743551360,Be*
HD  59281,5612793318331125760,Be*
HD 121195,5867080224356357888,Be*
CD-53  6689,5933574942470132096,Be*
[MA93]  851,4688993952299115136,Be*
HD  71042,5516874432188001536,Be*
2MASS J01440185+6401244,512138776628721408,Be*
HD 154170,5962847407942115584,Be*
LIN  40,4688947089935399808,Be*
HD 205551,2171742005553592960,Be*
HD  15450,457966285403539840,Be*
CPD-63  2356,5861376164239684864,Be*
HD 161774,4041854604038898688,Be*
[MFH2007] SMC5-73594,4689008250240896896,Be*
2MASS J03062499+6143591,466303366678094336,Be*
2MASS J01233945+6315442,512639775973121280,Be*
HD 150336,5815549550328923008,Be*
HD 171219,4284698548906280064,Be*
GSC 04036-01104,511875924627432704,Be*
HD 172252,4106582613060187520,Be*
Cl* NGC  330     SW      95,4688996258746095360,Be*
HD  14850,5067943490953707008,Be*
LAMOST J054946.16+285952.8,3443436844991368064,Be*
HD 149610,5941030284077273984,Be*
BD+62   285,512472925084132608,Be*
AX J1739.1-3020,4056922105185686784,HighMassXBin
V* V1163 Cas,507303571165350912,Be*
TYC 2428-1263-1,3452863576650297856,Be*
Cl* NGC 2004  KWBBE     342,4660179673878793344,Be*
LS   V +44    2,241850196853743872,Be*
HD 253659,3370105363654128640,Be*
*  60 Cyg,2163533670229171968,Be*
HD 147747,5831709205848945536,Be*
HD 306267,5337751137511704832,Be*
[MA93] 1109,4685994523302774656,Be*
EM* GGA   98,511217729481951616,Be*
* psi02 Aqr,2437988505688462592,Be*
V* BQ Cam,444752973131169664,HighMassXBin
*  27 CMa,5610288149803056896,Be*
Cl* NGC  330  KWBBE     818,4689000484993690112,Be*
BD+49  3615,1980532020044994432,Be*
LIN 518,4686413608956916480,Be*
HD  87818,5256534371097147520,Be*
UCAC4 696-029361,270313250062364544,Be*
Hilt 1145,2007968408568757888,Be*
HD 126527,5892842365919878016,Be*
Cl* NGC  330  KWBBE     222,4688993475604509184,Be*
IPHAS J022913.58+633224.5,514306085844897664,Be*
HD 304395,5342784701731657216,Be*
HD 180587,4309730923966732544,Be*
HD   2789,527950234866756352,Be*
HD  49131,5584339709742678528,Be*
IPHAS J012821.12+635754.0,512734918087437440,Be*
NGC  6705   619,4252498040905416704,Be*
[MA93]  720,4689009109289381632,Be*
UCAC2  33450850,4293428121481676672,Be*
SS 140,5716196163502268032,Be*
HD 305483,5254133003359671808,Be*
TYC 5121-940-1,4256681446460882176,Be*
2MASS J02115913+6156398,508532000531295616,Be*
HD 171406,4588716778143159552,Be*
HD 228658,2060830969133386368,Be*
EM* AS  225,5972815515955517696,Be*
HD 245953,3403437917642107008,Be*
HD 135354,5886215678039660672,Be*
HD 198931,2162956598400314624,Be*
HD   9709,398832110513016704,Be*
2MASS J01373939+6132588,510008988251177856,Be*
* kap Dra,1683102889080800640,Be*
HD  92406,5350666550826252032,Be*
Cl* NGC  330    ARP      15,4688993471342808064,Be*
CD-45  4826,5330668461522426496,Be*
HD  18552,142394903351844352,Be*
HD 102383,5381313440266174208,Be*
* psi01 Ori,3222282691086558464,Be*
[D75b] Em* 02-125,465755839947919616,Be*
Cl* NGC  330    BAL     693,4688993475604452608,Be*
THA 35-II-101,5350304330466080768,Be*
HD 106960,6057603839762563840,Be*
2MASS J03033131+5852347,461278461099720064,Be*
HD 101412,5336220823491735680,Be*
HD  76568,5324650422076805504,Be*
BD+60   343B,511217832565211520,Be*
Cl* NGC  330    ARP      44,4688993716122695808,Be*
HD 232552,408629377594574592,Be*
SS 120,3053760234667812992,Be*
IPHAS J012703.28+634333.3,512634828169783808,Be*
BD+58   247,509298875537116160,Be*
HD 106793,6072829498793630080,Be*
HD 156468,5972836200519598336,Be*
2MASS J02073110+6345204,514980567509489152,Be*
HD 317026,4050149732059676416,Be*
2MASS J01502287+6527431,518329886086153728,Be*
[BSM2020] 50,4688993647403259520,Be*
CPD-59  4546,6056404375650400640,Be*
* omi Her,4589549005370416256,Be*
2MASS J03033231+6238566,466590717170620416,Be*
IPHAS J004734.28+610833.6,427368835310744320,Be*
HD  13758,458639701918461056,Be*
HD 162568,5956469420210772480,Be*
HD  98001,5340084365563020544,Be*
IPHAS J012158.75+642813.1,524814462067759616,Be*
HD 138477,5882674146776777088,Be*
V* AI Pyx,5626978358354345856,Be*
* bet CMi,3143264535611892096,Be*
HD  85083,5257902468462145792,Be*
Ve 2-52,4069903454848609024,Be*
HD  75465,5329568365796878464,Be*
UCAC4 101-006480,4655180877378733952,Be*
2MASS J02445400+6356080,467662809731965440,Be*
Cl* NGC  330    ELS      85,4688999626000356096,Be*
HD  29557,4894509546149521408,Be*
HD 167401,4049844510165842176,Be*
IPHAS J020328.05+624334.0,508822683917742080,Be*
HD 146596,5933868134120230272,Be*
NGC  2345    27,3044669536944001408,Be*
HD  97151,5337726364146236544,Be*
HD  92964,5350406619413548032,BlueSG
2MASS J02343980+6418134,515944426887169920,Be*
HD  95043,5338021853555215616,Be*
HD 127489,5850128950572868608,Be*
2MASS J02494064+6214246,467266848103026944,Be*
BD-19  1871,2930212369359294976,Be*
EM* AS   53,514872025095936512,Be*
HD  37806,3216425420846945408,Be*
2MASS J02422153+5937163,464327887880979968,Be*
HD 333226,2030265576700556544,Be*
RX J0123.4-7321,4686448754669548800,HighMassXBin
IPHAS J024317.67+603205.6,464810607845348992,Be*
HD 256137,3431783671002058240,Be*
2MASS J17210625-3710122,5974399598657550464,Be*
HD  40193,2917256037872932480,Be*
[BSM2020] 538,4688993647403173376,Be*
UCAC4 718-027946,447064661970576512,Be*
EM* GGA  139,505496317650150656,Be*
[BSM2020] 374,4688993681762921088,Be*
BD+56   573,458406090055982336,Be*
HD 162888,4040834635242511616,Be*
BD+50  3495,1979819536499302400,Be*
HD 232590,456503179022836992,Be*
HD 170835,4092856790967940608,Be*
HD  45260,3003171116254666368,Be*
EM* VES  616,511264218210327424,Be*
[MA93]  782,4689005948193702272,Be*
HD  61355,5592052062263651072,Be*
HD 245310,3402964612247302528,Be*
Cl* NGC 7419    BMD     815,2014636431185094656,Be*
HD  81654,5306384029251894016,Be*
IPHAS J015650.51+645341.1,518054320984046848,Be*
IPHAS J014221.27+645836.1,513045049087614720,Be*
HD  60855,3030030574719303680,Be*
[MFH2007] SMC5-3537,4689000519296654976,Be*
[MFH2007] SMC5-5045,4689058965255025280,Be*
HD 177648,4521438177054351104,Be*
IPHAS J012320.11+635830.9,512699768076657280,Be*
NGC  6834    55,2028840918875913216,Be*
HD  70948,5526306627040615040,Be*
EM* MWC  674,523961000529758208,Be*
HD  58050,3167149432858683776,Be*
TYC 3690-1236-1,457401411303945344,Be*
CD-44  4392,5522897763037234560,Be*
HD  55200,946427379755524608,Be*
HD 339483,1835090546074430336,Be*
BD+12   938,3343302465625981056,Be*
BD+55   441,504860009654887808,Be*
HD 250028,3429519531748056576,Be*
HD  57393,5617719680177627136,Be*
HD 113120,5843519957910366848,Be*
HD 155349,5979934750770356224,Be*
LS  II +36   40,2060508537351659008,Be*
HD 220116,2009688903736810240,Be*
[MFH2007] SMC5-53267,4689011269603687296,Be*
HD 203731,1965695862966822272,Be*
BD+60  2584,2012489630431063552,Be*
HD 120766,5870897866205930624,Be*
HD  94097,5241537994564423296,Be*
HD  38708,3443454127939514880,Be*
HD  91307,5253847164675836544,Be*
BD+60   393,508649476475846912,Be*
CD-56   152,4908668373993964032,Be*
HD  96822,5340337120139326336,Be*
HD 171757,4072470367876827264,Be*
HD 308104,5241826616375236480,Be*
* J Vel,5354994812705906432,Be*
2MASS J00561949+6258241,523702546577201920,Be*
UCAC3 302-169339,2014648491453233664,Be*
BD+61   310,511482162026964096,Be*
SS 139,5716196064727642240,Be*
IC 4996   23,2060855158390697472,Be*
CPD-32  2038,5547563794585041408,Be*
HD  37967,3403593773415114624,Be*
[BSM2020] 183,4688993475604517120,Be*
HD 163435,5956829201035447296,Be*
HD  42908,3328427963087254272,Be*
BD-05  4823,4254116418945204992,Be*
HD 140336,5834213141817835520,Be*
HD  51480,3049168983344995584,Be*
2MASS J02320289+6410331,514445070984184576,Be*
LIN 212,4685934496826975360,Be*
EM* GGA   99,511217729481954816,Be*
HD  53416,3353689792489912704,Be*
IPHAS J010358.11+595310.9,426276264348003456,Be*
BD-11  2043,3033914530822194688,Be*
IGR J18450-0435,4258160560148155648,HighMassXBin
HD  90436,5255226295855969408,Be*
IPHAS J013130.51+630914.4,512405339480772992,Be*
2MASS J02091785+6130450,508497950029914624,Be*
HD 114200,5843657293789559296,Be*
HD 161103,4060784345959549184,HighMassXBin
HD  38010,3428895833776683648,Be*
SWIFT J1626.5-5156,5933976985766949376,HighMassXBin
BD+60   341,511193334066395904,Be*
CPD-59  4530,6056404508751831936,Be*
2MASS J01500115+6422197,512207423082800128,Be*
CD-26 13521,4072362542662424960,Be*
HD   4931,426872337089185024,Be*
HD 204860,1971337869453902080,Be*
HD  58343,3028075299446506880,Be*
BD+60   307,511442339093257984,Be*
HD  48099,3132668164099141120,Be*
2MASS J02482368+6141070,465737221272151552,Be*
* nu. Gem,3372552842178783616,Be*
HD 106881,5856046590819051008,Be*
* iot Lyr,2098699038630265728,Be*
CPD-21  6505,4070374423820336256,Be*
BD+60   325,511239410478024192,Be*
HD 306791,5334208785914833792,Be*
LIN 265,4689007391302444544,Be*
HD 161734,4473855501377642368,Be*
HD 118094,5865066503236096640,Be*
BD+56  2626,2178110239468994176,Be*
HD  26398,45892863725449344,Be*
HD  60993,3030743985964088704,Be*
Ginga 1843+009,4278536022438800640,HighMassXBin
ATO J278.3657-10.5901,4155000844481174656,HighMassXBin
BD+56   563,458453334698292096,Be*
HD  63359,5601828747862914560,Be*
[BSM2020] 196,4688993475604517376,Be*
HD 203699,1747323748351911040,Be*
HD  12302,507828003851980288,Be*
UCAC4 592-021784,3443128019662992128,Be*
NGC  6705  1250,4252502404592167040,Be*
HD 259440,3131822364779745536,HighMassXBin
HD 148382,5933750967373867392,Be*
HD  45396,3325536762902476928,Be*
EM* MWC  447,458401417131679744,Be*
MR   8,5599712321107899648,Be*
TYC 4037-2952-1,514566597078267264,Be*
HD  92759,5351192147424690816,Be*
HD 148001,5992602292869959296,Be*
BD-00  3243,4368319672358218368,Be*
2MASS J01531452+6202413,511722817632933248,Be*
[PGH2017] 23050,387310534322138496,Be*
* psi Per,249021589646744704,Be*
EM* MWC  659,2007135459792401408,Be*
HD 175863,2155523281319746048,Be*
HD  29373,252768686618258432,Be*
2MASS J02282384+6318346,514294025576639488,Be*
Cl* NGC 7419    BMD     621,2014636465545037312,Be*
HD 143140,5981026600068071168,Be*
2MASS J02073424+6236011,514625425258198144,Be*
BD+62   245,511081012079435648,Be*
HD  50868,3129524454196877952,Be*
UCAC4 448-022358,3107448700253675392,Be*
HD 229221,2061130757837456000,Be*
HIP 2382,428617365124445312,Be*
* kap Lup,5902489309145870464,Be*
HD  35269,3394175322451791488,Be*
Cl* NGC  330  KWBBE     754,4688996293105820416,Be*
HD  44458,3001108264938556800,Be*
