Star,Gaia_DR3_ID,otype
IRAS 01312+3025,303380104493659776,BlueSG_Candidate
[HS80] B444,303367769343805568,BlueSG_Candidate
[RW93] Star  42,303377458793882368,BlueSG_Candidate
[HS80] B87,303283618050487424,BlueSG_Candidate
[HS80] B114,303382200437715712,BlueSG_Candidate
[MAP95] M 33 OB66    23,303381444523431296,BlueSG_Candidate
IFM-B 2101,303372098674784128,BlueSG_Candidate
[HS80] B28,303287917311201792,BlueSG_Candidate
FSZ 124,303377699308303232,BlueSG_Candidate
[MAP95] M 33 OB127    42,303283141307833472,BlueSG_Candidate
[HS80] B168,303380826044113024,BlueSG_Candidate
[MBH96] 231,303379863971540352,BlueSG_Candidate
2MASS J01335669+3100150,315403947038755584,BlueSG_Candidate
[HS80]   5C,303365845202319616,BlueSG_Candidate
IFM-B  696,303365467241649024,BlueSG_Candidate
LAMOST J003910.65+403629.7,381137562511089792,BlueSG_Candidate
[HIB95]   2-29,369283109177473152,BlueSG_Candidate
PSO J010.2877+40.8173,381155399510379648,BlueSG_Candidate
PSO J010.3292+40.8249,381155468229855744,BlueSG_Candidate
PSO J010.4980+40.9567,369153852135850624,BlueSG_Candidate
PSO J010.6332+41.4881,381273214759194752,BlueSG_Candidate
[MLV92]  97778,381153230554519040,BlueSG_Candidate
PSO J010.1228+40.6491,381129797211597824,BlueSG_Candidate
MAC 1-163,381156739542633728,BlueSG_Candidate
MAC 1-490,381153715883253504,BlueSG_Candidate
MAC 1-531,381153887685646720,BlueSG_Candidate
PSO J010.2685+40.6178,369142509129067392,BlueSG_Candidate
PSO J010.5522+40.8105,369147800528450176,BlueSG_Candidate
SDSS J004004.01+405948.0,381172059689139584,BlueSG_Candidate
PSO J010.2128+40.7330,381153234849328768,BlueSG_Candidate
PSO J010.1833+40.8772,381159209163300864,BlueSG_Candidate
PSO J011.0769+41.3284,369279230824553600,BlueSG_Candidate
MAC 2-539,369290535175153792,BlueSG_Candidate
MAC 2-440,369290500815915136,BlueSG_Candidate
HD  69648,5520142008944285952,BlueSG_Candidate
Ve 6-14,5329885506170824832,BlueSG_Candidate
SK -67  195,4660161841172790528,BlueSG_Candidate
RMC  97,4660556394034836736,BlueSG_Candidate
W61 18-20,4660134177240100992,BlueSG_Candidate
RMC  95,4660603432514991744,BlueSG_Candidate
ARDB C23,4662015377254592512,BlueSG_Candidate
[L72] LH 101-8,4657644200056301824,BlueSG_Candidate
[ST92] 5-18,4657647567311786240,BlueSG_Candidate
[L72] LH  81-1007,4657273595921022976,BlueSG_Candidate
[L72] LH  85-11,4657703642412291712,BlueSG_Candidate
[L72] LH  89-5,4657696461225940608,BlueSG_Candidate
[L72] LH  41-51,4658287994137122944,BlueSG_Candidate
HD 268939,4661879003439588352,BlueSG_Candidate
ARDB C11,4661365428461844992,BlueSG_Candidate
SK  172,4686426631294402560,BlueSG_Candidate
AzV 249,4685976209558662016,BlueSG_Candidate
SK  120,4687216424255848192,BlueSG_Candidate
2dFS  1002,4689063947416884992,BlueSG_Candidate
2dFS  1480,4687496662296550272,BlueSG_Candidate
2dFS  5057,4688980414561766016,BlueSG_Candidate
AzV  38F,4689061920192649984,BlueSG_Candidate
V* PV Tel,6649049591179768064,BlueSG_Candidate
LS 3515,5933205918877758848,BlueSG_Candidate
Cl Sher    1     3,5338141498510044288,BlueSG_Candidate
Cl Sher    1     6,5338141257991672320,BlueSG_Candidate
W61 27-21,4657703161375922432,BlueSG_Candidate
W61 27-3,4657698076133739264,BlueSG_Candidate
[BS63] B24,380735759730552832,BlueSG_Candidate
[MAP95] M 33 OB21    78,303287947381918848,BlueSG_Candidate
PSO J010.7075+41.5485,381275173277638144,BlueSG_Candidate
PSO J010.7473+41.6204,381298920137379072,BlueSG_Candidate
[VRJ2006] M31V-J00431155+4140411,381299572980479360,BlueSG_Candidate
LGGS J004313.71+414245.3,381311354069401856,BlueSG_Candidate
PSO J010.8971+41.7156,381301286666071040,BlueSG_Candidate
PSO J010.9813+41.7894,381306715504926080,BlueSG_Candidate
PSO J011.0114+41.4601,369283796372369920,BlueSG_Candidate
PSO J011.0135+41.7606,381306406267216768,BlueSG_Candidate
[VRJ2006] M31V-J00440893+4155114,381309399860043136,BlueSG_Candidate
PSO J011.0404+41.6676,381302180019149952,BlueSG_Candidate
[VRJ2006] M31V-J00443141+4155109,387311084079143296,BlueSG_Candidate
PSO J011.1547+41.8778,387310740481764352,BlueSG_Candidate
2MASS J00444065+4153501,387310809201239040,BlueSG_Candidate
LGGS J004449.46+412513.6,369280738355596288,BlueSG_Candidate
PSO J011.2106+41.4930,369287575956101632,BlueSG_Candidate
PSO J011.2137+41.5774,369291355515014272,BlueSG_Candidate
PSO J011.2265+41.4732,369286751309897728,BlueSG_Candidate
LAMOST J004456.52+412835.9,369286751309902080,BlueSG_Candidate
PSO J011.2526+41.5041,369286888748900352,BlueSG_Candidate
[VRJ2006] M31V-J00450562+4137320,369290054142076288,BlueSG_Candidate
MAC 2-234,369290191581025024,BlueSG_Candidate
PSO J011.2991+41.8403,375300427078445952,BlueSG_Candidate
PSO J011.3403+41.6800,369290633960625152,BlueSG_Candidate
LAMOST J004523.80+414714.3,375298949609651072,BlueSG_Candidate
PSO J011.3947+41.6736,375294482842686336,BlueSG_Candidate
PSO J011.4153+41.8484,375300843691444992,BlueSG_Candidate
SDSS J004543.46+414513.5,375295861529264640,BlueSG_Candidate
PSO J010.9026+41.8688,381319978364129024,BlueSG_Candidate
LGGS J004058.01+410338.8,381167111888445056,BlueSG_Candidate
PSO J010.5608+40.8534,369152370373712000,BlueSG_Candidate
LGGS J004541.15+415508.3,375301492230787072,BlueSG_Candidate
LGGS J003959.11+402817.2,381126193735014912,BlueSG_Candidate
PSO J011.0670+41.3342,369279299544028288,BlueSG_Candidate
LGGS J004528.39+414952.7,375299465005766912,BlueSG_Candidate
MAC 1-427,381153780309302400,BlueSG_Candidate
LGGS J013256.75+303549.3,303287951670936192,BlueSG_Candidate
[MAP95] M 33 OB21    74,303287706859565824,BlueSG_Candidate
[MAP95] M 33 OB127    46,303283141307833600,BlueSG_Candidate
[W91b] Star 105,303379692172799616,BlueSG_Candidate
LGGS J004338.76+414915.1,381307711937411712,BlueSG_Candidate
[MLV92]  62024,369138798276520192,BlueSG_Candidate
LGGS J004314.06+415301.8,381320562479705984,BlueSG_Candidate
LGGS J004438.75+415553.6,387311290237572096,BlueSG_Candidate
[HS80] B415 b,303380241928513536,BlueSG_Candidate
[RMM2011] 10,6054201194882735872,BlueSG_Candidate
SSTGLMC G023.4521-00.0948,4156489445780902016,BlueSG_Candidate
2MASS J01333418+3041271,303380894765388416,BlueSG_Candidate
[KSK2013] M 33  7,303379142419335552,BlueSG_Candidate
2MASS J07371910+6535410,1089775181731042304,BlueSG_Candidate
[KSK2013] M 81 12,1070469269374628736,BlueSG_Candidate
[KSK2013] N  247  3,2350488339558258048,BlueSG_Candidate
[KSK2013] N 7793  6,2313979399555541504,BlueSG_Candidate
[KSK2013] N 7793  8,2313973352240578176,BlueSG_Candidate
[KSK2013] N 7793 11,2313973730197718656,BlueSG_Candidate
[GH2013b] J140220.98+542004.38,1609276520137197952,BlueSG_Candidate
[GH2013b] J140332.88+542425.99,1609298377223499136,BlueSG_Candidate
[BKU2016] 1,6175803057684034048,BlueSG_Candidate
[BKU2016] 2,6175803435641794048,BlueSG_Candidate
[BKU2016] 4,6175803470003067008,BlueSG_Candidate
[BKU2016] 6,6175803607440760448,BlueSG_Candidate
[BKU2016] 9,6175800583784012672,BlueSG_Candidate
[BKU2016] 10,6175800240186099200,BlueSG_Candidate
[BKU2016] 11,6175800343265300096,BlueSG_Candidate
[BKU2016] 12,6175800583783452672,BlueSG_Candidate
[BKU2016] 13,6175800274545825792,BlueSG_Candidate
2MASS J00415886+4053162,369153405461337600,BlueSG_Candidate
PSO J010.7477+40.8104,369230573139659776,BlueSG_Candidate
PSO J010.5853+41.4666,381284416035670656,BlueSG_Candidate
PSO J011.5164+41.7755,375296716226944640,BlueSG_Candidate
PSO J010.0369+40.5209,381126812210297088,BlueSG_Candidate
PSO J010.2446+40.6143,369142440408853760,BlueSG_Candidate
SDSS J003918.99+402214.3,381119081269183232,BlueSG_Candidate
PSO J010.3215+41.3195,381276959981184384,BlueSG_Candidate
PSO J010.6321+40.9417,369246859655706496,BlueSG_Candidate
PSO J010.7579+41.0523,369246206817669376,BlueSG_Candidate
PSO J010.6461+40.9692,369247001389775232,BlueSG_Candidate
PSO J010.4381+41.4158,381278987195103488,BlueSG_Candidate
PSO J010.6490+40.9821,369247237612845952,BlueSG_Candidate
PSO J010.1051+41.1414,381183192244526720,BlueSG_Candidate
PSO J009.8083+40.6960,381144640617362688,BlueSG_Candidate
PSO J010.9144+41.1431,369252872607138688,BlueSG_Candidate
PSO J011.1203+41.8981,387310942343477376,BlueSG_Candidate
PSO J010.1831+40.5757,369119007067204992,BlueSG_Candidate
PSO J010.1537+40.6076,381128766419849728,BlueSG_Candidate
PSO J010.2420+40.6064,369142440417893504,BlueSG_Candidate
PSO J011.4408+41.7545,375295960312687232,BlueSG_Candidate
PSO J010.9792+41.8105,381307510082795520,BlueSG_Candidate
PSO J009.9336+40.5116,381121482153321472,BlueSG_Candidate
PSO J010.9227+41.1242,369252116692844672,BlueSG_Candidate
PSO J011.6296+41.9697,375305649771149824,BlueSG_Candidate
PSO J011.1168+41.4122,369281189329624576,BlueSG_Candidate
PSO J009.8336+40.7840,381145637049936256,BlueSG_Candidate
PSO J011.6792+42.2713,375338325870893824,BlueSG_Candidate
2MASS J00463173+4205063,375329907734710400,BlueSG_Candidate
2MASS J00440807+4120485,369279196464807680,BlueSG_Candidate
PSO J010.1200+40.9464,381172128408543232,BlueSG_Candidate
PSO J010.9675+41.5354,381295312375730688,BlueSG_Candidate
PSO J009.8768+40.8107,381147114518746240,BlueSG_Candidate
SDSS J004446.69+420515.6,387319532278264192,BlueSG_Candidate
PSO J010.5475+41.5958,381286413200694528,BlueSG_Candidate
PSO J009.7869+40.6195,381137772965108608,BlueSG_Candidate
PSO J009.9216+40.3538,381119386209040128,BlueSG_Candidate
PSO J010.7863+41.8191,381314175861113344,BlueSG_Candidate
PSO J011.0998+41.8350,381305615994133760,BlueSG_Candidate
PSO J011.2281+42.0746,387318746300782976,BlueSG_Candidate
PSO J009.9149+40.8407,381147428050640512,BlueSG_Candidate
PSO J009.8263+40.3737,381119081270620800,BlueSG_Candidate
PSO J011.0836+41.8535,381305650353210752,BlueSG_Candidate
PSO J011.3031+41.6240,369290088498580864,BlueSG_Candidate
PSO J010.2766+41.2764,381182951727218688,BlueSG_Candidate
PSO J010.7325+41.5837,381275349356879232,BlueSG_Candidate
PSO J011.4892+41.8108,375297609580184832,BlueSG_Candidate
PSO J010.0733+40.8602,381158698047692416,BlueSG_Candidate
PSO J010.3260+40.7063,369144639441888256,BlueSG_Candidate
PSO J011.4449+41.9087,375301423511292672,BlueSG_Candidate
PSO J011.3974+41.7420,375295651088409728,BlueSG_Candidate
PSO J011.4124+41.9108,375301457870647936,BlueSG_Candidate
PSO J009.9469+40.8719,381147561195465856,BlueSG_Candidate
PSO J010.6490+41.5018,381274623508507520,BlueSG_Candidate
PSO J009.8034+40.6325,381137876046025344,BlueSG_Candidate
PSO J009.8965+40.8084,381147015736405760,BlueSG_Candidate
PSO J011.3390+41.5986,369289087772317824,BlueSG_Candidate
PSO J011.6656+42.1457,375331625721720704,BlueSG_Candidate
PSO J011.4445+41.8666,375298296775031680,BlueSG_Candidate
PSO J009.9000+40.7349,381144507475517824,BlueSG_Candidate
PSO J009.9773+40.9118,381171097629857536,BlueSG_Candidate
PSO J011.4300+41.6881,375294551562682496,BlueSG_Candidate
PSO J011.1082+41.3707,369279402620110720,BlueSG_Candidate
PSO J011.4202+41.7347,375295827167470464,BlueSG_Candidate
PSO J011.3056+41.6691,369290565241142912,BlueSG_Candidate
PSO J010.4049+41.3394,381276478934126848,BlueSG_Candidate
PSO J009.9037+40.8270,381147050096140544,BlueSG_Candidate
PSO J010.2099+40.5267,369117946211159296,BlueSG_Candidate
PSO J011.2173+41.8885,387310014630534272,BlueSG_Candidate
PSO J010.3754+40.8496,381161206306336768,BlueSG_Candidate
PSO J011.3774+42.1153,375310838092816000,BlueSG_Candidate
PSO J009.9485+40.4384,381120249500281088,BlueSG_Candidate
PSO J011.0575+41.8177,381306956023176320,BlueSG_Candidate
