Star,Gaia_DR3_ID,otype
HD 202124,1970299999201029888,BlueSG
HD 194279,2067567642501401984,BlueSG
BD+39  4179,2067498064030714368,BlueSG
[CPR2002] A29,2064739041458261120,BlueSG
BD+41  3804,2067928660269306496,BlueSG
V* V1827 Cyg,2067818533010251776,BlueSG
Schulte 19,2067877910936163968,BlueSG
Schulte  9,2067783623515353728,BlueSG
BD+45  3406,2162772258428002944,BlueSG
HD 210809,2004221925783443968,BlueSG
HD 218915,1995526747297893504,BlueSG
HD 192832,2080703817158971648,BlueSG
HD 228712,2062550227354117760,BlueSG
HD 195592,2070636448174993024,BlueSG
BD+43  3654,2069819545390584192,BlueSG
*  55 Cyg,2166348110749083520,BlueSG
HD 199478,2166846047768767488,BlueSG
HD 215836,2003957317120396672,BlueSG
LS III +46   11,2071522345312074240,BlueSG
HD 239886,2198645577619377536,BlueSG
HD 239895,2198759823744627328,BlueSG
BD+57  2596,2007413567513411712,BlueSG
HD 216927,2013448099637948672,BlueSG
HD 218941,2014060802491139200,BlueSG
HD 240256,2013894913678836992,BlueSG
HD 219287,2010706085132030080,BlueSG
LS III +58   75,2013266955099705344,BlueSG
BD+60  2615,2012854672600157184,BlueSG
HD 225146,429470895385555456,BlueSG
HD   7902,413827353180436736,BlueSG
HD  14322,458241541269642880,BlueSG
HD  13854,458535660628422400,BlueSG
HD 191781,2082047179854088064,BlueSG
HD 239828,2202853271178705152,BlueSG
* lam Cep,2199904449710846720,BlueSG
BD+61  2352,2207171568727157632,BlueSG
BD+63  1964,2207793892311474688,BlueSG
BD+62  2210,2207517777453003904,BlueSG
BD+61  2529,2012889341577135872,BlueSG
HD 225094,431612056844840704,BlueSG
HD 225160,429927879906030336,BlueSG
BD+63    61,526997301886720128,BlueSG
* kap Cas,430769040662018560,BlueSG
HD   5552,522790566096761856,BlueSG
BD+62   246,511080702841800320,BlueSG
BD+60   351,511213262716085120,BlueSG
BD+60   339,511264699246655488,BlueSG
BD+60   343A,511217828255340672,BlueSG
NGC   663   160,511266932629624960,BlueSG
*   5 Per,506664136434780288,BlueSG
*  10 Per,457628838413390336,BlueSG
HD  14143,458375235013296000,BlueSG
HD  14956,458812016003041664,BlueSG
HD  15497,458075652452721664,BlueSG
HD  15620,458172924869294208,BlueSG
HD  14422,458466391398541056,BlueSG
HD  14542,458463951857361024,BlueSG
HD  15690,458022429216424832,BlueSG
HD  14947,459034873267691264,BlueSG
NGC   869   715,458378774066187264,BlueSG
*  61 And,458374788336739200,BlueSG
EM* AS   66,457834412726894464,BlueSG
HD 188209,2086308474601847168,BlueSG
HD   4694,524403141639508480,BlueSG
HD   9105,512514362929338496,BlueSG
BD+60   493,465503094013753728,BlueSG
HD  15785,465235740888194560,BlueSG
HD  13256,507567522672376192,BlueSG
Sato 52,513658301693941888,BlueSG
HD  17088,460900229100122368,BlueSG
HD  17145,460887893954085632,BlueSG
LS   I +57  105,460713930598122752,BlueSG
HD  14010,515211533672475264,BlueSG
HD 237153,449919440829879040,BlueSG
BD+52   729,251774938561362688,BlueSG
HD  21291,462250738616785152,BlueSG
HD 237211,468876464407828096,BlueSG
BD+55   838,468502561734102400,BlueSG
HD 237213,468616395547368064,BlueSG
BD+54   728,468484385432597248,BlueSG
LS   V +48   19,258409838399971968,BlueSG
HD  25914,469234114921994112,BlueSG
BD+55   886,277312126906962432,BlueSG
HD 232947,272403735203771264,BlueSG
BD+50  1018,258873523069120896,BlueSG
HD 194297,2246561572789499520,BlueSG
HD   8065,565226393465365376,BlueSG
* alf Cam,482818271843093376,BlueSG
* zet Per,168726523212358272,BlueSG
HD 278082,187940454549076608,BlueSG
LS   V +35   10,183629509972452224,BlueSG
BD+39  1328,190835189486719616,BlueSG
* chi Aur,3448691754658000640,BlueSG
LS   V +28    6,3442747863516757888,BlueSG
* kap Ori,3011968416163350272,BlueSG
* 139 Tau,3429829048565502848,BlueSG
LS   V +23    8,3424732567356599424,BlueSG
HD 251204,3424616538818268928,BlueSG
*   3 Gem,3425306173127304448,BlueSG
HD 251528,3423532557792883072,BlueSG
LS   V +21   25,3423458684355733888,BlueSG
* chi02 Ori,3374836252947269888,BlueSG
*   9 Gem,3425577786858742272,BlueSG
LS   V +22   38,3377083482919864320,BlueSG
HD  42379,3375419372069615872,BlueSG
HD 253658,3370213287591791488,BlueSG
EM* AS  120,3373452826804138752,BlueSG
HD 288810,3120562536778901888,BlueSG
HD 291782,3120541822153040000,BlueSG
HD 261196,3358581347924511616,BlueSG
HD  48434,3127680019142800128,BlueSG
HD  47382,3130884103403318016,BlueSG
HD  46711,3130038338442713984,BlueSG
HD 292014,3106906263063910400,BlueSG
HD 265134,3354071804063178496,BlueSG
HD  50064,3113547759973829120,BlueSG
HD  49888,2952758856018716288,BlueSG
* iot CMa,2934094096385049728,BlueSG
* omi02 CMa,2921635736292220800,BlueSG
HD  59114,3028510255071329280,BlueSG
* eta CMa,5605797194566011520,BlueSG
HD  62150,5597976471431898880,BlueSG
CD-32  4348,5594891340580669184,BlueSG
CD-32  4444,5594848601366527872,BlueSG
HD  63804,5594743048248355712,BlueSG
CD-26  5136,5601917842664443520,BlueSG
CD-28  5104,5600424804642969600,BlueSG
CD-34  4496,5546501254035205376,BlueSG
BD+01   169,2537746371043234048,BlueSG
HD 215733,2829822976307480832,BlueSG
IFM-B   47,303281629479122816,BlueSG
2MASS J01324221+3021138,303274684517188224,BlueSG
[MBH96]   5,303289085543864576,BlueSG
[HS80] B12,303287573715383168,BlueSG
[HS80] B7,303289051184125696,BlueSG
[HS80] B38,303287676793227264,BlueSG
[MAP95] M 33 OB12     4,303365467245215872,BlueSG
VHK 83,303366738555504768,BlueSG
IFM-B  212,303287775579028608,BlueSG
[HS80] B133,303385567692962048,BlueSG
IFM-B  565,303383879766544000,BlueSG
[HS80] B157,315403397283425536,BlueSG
IFM-B  640,303266579914008576,BlueSG
IFM-B  804,303380963483017216,BlueSG
D33 J013348.0+304449.6,303381474586833920,BlueSG
IFM-B 1001,303392160464002560,BlueSG
[HS80] B255,303391718085374848,BlueSG
IFM-B 1345,303266923512731520,BlueSG
[HS80] B84,303283313107921280,BlueSG
FSZ 124,303377699308303232,BlueSG_Candidate
[HS80] B101,315395838140887296,BlueSG
LGGS J013327.35+310056.4,315403642096369280,BlueSG
[MBH96] 122,303384777418032384,BlueSG
2MASS J01333949+3045405,303384463882237824,BlueSG
LGGS J013344.26+303148.0,303365604684166144,BlueSG
[W91b] Star 245,303378008545863040,BlueSG
[MBH96] 222,303379928398563840,BlueSG
LGGS J013351.75+304104.1,303379967050648064,BlueSG
[MBH96] 229,303379863975508224,BlueSG
[HS80] B416,303380207572866176,BlueSG
[MAP95] M 33 OB5     8,303365845202323584,BlueSG
[MAP95] M 33 OB4    39,303367425746564608,BlueSG
LGGS J013459.39+304201.2,303372133031081600,BlueSG
[HS53] C,303378141692142720,BlueSG
LGGS J013352.42+303909.6,303379863975511168,BlueSG
IFM-B  767,303365570320834944,BlueSG
[HS80] B287,303266609979157760,BlueSG
[HS53] B,303379516081697024,BlueSG
BASW  19,369256308582621312,BlueSG
BA 1-275,369247993527095808,BlueSG
BA 1-47,369279230824554112,BlueSG
[RB73] A-1,369287683320155264,BlueSG
LGGS J004029.71+404429.8,381156739540207488,BlueSG
MAC 1-159,381153745949563264,BlueSG
BASW  15,369279673203624192,BlueSG
[BHG88] 40 2637,381167116183553280,BlueSG
LAMOST J004253.42+412700.5,381273356502885376,BlueSG
LGGS J004109.11+404853.2,381155395217229568,BlueSG
[HIB95]  69-15,381167421126051840,BlueSG
MAC 1-63,381156700901176704,BlueSG
MAC 1-388,381153784602722816,BlueSG
