Star,Gaia_DR3_ID,otype
Gaia DR2 208563508816270464,208563508816270464,BlueStraggler
SDSS J083741.47+064108.3,595003981546573056,BlueStraggler
OGLE BLG-ECL-215242,4062349397730462720,BlueStraggler
SDSS J111006.56+395623.3,765030088843916288,BlueStraggler
Gaia DR2 2169661179787385856,2169661179787385856,BlueStraggler
SDSS J110145.29+251534.5,3996473051817940608,BlueStraggler
SDSS J142027.04+052027.6,3669764609122013568,BlueStraggler
SDSS J004055.09+255659.7,2808360814275552768,BlueStraggler
SDSS J081745.23+210614.5,675812936524818816,BlueStraggler
SDSS J082838.74+064439.3,595888641729925376,BlueStraggler
Gaia DR2 2932568695798849152,2932568695798849152,BlueStraggler
Gaia DR2 2932577865546921344,2932577865546921344,BlueStraggler
SDSS J090640.06+194648.9,636567170343807360,BlueStraggler
SDSS J120918.78+264314.4,4003654954396631168,BlueStraggler
SDSS J105121.77+004947.0,3807897633604535296,BlueStraggler
Gaia DR2 3326781616222424576,3326781616222424576,BlueStraggler
2MASS J03375586-0716457,3244041369068508416,BlueStraggler
SDSS J230355.85-005140.8,2650805402220338944,BlueStraggler
SDSS J012128.52+383218.5,323448008468241280,BlueStraggler
SDSS J095459.67+291835.4,743601122614344704,BlueStraggler
SDSS J165126.75+184133.0,4559828102259640960,BlueStraggler
SDSS J004222.42+142307.5,2779458295713282944,BlueStraggler
SDSS J125758.19+333945.3,1515525527321246336,BlueStraggler
SDSS J101258.80+061155.6,3873666536527340288,BlueStraggler
SDSS J084541.32+394957.3,912281019659628928,BlueStraggler
SDSS J160746.09+081400.9,4451380663370278016,BlueStraggler
SDSS J161001.35+070940.1,4450482667309997312,BlueStraggler
CHSS 1597,3263863850026638592,BlueStraggler
[CWH2004] CSA94-035,2498981435042452608,BlueStraggler
SDSS J160931.44+290851.0,1317200327187182592,BlueStraggler
Gaia DR2 5528101373614007680,5528101373614007680,BlueStraggler
SDSS J100938.24+345930.2,747507481269468160,BlueStraggler
SDSS J161524.37+203749.8,1202259340124604800,BlueStraggler
Gaia DR2 2165194070228492032,2165194070228492032,BlueStraggler
SDSS J130011.04+150903.2,3930468093196879488,BlueStraggler
NGC  2420   159,865401520342930560,BlueStraggler
Gaia DR3 4252790034359048832,4252790034359048832,BlueStraggler
NGC   188  2031,573941844181066368,BlueStraggler
Gaia DR2 3326770960410485376,3326770960410485376,BlueStraggler
SBSS 1405+560,1609834492222259840,BlueStraggler
SDSS J061619.38+640757.8,1008300820356910208,BlueStraggler
SDSS J031548.97+412420.3,239381793246101760,BlueStraggler
SDSS J080024.26+243214.3,681389998800802688,BlueStraggler
SDSS J094456.62+023740.1,3847771246691424512,BlueStraggler
SDSS J061557.52+635255.0,1008267938087134336,BlueStraggler
Cl* Berkeley   32     KM      85,3129899215863743360,BlueStraggler
SDSS J123758.54+480403.0,1543795208222208256,BlueStraggler
SDSS J085145.54+064507.6,584627271839564544,BlueStraggler
Gaia DR2 3038046598595270656,3038046598595270656,BlueStraggler
UCAC4 505-029030,3327801791214032256,BlueStraggler
SDSS J074819.88+220623.6,674652436361039616,BlueStraggler
SDSS J163423.56+172813.6,4466381708526240384,BlueStraggler
SDSS J144735.75+034011.2,1157768942136538880,BlueStraggler
SDSS J075647.49+454314.2,932334840438813568,BlueStraggler
SDSS J085829.33+025015.4,578225124868836352,BlueStraggler
SDSS J160945.76+264027.5,1315524503964561152,BlueStraggler
SDSS J031331.91+402958.7,238955315876878464,BlueStraggler
Gaia DR2 2051105372159550336,2051105372159550336,BlueStraggler
SDSS J165752.32+365502.7,1339253678583047936,BlueStraggler
UCAC4 208-120415,5941674937155595008,BlueStraggler
UCAC4 183-177473,5930065404395350912,BlueStraggler
SDSS J100920.26+090539.7,3875270650977856640,BlueStraggler
SDSS J101940.74+212725.5,625919740258681472,BlueStraggler
V* V708 Mon,3056678750840279296,BlueStraggler
2MASS J10392011+4543424,830399838984128000,BlueStraggler
2MASS J00202103-0012271,2545254592352603008,BlueStraggler
SDSS J160758.97+075533.1,4451353892835924224,BlueStraggler
SDSS J114852.89+615529.3,859955055133694208,BlueStraggler
SDSS J104414.85+101338.7,3869671216214761472,BlueStraggler
UCAC4 160-091854,6071478611338375040,BlueStraggler
SDSS J061701.89+640944.2,1008298037218072064,BlueStraggler
Gaia DR2 3029957762128513280,3029957762128513280,BlueStraggler
SDSS J095814.03+311907.2,745004236890730752,BlueStraggler
Gaia DR2 5857912393356819328,5857912393356819328,BlueStraggler
SDSS J003930.59+083254.8,2750014302034343552,BlueStraggler
SDSS J134234.15+551348.2,1562296144922798848,BlueStraggler
V* V773 Cep,573941294425258496,BlueStraggler
SDSS J120143.06+404525.0,4035122221268981632,BlueStraggler
SDSS J210803.74-003924.4,2689821125655526400,BlueStraggler
SDSS J104305.47+054951.6,3859236163671905920,BlueStraggler
SDSS J073928.88+231650.4,867279795441121280,BlueStraggler
SDSS J012914.90+383908.1,323320121521218688,BlueStraggler
SDSS J204621.46-054752.7,6913416441837205376,BlueStraggler
SDSS J232226.77+535518.5,1995774377932037504,BlueStraggler
SDSS J075717.13+351758.9,906477556768618880,BlueStraggler
SDSS J113440.69-021255.7,3793409781202412928,BlueStraggler
SDSS J152911.64+492549.6,1594440156906608640,BlueStraggler
NGC  2420   172,865401825283678848,BlueStraggler
SDSS J145704.51+030400.3,1154893169473670784,BlueStraggler
SDSS J025639.26+352251.2,140340019198295936,BlueStraggler
SDSS J081159.25+271218.4,683596482415416832,BlueStraggler
SDSS J172459.18+271100.5,4574151543313937024,BlueStraggler
V* IP Mus,5856515601255190272,BlueStraggler
SDSS J230300.08+071226.9,2711921309373920384,BlueStraggler
SDSS J091609.12+254826.4,688672614067144576,BlueStraggler
TYC 5416-3149-1,3038043776795821312,BlueStraggler
SDSS J092404.87+283458.2,695461965226493440,BlueStraggler
SDSS J160451.43+362141.6,1372189377594020096,BlueStraggler
2MASS J16585012-5234340,5935993799294265984,BlueStraggler
SDSS J105357.04+665336.2,1060056718165456000,BlueStraggler
SDSS J150850.84+324014.2,1288763623598183168,BlueStraggler
SDSS J161815.27+132039.7,4463400283966452864,BlueStraggler
SDSS J104626.84+080501.6,3865763208292470656,BlueStraggler
SDSS J160925.85+400530.9,1380011337673148032,BlueStraggler
SDSS J082807.12+243703.9,678720560662520448,BlueStraggler
SDSS J114835.72+354000.1,4032035071791483904,BlueStraggler
