Star,Gaia_DR3_ID,otype
2MASS J12490872+4157286,1528191733769486720,BrownD*
2MASS J17433635+1549025,4501162495423931776,BrownD*
2MASS J14113356+1725302,1233138918033232128,BrownD*
2MASS J16161134+5213277,1424787471246550400,BrownD*
2MASS J16423861+3308554,1314312185020118144,BrownD*
2MASS J06262121+0029341,3120367682704782592,BrownD*
2MASS J12073804-3909050,3459487137773152128,BrownD*
2MASS J18293277+2600424,4537192426318445312,BrownD*
2MASS J14304358+2915405,1284172681516099072,BrownD*
2MASS J00285545-1927165,2363496283669200768,BrownD*
2MASS J15252973+2004080,1210858070810123392,BrownD*
2MASS J22501628+0808245,2713153831843361920,BrownD*
2MASS J08440699+2847026,705196452767219200,BrownD*
2MASS J07374888-2526116,5614156231711665920,BrownD*
2MASS J09555995-7342489,5205989890240229120,BrownD*
2MASS J08002758+5511346,1080925998616880768,BrownD*
2MASS J09205549+4539058,818808375085298944,BrownD*
2MASS J09230861+2340152,639385875775807360,BrownD*
2MASS J20304235+0749358,1749030362195988096,BrownD*
SIPS J1341-3052,6174885824468076160,BrownD*
2MASSI J0310140-275645,5059737904395839360,BrownD*
2MASS J13271524+0759375,3719698865272751616,BrownD*
2MASSW J0944027+313132,792979021589160064,BrownD*
2MASS J14482563+1031590,1175003649462887040,BrownD*
2MASS J11093831+2353406,3995289595054235520,BrownD*
2MASS J13492525+5049544,1558960394146787840,BrownD*
2MASS J11264705+5816325,858218720114699904,BrownD*
2MASS J08563381-1815435,5728941156831133952,BrownD*
2MASSW J2206450-421721,6568464361047484288,BrownD*
2MASS J13122172+2909354,1462623216840483328,BrownD*
2MASS J00320509+0219017,2547532539925750784,BrownD*
2MASS J17561080+2815238,4584405146372926720,BrownD*
2MASSI J0131183+380155,322492502798326144,BrownD*
2MASSI J1106119+275422,731881226310429056,BrownD*
2MASS J12281243+1101139,3907443052696049024,BrownD*
2MASS J04455387-3048204,4878035808244168832,BrownD*
2MASS J02284355-6325052,4700401321000355712,BrownD*
SIMP J0432376-063950,3198539905714619264,BrownD*
2MASS J07500495+3306180,881839317962858624,BrownD*
SIPS J0050-1538,2372272516761781888,BrownD*
2MASS J14394298-1100430,6324908688520221568,BrownD*
2MASS J21420580-3101162,6593114518388811392,BrownD*
2MASSI J1312070+393744,1523301239193079808,BrownD*
2MASSW J0030438+313932,2859617950419161600,BrownD*
2MASS J09083803+5032088,1016186483391641216,BrownD*
2MASS J16235981-0508066,4355669206962020096,BrownD*
2MASSW J1246467+402715,1521895105554830720,BrownD*
2MASS J05085506+3319272,181724125038647040,BrownD*
2MASS J00415453+1341351,2776324485710775296,BrownD*
2MASS J16423030+2020482,4563904752075195520,BrownD*
2MASS J10511071+3141303,736689970481350784,BrownD*
2MASSI J1645220+300407,1311454726097258368,BrownD*
2MASS J12043036+3212595,4026880286402654720,BrownD*
2MASS J13571237+1428398,1230939310661704448,BrownD*
2MASS J11582077+0435014,3896357089270247168,BrownD*
2MASS J19251275+0700362,4295524821431807232,BrownD*
2MASS J22545194-2840253,6609254898113164416,BrownD*
2MASS J02441019-3548036,5049878716772823552,BrownD*
2MASS J07171626+5705430,989832319249728128,BrownD*
2MASSI J0953212-101420,3769934860057100672,BrownD*
SSSPM J0219-1938,5131045975099845376,BrownD*
DENIS J175656.1-480509,5947766235872922624,BrownD*
2MASS J00191165+0030176,2545563520758981760,BrownD*
LSPM J1658+7027,1649407285800074240,BrownD*
2MASS J13054106+2046394,3943239882828182784,BrownD*
2MASS J07230144-1616209,3028064269960442624,BrownD*
2MASS J04474757+2819165,154788598418435328,BrownD*
2MASS J13432249-0301002,3634310203851690624,BrownD*
2MASS J16532970+6231364,1630800834638974976,BrownD*
2MASS J17392515+2454421,4581695915363428736,BrownD*
SIPS J0227-1624,5145416111038393216,BrownD*
2MASS J10260013+3955085,756394219576639488,BrownD*
2MASS J07591043+2427136,681385467610420608,BrownD*
2MASS J10461875+4441149,781364918917080192,BrownD*
2MASS J22521073-1730134,2403199614187542528,BrownD*
2MASS J04134574+3709087,177700805837431296,BrownD*
2MASS J15575011-2952431,6040269347414266496,BrownD*
2MASS J08181438+2453387,679317904713389952,BrownD*
2MASS J00464841+0715177,2556724418479276416,BrownD*
2MASS J14324216+3451429,1480049067391928064,BrownD*
2MASS J14053729+8350248,1725759404752580736,BrownD*
SSSPM J2229-6931,6385304583061513088,BrownD*
2MASSW J1615441+355900,1329942262499164544,BrownD*
2MASS J07164790-0630369,3058039362114874496,BrownD*
2MASS J14060148+5249309,1512892849808507520,BrownD*
2MASS J08175749+1824048,657215659413023744,BrownD*
2MASS J09481259+5300387,1020273539910037504,BrownD*
SIPS J0316-2848,5058664471807949952,BrownD*
2MASS J00145575-4844171,4977142934516994176,BrownD*
2MASS J05591914-1404488,2997171394834174976,BrownD*
V* FU Tau B,149629479408410240,BrownD*
2MASS J13233597-1806379,3507934197073671424,BrownD*
2MASS J16051015+0421521,4425494341423705344,BrownD*
2MASS J03440892+0111251,3269943938874146688,BrownD*
2MASS J04524567-3608412,4818823808553134592,BrownD*
SIMP J0423204+121211,3307115025395300608,BrownD*
2MASS J08270185+4129191,914774707736160256,BrownD*
2MASS J20375108-4216410,6676561609781498496,BrownD*
2MASS J15022606+0804218,1161526798003788800,BrownD*
SIMP J0421005-195024,5092182465306563200,BrownD*
2MASS J20030468-1422271,6878315533848147456,BrownD*
2MASS J08595976+2922053,693519570561368576,BrownD*
2MASS J12025263-0227483,3601506205716698496,BrownD*
2MASS J17463487+5100129,1367761850427896576,BrownD*
2MASS J04012977-4050448,4842465198336036608,BrownD*
2MASS J03504861-0518126,3246075744753572096,BrownD*
2MASS J12542000+0009132,3689782214740402944,BrownD*
2MASS J00531899-3631102,5001668709601989248,BrownD*
2MASS J16212830-2529558,6048608902592098048,BrownD*
SCR J2029-7910B,6361974496804484608,BrownD*
2MASS J03491834-0107111,3251239120076859264,BrownD*
2MASS J18510178+5935040,2156140966334260096,BrownD*
2MASS J03400942-6724051,4667836363565989120,BrownD*
DENIS J115748.0-484442,5371170445500507904,BrownD*
2MASS J17275293-6227029,5910336484943990912,BrownD*
2MASS J04533425+2033517,3411692668689199744,BrownD*
2MASS J09443635+3649211,799516000465756032,BrownD*
2MASS J13204427+0409045,3715937882671184128,BrownD*
2MASSI J2344062-073328,2439377218938814336,BrownD*
2MASS J09094822+1940428,636342839906737792,BrownD*
2MASS J14040328+4453314,1505663084115053568,BrownD*
2MASS J04070752+1546457,45365815403062528,BrownD*
SIPS J2255-5713,6493448634054105728,BrownD*
2MASS J08094064-3720019,5541111516746730752,BrownD*
2MASS J13015465-1510223,3524663541367962624,BrownD*
PSO J004.7818+41.0231,383416510813428480,BrownD*
2MASS J08342921+2308553,666282713330857600,BrownD*
SIPS J2026-2943,6797628972554531840,BrownD*
** BUG    6B,6616442994033876352,BrownD*
2MASS J05012406-0010452,3228124598226930816,BrownD*
2MASS J11525006+6432523,864282728607238400,BrownD*
2MASS J14313097+1436539,1228220944254775680,BrownD*
2MASS J00220932-0110399,2542048347725825024,BrownD*
2MASS J08234818+2428577,679088656539598592,BrownD*
2MASS J04430581-3202090,4877448669035035520,BrownD*
2MASS J15462849+2536338,1222891473958463744,BrownD*
2MASS J08211501+3336508,901765801552277888,BrownD*
2MASS J00540655-0031018,2536044636280401024,BrownD*
2MASS J02410564-5511466,4740459377164518912,BrownD*
2MASS J01062285-5933185,4903260597849834880,BrownD*
2MASS J13083106+0818522,3730898765591180672,BrownD*
2MASS J00062050-1720506,2414607592787544320,BrownD*
2MASS J21481326-6323265,6402761567831358080,BrownD*
2MASS J08312221+1538511,652644680337290496,BrownD*
2MASS J14401622+0026390,3651711938158972672,BrownD*
2MASS J01415823-4633574,4954323704550180352,BrownD*
LSPM J0746+2000,672055699133504768,BrownD*
SIPS J1936-5502,6641789348394399488,BrownD*
G 203-50B,1341903196662424320,BrownD*
2MASS J16212673+2959580,1318229435712498688,BrownD*
2MASSW J0015447+351603,2876239130257160960,BrownD*
2MASSI J2002507-052152,4220379661283166720,BrownD*
2MASS J10551035+5110260,836315726935379200,BrownD*
2MASS J11250502+0556424,3814316135810315904,BrownD*
2MASS J07351967+4108510,924473912120275712,BrownD*
2MASS J10132597-7842551,5202336655483914624,BrownD*
2MASS J01205114-5200349,4915621307569602048,BrownD*
2MASS J19064801+4011089,2100693797539808896,BrownD*
2MASS J12304562+2827583,4010768695843696896,BrownD*
2MASS J12543762+2938328,1464948134177402496,BrownD*
2MASS J09331118-0212144,3839336446318482176,BrownD*
BRLT 186,3928327279633194752,BrownD*
2MASS J08400161+4517522,917396561932264576,BrownD*
2MASSI J0605019-234226,2913249451860183168,BrownD*
2MASS J12451496+1204423,3928077690494407936,BrownD*
2MASS J12090655+3233264,4026938869755899392,BrownD*
2MASS J11594076+5409386,792627865060597760,BrownD*
2MASS J16283833+6259455,1628727293147782272,BrownD*
2MASSI J0318540-342129,5053399803976245760,BrownD*
2MASS J22355244+0418563,2705646366448978048,BrownD*
2MASS J13530778-0857119,3618701953393187456,BrownD*
2MASS J15231446+1052592,1168920292145222784,BrownD*
2MASS J04132039-0114248,3252723701294401536,BrownD*
2MASS J00282091+2249050,2800081221135505536,BrownD*
2MASS J15365938+0646507,4430701697214030464,BrownD*
2MASS J11000830+2955159,733182086005101440,BrownD*
2MASS J13482456-4227441,6112093093362734336,BrownD*
2MASSI J0753321+291711,875864782229178624,BrownD*
2MASS J17072529-0138093,4367890618008483968,BrownD*
2MASS J15031961+2525196,1267906854386665088,BrownD*
2MASS J09332805+2654495,646251398178053376,BrownD*
ULAS2MASS J0835+0548,594796796618894720,BrownD*
2MASS J08361142+4503195,918171923786792320,BrownD*
2MASSW J2224438-015852,2629427189619178368,BrownD*
SIPS J0719-5051,5504230937511573504,BrownD*
2MASS J13100288+0554042,3729155588690513408,BrownD*
2MASS J06160532-4557080,5567054149998654848,BrownD*
2MASS J08004815+4658256,932505947640566784,BrownD*
2MASS J03053655-0642161,5180157822323348224,BrownD*
2MASS J20343769+0827009,1749473774619251840,BrownD*
HD 117987B,6188826498036891136,BrownD*
2MASS J08503941-0221528,5763847696075300736,BrownD*
2MASS J13031775+1815219,3938213572794542976,BrownD*
2MASS J16443963+2600128,1301178591640305408,BrownD*
2MASS J08165370+3445359,902869028325492480,BrownD*
2MASS J15485487+2814046,1224567915656078336,BrownD*
2MASS J23072655+8753294,2304682788224934400,BrownD*
2MASS J00452143+1634446,2781513733917711616,BrownD*
2MASS J15433947-2535549,6235116414310306176,BrownD*
2MASS J07410404-0359495,3057492217642259200,BrownD*
2MASSW J1035246+250745,724407502179323392,BrownD*
2MASS J03530845+1030564,3303130326536280832,BrownD*
2MASS J04234712-0803060,3198705966332481920,BrownD*
2MASS J13514747+4157479,1501955217372683520,BrownD*
2MASS J16074308+3459470,1323976724724420608,BrownD*
2MASS J00332386-1521309,2373841073178592512,BrownD*
