Star,Gaia_DR3_ID,otype
[KDM2001]  3384,4660462798115911168,C*
[KDM2001]  4607,4658029338384080384,C*
C* 2433,5950132350542040576,C*
HE 1130-1956,3544937401914640128,C*
Fuen C  92,3455410213082274432,C*
[KDM2001]  2336,4661803377648499840,C*
[KDM2001]  7449,5265951207111911936,C*
[KDM2001]  6306,4756233421961174016,C*
RAFGL 2513,2054767677890245632,C*
SHV 0509328-683710,4661367902352036864,C*
CD-55  5377,5872434536755199232,Star
NIKC 2-72,446853590096433792,C*
[KDM2001]   149,4652669597097980160,C*
SP77  68-8,5284230450492125824,C*
SP77  48-1,4651983673670383744,C*
[MH95]  165,4688431418953657856,C*
CGCS 5380,2178362096347362944,C*_Candidate
[MH95]  971,4687655644776067968,C*
BC    212,3357901123884729728,C*
BMB-O  88,4657967490891888640,C*
CGCS  162,524260926681216128,C*
[KDM2001]  1919,4655078210461845888,C*
[W71b] 045-05,5310612884093879936,C*
WEL 143,5062215035379287552,C*
WOH G 299,4660410399511330944,C*
SDSS J234038.86+150841.8,2771356303765898368,C*
[KDM2001]  5142,4657809229867545344,C*
[KDM2001]  2398,4661412432561647872,C*
[M2003b] cw7,5328595641589233280,C*
Cl* NGC  231    FMB       2,4688846209744379264,C*
RAW 1038,4685968684773989248,C*
Cl* NGC  371     LE       8,4690510797303496576,C*
V* W CMa,3045373881522901632,C*
HD  30710,3405062927107848576,C*
[KDM2001]  7026,5476684430324362368,C*
[KDM2001]  3800,4651156561723150976,C*
CD-29 11419,6217951491610705920,C*
[LDB2002]  767,4182448292535947648,C*_Candidate
SDSS J103253.85+190131.3,3987099779616944512,C*
IRAS 09088-5050,5324067779683783680,C*
[KDM2001]  2380,4651403165872718720,C*
HD   7526,4932198884901689216,C*
[MH95]  853,4684583334409187968,C*
IRAS 08021-2130,5712832624297225984,C*
TYC 4849-1730-1,3076251157322027776,C*
BMB-B  57,4685939341551505664,C*
[MH95] 1097,4686874888439345152,C*
[KDM2001]  3977,4651827268146995200,C*
BMB-BW  94,4658258307324645760,C*
IRAS 19032-2028,4082442835219446272,C*
Kiso C3-5,2234670968715718016,C*
[W71b] 034-17,5329041115603444096,C*
[KDM2001]   301,4656200747414143360,C*
C*  404,3348423372312133632,LongPeriodV*
[MH95]  916,4690643808142456832,C*
[KDM2001]  6726,4755869170067807232,C*
SP77  46-8,4658513123484939008,C*
HE 1125-2942,3482212222055148544,C*
[KDM2001]  1383,4655284270172288384,C*
V* EK Cyg,2033224426874341632,C*
NIKC 4-93,2200812779448892160,C*
[KDM2001]  3991,4648228046859485184,C*
[AHB74] C   9,4313083266256995456,C*
RAW  749,4689340951289458944,C*
[KDM2001]  4197,4657908357761404160,C*
NIKC 4-107,2207181292533098496,C*
ABW-A  82,4685881200525545088,C*
[MH95]  943,4687351045695950976,C*
[KDM2001]  4574,4658476702157240192,C*
Case  711,421472704202655744,C*
WRAY 18-219,5241772087483725056,S*
[MH95]  503,4685769707478122496,C*
[KID97] C0622-6448,5476941097567424256,C*
HD 244898,3416797533675016192,C*
[MH95]  172,4688785938430583552,C*
[KID97] C0641-6632,5283467939168680832,C*
[MH95] 1005,4686214219390874496,C*
LMC-BM  33-60,4657138252937740288,C*
RAW   13,4688838616236083328,C*
IRAS 10207-4835,5365005350669011456,C*
DJM 156,3032269249112077952,C*
[KDM2001]  6696,4755918721118137600,C*
SV* HV  8091,5588100726709441408,C*
[KDM2001]  7717,5278862016239872256,C*
[KDM2001]  7491,5279517771851759488,C*
HE 2007-6020,6443358285907993088,C*
IRAS 09426-5906,5257367869612688384,C*
[KDM2001]  3215,4658726634878595968,C*
SP77  33-3,4652975811098137984,C*
[MH95] 1135,4638248333866026624,C*
[KDM2001]  3099,4658331463563657088,C*_Candidate
ABW-A 158,4685895223638039168,C*
[KID97] C2327-7220,6381048961961099904,C*
[KDM2001]  6776,4657314861938356736,C*
[MH95]  568,4685568462473362816,C*
[W71b] 039-04,5331929944956923264,C*
LAMOST J065708.34+150549.4,3354675264146778752,C*
Fuen C 143,3424139660006382336,C*
[KDM2001]  4570,4651805071754540032,C*
2MASS J09420975+1049065,612876581710713984,C*
[KID97] C0553-6204,4758268377454442240,C*
SOPS   II e-57,6720515136879109632,C*
BMB-W  33,4685906356194761728,C*
[KDM2001]  7241,5278623971976592128,C*
[ABC90] cyc 60,1981360467698397824,C*
[KDM2001]  4266,4657902619682353920,C*
[KDM2001]   174,4662638078751977344,C*
CGCS 6309,5523796029672828928,C*
[KDM2001]  3594,4657984498970224768,C*
SHV 0512083-690330,4658256554982992896,C*
CGCS 6354,5254915438962390784,C*
[KDM2001]  3397,4651356264842793216,C*
Fuen C 161,3426398194333603200,C*
[MAG2004] 40,3716001001511178240,C*
RAW  675,4688964888297169536,C*
[KDM2001]  3146,4651224529594099840,C*
V* S Cen,6126837819170763008,C*
[KDM2001]  2124,4649688614920750464,C*
[LDB2002]  375,4182446338328620928,C*_Candidate
IRAS 06176+2242,3377228274856538880,C*
[KDM2001]  1235,4662282008810951168,C*
[KDM2001]  2710,4658396502195421824,C*
[MH95]  200,4688720453068306304,C*
[ABC89] Vel  69,5405923985143421312,C*
[ABC89] Ppx  28,5546200709400556800,C*
DCMC J005229.50-722557.4,4688985710301853696,C*
HE 0219-3418,4967287805636877312,C*
Case  476,2188873083903870976,C*
[KDM2001]  4410,4657903680469068800,C*
[DB2002] Leo I C03,3881552092187346816,C*
RAW 1261,4690505888171235200,C*_Candidate
[W71b] 036-03,5524497964769611136,C*
[LDB2002]  752,4182447815794104064,C*_Candidate
DJM 177,3046952367906818688,C*
V* V716 Car,5255283882763418240,S*
MSB 75,1995070793575136256,C*
[W71b] 129-03,5939893904419760896,C*
ABW-A 275,4688860606475886720,C*
RAW  289,4689237601495005696,C*
[TI98] 1019-1136,3755272013506466432,C*
[KDM2001]  4637,4658605757318409472,C*
[MH95]  530,4685548293308896768,C*
IRAS 19195+1853,4515706457303955584,Mira
[LDB2002]  607,4182449705580292864,C*_Candidate
[MH95] 1163,4637408543204459392,C*
[KDM2001]  4627,4657897019043658240,C*
[W71b] 060-19,5253692270979892480,C*
[KDM2001]  3091,4760326182188121856,C*
[KDM2001]  7493,5266069061014687744,C*
RAW  970,4685962122064580736,C*
SDSS J114153.62+345100.4,4031925185053154432,C*
[W71b] 030-06,5626407741875678208,C*
RAW 1021,4685701194162655104,C*
SP77  56-2,4650985901228010624,C*
[KDM2001]  7155,5264788061246334720,C*
DJM 306,5342911553562820608,C*
HD 318952,4042876909344951552,RCrBV*
[PGH2017] 23198,375305482256835968,C*
HE 0343-5714,4729608782241712000,C*
[LDB2002]  185,4182466060816300288,C*_Candidate
ABW-A 210,4685889245041205376,C*
[KID97] C0620-6745,5282971406599916672,C*
ABW-A 221,4685944632952154496,C*
[MWF2015] 3063,2539052930159386880,C*_Candidate
C* 3137,2006760968691933952,LongPeriodV*
RAW 1653,4687453609533421312,C*
RAW 1016,4689014190281809024,C*
BMB-O  20,4657975153068442624,C*
LMC-BM  31-4,4660248870046704896,C*
HD 137613,6238721442356479360,C*
NIKC 5-18,3375588417686228224,C*
[KDM2001]  2664,4651419551159090560,C*
CGCS 5812,2013694115361748864,LongPeriodV*
LMC-BM   1-3,4655632952734343168,C*
[M2003b] dd7,5422918002489991936,C*
CGCS 4554,2035308894757101952,LongPeriodV*
[KDM2001]  1557,4655196133079933696,C*
ABW-B 123,4687514147080154112,C*
[KDM2001]  4552,4657994871209291008,C*
[KDM2001]   223,4654850203544725504,C*
[KDM2001]  3579,4658093556763726080,C*
V* DL Mon,3129335166400273536,C*
Cl* NGC  152    FMB       2,4688905892604700416,C*
[KDM2001]  4987,4660833402232028800,C*
[KDM2001]   584,4662949618505917824,C*
SDSS J075830.79+160406.0,667110744369959808,C*
LMC-BM  36-4,4657787892468337152,C*
Case   84,200155822574038656,C*
[LDB2002]  462,4182448777870087552,C*_Candidate
[ABC89] Cru  53,5858277293786641920,C*
LMC-BM  32-22,4657836167904601088,C*
RAFGL 2178,4156558096552001408,C*
RAW  298,4685834780538812288,C*
[KDM2001]  5472,4659366447567938816,C*
SOPS   II e-23,6736386411110342784,C*
LMC-BM  33-64,4657240988558137728,C*
Kiso C7-25,2024805741217096576,C*
[KDM2001]  5267,4660673869972813696,C*
[W71b] 058-06,5355634487960920704,C*
RAW  797,4685863715752784128,C*
[KDM2001]  3274,4661035884172693376,C*
[W71b] 015-08,5544312538694886784,C*
[KDM2001]   151,4652551502675402752,C*
[KDM2001]  4679,4660922634475557888,C*
Cl* NGC  371     LE      35,4687503809123168000,C*
Kiso C1-65,431374871565656320,C*
SV* HV  1707,4685585706769513344,Symbiotic*
[KDM2001]  5197,4657125947801480960,C*
RAW 1571,4687208349716599296,C*
LAMOST J060059.16+291451.2,3431657222868834304,C*
LMC-BM  32-5,4658557928558621440,C*
Kiso C7-49,2032700616991627264,C*
LAMOST J065406.07+141936.0,3354225873129398400,C*
IRAS 04165+1420,3311083098434760704,C*
[MH95] 1066,4686540739985109760,C*
[LDB2002]  122,4182450530214213888,C*_Candidate
[W71b] 007-08,5715945341715892736,C*
[KDM2001]  1358,4661687374885718144,C*
[ABC89] Cru   9,5865049254645602944,C*
RAW 1618,4687459863006166912,C*
2MASS J22342445+5840540,2008024689822094336,LongPeriodV*
[KDM2001]  6741,4648480698315794688,C*
LAMOST J063535.14+023453.7,3127006362113733376,C*
IRAS 08235-4747,5515610406130251904,C*
[KDM2001]  5605,4659931562196484352,C*
[KDM2001]  3002,4651561907874446336,C*
WORC  12,4661742182963300864,C*
LEE 314,2136712767674417792,C*
V* V2036 Cyg,2179997482451373568,C*
RAW 1412,4687217283249655296,C*
DJM 318,5335776758246670464,C*
IRAS 00234+5725,421915051475066240,LongPeriodV*
[KDM2001]  2883,4664070055215575552,C*
[W71b] 071-10,5335001357670038144,C*
[KID97] C0516-6250,4760338517334084480,C*
HE 0420-1037,3191058278844723456,C*
IRAS 03118+6144,463644781921710976,C*
IRAS 13482-6716,5850633660733499904,C*
RAW  667,4688980934298743936,C*
[KDM2001]  5847,4659285496017870720,C*
DJM 437,5851550206774172928,C*
[W71b] 097-02,5893201356493879424,C*
Kiso C1-164,510835747965404416,C*
LMC-BM  37-7,4657165740712964608,C*
C*  667,2934620590656907008,C*
[KDM2001]  4270,4658010745418451200,C*
SHV 0505204-693458,4655227404795007744,C*
[KID97] C0550-7507,4648530760454426624,C*
SP77  53-2,4658593284731943808,C*
SP77  29-24a,4662113920976368384,C*
Kiso C7-29,2044676149707516800,C*
[MH95]  513,4684317115155112320,C*
[KDM2001]  1953,4662018057314547712,C*
BC    111,530432829042172032,C*
WRAY 18-283,5874008350190592896,S*
[DI87] V4,5062244889691477120,C*
NIKC 2-51,460225781795515008,C*
SP77  67-3,5284234126984115968,C*
[KDM2001]  7450,5283224981467376768,C*
V* V715 Car,5252248028086790144,C*
2MASS J00405739+4138553,381332038633540608,C*
DJM 395,5861597406601154816,C*
[KDM2001]  1675,4649948885637515008,C*
[KDM2001]  6252,4657413371316046336,C*
C* 3292,3671443327155031936,C*
NIKC 4-62,2004568409381976320,C*
[KDM2001]   558,4652428460457085312,C*
V* S Aqr,2399318338141987200,Mira
[KDM2001]   498,4655447444533728640,C*
LMC-BM  42-16,4657153886601433600,C*
[KDM2001]  5658,4657627634328034304,C*
C*  849,5536911588484994176,C*
[KDM2001]   805,4655515682974387840,C*
BM   IV  71,5541174944827064320,C*
[KDM2001]  3541,4658279511628542208,C*
C* 3233,121689759370599680,C*
[KID97] C0549-7530,4648494304772060160,C*
RAW 1015,4685968478615636736,C*
[KDM2001]  6190,4650241978507152640,C*
LMC-BM  37-12,4657171135193834240,C*
C* 2310,5829841788432101760,C*
IRAS 00554-7351,4685697689469958272,C*
[MH95]  747,4685686350753675904,C*
[KDM2001]  7518,5282968520380942592,C*
C* 3297,1401269673441568384,C*
[KDM2001]  1791,4661479365339530496,C*
[MH95]  622,4685664394878643968,C*
SP77  61-28,4659005910818876928,C*
[ABC89] Car  62,5350870888200470272,C*
[KID97] C0603-7344,5265834933757512832,C*
CGCS 4267,4315637878408742144,C*_Candidate
DO 41256,1987657680018099456,C*
LAMOST J025700.36+535224.5,453325762214961280,C*
[KDM2001]  7069,5278595865709727232,C*
[KDM2001]  4654,4658038684245430272,C*
[W71b] 019-04,5537999761404994176,C*
BD-12  2214,3035597470804700928,C*
[KDM2001]  2392,4664500273492204800,C*
[KDM2001]  1664,4649802551815284992,C*
[LDB2002]  589,4182256741290913920,C*_Candidate
[MH95]  978,4691344708147667456,C*
[KID97] C0645-6728,5280168854527300224,C*
LEGC A15,4685936043015918336,C*
[LDB2002]  106,4182446883786494848,C*_Candidate
[W71b] 024-09,5543760579552830976,C*
[KDM2001]  6411,4659814910858590336,C*
IRAS 05287-1827,2969739163838282752,C*
[KDM2001]  5303,4657644612373024640,C*
IRAS 13031-5743,6057265151507727104,C*
[KDM2001]  4814,4657991611388900096,C*
V* KV Aur,3386096488968341120,C*
Kiso C6-38,3324120626284327680,C*
SP77  40-4a,4655069453054047232,C*
[KDM2001]  7113,5283088470231265280,C*
V* V1421 Aql,4295482077940664064,C*
[KDM2001]  2435,4658372867063707136,C*
[KDM2001]  4383,4757388733798549888,C*
HD  95405,3535717137922819072,ChemPec*
NIKC 4-72,2000237295635308800,C*
[LDB2002]  386,4182449052745159552,C*_Candidate
RAW 1291,4685708478428332416,C*
[KDM2001]  6576,4659094765106012800,C*
C*  741,5617068936786990208,Star
WRAY 15-243,5542435156952134016,C*
Case  655,1977128653597501696,C*
LEE 227,1854615531804019712,C*
CGCS 4831,2068739687537481344,C*_Candidate
SDSS J213230.58+002416.9,2688157461483105920,C*
2MASS J21115776+5435074,2176614834922952960,C*_Candidate
[KDM2001]  3921,4657928733045114752,C*
CGCS 6531,6083698957199317120,RGB*_Candidate
[KDM2001]  4401,4660181013908249472,C*
2MASS J06412327-5113587,5502460792509715712,C*
V* V1802 Cyg,1969209073190603008,C*
IRAS 14232-6106,5854395394917003264,C*
Case  313,470057477335168128,C*
NIKC 4-56,2199949422305044352,C*
NIKC 2-61,461716131146719232,C*
Case  731,3437288925724292992,C*
[KDM2001]  6997,5283866546501694336,C*
[W71b] 052-12,5405277644107294720,C*
SP77 47B-7,4650510568589446016,C*
HE 0333-1819,5102253476420644096,C*
LAMOST J075138.92+021942.2,3088529712910279424,C*
[MH95]  352,4685792762865198336,C*
OGLE LMC-LPV-23215,4652201132130630016,Mira
C*   30,423759379154167424,C*
LMC-BM   6-5,4655327872633158912,C*
[WWV2004] J0200089+413747,345865371228239488,C*
V* V695 Tau,150418383296889984,C*
NIKC 2-65,463542527339021824,C*
BM   IV  22,5615727154644708736,C*
ABW-A 248,4685936725849047040,C*
LEE  83,3156038519966004352,C*
[TI98] 2229+1902,2834244731038037888,C*
[KDM2001]  4297,4651242259226362624,C*
[W71b] 060-28,5254026415091004032,C*
[LDB2002]  212,4182452385643642112,C*_Candidate
RAW 1641,4687258858534970112,C*
ABW-A 108,4685832654523887744,C*
[KDM2001]  5274,4657116434497134336,C*
SP77  36-2,4662049359038257536,C*
RAW  125,4685838014645329792,C*
[W71b] 029-03,5527666757281951488,C*
[W71b] 089-02,5867399323271790080,C*
[KDM2001]   343,4656356190870626048,C*
WORC  76,4663926843823128960,C*
CD-25 14520,6850428684856823168,C*
[MH95]  334,4685804720054134528,C*
[KDM2001]   754,4664675920476490240,C*
WRAY 18-264,5857689914053373696,C*
[W71b] 048-04,5307449868337211264,C*
WORC 145,4651765248818068992,C*
Cl* NGC  371     LE      36,4687499204916820608,C*
IRAS 09433-6233,5250019867755313408,Mira
[LDB2002]  183,4182445852998627840,C*_Candidate
SHV 0516468-674957,4658802844787365632,C*
[KDM2001]   615,4655567390058388096,C*
WRAY 18-261,5857834946515784448,C*
LAMOST J045845.91+525509.3,260896555744720256,ChemPec*
DIK 40,4652644858086433536,C*
[KDM2001]  5863,4756718169147854208,C*
HE 0052-0543,2524767632709998592,C*
[MH95]  612,4684656726810143232,C*
[W71b] 053-04,5308490453014633984,C*
[KDM2001]  6990,5284201794471541504,C*
[KDM2001]  6911,4756409717470502912,C*
[II78]  2,3327283440201696768,C*
RAW  204,4689139229563774208,C*
BM   IV  83,5528517744919422080,C*
WOH G 168,4663768548516054016,C*
RAW  147,4688867169187606656,C*
[KDM2001]  3888,4661151848281605888,C*
[LDB2002]  318,4182449052745194112,C*_Candidate
OGLE LMC-LPV-87711,4657505936442794624,LongPeriodV*
CD-29  5653,5596724883610563456,C*
Case  410,3128175864525619712,C*
WORC 212,4656941234153325056,C*
SP77  40-14,4652038511810459392,C*
[KDM2001]  7306,5261436955960707840,C*
[KDM2001]  3520,4657985976438545408,C*
RGC  47,4658612457467136512,C*
[KDM2001]  6857,4659544740240926976,C*
ABW-B 114,4690589485404551168,C*
