Star,Gaia_DR3_ID,otype
USNO-B1.0 1540-00207100,1632642933226873728,CataclyV*
V* CU Vel,5524430207364715520,CataclyV*
SDSS J151415.65+074446.4,1163569523103341568,CataclyV*
LP  462-11,2837767600654385792,CataclyV*
V* BZ UMa,1037411284055821568,CataclyV*
CRTS J050236.5+134916,3391716569637584384,CataclyV*
SDSS J220935.78-001332.5,2678822818216797056,CataclyV*
V* V825 Her,1347992635655772672,CataclyV*
RX J0944.5+0357,3848210123629587072,CataclyV*
LAMOST J211249.93+374225.8,1868891595085249920,CataclyV*
V* V630 Cyg,1966279738001099648,CataclyV*
V* AQ CMi,3155934482978049152,CataclyV*
OGLE BLG-DN-192,4057435061785494656,CataclyV*
V* V721 Sco,4041401021225836288,CataclyV*
1RXS J200552.6-293455,6749618724313541760,CataclyV*
PNV J06000985+1426152,3343921589452347392,CataclyV*
SDSS J151500.56+191619.6,1212352655004983808,CataclyV*
SDSS J234843.14+250249.9,2852495455827670400,CataclyV*
V* FO Aqr,2616360833953395456,CataclyV*
KIS J192651.94+503301.7,2130112326354193024,CataclyV*
CRTS J141002.2-124809,6303931106174662912,CataclyV*
V* AR And,343491353823524864,CataclyV*
CRTS J122059.8-102735,3578039913159192320,CataclyV*
RX J0557.3+6832,481788819721445376,CataclyV*
V* V436 Car,5489659560883611264,CataclyV*
V* V452 Cas,417250162933131648,CataclyV*
V* UZ Boo,1241536747327175936,CataclyV*
MASTER OT J203529.80+063652.8,1747913601981951872,CataclyV*
1RXS J095750.4-420801,5418746249213961472,CataclyV*
RX J0153.3+7446,558935743846455296,CataclyV*
SV* HV  7898,5975718398429644672,CataclyV*
ASASSN -14cn,1629388752470472704,CataclyV*
V* V503 Cyg,2069105580089321472,CataclyV*
ASASSN -14fz,6661251730703015168,CataclyV*
PM J15222+0803W,1163743344724940160,CataclyV*
CRTS J232551.5-014024,2643723241667078272,CataclyV*
OGLE MC-DN-3,4685456381004962048,CataclyV*
2MASS J10051658+6941367,1070597495622821376,CataclyV*
V* V3793 Sgr,4037916600090273280,CataclyV*
SDSS J103533.02+055158.4,3859020040917830400,CataclyV*
SDSS J074917.11+365428.0,919046658301858048,CataclyV*
OGLE BLG-DN-254,4040721003309923840,CataclyV*
SDSS J085228.72+020102.6,577877683490889728,CataclyV*
V* AY Psc,2565601982736199168,CataclyV*
BPS CS 22874-0124,6229447267932112512,CataclyV*
SDSS J013855.86+242939.2,291779226024624640,CataclyV*
1RXS J204455.9-115151,6900318165974107520,CataclyV*
V* V478 Her,4570041951104724096,CataclyV*
KIC 9071514,2106996159531992320,CataclyV*
V* TY Psc,316447594027782912,CataclyV*
HS 0218+3229,325051822271077376,CataclyV*
SDSS J104450.08+232431.2,723028783317516416,CataclyV*
SDSS J003827.06+250924.9,2806802123399581056,CataclyV*
VSX J040659.7+005244,3258480812896290560,CataclyV*
V* VW Tuc,4688478831089666432,CataclyV*
SDSS J152509.57+360054.5,1375131155313563136,CataclyV*
ASASSN -14ei,4752105374261391360,CataclyV*
V* DW UMa,855119196836523008,CataclyV*
CRTS J075100.0+141150,3164517889217942016,CataclyV*
V* V1062 Tau,3419562221302898048,CataclyV*
BD+34   620,138095675448309376,CataclyV*
2MASS J02300379+2604401,103226927620025472,CataclyV*
UCAC3 206-168738,4484363984990385664,CataclyV*
SDSS J004024.16+334133.0,361903328865409408,CataclyV*
V* UX UMa,1559987685901122304,CataclyV*
SDSS J174045.85+060351.0,4485786821746343680,CataclyV*
V* TW Pic,4766218190119756928,CataclyV*
CRTS J075332.0+375801,919213474830239616,CataclyV*
V* BT CrB,1371889764970726144,CataclyV*
V* V660 Her,4581360216423882624,CataclyV*
PM J14332+1011,1176468611268115200,CataclyV*
PM J14113+4812,1507944978763511936,CataclyV*
CRTS J091453.6+113402,593451814725151232,CataclyV*
2MASS J01275053+3808120,323282875565022208,CataclyV*
V* VX For,5053216799714496768,CataclyV*
V* DE Cir,5875274742759861632,CataclyV*
KIC 4163085,2053116211425302144,CataclyV*
SDSS J102402.70+480851.1,834525820788839680,CataclyV*
CRTS J223058.3+210147,1873931030526034176,CataclyV*
OGLE BLG-DN-184,4043518508770139648,CataclyV*
SDSS J150602.24+120506.3,1180741244738096896,CataclyV*
V* V442 Oph,4124654392314770048,CataclyV*
V* CT Hya,581110831791334400,CataclyV*
SDSS J162450.82+451806.8,1409634075007666048,CataclyV*
V* XY Psc,2539642959880875136,CataclyV*
Terz V 2982,4060865435005847424,CataclyV*
V* EU Lyn,918840426857988736,CataclyV*
V* V393 Hya,5452961607957113216,CataclyV*
V* AG Hya,5660433576602424448,CataclyV*
V* V558 Vir,3652542030783440256,CataclyV*
V* V1323 Her,4611319954072608384,CataclyV*
V* V1309 Sco,4044184503560991744,CataclyV*
SDSS J163605.01+465204.5,1407217451528505728,CataclyV*
SDSS J025737.74+333750.5,137080654417119872,CataclyV*
SBSS 0150+339,305911489495287936,CataclyV*
V* V1375 Cen,5334608939454354688,CataclyV*
ASASSN -14jv,2104562321825510400,CataclyV*
V* BC Dor,4659256736897181312,CataclyV*
ATO J284.0336+45.6277,2107209847044730112,CataclyV*
SDSS J125641.29-015852.0,3688476819557779712,CataclyV*
V* ES Cet,2462596293177188480,CataclyV*
FASTT 1560,2654255639643078528,CataclyV*
SDSS J075648.04+305805.0,877602521701648768,CataclyV*
V* CC Cnc,664787098343076992,CataclyV*
SDSS J150441.76+084752.6,1167630942962176512,CataclyV*
V* CY Lyr,4537992286672097280,CataclyV*
[KIU2009] OT J182142.8+212154,4528875887866176896,CataclyV*
V* V902 Mon,3123892304664353024,CataclyV*
V* V406 Vir,3681313024562519552,CataclyV*
SDSS J083404.24+185416.9,662643501643372544,CataclyV*
SDSS J011331.70-033233.5,2483547933921120768,CataclyV*
CRTS J200331.3-284941,6750469849393418752,CataclyV*
V* AH Eri,3176908972944418816,CataclyV*
V* KV Dra,1620622591076494208,CataclyV*
V* V805 Aur,955877579117043328,CataclyV*
RX J1600.2+7050,1647976069553227136,CataclyV*
V* AO Psc,2648391016419660032,CataclyV*
RX J0154.0-5947,4714563374364671872,CataclyV*
CRTS J081210.2+040352,3091578315052482304,CataclyV*
CRTS J170609.7+143452,4545086473126911360,CataclyV*
V* MR Lac,2000068451881379968,CataclyV*
CRTS J130514.7+582855,1578672472969644288,CataclyV*
MASTER OT J055845.55+391533.4,3458275544681382912,CataclyV*
USNO-A2.0 1575-03714897,1650075067314553216,CataclyV*
V* AQ Eri,3212803625248377088,CataclyV*
OGLE BLG-DN-909,4050884686879419520,CataclyV*
OGLE BLG-DN-550,4050377021768835328,CataclyV*
ASASSN -14dx,2488974302977323008,CataclyV*
CRTS J214804.4+080951,2701764742511777280,CataclyV*
PG 1316+678,1684650348617089280,CataclyV*
SDSS J082123.73+454135.4,930082250350668928,CataclyV*
BD+08   102,2750199780197751936,CataclyV*
V* GS Pav,6422675166520651264,CataclyV*
PM J07068+0324,3116059834803771904,CataclyV*
PNV J17144255-2943481,4107290939047483008,CataclyV*
CRTS CSS140430 J130136-052938,3677784687453093120,CataclyV*
V* BC Cas,2011649264254038528,CataclyV*
V* AY Lyr,2096934223687181696,CataclyV*
SDSS J165359.06+201010.4,4564460623922361472,CataclyV*
SDSS J165244.83+333925.3,1314596271336013824,CataclyV*
V* FS Aur,3443331944709730176,CataclyV*
V* TT Ind,6468246487517124736,CataclyV*
CRTS J032034.5+203607,61121202850354048,CataclyV*
LAMOST J033105.99+203510.0,58295423607026048,CataclyV*
1RXS J071404.0+700413,1109608206832496512,CataclyV*
HS 2214+2845,1894166339444439808,CataclyV*
V* HQ Mon,3114391428987853312,CataclyV*
CRTS J012059.6+325545,316746931773522304,CataclyV*
SDSS J150551.61+065948.5,1160374338017986688,CataclyV*
ASASSN -14jq,546910213373341184,CataclyV*
SDSS J132715.28+425932.8,1549364994827244032,CataclyV*
ZTF J151332.97+703722.4,1694471835016084608,CataclyV*
SDSS J182634.66+225610.6,4529459492322139008,CataclyV*
1RXS J094558.3+292249,648437669676020352,CataclyV*
ASASSN -14fc,2243199674253206912,CataclyV*
V* V521 Peg,1776946133496845440,CataclyV*
LP  731-60,3750072904055666176,CataclyV*
V* EV UMa,1563999425873420800,CataclyV*
SWIFT J2124.6+0500,2699191408560964736,CataclyV*
ASASSN -17id,3638934994569644672,CataclyV*
UCAC4 524-048824,610249401755733376,CataclyV*
ASASSN -14cr,1844970242147644672,CataclyV*
SDSS J114628.80+675909.6,1058116114501904384,CataclyV*
CRTS J064610.2-410415,5575511490362529920,CataclyV*
V* V369 Peg,2830539033255948288,CataclyV*
V* V849 Her,4459185168703405568,CataclyV*
UCAC4 761-008050,427708103362698624,CataclyV*
PM J15243+2209,1214663721071751296,CataclyV*
V* PR Her,4610221438876442368,CataclyV*
V* NN Cam,493907671241609472,CataclyV*
PPMXL 2710677403619823610,5693146173538549504,CataclyV*
V* V4338 Sgr,4062334721750845952,CataclyV*
V* V1082 Sgr,4082090647900737152,CataclyV*
ASASSN -16js,4705548409809396096,CataclyV*
V* V1043 Cen,6179636986011888512,CataclyV*
KIC 8490027,2126940892444693760,CataclyV*
V* AR UMa,783921244796958208,CataclyV*
V* V453 Nor,5984221987022142464,CataclyV*
V* LU Cam,481508787854138240,CataclyV*
SDSS J164248.52+134751.4,4461280391188698368,CataclyV*
SDSS J164228.06+193410.0,4563089185028680320,CataclyV*
SDSS J234426.12+470042.9,1939257345657864320,CataclyV*
2MASS J06310028+2602529,3384280886033500160,CataclyV*
SDSS J223606.51+291559.9,1888191490179330304,CataclyV*
V* VX Ret,4682018581800909568,CataclyV*
2MASS J23445734+4334279,1925528950852688512,CataclyV*
V* V344 Pav,6438943162609124224,CataclyV*
V* CW Hyi,4695093944014478080,CataclyV*
CRTS J022436.4+372021,328547891291847680,CataclyV*
V* V823 Cyg,2059533201814932096,CataclyV*
OGLE MC-DN-11,4640514186811727872,CataclyV*
HS 1813+6122,2158980729992107776,CataclyV*
V* CR Boo,3721961488404743040,CataclyV*
V* NZ Boo,1289860214647954816,CataclyV*
V* DP Leo,3971777500966832384,CataclyV*
ASASSN -15ie,6899847063898520704,CataclyV*
UCAC4 750-078221,2014349389931360768,CataclyV*
V* V877 Ara,5813540055384222720,CataclyV*
V* V349 Aqr,2654647748682905600,CataclyV*
V* UV Per,457106501671769472,CataclyV*
HS 0455+8315,570311497303401984,CataclyV*
V* V349 Pav,6427690176495592960,CataclyV*
2MASS J05353264+2200068,3403792299687563264,CataclyV*
SDSS J053659.12+002215.1,3222350478553854464,CataclyV*
V* KQ Peg,2833706554456077056,CataclyV*
V* TT Ari,78395045917118976,CataclyV*
CRTS J112634.0-100210,3589900585606512384,CataclyV*
SDSS J075311.65+352631.2,882687492396994432,CataclyV*
LINEAR 23795703,861540207303947776,CataclyV*
V* GX Cas,423864245075612416,CataclyV*
2MASS J23443249+4335141,1925531424753836544,CataclyV*
V* V795 Her,1334848936218459136,CataclyV*
2MASS J17032407+3209532,1310490286897519360,CataclyV*
V* FH Lyn,928715626116734976,CataclyV*
2QZ J225647.8-274325,6609699002026399360,CataclyV*
SDSS J005347.32+405548.5,374313340514443776,CataclyV*
2MASS J01580342+2823039,298356019250182016,CataclyV*
ZTF18abihypg,2217227427194608768,CataclyV*
ZTF17aaaheoj,264123106973237632,CataclyV*
1RXS J052832.5+283824,3445477328117272576,CataclyV*
ASASSN -14cq,6210239486988239616,CataclyV*
CRTS J122221.6-311525,3469884768265773824,CataclyV*
SDSS J133540.76+050722.7,3714792599576481024,CataclyV*
CRTS J080033.8+192416,670132550216853632,CataclyV*
V* V2051 Oph,4111991385628196224,CataclyV*
TCP J16054809+2405338,1206925328171879808,CataclyV*
V* OV Tau,72035195785242240,CataclyV*
V* IX Vel,5515820034889610112,CataclyV*
CRTS MLS121203 J113751+004218,3798894145200889472,CataclyV*
V* FZ Cet,5135582731875096064,CataclyV*
US  691,825341673177429376,CataclyV*
CRTS J043829.1+004016,3231052151014833536,CataclyV*
HS 1857+7127,2262915708740112000,CataclyV*
US 2109,1008926403817205888,CataclyV*
CRTS J112253.3-111037,3589668932249752064,CataclyV*
V* HO Del,1756386438585507712,CataclyV*
USNO-B1.0 1257-00089884,185599044536229376,CataclyV*
V* V632 Cyg,1966073476490400384,CataclyV*
OGLE MC-DN-23,4761106212669129088,CataclyV*
V* V699 Oph,4355780154558803456,CataclyV*
CRTS J043019.9+095318,3305655836026119168,CataclyV*
V* LY UMa,837035254216960128,CataclyV*
V* RU Hor,4721232870163826816,CataclyV*
CRTS J050253.1+171041,3406991912884113152,CataclyV*
V* V550 Cyg,2031052139815189120,CataclyV*
CRTS J075414.5+313216,880693906019213824,CataclyV*
SDSS J022940.30-030620.8,2496208333573924352,CataclyV*
V* V1432 Aql,4193346037615507968,CataclyV*
V* V351 UMa,1580508421164776064,CataclyV*
GALEX J155904.6+035623,4425059759452336128,CataclyV*
