Star,Gaia_DR3_ID,otype
[HW78] V9,3881549519503017856,Cepheid
ASAS J082710-3825.9,5541688691633168384,Cepheid
DIRECT V4970 M31D,369254423089765120,Cepheid
[MCR2016] VMC-SMC-CEP 060,4686928828932998912,Cepheid
[FCC2013] F17 28593,5896208379000834816,Cepheid
OGLE LMC-ACEP-126,4756813586136043520,Cepheid
M33SSS J013308.61+303122.3,303283965943057664,Cepheid
OGLE LMC175.7   71849,4657653610311294080,Cepheid
Cl* NGC 5824    ROS      11,6204589474695786752,Cepheid
ROTSE1 J193019.65+390926.3,2053105594265657216,Cepheid
OGLE LMC-ACEP-133,5211833622744394240,Cepheid
[MCR2016] VMC-SMC-CEP 157,4689586112325793408,Cepheid
M33SSS J013256.96+302422.7,303281114083684480,Cepheid
OGLE BLG-RRLYR-21455,4061268504710247168,Cepheid
PSO J010.0150+41.4258,381238064749513984,Cepheid
[MCR2016] VMC-SMC-CEP 068,6379466348116040832,Cepheid
OGLE LMC103.2   63957,4658139014667369216,Cepheid
PSO J010.1790+40.8612,381159213442086016,Cepheid
[MCR2016] VMC-SMC-CEP 223,4688066170635015552,Cepheid
OGLE LMC-ACEP-99,4652407019982302208,Cepheid
[FCC2013] F19 87945,5928274364316171392,Cepheid
M33SSS J013446.31+304758.1,303376599798534400,Cepheid
PSO J010.2481+41.5219,381329191078176000,Cepheid
D33 J013359.4+303226.7,303365089284477824,Cepheid
M33SSS J013341.53+302216.2,303266713062375040,Cepheid
OGLE SMC-ACEP-101,4644464968313254272,Cepheid
Gaia DR3 6636087452895159808,6636087452895159808,Cepheid
OGLE LMC-ACEP-122,4756933153724688256,Cepheid
[FKC2012] LRa02b2 31232,3100345580262086528,Cepheid
2MASS J18590054+3917152,2100223412723864064,Cepheid
Gaia DR3 531573503638640640,531573503638640640,Cepheid
OGLE LMC-ACEP-108,4624222650008104448,Cepheid
OGLE SMC100.2  31399,4685932435242023936,Cepheid
Gaia DR3 4712510788018361856,4712510788018361856,Cepheid
M33SSS J013424.17+305631.2,303393298631898112,Cepheid
DIRECT V5343 M31D,369254423091889536,Cepheid
OGLE LMC-ACEP-109,4663679728599261824,Cepheid
D31 J004252.5+413700.8,381310632514613632,Cepheid
M33SSS J013336.44+310322.1,315405183989858048,Cepheid
[MCR2016] VMC-SMC-CEP 168,4688584556004194816,Cepheid
M33SSS J013320.60+303458.4,303378382208097408,Cepheid
M33SSS J013314.79+304238.2,303382578393592576,Cepheid
[MCR2016] VMC-SMC-CEP 222,4689293019453956992,Cepheid
M33SSS J013352.31+310033.3,315404123133064320,Cepheid
ASAS J080101-4543.6,5519070844096811392,Cepheid
M33SSS J013235.26+302435.1,303281659545174016,Cepheid
Gaia DR3 6374169283347869696,6374169283347869696,Cepheid
[MAP97]  79,369279402620109824,Cepheid
2MASS J06435117+1004354,3350752614678549888,Cepheid
OGLE SMC724.03.004950,4690716543411168768,Cepheid
[MCR2016] VMC-SMC-CEP 202,6379560974835366784,Cepheid
[SHM2017] J016.21524+02.18203,2539072377771058816,Cepheid
CRTS J042026.4-575104,4682206533865906944,Cepheid
OGLE SMC-CEP-1355,4689030545486300416,Cepheid
TYC 9186-955-1,5265453952973289344,Cepheid
Gaia DR3 5895841249526120064,5895841249526120064,Cepheid
[MCR2016] VMC-SMC-CEP 267,4690377962548250112,Cepheid
M33SSS J013319.42+305951.1,315406081638155136,Cepheid
[MCR2016] VMC-SMC-CEP 265,4689954856735145728,Cepheid
UCAC4 657-073005,2053601061692668928,Cepheid
[MCR2016] VMC-SMC-CEP 084,4687851426562898304,Cepheid
EC 20234-3309,6696846499804022016,Cepheid
M33SSS J013357.47+304907.2,303390584212802816,Cepheid
OGLE SMC-ACEP-109,4671752269933579520,Cepheid
[VRJ2006] M31V-J00435563+4125153,369283624573607552,Cepheid
[FCC2013] F17 00592,5896195910738304128,Cepheid
PSO J010.5678+40.8400,369149316652787584,Cepheid
[MCR2016] VMC-SMC-CEP 229,4689217393667980544,Cepheid
