Star,Gaia_DR3_ID,otype
TYC 2700-2295-1,1870028558833368576,ChemPec*
HD 199970,1866732944524015360,ChemPec*
BD+35  4313,1870009076860632320,ChemPec*
TYC 2696-254-1,1866738716960018432,ChemPec*
TYC 2700-1155-1,1870009626616435712,ChemPec*
TYC 2700-1760-1,1871635735594248832,ChemPec*
TYC 2700-3067-1,1869837759205302784,ChemPec*
TYC 2700-3841-1,1870059272129239808,ChemPec*
TYC 2713-1088-1,1868280816378894208,ChemPec*
HD 201804,1868977047756756352,ChemPec*
BD+37  4231,1965009733353450752,ChemPec*
HD 202655,1964713140090353024,ChemPec*
BD+37  4152,1871715140947283328,ChemPec*
BD+38  4407,1965035361417045760,ChemPec*
TYC 2714-2421-1,1868651764111226240,ChemPec*
BD+37  4171,1872134295396259200,ChemPec*
TYC 3169-596-1,1868894137706006144,ChemPec*
TYC 3169-2308-1,1965059898573444608,ChemPec*
TYC 3169-2408-1,1965050930681300480,ChemPec*
BD+38  4494,1964548934901860096,ChemPec*
BD+38  4414,1965092918282540544,ChemPec*
BD+38  4425,1965141983985828352,ChemPec*
TYC 3169-1940-1,1965023511609367424,ChemPec*
TYC 3169-2450-1,1964870473332369152,ChemPec*
TYC 3182-1068-1,1965263480018764160,ChemPec*
TYC 3182-1841-1,1964110981369972480,ChemPec*
TYC 3183-981-1,1964399195160066944,ChemPec*
TYC 3186-1675-1,1964659710696277632,ChemPec*
TYC 3186-1182-1,1964683036654171008,ChemPec*
TYC 3187-774-1,1966303446218770432,ChemPec*
TYC 3187-943-1,1966022688493284352,ChemPec*
BD+41  4219,1966710707894388608,ChemPec*
TYC 3189-1317-1,1960198751500112000,ChemPec*
TYC 3191-1832-1,1966717377981439488,ChemPec*
TYC 3192-1815-1,1966581760099024768,ChemPec*
BD+40  4697,1959729839851048064,ChemPec*
TYC 3206-1052-1,1959840585586733056,ChemPec*
TYC 3226-1467-1,1982326904046281344,ChemPec*
TYC 3621-278-1,1982614804293183488,ChemPec*
BD+45  4103,1936288668565738752,ChemPec*
TYC 3227-842-1,1935651703432945152,ChemPec*
BD+44  4333,1935315703850735232,ChemPec*
BD+45  4114,1936088042049360896,ChemPec*
TYC 3623-1981-1,1936413222613656576,ChemPec*
TYC 3623-2061-1,1936201016869675776,ChemPec*
BD+46  4068,1938742331837975168,ChemPec*
TYC 3640-1795-1,1941696891381226240,ChemPec*
BD+46  4222,1927248449597094528,ChemPec*
HD 224872,387127465637556096,ChemPec*
TYC 3246-760-1,386781256914083840,ChemPec*
TYC 3251-1665-1,393084653998499200,ChemPec*
TYC 3251-511-1,392267231524225280,ChemPec*
TYC 3253-1586-1,390750145995630336,ChemPec*
BD+45   197,389724890061124096,ChemPec*
BD+46   121,390698576328163200,ChemPec*
TYC 3249-2192-1,389804604653771008,ChemPec*
TYC 3253-1557-1,390017149698354944,ChemPec*
TYC 3262-1253-1,377827830650497024,ChemPec*
TYC 3262-1496-1,378116727331761024,ChemPec*
TYC 3263-737-1,376845966766878464,ChemPec*
HD   8055,398104852290707584,ChemPec*
HD   7656,397920958971390080,ChemPec*
TYC 2825-1360-1,397602890873276800,ChemPec*
HD   8208,398025305199007360,ChemPec*
LP  194-48,397548396328513024,ChemPec*
HD   9147,397149170527710720,ChemPec*
HD   8199,396727095501902848,ChemPec*
AG+43  191,348921738675411968,ChemPec*
BD+43   335,348945756132509952,ChemPec*
TYC 2826-927-1,348936719521496704,ChemPec*
TYC 2826-1293-1,348944416102703104,ChemPec*
TYC 2824-1436-1,346150728855545088,ChemPec*
TYC 2824-1665-1,346143478951111936,ChemPec*
TYC 2828-642-1,349618416730683776,ChemPec*
BD+41   387,345924813575458944,ChemPec*
TYC 2838-1459-1,351563693318031232,ChemPec*
TYC 2838-1479-1,351317677591236736,ChemPec*
TYC 2839-1492-1,339322482472896128,ChemPec*
TYC 2835-742-1,338176005378146944,ChemPec*
TYC 2835-1924-1,338201500304495104,ChemPec*
TYC 2836-962-1,334946258690984320,ChemPec*
HD  16566,335126716037307264,ChemPec*
TYC 2832-694-1,334571080411162112,ChemPec*
TYC 2832-2317-1,334553286363599872,ChemPec*
TYC 2836-1953-1,334898223776894464,ChemPec*
TYC 2337-1406-1,141525327093486976,ChemPec*
TYC 2338-188-1,140723125984950912,ChemPec*
TYC 2338-567-1,140416744494408320,ChemPec*
BD+38  4332,1872307979563310848,ChemPec*
BD+37  4130,1872551147741804160,ChemPec*
BD+39  4364,1872908454666277376,ChemPec*
BD+40  4475,1968748588287140608,ChemPec*
BD+39  4448,1968387531848728704,ChemPec*
BD+40  4388,1873392995684779904,ChemPec*
BD+40  4448,1968924578862102272,ChemPec*
G 212-55,1972655496691603456,ChemPec*
TYC 3192-676-1,1972870554294167680,ChemPec*
TYC 3194-2841-1,1970895075502913280,ChemPec*
TYC 3195-1454-1,1967738652492215936,ChemPec*
TYC 3196-875-1,1967698073640460672,ChemPec*
TYC 3625-1220-1,1985266207866072320,ChemPec*
TYC 3626-1189-1,1984312656401719296,ChemPec*
BD+46  3887,1984686730876682368,ChemPec*
