Star,Gaia_DR3_ID,otype
DIRECT V2879 M31D,369254663612867328,ClassicalCep
OGLE LMC-CEP-4133,4660307251595974784,ClassicalCep
OGLE LMC-CEP-1498,4658194265148817792,ClassicalCep
Gaia DR3 2030351785284906112,2030351785284906112,ClassicalCep
UCAC4 738-091921,2007341583859879552,ClassicalCep
ATO J085.3704+33.6699,3448592455015389696,ClassicalCep
OGLE LMC-CEP-3404,4654761551109470208,ClassicalCep
V* CN Cep,2209335510692749056,ClassicalCep
OGLE LMC-CEP-3508,4662244006944726272,ClassicalCep
OGLE SMC-CEP-4658,4688677469036232960,ClassicalCep
ZTF J204804.99+444649.7,2067145601833880832,ClassicalCep
OGLE LMC-CEP-2055,4658494324418736768,ClassicalCep
OGLE SMC-CEP-883,4685763346614629376,ClassicalCep
SV* HV   835,4688988076865387136,ClassicalCep
SV* HV  8037,4654703620590356608,ClassicalCep
OGLE SMC-CEP-2173,4689009139405062016,ClassicalCep
OGLE SMC-CEP-3902,4687220062102591488,ClassicalCep
OGLE GD-CEP-1182,5943255828719965824,ClassicalCep
SV* HV  5757,4658180104562787584,ClassicalCep
OGLE LMC-CEP-3757,4663624649941545216,ClassicalCep
OGLE LMC-CEP-4067,4660324461492647040,ClassicalCep
PSO J009.8489+40.3663,381118875109604992,ClassicalCep
OGLE SMC-CEP-2183,4685982600440411904,ClassicalCep
SV* HV 11429,4685919442909152768,ClassicalCep
OGLE SMC-CEP-4940,4638224213329794432,ClassicalCep
SV* DV    15,4655329521900452992,ClassicalCep
OGLE LMC-CEP-668,4661471222060068096,ClassicalCep
OGLE SMC-CEP-2742,4685898006776498688,ClassicalCep
OGLE SMC-CEP-3770,4690553407685309696,ClassicalCep
OGLE SMC-CEP-4802,4690825223263522176,ClassicalCep
SV* HV  2339,4661261146662475136,ClassicalCep
V* AX Vel,5519196703818908800,ClassicalCep
OGLE SMC-CEP-3075,4685971639713905024,ClassicalCep
Gaia DR3 375318264077848448,375318264077848448,ClassicalCep
OGLE SMC-CEP-4247,4687233123091339008,ClassicalCep
Gaia DR2 6372109863708657280,6372109863708657280,ClassicalCep
OGLE SMC-CEP-3919,4686347569539062784,ClassicalCep
OGLE SMC-CEP-3097,4685683120937814528,ClassicalCep
NSVS  13931316,4272044681886217216,ClassicalCep
PSO J010.4137+40.6334,369140554918028032,ClassicalCep
OGLE LMC-CEP-2948,4657174777325506048,ClassicalCep
V* VX Pup,5619192029327633664,ClassicalCep
OGLE SMC-CEP-1904,4685935969934489472,ClassicalCep
ATO J285.4711+44.5174,2105971109757482752,ClassicalCep
OGLE LMC-CEP-711,4661455588398772480,ClassicalCep
OGLE SMC-CEP-3773,4687199553622730240,ClassicalCep
OGLE BLG-CEP-27,4050293493207289472,ClassicalCep
OGLE LMC-CEP-4044,4757221092637890432,ClassicalCep
