Star,Gaia_DR3_ID,otype
V* V2483 Cyg,1868338197139575808,EclBin
TYC 2699-240-1,1870751762609320320,EclBin
1RXS J205055.9+362148,1870728359318705920,EclBin
TYC 2700-320-1,1871557429747600896,EclBin
TYC 2713-1134-1,1868233090700904192,EclBin
TYC 3168-541-1,1871684835657148032,EclBin
V* V1226 Cyg,1872021904691024896,EclBin
V* V1902 Cyg,1964725853193803776,EclBin
V* V1960 Cyg,1868700623660549888,EclBin
V* V1230 Cyg,1868748555494668544,EclBin
V* V2485 Cyg,1964793129563395584,EclBin
BD+36  4469,1868701448294189568,EclBin
TYC 2714-2448-1,1868568957143583104,EclBin
NSV 13550,1871850861912509184,EclBin
NSV 13555,1872059631684919296,EclBin
NSV 13591,1868867916919218304,EclBin
V* V3132 Cyg,1964743651539486208,EclBin
NSV 13654,1964857034374921984,EclBin
V* V1333 Cyg,1964964344140206464,EclBin
BD+38  4499,1964482513220939648,EclBin
V* V1936 Cyg,1964558864862294016,EclBin
V* V1961 Cyg,1965424558471162880,EclBin
V* V1239 Cyg,1964862708031624960,EclBin
V* V3131 Cyg,1964965787249340288,EclBin
V* V614 Cyg,1966242728261169280,EclBin
V* V610 Cyg,1966960095179118592,EclBin
V* V706 Cyg,1966287572019431168,EclBin
TYC 3186-1885-1,1966985620161057920,EclBin
TYC 3191-426-1,1966671954412651904,EclBin
V* V652 Cyg,1966633295406526464,EclBin
BD+40  4659,1960260770828422272,EclBin
V* V664 Cyg,1960281592830251136,EclBin
V* V661 Cyg,1960486926627706368,EclBin
V* V660 Cyg,1960285784718244352,EclBin
V* V2210 Cyg,1960511940517691648,EclBin
V* V2207 Cyg,1966710437320453120,EclBin
V* GT Cyg,1960738474274241920,EclBin
V* CS Lac,1960801112075068160,EclBin
V* V371 Lac,1986555419609657728,EclBin
V* V1917 Cyg,1961082621412403712,EclBin
V* V1096 Cyg,1959624909511228416,EclBin
TYC 3206-342-1,1959871337552694784,EclBin
TYC 3206-1210-1,1959733108325663872,EclBin
V* V460 Lac,1960077908299819904,EclBin
V* EL Lac,1961333275700338176,EclBin
V* V369 Lac,1961958313700967296,EclBin
TYC 3206-685-1,1960112508556718848,EclBin
V* BS Lac,1962022527754304768,EclBin
V* UW Lac,1958543711621565312,EclBin
V* V456 Lac,1961580730239891968,EclBin
HD 213932,1982130435062655104,EclBin
HD 212668,1983013411612557312,EclBin
V* V430 Lac,1983006574030719104,EclBin
V* V433 Lac,1982112086960868096,EclBin
HD 215325,1982313709904912896,EclBin
V* BO And,1935697096946690688,EclBin
V* VY Lac,1935787909736139648,EclBin
V* V458 Lac,1983916930997682560,EclBin
TYC 3227-1859-1,1935577078376689280,EclBin
NSV 14439,1936195381873447424,EclBin
V* TT And,1941344326105944192,EclBin
V* V462 And,1938195183065643520,EclBin
V* V662 And,1937512253204886656,EclBin
V* LO And,1938276860462797568,EclBin
V* V674 And,1938488379013579520,EclBin
V* AS And,1939967806267394560,EclBin
HD 223229,1939381285534581504,EclBin
TYC 3638-2489-1,1926616986324604416,EclBin
V* V412 And,1926269158396275968,EclBin
AG+47    5,393241059527267968,EclBin
TYC 3246-603-1,386982639340624640,EclBin
NSVS   3712255,389234576594507008,EclBin
[DCO2008] T-Cas0-02013,389913181426928768,EclBin
2MASS J00540924+4621486,378038455847184512,EclBin
[DCO2008] T-And0-00745,376925440841502976,EclBin
V* EL And,397242147979976832,EclBin
V* EP And,350288706506804864,EclBin
BD+41   357,349104807361350912,EclBin
[GGM2006]  3962973,349669062984834816,EclBin
V* V546 And,349486372256498816,EclBin
BD+40   433,345394161776147328,EclBin
V* XZ And,346092282940909568,EclBin
HD  13078,345119558747024512,EclBin
TYC 2834-106-1,345234904388508288,EclBin
V* V568 And,333201917853292672,EclBin
V* LZ And,338175936659332992,EclBin
V* MO And,338080210427896064,EclBin
V* MS And,337906659389000320,EclBin
V* MT And,337987056879876992,EclBin
V* MW And,334926398762274048,EclBin
CRTS J022330.7+400449,338084642834276480,EclBin
[KMW82]  5,338908864238114944,EclBin
ATO J038.0806+39.6777,334924027940857856,EclBin
V* LS Per,142285536304154496,EclBin
V* QS Per,138990643553098368,EclBin
TYC 3167-932-1,1872662370215471488,EclBin
V* V1228 Cyg,1872084538190962688,EclBin
V* V2050 Cyg,1872848840517588736,EclBin
V* V2480 Cyg,1872328870284303872,EclBin
BD+39  4425,1873113165675215360,EclBin
TYC 3168-1252-1,1872271493830775936,EclBin
V* V2486 Cyg,1968636850415694976,EclBin
V* V533 Cyg,1965750941628486656,EclBin
V* V1665 Cyg,1968682377069793792,EclBin
TYC 3173-705-1,1968733366924799232,EclBin
TYC 3173-2413-1,1968240957508244864,EclBin
TYC 3177-442-1,1968931175931897728,EclBin
V* V1068 Cyg,1968898087508892928,EclBin
V* V535 Cyg,1970348412062216192,EclBin
V* V1071 Cyg,1970353016266786816,EclBin
BD+41  4145,1967388698557871232,EclBin
V* V1074 Cyg,1967343996538595072,EclBin
V* V1722 Cyg,1970343429900009344,EclBin
V* V1246 Cyg,1970528560173871488,EclBin
