Star,Gaia_DR3_ID,otype
OGLE BLG-ELL-13116,4063518620892160256,EllipVar
OGLE BLG-ELL-452,4109895682151708416,EllipVar
OGLE LMC-ECL-33824,4658023531594994432,EllipVar
OGLE BLG-ELL-1752,4110570125054020224,EllipVar
OGLE BLG-ELL-25402,6760523513154139008,EllipVar
OGLE BLG-ELL-4590,4119776031081945856,EllipVar
OGLE BLG-ELL-4369,4119804132949642368,EllipVar
OGLE BLG-ELL-10942,4070684108211217536,EllipVar
ZTF J201315.46+340849.1,2055666730504136192,EllipVar
CRTS J094447.1+181300,621262312086174720,EllipVar
Gaia DR3 5935169028099906816,5935169028099906816,EllipVar
OGLE BLG-ELL-16706,4062289405597336960,EllipVar
OGLE BLG-ELL-1807,4061345509245300864,EllipVar
ZTF J194044.35+143412.3,4318018424183504384,EllipVar
Gaia DR3 5874546561125662208,5874546561125662208,EllipVar
OGLE BLG-ELL-21670,4050509680373181056,EllipVar
OGLE BLG-ELL-25008,4052778011600749440,EllipVar
OGLE BLG-ELL-18051,4062905231124444288,EllipVar
ATO J305.7378+36.2812,2057298203894617216,EllipVar
OGLE BLG-ELL-10543,4063377269218584064,EllipVar
OGLE BLG-ELL-11815,4056539406492210944,EllipVar
OGLE BLG-ELL-14141,4062772774254540032,EllipVar
OGLE BLG-ELL-25296,4077482281118866432,EllipVar
Gaia DR3 3026814159608052224,3026814159608052224,EllipVar
OGLE BLG-ELL-10628,4056609947006882816,EllipVar
OGLE BLG-ELL-8755,4056339772143098368,EllipVar
ZTF J195241.17+270921.8,2027178178067815552,EllipVar
OGLE BLG-ELL-2363,4116612388123042048,EllipVar
OGLE BLG-ELL-816,4058219322796028672,EllipVar
OGLE LMC-ECL-27301,4655367382018566016,EllipVar
OGLE BLG-ELL-12749,4062658665564874112,EllipVar
ZTF J200007.39+245718.3,1834359989318826880,EllipVar
OGLE BLG-ELL-24654,4065221837464013696,EllipVar
OGLE BLG-ELL-18730,4042624154748415872,EllipVar
ZTF J193058.38+245855.5,2024380956116679040,EllipVar
ATO J055.7524+41.5813,237183422828574208,EllipVar
IRAS 05551-6528,4755868963909356288,EllipVar
Gaia DR3 5971443943970291712,5971443943970291712,EllipVar
Gaia DR3 5353808508382559744,5353808508382559744,EllipVar
OGLE BLG-ELL-9088,4070230697081860096,EllipVar
OGLE BLG-ELL-20939,4064919192769556224,EllipVar
OGLE BLG-ELL-2829,4116844694323371136,EllipVar
OGLE BLG-ELL-11355,4043160583344356736,EllipVar
OGLE BLG-ELL-436,4059737301727306112,EllipVar
Gaia DR3 4151366060896624256,4151366060896624256,EllipVar
OGLE BLG-ELL-7630,4056436430367174400,EllipVar
OGLE BLG-ELL-25347,4071297253340604800,EllipVar
OGLE BLG-ELL-16797,4050167564727482624,EllipVar
Gaia DR3 5924985037844870784,5924985037844870784,EllipVar
OGLE BLG-ELL-8979,4056458897240978048,EllipVar
Gaia DR3 5917523550108534656,5917523550108534656,EllipVar
OGLE BLG-ELL-15614,4044118700287801344,EllipVar
OGLE BLG-ELL-157,4107389620203401344,EllipVar
OGLE BLG-ELL-13144,4056253769605580416,EllipVar
Gaia DR3 5959554924670312832,5959554924670312832,EllipVar
OGLE BLG-ELL-23663,4045456020069705472,EllipVar
OGLE BLG-ELL-4831,4068417151347305216,EllipVar
OGLE BLG-ELL-5705,4117001344761874048,EllipVar
OGLE BLG-ELL-19888,4049093715526535680,EllipVar
OGLE BLG-ELL-2208,4117585838276022656,EllipVar
OGLE BLG-ELL-25134,4046443102233127808,EllipVar
OGLE BLG-ELL-266,4107347903192392320,EllipVar
OGLE BLG-ELL-21244,4064809447544785152,EllipVar
Gaia DR3 5932047823859025024,5932047823859025024,EllipVar
OGLE BLG-ELL-323,4107425624878120960,EllipVar
OGLE BLG-ELL-12297,4062613585474178688,EllipVar
OGLE BLG-ELL-8807,4119400101179127296,EllipVar
OGLE BLG-ELL-20893,4050819850089602688,EllipVar
OGLE BLG-ELL-20364,4042593540222432640,EllipVar
Gaia DR3 5520688053904629888,5520688053904629888,EllipVar
Gaia DR3 5932780850171563520,5932780850171563520,EllipVar
Gaia DR3 5601638944666936704,5601638944666936704,EllipVar
Gaia DR3 2940811150353368960,2940811150353368960,EllipVar
OGLE BLG-ELL-1663,5974643488411097472,EllipVar
OGLE BLG-ECL-62668,4053384460867246080,EllipVar
OGLE LMC515.09.032767,4651021528045819776,EllipVar
Gaia DR3 5886159293749662464,5886159293749662464,EllipVar
OGLE BLG-ELL-7087,4041856661427150080,EllipVar
Gaia DR3 5906470606365463936,5906470606365463936,EllipVar
Gaia DR3 5891112559254628352,5891112559254628352,EllipVar
OGLE BLG-ELL-16085,4062790851658435328,EllipVar
ZTF J194009.74+264333.9,2022074558678289024,EllipVar
OGLE BLG-ELL-20180,4043003039584884096,EllipVar
OGLE BLG-ELL-3398,4116455329759002880,EllipVar
ZTF J184603.81+092755.0,4311428741756443264,EllipVar
OGLE BLG-ELL-1484,4058540856870577792,EllipVar
OGLE BLG-ELL-23842,4052660634325082240,EllipVar
OGLE BLG-ELL-20974,4049157938214465280,EllipVar
OGLE BLG-ELL-19959,4065854052309067776,EllipVar
OGLE BLG-ELL-24721,4053094980116322176,EllipVar
OGLE BLG-ELL-20210,4063301914018052224,EllipVar
