Star,Gaia_DR3_ID,otype
TYC 1464-83-1,1442513183529109120,EmLine*
2MASS J21374712+5651454,2178156281516218624,EmLine*
ESO-HA  319,3326802953619606656,EmLine*
HD 294533,3024291158372394624,EmLine*
CD-50 10716,5937387292817298048,EmLine*
UCAC4 536-030099,3358945453772420224,EmLine*
[MO2001]  17,2206813265376556672,EmLine*
UCAC4 592-017273,3421601609213798656,EmLine*
HD 288914,3126664796252981504,EmLine*
HD 233161,215615162217030912,EmLine*
[BE74] 508,4651610629984686592,EmLine*
NGC  2175     3,3375023234348980224,EmLine*
TYC 3146-371-1,2126972881359676672,EmLine*
BD+01   521,560647851057152,EmLine*
2MASS J02305383-0114563,2499686947845959168,EmLine*
TYC 2841-1488-1,352408113951454208,EmLine*
HD  25341,3252852137995444224,EmLine*
BD+44  3635,2163312908901355136,EmLine*
TYC 2037-1740-1,1316559247485948416,EmLine*
EM* VES  623,511217385884613376,EmLine*
[MDN2017] VPHAS OB1 01237,5255670292376182912,EmLine*
TYC 3476-10-1,1603366683790192000,EmLine*
TYC  763-2349-1,3154818169436819200,EmLine*
HD  83557,3853988817443067136,EmLine*
LS   I +62   38,2016067960971021568,EmLine*
TYC  760-2028-1,3354225868830499328,EmLine*
BD+38  2814,1331560945479304320,EmLine*
TYC   42-1406-1,2515514791389364864,EmLine*
TYC  870-672-1,3922811751351913216,EmLine*
TYC 8613-362-1,5351475787076066560,EmLine*
BD+49  2568,1409097960009333376,EmLine*
GSC 01868-00099,3429611688864226432,EmLine*
HD  14709,102923844662831616,EmLine*
TYC  760-2377-1,3354208761979723136,EmLine*
UCAC4 625-022572,183575324665076736,EmLine*
2MASS J12181233+2906317,4013307433833347072,EmLine*
ESO-HA 1153,3017189996885072640,EmLine*
HD 293957,3210348420079632384,EmLine*
EM* VES   73,2028331776261488768,EmLine*
TYC 2298-1694-1,305506216380856960,EmLine*
CPD-53  3124,5404354466663515264,EmLine*
TYC 3765-482-1,992721290347178624,EmLine*
UCAC4 577-023494,3426590505790635520,EmLine*
TYC 3430-945-1,1016169887637399040,EmLine*
TYC  783-49-1,3151430093073778304,EmLine*
TYC 5363-2148-1,3007283362758992896,EmLine*
2MASS J10451844-0004376,3806429201465744512,EmLine*
TYC 3005-968-1,780408064628000896,EmLine*
SS  67,3133061407007240832,EmLine*
BD+06  2105,580324195645676416,EmLine*
EM* GGA  231,463177798716912000,EmLine*
BD+39  2771,1487628413359726208,EmLine*
HD 224141,1921405301208714880,EmLine*
TYC  204-1332-1,3093328634486598528,EmLine*
2MASS J08154064-0741019,3062931050692468224,EmLine*
KHA  70,3326487599940283904,EmLine*
UCAC4 516-049174,608292855174410880,EmLine*
TYC 1330-1501-1,3357518631277646592,EmLine*
EM* GGR   35,1978918211848841984,EmLine*
TYC 2459-938-1,897364838758790656,EmLine*
ATO J079.9881+33.3960,181208763326157952,EmLine*
UCAC4 443-004916,3251029388235074048,EmLine*
Cl Melotte   22   285,68310187829482240,EmLine*
[BE74] 537,4651632998176072320,EmLine*
BD+23  2182,630137024481162496,EmLine*
HD 239120,2142158953707606912,EmLine*
EM* AS   47,508077936588353024,EmLine*
UCAC4 580-020696,3429725316519392384,EmLine*
VPHAS J180256.0-241902.9,4066025958392312576,EmLine*
UCAC2  31977724,3278678016864321280,EmLine*
TYC  790-785-1,3164432848864062080,EmLine*
BD-04  1980,3060208664203492992,EmLine*
NGC  2682   228,604904022898639232,EmLine*
EM* UHA    7,2066587427881578752,EmLine*
UCAC4 477-024664,3132283060152617216,EmLine*
TYC  734-2340-1,3329905637995099648,EmLine*
2MASS J16094917+5357052,1428928717368313728,EmLine*
Cl* NGC 2548    WTB      81,3064558366555647616,EmLine*
UCAC4 661-028545,204920418775727104,EmLine*
2MASS J05264807-0553022,3209051580475484928,EmLine*
ATO J121.4603-01.8697,3082758445095755776,EmLine*
TYC 3521-142-1,1415189971686364928,EmLine*
HD  83275,3827444235926796928,EmLine*
TYC 2444-74-1,939391261251748608,EmLine*
BD+25  3233,4570447842693755008,EmLine*
TYC 2460-193-1,896909877165689984,EmLine*
TYC 3871-404-1,1600760875593624320,EmLine*
TYC 1210-203-1,93908124192905216,EmLine*
TYC 2479-3-1,919073665056175744,EmLine*
HD   8266,293693578847888768,EmLine*
BD+18  3195,4467281319493352576,EmLine*
[MA93]   72,4685847119977904512,EmLine*
TYC 2607-1587-1,4597495931815555456,EmLine*
TYC 3503-1371-1,1409116548627767296,EmLine*
BD+33  2372,1458177856972199168,EmLine*
UCAC2  43224560,217107577453306112,EmLine*
TYC 3778-530-1,1000924368644242176,EmLine*
TYC 3647-392-1,1940696198363954944,EmLine*
[D75b] Em* 19-009,2020754835471012608,EmLine*
Gaia DR3 2031866465633029504,2031866465633029504,EmLine*
UCAC4 614-015050,172036564308761728,EmLine*
TYC 4715-1203-1,5169861209461759360,EmLine*
2MASS J22222816+6154302,2204708280427144576,EmLine*
TYC 4873-1620-1,5760877331053810688,EmLine*
TYC  779-127-1,3148734056204484480,EmLine*
BD+42  1711,949033222312843776,EmLine*
[NSW2012] 603,2202561007244520320,EmLine*
WRAY 15-246,5314880024305268224,EmLine*
HD  58878,3142588026722788992,EmLine*
HD 279197,218488151742114816,EmLine*
[BVD2011] 82,2178383846063003520,EmLine*
TYC 3765-417-1,992953184221270528,EmLine*
HD 302510,5258287164389980800,EmLine*
BD+45  2044,1541569319946902784,EmLine*
TYC  170-2244-1,3116444526433329024,EmLine*
HD  94221,3762891358504779520,EmLine*
BD+18  2822,1245472625293100928,EmLine*
TYC   46-107-1,2503089936333928448,EmLine*
HD    500,2880766820356986752,EmLine*
TYC  244-111-1,3835238776935306240,EmLine*
2MASS J06244825+2639074,3432213305172227200,EmLine*
UCAC4 764-069717,2207280145503038976,EmLine*
HD 150666,4564270855087338240,EmLine*
HD  97538,756628759150788608,EmLine*
HD 260450,3130928835484053248,EmLine*
BD+54   516,455938923401343232,EmLine*
UCAC2   1671390,4655166450609853824,EmLine*
HD 308181,5241014730094020608,EmLine*
TYC 1875-1369-1,3431160900749309824,EmLine*
TYC 3002-403-1,756116966552755968,EmLine*
HD 117283,3746939506370698496,EmLine*
TYC 1864-1214-1,3423840695924813952,EmLine*
TYC  849-1209-1,3870460287606135168,EmLine*
PM J05301+4300,195463274447721728,EmLine*
TYC 2848-606-1,139319638048741888,EmLine*
UCAC4 503-050313,598408520517927296,EmLine*
TYC   59-1168-1,3269038907660542592,EmLine*
Haro 4-423,3017377875945840000,EmLine*
BD-01   474,3262700532363449472,EmLine*
HD  17872,1222626866037120,EmLine*
2MASS J05351465-1140083,3009793272926373376,EmLine*
TYC 3481-251-1,1588646250319642624,EmLine*
[M81] I-533,5938473399818168576,EmLine*
TYC 4716-496-1,3263366522877320448,EmLine*
[D75b] Em* 05-103,3441541390023856640,EmLine*
HD 233646,1019750172375313536,EmLine*
TYC 3395-1351-1,978622007929299456,EmLine*
TYC 3768-915-1,996395922630340992,EmLine*
AzV 427,4687460240963577088,EmLine*
HD 255055,3377453292485462144,EmLine*
[MA93] 1613,4687218245323395584,EmLine*
[M60b]+28 277,4010481379712589056,EmLine*
2MASS J05343819-0535495,3017263492362315264,EmLine*
AL 390,4657777653265622016,EmLine*
TYC 3557-1452-1,2080254937235391232,EmLine*
AL 235,4660206646275557504,EmLine*
UCAC4 661-060711,1383412440671736320,EmLine*
[BVD2011] 156,2175230923442891776,EmLine*
TYC   67-45-1,3274126171870363136,EmLine*
Hen 3-1587,4066540254982043392,EmLine*
BD+45  2243,1586582398275247872,EmLine*
UCAC4 563-030927,3382234523096849152,EmLine*
HD 262861,3351231658148843776,EmLine*
[MA93] 1752,4687451547949296256,EmLine*
TYC  724-334-1,3343122420595567872,EmLine*
HD 109415,3960789123493127296,EmLine*
TYC   33-111-1,2512524433294905728,EmLine*
2MASS J05305213-0218246,3217029533767427968,EmLine*
[BSM2001] CTIO-2078,4182446372685354368,EmLine*
TYC 3877-697-1,1405031347534213376,EmLine*
HD 316307,4057300302851551872,EmLine*
UCAC4 737-023561,458579984691759104,EmLine*
BD+23   953,3404555949168913664,EmLine*
LS  IV -05    2,4362251497744952832,EmLine*
TYC 3263-799-1,377381222770214656,EmLine*
2MASS J05460562-0737199,3015867353116664704,EmLine*
TYC 2458-1441-1,894059844243498112,EmLine*
TYC 3736-487-1,277109026492802304,EmLine*
TYC 3763-1504-1,999355120738180096,EmLine*
TYC  230-1147-1,578861471519274496,EmLine*
BD+37  2281,1519777480520299392,EmLine*
AG-02  435,3073020856584128512,EmLine*
TYC 2282-1197-1,313917338598527232,EmLine*
UCAC4 618-021221,181886642306087808,EmLine*
CD-22 12128,4116786974336822912,EmLine*
[MDN2017] VPHAS OB1 02994,5255296011751365888,EmLine*
TYC 3873-1453-1,1597604349508327040,EmLine*
BD+32  2358,1468418055438552832,EmLine*
TYC  810-478-1,596772722093688832,EmLine*
TYC  168-2542-1,3139230354431488384,EmLine*
2MASS J05252060-0605061,3209141289455535744,EmLine*
BD+09  2120,591157477555473792,EmLine*
BD-07  1079,3015074089836082944,EmLine*
LHA 115-S  61,4686445460430959616,EmLine*
BD+29  2191,4019116974100926848,EmLine*
UCAC4 592-022305,3443164097389152128,EmLine*
TYC 3418-1718-1,1027209186242486272,EmLine*
2MASS J09534437+4049591,806561670978537216,EmLine*
BD+05  2735,3715955028181270784,EmLine*
BD+29  2346,1464103812327049984,EmLine*
TYC 3011-300-1,778371842108353792,EmLine*
HD 137146,1596337093638038272,EmLine*
BD+26  2591,1279271509651326336,EmLine*
HD  51003,3353459096908761344,EmLine*
UCAC4 643-050956,1496534663703282432,EmLine*
CoRoT 102590970,3119533569992434432,EmLine*
TYC   53-1300-1,6522646573357056,EmLine*
XO-4,990291507088739072,EmLine*
HD 258983,3131974853300252544,EmLine*
BD+32  2611,1370254035266474752,EmLine*
HD 314654,4066892442266625536,EmLine*
UCAC4 605-018449,156427862883548544,EmLine*
TYC 4874-1253-1,5755402484702384128,EmLine*
TYC   62-31-1,10352352947842560,EmLine*
TYC 3265-1709-1,398207175591532416,EmLine*
KHA   8,3327883361233843200,EmLine*
2MASS J05363441-0501451,3017401923453411712,EmLine*
TYC  644-635-1,15058292778740224,EmLine*
BD+44  3515,2070718739751090048,EmLine*
[MDN2017] VPHAS OB1 01528,5255588000797781120,EmLine*
HD  62299,1082856848410292352,EmLine*
[MA93]  195,4685949026635539584,EmLine*
TYC 5697-1476-1,4203077948170849280,EmLine*
2MASS J10473180+1216538,3872402716630986112,EmLine*
UCAC4 721-029501,446772294955903360,EmLine*
EM* GGA  100,506602563784498560,EmLine*
TYC  215-273-1,3080086799339493888,EmLine*
[MA93] 1142,4685995141777986176,EmLine*
TYC 1963-25-1,647568716187739904,EmLine*
TYC 4875-557-1,5755281018731358464,EmLine*
TYC 3861-334-1,1612365155673089792,EmLine*
UCAC4 561-031135,3376262834928568960,EmLine*
BD+41  2686,1380879887435991296,EmLine*
2MASS J06355060+0339388,3130229511731504768,EmLine*
TYC 1502-1472-1,1218237790993119744,EmLine*
EM* VES  182,2055865437180889984,EmLine*
TYC 3443-488-1,831554429275064320,EmLine*
UCAC4 569-027030,3377540020763010048,EmLine*
[K92]  84,1438331912607134080,EmLine*
UCAC4 627-015192,171117411247416320,EmLine*
TYC 3475-725-1,1508470171660833536,EmLine*
TYC 1773-328-1,106815016313890688,EmLine*
TYC  306-610-1,3718850454613656064,EmLine*
BD+50   796,442120089459104640,EmLine*
TYC  813-2518-1,598860969552949376,EmLine*
TYC 8992-942-1,5862934515778624768,EmLine*
ESO-HA  229,5524595374628984192,EmLine*
BD+30    48,2862473523850163328,EmLine*
UCAC4 459-019018,3123852039349078656,EmLine*
LIN 170,4689032645693164928,EmLine*
TYC 3433-214-1,820606866871111424,EmLine*
Cl* NGC 2244    CDZ     429,3131722824618024192,EmLine*
TYC   30-40-1,2507895695500349824,EmLine*
GSC 08962-00936,5241655294373759744,EmLine*
HD  67540,1032596797514395520,EmLine*
TYC 3458-682-1,1544304492561838848,EmLine*
BD+31  2246,756729467543917440,EmLine*
[KW97] 43-42,2062434366319616000,EmLine*
EM* VES  176,2074624239417906304,EmLine*
TYC 2323-1077-1,132436214221653888,EmLine*
WRAY 15-151,5534416556086930816,EmLine*
2MASS J05503718-0655301,3018946810306575488,EmLine*
TYC 2984-270-1,812223434306770816,EmLine*
BD-07   428,2488245292408347904,EmLine*
TYC 3220-3273-1,1917924178676720512,EmLine*
UCAC4 564-026167,3377419997900225536,EmLine*
BD+38  2606,1295201199755841664,EmLine*
TYC 2535-1203-1,1466592934854607872,EmLine*
HD  19449,613978460597248,EmLine*
HD  82997,3825514799178724736,EmLine*
TYC 3747-889-1,281423613198905216,EmLine*
TYC 3495-1872-1,1410886796708360192,EmLine*
ATO J084.3202+00.6659,3222432499544971776,EmLine*
TYC 2442-617-1,890539581672265984,EmLine*
HD 262209,3326632220078688128,EmLine*
TYC 2516-264-1,753104682650126592,EmLine*
CD-24 12827,6046706648693327360,EmLine*
TYC 3042-672-1,1493213485751969920,EmLine*
TYC 2344-670-1,137445589197755648,EmLine*
UCAC4 641-001345,378810862763561472,EmLine*
ESO-HA 2717,3046362239395748992,EmLine*
[MDN2017] VPHAS OB1 01458,5255489594514523264,EmLine*
[NSW2012] 478,2178069347065968640,EmLine*
UCAC4 631-014949,219398306851988480,EmLine*
UCAC4 768-010116,523356131693165824,EmLine*
TYC 1428-887-1,3982704898495709440,EmLine*
TYC 1448-130-1,3948317461883019392,EmLine*
BD+47  2092,1503906167611556736,EmLine*
TYC 2289-677-1,364655578269496064,EmLine*
TYC 3246-1529-1,386602036518110336,EmLine*
BD-03  2827,3822390743046697856,EmLine*
HD  35656,3238066592819780608,EmLine*
[AD95]  675,3017345680871019008,EmLine*
HD  23303,3271326853920748416,EmLine*
TYC 3406-1774-1,975159615750016000,EmLine*
HD  35672,3337400974399304960,EmLine*
[MDN2017] VPHAS OB1 02857,5255306147875614592,EmLine*
WRAY 15-1415,5932863386620982400,EmLine*
BD+37  2254,4030375565147853184,EmLine*
[H2013] LMCe 1464,4657063932807142656,EmLine*
UCAC4 434-012205,3024565276067762944,EmLine*
CPD-61  3111,6054625434535463040,EmLine*
HD 287761,3234402298521552640,EmLine*
HD  18203,7894085466178560,EmLine*
TYC 3048-1094-1,1392785777298201984,EmLine*
TYC 5121-177-1,4256907396103938560,EmLine*
BD+15  3351,4501540864867208960,EmLine*
TYC  786-435-1,3151733180326120320,EmLine*
TYC 3436-1045-1,826703693206454656,EmLine*
TYC 3814-1433-1,1020728565925231488,EmLine*
TYC 2571-1439-1,1369256056665831040,EmLine*
TYC  789-1192-1,3148009409318310400,EmLine*
TYC 3035-220-1,1484686085884257408,EmLine*
TYC 3132-1009-1,2105783058909467776,EmLine*
UCAC4 502-028650,3326954785004858112,EmLine*
[BE74] 289,4658483093069741696,EmLine*
2MASS J05223029+0221471,3234372401253541632,EmLine*
UCAC2  31270087,3254039370035712128,EmLine*
THA 14-33,4258167505140944256,EmLine*
HD 237978,856617006551609600,EmLine*
HD 287152,3294747860341760896,EmLine*
EM* VES  863,200851091882354688,EmLine*
HD 238757,1418167865786388480,EmLine*
TYC  738-2264-1,3332031883026385664,EmLine*
UCAC4 572-033728,3381430745736947456,EmLine*
TYC 3402-128-1,991469908675203840,EmLine*
2MASS J04420238+3158286,159790066359623040,EmLine*
WRAY 15-1500,5940594568229079296,EmLine*
LIN 236,4688967087319858560,EmLine*
EM* GGA  157,458728384400453504,EmLine*
LIN 240,4689058312420237696,EmLine*
UCAC4 461-003619,2502295745341206272,EmLine*
TYC 4684-1506-1,2479008398302938496,EmLine*
TYC  181-2519-1,3084285323148930176,EmLine*
2MASS J12541818+3217392,1465883715494166016,EmLine*
UCAC4 621-014755,170754538052116352,EmLine*
TYC 2989-1564-1,1009367621513212416,EmLine*
WRAY 15-1298,6211330821002126464,EmLine*
Haro 4-375,3209575463407638400,EmLine*
HD 286982,3308019652883298816,EmLine*
2MASS J01031658+6137011,522714223060690432,EmLine*
UCAC4 463-020152,3126993309709910144,EmLine*
TYC 4017-2273-1,426596668907707264,EmLine*
LIN 369,4687495562785029120,EmLine*
EM* GGA  241,446517414416045824,EmLine*
HD  80312,817497344908242816,EmLine*
BD+44  2275,1549874274869828480,EmLine*
TYC 3009-83-1,776794214721132800,EmLine*
[M81] I-574,4053363531491568256,EmLine*
BD+13  2613,3737307440912300288,EmLine*
UCAC4 443-048751,3073298964306057600,EmLine*
