Star,Gaia_DR3_ID,otype
V* V862 Tau,64021680164106112,Eruptive*
V* V574 Tau,65398303082852864,Eruptive*
BD+21  1929,661633943808985088,Eruptive*
UCAC4 666-073609,2102916494656935296,Eruptive*
UCAC4 677-065328,2107129995012014848,Eruptive*
V* V542 Tau,66742559127195136,Eruptive*
TYC 1396-611-1,660468152245931264,Eruptive*
Kepler-108,2080062630080517376,Eruptive*
UCAC4 663-082618,2078452189147366400,Eruptive*
V* V352 Tau,66719194505127168,Eruptive*
LP  772-73,5111963126166680192,Eruptive*
UCAC4 160-002542,4727935836644070656,Eruptive*
2MASS J18552542+4742198,2131630103375004032,Eruptive*
Kepler-638,2104054832788419072,Eruptive*
UCAC4 553-044208,664634820279791488,Eruptive*
2MASS J20030906+4415154,2076069478730772736,Eruptive*
Cl* Melotte   22     DH     904,53864804065393536,Eruptive*
2MASS J00332438-5116433,4926142568697429376,Eruptive*
UCAC4 683-069259,2127760062966336128,Eruptive*
V* V603 Cas,507305387928440448,Eruptive*
LEHPM 630,4997732492334730368,Eruptive*
UCAC4 260-000506,4997583955185946496,Eruptive*
2MASS J04400675+2536457,148184656704340352,Eruptive*
UCAC4 659-075704,2077505509633959936,Eruptive*
LEHPM 3664,4779473318188791680,Eruptive*
KOI-6529,2073577263839408256,Eruptive*
UCAC4 685-064570,2107365629800159872,Eruptive*
2MASS J19021006+4429347,2105970044605373696,Eruptive*
UCAC4 686-072486,2080560296530320384,Eruptive*
Kepler-512,2086940448965828992,Eruptive*
UCAC4 044-002590,4622050053687336448,Eruptive*
UCAC4 647-072221,2076233305965613440,Eruptive*
LP  356-106,117709729140217216,Eruptive*
UCAC4 659-076132,2077467610841924480,Eruptive*
UCAC4 664-072832,2102704357633972608,Eruptive*
UCAC4 676-077275,2079200887845122304,Eruptive*
V* V1996 Aql,4248477234264300800,Eruptive*
ASAS J050458-6349.0,4664344761318462208,Eruptive*
UCAC4 683-069830,2127716868474622464,Eruptive*
Smethells 119,6512664180298450688,Eruptive*
