Star,Gaia_DR3_ID,otype
HH  702A,151235011198592128,HerbigHaroObj
HH  434B,145983606225334144,HerbigHaroObj
HH  321B,6053192251174306048,HerbigHaroObj
HH  111P,3316192009278854400,HerbigHaroObj
HH  365,2020128388698938368,HerbigHaroObj
HH  393,147869539250801920,HerbigHaroObj
HH   24A,3219118296621684224,HerbigHaroObj
HH  702D,151234908118036096,HerbigHaroObj
HH   94,3216267705353862016,HerbigHaroObj
HH  446,3216439847641545344,HerbigHaroObj
HH  143,5873625200444202752,HerbigHaroObj
[O95] HH124-W G,3326953651141461120,HerbigHaroObj
HH    3ONG,3314312776404423936,HerbigHaroObj
HH  486,220640475815765504,HerbigHaroObj
HH  959,3315855215123435776,HerbigHaroObj
HH  396K,3349702065681894656,HerbigHaroObj
HH  376,2246968254653256832,HerbigHaroObj
HH  701B,164023946337001856,HerbigHaroObj
