Star,Gaia_DR3_ID,otype
HD 215227,1982359580155628160,HighMassXBin
GRO J2058+42,2065653598916388352,HighMassXBin
SAX J2103.5+4545,2162805896614571904,HighMassXBin
BD+49  3718,1979911002134040960,HighMassXBin
BD+53  2790,2005653524280214400,HighMassXBin
BD+47  3129,2083644392294059520,HighMassXBin
BD+60    73,427234969757165952,HighMassXBin
* gam Cas,426558460884582016,HighMassXBin
EM* AS   14,414196617287885312,HighMassXBin
V* V490 Cep,2178178409188167296,HighMassXBin
4U 2238+60,2201091578667140352,HighMassXBin
EM* GGA  104,511220031584305536,HighMassXBin
V* V662 Cas,524924310153249920,HighMassXBin
V* V635 Cas,524677469790488960,HighMassXBin
LS   I +61  303,465645515129855872,HighMassXBin
V* BQ Cam,444752973131169664,HighMassXBin
IGR J01583+6713,518990967445248256,HighMassXBin
LS   V +44   17,252878401557369088,HighMassXBin
V* CI Cam,276644757710014976,HighMassXBin
2MASS J07371703+6535579,1089775246157192320,HighMassXBin
UCAC4 779-021043,1089778926942542592,HighMassXBin
CXOU J095546.6+694037,1070553278936997632,HighMassXBin
2MASS J14025336+5418560,1609273706933372928,HighMassXBin
2MASS J14034739+5422295,1609298132410318592,HighMassXBin
GSC 03852-01275,1609277039827482752,HighMassXBin
2MASS J13293864+4713359,1552000799077437056,HighMassXBin
V* KV UMa,789430249033567744,HighMassXBin
V* X Per,168450545792009600,HighMassXBin
V* V518 Per,172650748928103552,HighMassXBin
HD  34921,184497471323752064,HighMassXBin
HD 245770,3441207615229815040,HighMassXBin
IGR J06074+2205,3423526544838563328,HighMassXBin
HD 259440,3131822364779745536,HighMassXBin
1A 0620-00,3118721026600835328,HighMassXBin
EM* GGA  401,3131755947406031104,HighMassXBin
HD  49798,5562023884304074240,HighMassXBin
2E  1752,3052677318793446016,HighMassXBin
V* V441 Pup,5613494119551805184,HighMassXBin
CD-29  5159,5597252305589385984,HighMassXBin
V* V572 Pup,5548261400354128768,HighMassXBin
2MASS J23575272-3233100,2313979880591582208,HighMassXBin
[ZFB2006]  27,3566899528202798592,HighMassXBin
[ZFR2002] 33,3566896504545816064,HighMassXBin
2MASS J12153725+3622190,4029533815982254208,HighMassXBin
[LBZ2013] NGC 4214   80,4029532858204430976,HighMassXBin
CXOU J133714.4-295149,6175801030460036736,HighMassXBin
HD 153295,5966213219190201856,HighMassXBin
AX J1700-419,5966358530819164544,HighMassXBin
HD 153919,5976382915813535232,HighMassXBin
IGR J17354-3255,4054559284753424000,HighMassXBin
AX J1739.1-3020,4056922105185686784,HighMassXBin
HD 161103,4060784345959549184,HighMassXBin
IGR J17544-2619,4063908810076415872,HighMassXBin
2CXO J180112.3-254436,4064178675797466624,HighMassXBin
V* V4641 Sgr,4053096388919082368,HighMassXBin
SAX J1802.7-2017,4070968778561141760,HighMassXBin
SAX J1818.6-1703,4097365235226829312,HighMassXBin
V* V479 Sct,4104196427943626624,HighMassXBin
IGR J18214-1318,4152643113595580416,HighMassXBin
ATO J278.3657-10.5901,4155000844481174656,HighMassXBin
X Sct X-1,4156747212545110400,HighMassXBin
IGR J18410-0535,4256500538116700160,HighMassXBin
XTE J1855-026,4255891924062617088,HighMassXBin
Ginga 1843+009,4278536022438800640,HighMassXBin
XTE J1858+034,4280844279597417984,HighMassXBin
4U 1901+03,4268774695647764352,HighMassXBin
SS 433,4293406612283985024,HighMassXBin
4U 1908+075,4306419980916246656,HighMassXBin
2MASS J19044747+0902419,4310649153642824320,HighMassXBin
IGR J19140+0951,4309253392325650176,HighMassXBin
[IC56] 31,4512787627579740032,HighMassXBin
XTE J1946+274,2028089540103670144,HighMassXBin
KS 1947+300,2031939548802102656,HighMassXBin
IGR J20006+3210,2033989790047905024,HighMassXBin
DO 18341,2034031438383765760,HighMassXBin
HD 226868,2059383668236814720,HighMassXBin
V* V2246 Cyg,2063791369815322752,HighMassXBin
V* GP Vel,5620657678322625920,HighMassXBin
HD  74194,5522306019626566528,HighMassXBin
HD  63666,5489434710755238400,HighMassXBin
X LMC X-3,4757068874690668160,HighMassXBin
V* MM Vel,5414249796406957056,HighMassXBin
RGC  28,4660245713290392448,HighMassXBin
1A 0535-668,4660250867252215424,HighMassXBin
X LMC X-4,4660300345280168192,HighMassXBin
RX J0529.7-6556,4660363017447834112,HighMassXBin
SK -65   66,4660694932493354752,HighMassXBin
2MASS J05301136-6551240,4660739153472610048,HighMassXBin
CAL E,4662117563109027968,HighMassXBin
Brey  84,4657685534828257792,HighMassXBin
SK -68  122,4658459900242918912,HighMassXBin
BI 267,4657768547932332544,HighMassXBin
UCAC2   2073373,4657822114771262848,HighMassXBin
X LMC X-1,4657637156283982336,HighMassXBin
OGLE BRIGHT-LMC-MISC-414,4655263924844830848,HighMassXBin
RX J0544.1-7100,4657045928301192320,HighMassXBin
[BE74] 595,4651843657744679552,HighMassXBin
SV* HV  2289,4655053441413348096,HighMassXBin
OGLE LMC130.4   19472,4654675862233625472,HighMassXBin
2MASS J03181884-6632299,4671553503143187200,HighMassXBin
GRO J1008-571,5258414192353423360,HighMassXBin
IGR J10101-5654,5259009543533179648,HighMassXBin
LS 1698,5352018121173519488,HighMassXBin
RX J0209.6-7427,4637549834744401152,HighMassXBin
HD  96670,5337747731560719616,HighMassXBin
[DI91]  286,4637528703505429632,HighMassXBin
SXP 1062,4686241260504728064,HighMassXBin
AzV 503,4686519986703581696,HighMassXBin
RX J0123.4-7321,4686448754669548800,HighMassXBin
[MA93] 1867,4686394126985362048,HighMassXBin
HD 306414,5339047221168787712,HighMassXBin
V* V779 Cen,5337498593446516480,HighMassXBin
WRAY 15-793,5336957010898124160,HighMassXBin
HD 100199,5333660129603575808,HighMassXBin
V* GU Mus,5234956524083372544,HighMassXBin
AzV 285,4687479241906753536,HighMassXBin
AzV 138,4685960021758355584,HighMassXBin
SK  160,4686397666038575104,HighMassXBin
LIN 193,4685938413838450688,HighMassXBin
LIN 268,4685983081508292352,HighMassXBin
LIN 516,4686414330511426304,HighMassXBin
[MA93]  302,4685877253451787520,HighMassXBin
[MA93]  341,4685933362954966400,HighMassXBin
[MA93]  374,4685928891866620288,HighMassXBin
[MA93]  393,4685874676510654080,HighMassXBin
[MA93]  463,4688960558970383616,HighMassXBin
[MA93] 1147,4685989025745460864,HighMassXBin
[MA93] 1592,4687195838466893056,HighMassXBin
SXP 65.8,4687431825466737152,HighMassXBin
[MA93] 1641,4687436567110380032,HighMassXBin
[MA93] 1845,4686396326008630784,HighMassXBin
[MA93]  414,4685933466034071680,HighMassXBin
V* DZ Tuc,4685928999266932864,HighMassXBin
RX J0111.2-7317,4687174367933821952,HighMassXBin
LIN 139,4685927315640017792,HighMassXBin
[MA93]  172,4685947038135411840,HighMassXBin
LIN  78,4688857372328703488,HighMassXBin
OGLE SMC720.11.013342,4685761186262518528,HighMassXBin
OGLE J005342.19-725309.4,4685955696790980352,HighMassXBin
SXP 6.85,4687425743792160640,HighMassXBin
[MA93]  448,4685928312072054784,HighMassXBin
2MASS J00520059-7329255,4685881067424549248,HighMassXBin
AX J0048.2-7309,4685947587903041920,HighMassXBin
RX J0049.2-7311,4685944907831053184,HighMassXBin
LIN 110,4685949198438263040,HighMassXBin
2dFS  2912,4687176326438698240,HighMassXBin
LIN 203,4685885980866646656,HighMassXBin
AzV 102,4688984061034529408,HighMassXBin
[MA93]  810,4689005982553402624,HighMassXBin
LIN 301,4685986345682962816,HighMassXBin
LIN 365,4690499218096543744,HighMassXBin
AzV 294,4690582819623083264,HighMassXBin
LIN 198,4688985847741087744,HighMassXBin
LIN 384,4690523961395749248,HighMassXBin
[MA93] 1367,4690508121555857792,HighMassXBin
LIN 221,4689080337014302336,HighMassXBin
[MA93] 1240,4690507052120063488,HighMassXBin
[MA93]  413,4689050306600221696,HighMassXBin
[MA93]  760,4689005845114307456,HighMassXBin
[MA93]  798,4689006257431240960,HighMassXBin
[MA93]  904,4689006875906895616,HighMassXBin
[MA93]  985,4689001206548003200,HighMassXBin
[MA93] 1104,4689003130693036672,HighMassXBin
[MA93] 1640,4687531331264052352,HighMassXBin
RX J0058.2-7231,4685993080193876608,HighMassXBin
SXP  202,4688997942372848256,HighMassXBin
LIN 389,4687492917085083648,HighMassXBin
[MA93] 1257,4690505613293360640,HighMassXBin
SXP 7.92,4689000072676649984,HighMassXBin
[MA93] 1020,4689001343986819072,HighMassXBin
[MA93] 1038,4689019554651325312,HighMassXBin
[MA93] 1144,4690516608412243584,HighMassXBin
RX J0055.2-7238,4688988282947346688,HighMassXBin
RX J0053.4-7227,4689005260999717760,HighMassXBin
LIN 210,4688984885668423296,HighMassXBin
[M2002] SMC  32449,4689007219503744128,HighMassXBin
OGLE J005339.70-724042.1,4688987290852603008,HighMassXBin
CXOU J005245.0-722844,4688984610790257536,HighMassXBin
[MA93]  984,4689014160172934784,HighMassXBin
[MA93] 1393,4690513034998265728,HighMassXBin
[MA93] 1470,4687487900561970048,HighMassXBin
2dFS  1224,4689000107036507008,HighMassXBin
SXP 4.78,4689037593495132032,HighMassXBin
SXP 82.4,4688967911953904512,HighMassXBin
[MA93] 1036,4689067898788208512,HighMassXBin
RX J0059.2-7138,4690592096752436224,HighMassXBin
1E 1145.1-6141,5334851450481641088,HighMassXBin
HD 102567,5334823859608495104,HighMassXBin
HD 110432,6055103928246312960,HighMassXBin
V* BP Cru,6054569565614460800,HighMassXBin
V* V850 Cen,5863533199843070208,HighMassXBin
CPD-63  2495,5862299960127967488,HighMassXBin
IGR J13020-6359,5862285700835092352,HighMassXBin
HD 119682,5864664975280537728,HighMassXBin
4U 1416-62,5854175187710795136,HighMassXBin
IGR J14331-6112,5878377736381364608,HighMassXBin
V* BR Cir,5883218164517055488,HighMassXBin
HD 141926,5884544931471259136,HighMassXBin
V* V381 Nor,5884099221246440064,HighMassXBin
V* QV Nor,5886085557746480000,HighMassXBin
2MASS J15574819-5424541,5884711610544522112,HighMassXBin
IGR J16207-5129,5934776158877214848,HighMassXBin
SWIFT J1626.5-5156,5933976985766949376,HighMassXBin
V* IL Lup,5986117923045619072,HighMassXBin
IGR J16195-4945,5935509395659726592,HighMassXBin
EM* VRMF   55,5940576971716473344,HighMassXBin
IGR J16318-4848,5940777877435137024,HighMassXBin
V* V821 Ara,5938658156448950528,HighMassXBin
IGR J16465-4507,5943246345430928512,HighMassXBin
IGR J16418-4532,5943166184173519744,HighMassXBin
EV* N2403 V0038,1089774662043629824,HighMassXBin
OGLE SMC-SC6  99991,4685885976516294400,HighMassXBin
SXP 5.05,4688999488561351424,HighMassXBin
IGR J11435-6109,5335021664274920576,HighMassXBin
SXP 25.5,4685944632952140160,HighMassXBin
SXP 327,4689057762664474880,HighMassXBin
IGR J17586-2129,4070770243676311936,HighMassXBin
SXP 18.3,4688959218937752320,HighMassXBin
2XMM J140210.6+543010,1609291848874703488,HighMassXBin
2MASS J14023374+5422331,1609277074187222528,HighMassXBin
2XMM J140234.4+542117,1609276971108006400,HighMassXBin
IGR J18483-0311,4258428501693172736,HighMassXBin
SDSS J121406.21+543143.1,1573450239414539904,HighMassXBin
4U 1907+09,4309225217336729088,HighMassXBin
IGR J21347+4737,1978365123143522176,HighMassXBin
SXP 342,4689005432742323584,HighMassXBin
SXP 645,4688993200726721408,HighMassXBin
2MASS J20191203+4540017,2081690658900784896,HighMassXBin
IGR J19294+1816,4323316622779495680,HighMassXBin
IGR J01572-7259,4638677074680871040,HighMassXBin
1FGL J1018.6-5856,5255509901121774976,HighMassXBin
IGR J01363+6610,519352324516039680,HighMassXBin
USNO-B1.0 0574-01250312,2313980636505830400,HighMassXBin
SXP 214,4685950267951105792,HighMassXBin
CRTS J135716.8-093238,3615597791550052736,HighMassXBin
SWIFT J1743.1-3620,4040960662373474176,HighMassXBin
[PS79] 34-114,4663520643026398848,HighMassXBin
IGR J16374-5043,5940285090050544512,HighMassXBin
2XMM J140353.8+540939,1609224018454497792,HighMassXBin
2XMM J140228.4+541245,1609267144222851712,HighMassXBin
2XMM J140406.7+541225,1609225667721966848,HighMassXBin
2XMM J140346.0+541615,1609227149486109184,HighMassXBin
2XMM J140347.2+541704,1609227390005421184,HighMassXBin
[JBC2011] 2,4773934253484538624,HighMassXBin
[JBC2011] 20,4774028021210647680,HighMassXBin
2MASS J04453671-5914277,4773934047325848960,HighMassXBin
1RXS J225352.8+624354,2207277877757956352,HighMassXBin
IGR J18450-0435,4258160560148155648,HighMassXBin
SXP 292,4685928174589974272,HighMassXBin
[ZFB2006] 101,3566899455189053440,HighMassXBin
SXP 265,4638103576288626944,HighMassXBin
1RXS J194211.9+255552,2021785421455305344,HighMassXBin
SDSS J140503.59+533820.8,1609193030267734016,HighMassXBin
[LET2019] NGC 5236 329,6175802129971177088,HighMassXBin
2XMM J001544.2-391208,4997970669745648640,HighMassXBin
HD 249179,3431561565357225088,HighMassXBin
