Star,Gaia_DR3_ID,otype
BD+36  4310,1870113083792705152,HighPM*
BD+36  4317,1870098407868091904,HighPM*
BD+36  4335,1871585536014966400,HighPM*
HD 200466B,1871516919620337408,HighPM*
HD 200530,1871421468262549632,HighPM*
BD+36  4410,1868358297586642816,HighPM*
TYC 2713-2426-1,1868359908185884032,HighPM*
BD+35  4382,1868211512784279680,HighPM*
LP  285-7,1868524353899574272,HighPM*
UCAC4 630-111377,1868257726634854784,HighPM*
BD+36  4275,1870841544602291072,HighPM*
HD 199100,1870003716741503104,HighPM*
BD+36  4415,1868735773675006976,HighPM*
TYC 2700-1923-1,1870030792216356864,HighPM*
TYC 2700-2426-1,1872371686815842944,HighPM*
TYC 2700-2524-1,1871596320667524992,HighPM*
TYC 2700-3044-1,1870062330145916032,HighPM*
TYC 2700-3553-1,1869797382200265600,HighPM*
TYC 2700-3590-1,1870079239448856960,HighPM*
TYC 2713-8-1,1868138189099095296,HighPM*
TYC 2713-644-1,1868351219480797696,HighPM*
BD+35  4370,1868255905568687488,HighPM*
GSC 03168-00830,1872041214864342400,HighPM*
BD+37  4181,1871850552674859264,HighPM*
BD+36  4466,1868699695947563904,HighPM*
BD+36  4471,1868697496924183936,HighPM*
BD+36  4491,1868633347290733952,HighPM*
HD 203205,1963963925996183680,HighPM*
TYC 2714-517-1,1868781300325751424,HighPM*
HD 201653,1868751196886482944,HighPM*
HD 201750,1868557687149096320,HighPM*
BD+36  4434,1868829743248401920,HighPM*
BD+36  4452,1868867989944164992,HighPM*
BD+36  4475,1868685745893599360,HighPM*
TYC 3168-1599-1,1871877765587539200,HighPM*
TYC 3169-948-1,1964790037187338368,HighPM*
TYC 3169-1132-1,1868935060155259648,HighPM*
TYC 3169-1741-1,1868920354186779008,HighPM*
LSR J2115+3804,1964793988556886656,HighPM*
BD+39  4527,1965596494604954240,HighPM*
HD 203438,1965580100708804096,HighPM*
HD 202880,1965134802800130048,HighPM*
HD 202989,1965160641324309120,HighPM*
HD 203301,1964894215912458112,HighPM*
G 211-19,1964110569058225280,HighPM*
BD+39  4559,1964655106491358464,HighPM*
