Star,Gaia_DR3_ID,otype
[BGK2006] HV 14,3859275333773935488,HighVel*
HD   9569,4638005651034406528,HighVel*
Gaia DR3 6503261122497594624,6503261122497594624,HighVel*
SDSS J235103.13+360020.5,2878770279039668864,HighVel*
Gaia DR3 3702750168409332864,3702750168409332864,HighVel*
TYC 8107-477-1,5555485878926990080,HighVel*
NGC  6362    37,5813082486755384448,HighVel*
LAMOST J231232.05+265039.5,2845294170063133440,HighVel*
TYC 2345-984-1,124393527182610560,HighVel*
Gaia DR3 1774483437903554944,1774483437903554944,HighVel*
TYC 3236-107-1,1920370003636575232,HighVel*
TYC 3801-1253-1,1031017589580694144,HighVel*
SDSS J070327.46+120225.3,3160626850709409024,HighVel*
TYC 8265-662-1,6082840620874000384,HighVel*
SDSS J093644.57+381635.7,800810636753047808,HighVel*
Gaia DR2 4450458649852400640,4450458649852400640,HighVel*
TYC 6554-3229-1,5699141230633477632,HighVel*
SDSS J012306.01+403951.2,372180459754511744,HighVel*
SDSS J215855.39+445204.6,1973325438569054848,HighVel*
TYC  309-121-1,3664380614213911424,HighVel*
SDSS J105300.43-002548.4,3803257935052764928,HighVel*
TYC 1361-2776-1,3165781120701793024,HighVel*
SDSS J082249.67+461416.2,930126368253952384,HighVel*
SDSS J222147.98+001711.6,2678354387608996736,HighVel*
CD-29 17924,6786550740070092288,HighVel*
TYC 6441-195-1,5071835624676585984,HighVel*
LAMOST J085819.90+150352.4,610328154276042752,HighVel*
TYC 6608-406-1,5659286579818576384,HighVel*
TYC 6385-602-1,2595783508199202176,HighVel*
TYC 2532-1406-1,1467573458708662400,HighVel*
Gaia DR2 6727110900983876096,6727110900983876096,HighVel*
SDSS J135810.20+582624.0,1659163772164222336,HighVel*
SDSS J112255.77-094734.9,3590660794817798016,HighVel*
UCAC4 206-072035,6083287052654141440,HighVel*
TYC 7985-17-1,6584755824837071744,HighVel*
SDSS J192541.52+375541.9,2052571300332596224,HighVel*
TYC 5493-1209-1,3767424163909468160,HighVel*
SDSS J222249.23+003524.9,2678465957974308480,HighVel*
OM  60,4637162772291169664,HighVel*
SDSS J074256.45+275946.9,878252264355020800,HighVel*
TYC 7483-1109-1,6775361521334619776,HighVel*
UCAC2  10630922,6129973587677789696,HighVel*
Gaia DR3 2018250663356989440,2018250663356989440,HighVel*
SDSS J064542.77+365019.9,943625171293649280,HighVel*
Gaia DR2 5401875170994688896,5401875170994688896,HighVel*
Gaia DR3 5965303648201160448,5965303648201160448,HighVel*
