Star,Gaia_DR3_ID,otype
GALEX J160911.9+134744,4458465469622583424,HotSubdwarf
GD 1319,2389080300043998208,HotSubdwarf
SBSS 1715+556,1420619570557801472,HotSubdwarf
GALEX J182216.4-484919,6703554375433388416,HotSubdwarf
SDSS J203843.97+141706.0,1762387190794444928,HotSubdwarf
LAMOST J082608.70+275428.7,707100124007146112,HotSubdwarf
PG 1528+025,4421020604704127360,HotSubdwarf
LAMOST J204507.38+363813.0,1870606730148932224,HotSubdwarf
PG 0909+276,695059062934110592,HotSubdwarf
SDSS J130805.36+621409.5,1675607346515040000,HotSubdwarf
EC 21276-3049,6785850037629893888,HotSubdwarf
EC 04070-2530,4890810999489081984,HotSubdwarf
SDSS J222515.34-011156.9,2629912069952582656,HotSubdwarf
EC 19276-6456,6440495020191980800,HotSubdwarf
EC 21003-3406,6780426322866054912,HotSubdwarf
EC 04108-5848,4681744464104246144,HotSubdwarf
PHL   540,2437293614339507968,HotSubdwarf
GALEX J084528.7-121410,5747322001951403776,HotSubdwarf
V* EO Cet,2482171590176492928,HotSubdwarf
Ton  927,663084577604389760,HotSubdwarf
GALEX J180313.4+234000,4577607243942355456,HotSubdwarf
FBS 0709+751,1112369836444375808,HotSubdwarf
EC 21443-5636,6460526438420793216,HotSubdwarf
BPS CS 22956-0090,6405416373015926656,HotSubdwarf
SDSS J190125.76+385232.8,2100231281103564032,HotSubdwarf
EC 19458-7530,6366761529914269184,HotSubdwarf
LAMOST J065748.42+253251.1,3381709575012174720,HotSubdwarf
SDSS J191837.28+370917.5,2051154918896599552,HotSubdwarf
JL 286,4937050445598579456,HotSubdwarf
PG 1624+085,4440350981196959104,HotSubdwarf
EC 03471-8001,4625521246256162048,HotSubdwarf
KUV 02580-0326,5186333680352251392,HotSubdwarf
GALEX J193033.7-400753,6737621648003628416,HotSubdwarf
GALEX J214106.6+252832,1797986937760585600,HotSubdwarf
CD-40  3927,5539780553619327360,HotSubdwarf
GALEX J090302.3+205010,684794430397788672,HotSubdwarf
LAMOST J060806.00+461001.4,963326637253435904,HotSubdwarf
SDSS J080928.25-081018.7,3063581068223451904,HotSubdwarf
SDSS J132758.08+644004.3,1666122164644339200,HotSubdwarf
GALEX J201432.0+045655,4249152196959841408,HotSubdwarf
UCAC4 541-044499,669097841055847296,HotSubdwarf
GALEX J223336.8+741254,2231371476055090304,HotSubdwarf
EC 21059-2446,6804012943225234432,HotSubdwarf
GALEX J120740.8+371922,4030527980651656320,HotSubdwarf
2MASS J07321563+0612123,3141525486172958336,HotSubdwarf
GALEX J160322.8+093859,4454861094410374528,HotSubdwarf
PHL   820,2376181692916635520,HotSubdwarf
PG 1154-070,3595172468983659776,HotSubdwarf
Cl* NGC 6341    SAN      18,1360216902854635136,HotSubdwarf
SDSS J183840.52+400226.8,2110121147674988544,HotSubdwarf
GALEX J113412.7+211515,3979350082360568704,HotSubdwarf
PG 0217+155,79376016447500416,HotSubdwarf
UCAC4 594-008171,121824174666929024,HotSubdwarf
PG 2138+049,2698679998215051264,HotSubdwarf
LAMOST J071051.21+051445.0,3140551456311037440,HotSubdwarf
PG 1652+307,1312842039189917952,HotSubdwarf
SDSS J080049.97+125614.4,653323903647263104,HotSubdwarf
EC 12186-3014,3469982934038816256,HotSubdwarf
PG 0009+036,2740874650284753792,HotSubdwarf
KUV 07088+3232,890152695314991488,HotSubdwarf
EC 05217-3914,4819562302412127616,HotSubdwarf
EC 03563-3618,4857995456482582912,HotSubdwarf
EC 23444-6235,6487737869443089536,HotSubdwarf
PG 2304+193,2831416684052805632,HotSubdwarf
EC 20257-3553,6695480249231062144,HotSubdwarf
Ton S 241,5122936870687263232,HotSubdwarf
SB 744,5025362802928256640,HotSubdwarf
GALEX J071921.8+050959,3140714527629703552,HotSubdwarf
EC 22330-3718,6596650032387678976,HotSubdwarf
EC 02061-7058,4692994082963984128,HotSubdwarf
EC 04408-4558,4790219463802822912,HotSubdwarf
GALEX J084447.0+113911,601862464498177664,HotSubdwarf
BPS CS 22953-0035,4716670038643363968,HotSubdwarf
HS 0357+0133,3259569020169965312,HotSubdwarf
GALEX J052544.9+630726,287421547911885440,HotSubdwarf
EC 20111-3724,6694364283585300736,HotSubdwarf
GALEX J161627.1-002933,4407290620755222272,HotSubdwarf
EC 13175-1949,3506524485728547200,HotSubdwarf
KUV 02177+3210,324936133031969152,HotSubdwarf
LAMOST J035448.22+351521.0,218951870771462144,HotSubdwarf
GALEX J064024.8+444720,964655770715798656,HotSubdwarf
GALEX J163119.1+114618,4459478802728495616,HotSubdwarf
LAMOST J054559.57+222738.0,3403307007038845184,HotSubdwarf
ATO J290.2271-20.0265,4082986745566106368,HotSubdwarf
GALEX J201554.2+054824,4249362886575632128,HotSubdwarf
PG 1138-101,3588319354742998144,HotSubdwarf
GALEX J211925.9+202155,1790470508770502144,HotSubdwarf
GALEX J170045.1+391830,1351921736162211456,HotSubdwarf
LAMOST J015012.51+254747.2,297548599758591104,HotSubdwarf
PG 1421+150,1228629618983512064,HotSubdwarf
HS 1908+6534,2254558492658418048,HotSubdwarf
HS 2209+2840,1894911640824988288,HotSubdwarf
GALEX J102051.0+114025,3883529598210025472,HotSubdwarf
GALEX J224039.5+330543,1902790225753925760,HotSubdwarf
GALEX J211220.4+112955,1745067138174623104,HotSubdwarf
GALEX J084132.6+470800,1014464819980119808,HotSubdwarf
GALEX J102612.3+603611,1048462471130020224,HotSubdwarf
GALEX J152833.2+440010,1394500362602477184,HotSubdwarf
PG 0342+026,3271319569656540672,HotSubdwarf
EC 14304-1343,6299312294048595712,HotSubdwarf
EC 21013-7236,6371830793913647488,HotSubdwarf
EC 04271-1232,3177835483289799424,HotSubdwarf
EC 12354-1727,3523014858042510080,HotSubdwarf
GALEX J103027.0+152548,3888978816492224384,HotSubdwarf
GD 351,1639966608381889664,HotSubdwarf
EC 09290-1704,5682008056323532416,HotSubdwarf
EC 20359-5436,6470765262501029120,HotSubdwarf
GALEX J184915.1+511604,2144511672368316672,HotSubdwarf
GALEX J094143.5+535833,1021347419172729600,HotSubdwarf
GALEX J232337.1+183504,2824170971146102144,HotSubdwarf
2QZ J135210.1-015836,3658642739769543808,HotSubdwarf
CHSS 3497,77515058657678592,HotSubdwarf
PG 1415-043,3642680992030225536,HotSubdwarf
HS 2143+8157,2297889558713251840,HotSubdwarf
Ton S 61,6601131676142148096,HotSubdwarf
GALEX J082550.8+153308,652596606768443648,HotSubdwarf
PB  3876,3922610192830905984,HotSubdwarf
GALEX J100139.8-030012,3829267569803099776,HotSubdwarf
PG 1407-013,3647329074356945152,HotSubdwarf
GALEX J050252.2+162647,3393408962846662656,HotSubdwarf
GALEX J191615.8-420617,6713898035366489216,HotSubdwarf
CD-24  9052,5472648050117721984,HotSubdwarf
HE 0442-1746,2980346221231437696,HotSubdwarf
BPS CS 22190-0003,5108772102906758016,HotSubdwarf
GALEX J142044.1+161713,1232332220094873984,HotSubdwarf
HS 2156+2517,1796522152051048064,HotSubdwarf
GALEX J094900.4+025703,3847149575945308800,HotSubdwarf
KUV 14316+2718,1280362053387263104,HotSubdwarf
GALEX J161942.8+240715,1302029716720773248,HotSubdwarf
PB  3985,3745825838529051008,HotSubdwarf
SDSS J135212.50+123232.3,3728450423779030272,HotSubdwarf
Feige  81,3744968013301724544,HotSubdwarf
EC 21491-5603,6460616357855932672,HotSubdwarf
EC 20356-3725,6682997875974362752,HotSubdwarf
GALEX J152852.1+093144,1165536789924111616,HotSubdwarf
SDSS J073445.11+302949.5,879823195888098560,HotSubdwarf
GALEX J142538.5+041615,3668690798578864000,HotSubdwarf
Ton  200,1254792635605548032,HotSubdwarf
PG 0826+480,930769616916994048,HotSubdwarf
LB  3229,4916399452565698688,HotSubdwarf
FBS 0547+824,557301216730452864,HotSubdwarf
Ton  577,3997846990381096192,HotSubdwarf
GALEX J163612.6+255903,1301353718931117056,HotSubdwarf
