Star,Gaia_DR3_ID,otype
V* V396 Lac,1962474019014830336,IrregularV*
V* V422 Lac,1985096505117455872,IrregularV*
BD+49  3905,1988259422119335552,IrregularV*
V* BH Lac,2000416584751214848,IrregularV*
V* V1814 Cyg,2173516200704741760,IrregularV*
BD+43   706,241188806249562240,IrregularV*
BD+59   459,507269623743111424,IrregularV*
V* OX Cep,2193425199479320320,IrregularV*
V* LO Cep,2192813012023741824,IrregularV*
V* GT Dra,1652297218970667904,IrregularV*
HD 238026,858086125884876672,IrregularV*
V* V1273 Tau,3271752777237464960,IrregularV*
V* V1285 Tau,3302699047398228480,IrregularV*
V* V1299 Tau,53581782899290240,IrregularV*
V* V1827 Ori,3295853140108375168,IrregularV*
AG+22  528,3416090921359040640,IrregularV*
Cl* NGC 1904    ALC      B,2957996379656504576,IrregularV*
V* V613 Aur,191134845065654784,IrregularV*
V* V2398 Ori,3337992064976627200,IrregularV*
2MASS J05345334-0533094,3017265553949572096,IrregularV*
[MRD2012] 844,3017360489918120192,IrregularV*
JW  627,3209521415539406976,IrregularV*
2MASS J05345774-0532461,3017264901114538624,IrregularV*
2MASS J05345087-0532029,3017265618373677696,IrregularV*
[H97b] 10361,3017264931176444160,IrregularV*
2MASS J05350719-0529176,3017266305568456960,IrregularV*
[MRD2012] 1294,3017266511724432512,IrregularV*
[MRD2012] 1307,3017266516022225152,IrregularV*
[MRD2012] 201,3017363852865328896,IrregularV*
[H97b] 10760,3017363131310948736,IrregularV*
2MASS J05361679-0517410,3017368731946339712,IrregularV*
[MRD2012] 1797,3017366429845818624,IrregularV*
[H97b] 10645,3017367361851659136,IrregularV*
[H97b] 10134,3209519800631716224,IrregularV*
[AD95] 1561,3209428846106819840,IrregularV*
2MASS J05352633-0517446,3017366498565331968,IrregularV*
2MASS J05362604-0514257,3017370488587561216,IrregularV*
2MASS J05361739-0512515,3017371519392562816,IrregularV*
2MASS J05362532-0512293,3017371686883530240,IrregularV*
2MASS J05344828-0509006,3209525878009221888,IrregularV*
[AD95] 1967,3209536739982727040,IrregularV*
[AD95] 1969,3209538217451402880,IrregularV*
2MASS J05342865-0508043,3209526599563746048,IrregularV*
[AD95] 1980,3209536705622921344,IrregularV*
[H97b] 10777,3017363341778086784,IrregularV*
[MRD2012] 1513,3209523369748728704,IrregularV*
[DRS2009] 1458,3017366090541370368,IrregularV*
[DRS2009] 1641,3017372412732942848,IrregularV*
TKK  1257,3017372378373212416,IrregularV*
[H97b] 10178,3209526157180685824,IrregularV*
[H97b] 10197,3209526363341659264,IrregularV*
2MASS J05343988-0507598,3209526737002319872,IrregularV*
2MASS J05344040-0507533,3209526771362059392,IrregularV*
2MASS J05344073-0509242,3209525534411459200,IrregularV*
2MASS J05344184-0508394,3209526672580168832,IrregularV*
2MASS J05344322-0507281,3209526771362094080,IrregularV*
2MASS J05344851-0507109,3209526844377984896,IrregularV*
[H97b] 10293,3209525607425283968,IrregularV*
[H97b] 10309,3209525774930002048,IrregularV*
2MASS J05345676-0509585,3209525710506705024,IrregularV*
[H97b] 10323,3209525813583703296,IrregularV*
2MASS J05345801-0516019,3209520930207369856,IrregularV*
[H97b] 10331,3209531895257387648,IrregularV*
2MASS J05350264-0509590,3209522789928942848,IrregularV*
2MASS J05350337-0508537,3209531616085531392,IrregularV*
2MASS J05350844-0507135,3209531757820652800,IrregularV*
TKK J05351176-0516520,3017367190053009024,IrregularV*
2MASS J05351553-0508588,3209528523709076864,IrregularV*
2MASS J05352633-0510503,3209527669009546624,IrregularV*
2MASS J05352673-0514444,3017367666796437248,IrregularV*
TKK   911,3017366193620577920,IrregularV*
TKK   940,3017373340446056832,IrregularV*
[KPM2006] 216,3017367396211313792,IrregularV*
2MASS J05353236-0512536,3017373752771215872,IrregularV*
2MASS J05354019-0516319,3017372442800084480,IrregularV*
2MASS J05354023-0515476,3017372545879299712,IrregularV*
TKK  1117,3017373439232497408,IrregularV*
TKK  1150,3017372481460896512,IrregularV*
2MASS J05354235-0511574,3017374126427274496,IrregularV*
2MASS J05354249-0512382,3017373890210164352,IrregularV*
2MASS J05354357-0509340,3017374332583886976,IrregularV*
[DRS2009] 2215,3017372172223954432,IrregularV*
2MASS J05354513-0517279,3017372167922178304,IrregularV*
TKK  1202,3017369212984640896,IrregularV*
2MASS J05354597-0516100,3017372374078793600,IrregularV*
TKK J05354662-0515555,3017372378373214976,IrregularV*
TKK J05354720-0516432,3017372206574526464,IrregularV*
2MASS J05354851-0515359,3017372408440347520,IrregularV*
TKK  1268,3017372309653740416,IrregularV*
TKK  1269,3017369251645488000,IrregularV*
TKK  1270,3017372309653735552,IrregularV*
2MASS J05355059-0509212,3017375775692812928,IrregularV*
2MASS J05355156-0515101,3017372786397470080,IrregularV*
2MASX J05360550-0507585,3017376119290283392,IrregularV*
[KPM2006] 199,3017369247344016896,IrregularV*
[KPM2006] 215,3017367396223983232,IrregularV*
2MASS J05352954-0518401,3017366395486079104,IrregularV*
2MASS J05350468-0531145,3017266065050278016,IrregularV*
[MRD2012] 807,3017360455561471488,IrregularV*
COUP  1079,3209527492917403136,IrregularV*
[H97b] 10059,3209524782793710208,IrregularV*
[H97b] 10078,3209524950295896832,IrregularV*
[H97b] 10080,3209524782793708416,IrregularV*
[H97b] 10082,3209536735686548608,IrregularV*
[H97b] 10127,3209526500780617984,IrregularV*
2MASS J05342754-0513477,3209523683282940800,IrregularV*
[DRS2009] 1993,3209527286758973824,IrregularV*
[DRS2009] 2248,3017372962488737152,IrregularV*
2MASS J05360784-0526418,3017349627933385216,IrregularV*
2MASS J05361371-0510575,3017374916698959104,IrregularV*
2MASS J05361521-0514249,3017371171489768832,IrregularV*
2MASS J05342845-0538585,3017257445048389120,IrregularV*
2MASS J05351627-0537232,3017252359806999808,IrregularV*
V* V2025 Ori,3015553820502442240,IrregularV*
2MASS J05361591-0537407,3017341931351764096,IrregularV*
V* V2435 Ori,3015494240716765696,IrregularV*
V* V2593 Ori,3015262965317460992,IrregularV*
V* V2623 Ori,3015481665052063488,IrregularV*
V* V558 Mon,3131838754376553600,IrregularV*
V* MO CMa,2934726487369047040,IrregularV*
HD  62676,5718740884389888256,IrregularV*
HD 205204,6842659192097592192,IrregularV*
HD 200352,1839380943503207552,IrregularV*
EV* M31 V0661,381168245761318272,IrregularV*
V* LU And,387626880139401728,IrregularV*
V* HT And,381461299966727808,IrregularV*
V* AT Hya,5663104290346397952,IrregularV*
V* TX Ant,5658296916273306752,IrregularV*
HD 104486,3595724737352993792,IrregularV*
BD+17  2510,3935131847860796672,IrregularV*
V* UV Boo,1256241998089421440,IrregularV*
V* V643 Sco,5960034380518206080,IrregularV*
V* V4433 Sgr,6699199317248760960,IrregularV*
V* V3707 Sgr,6733576849664090112,IrregularV*
V* V2977 Sgr,4045599094010958208,IrregularV*
V* KO Lib,6251825353219780864,IrregularV*
V* V3858 Sgr,4079236586281654656,IrregularV*
BD-08  4360,4339408117183830144,IrregularV*
BD+09  3337,4443616492072879360,IrregularV*
V* KW Aql,4316302735029485312,IrregularV*
V* NT Aql,4317771068420160896,IrregularV*
V* QS Sge,1825089491395762432,IrregularV*
HD 351207,1822975439767739136,IrregularV*
V* V2005 Cyg,2030889721336637696,IrregularV*
BD+36  3419,2098897225603537280,IrregularV*
V* V762 Her,1348037268955971200,IrregularV*
V* V768 Her,1348209789202147712,IrregularV*
WRAY 15-149,5291529554123319296,IrregularV*
V* TX Vel,5310290490983425024,IrregularV*
TYC 9196-1935-1,5247023251877877888,IrregularV*
V* V534 Car,5336979795723464320,IrregularV*
PPM 788670,5188223706482654336,IrregularV*
CPD-87   275,6342306054850104960,IrregularV*
V* NX Aps,5792945824635364224,IrregularV*
V* CH Cen,6064578626102201216,IrregularV*
V* HZ Cen,6089166003887756160,IrregularV*
V* V1001 Cen,5895402235155675392,IrregularV*
V* BU Nor,5835342198428655104,IrregularV*
V* CG Nor,5834693834530536832,IrregularV*
[SC85] 46,3849401478838836224,IrregularV*
[H97b] 10072,3017257578195639296,IrregularV*
2MASS J05342926-0523509,3209424482420904448,IrregularV*
[AD95] 1177,3017356160589522944,IrregularV*
[AD95] 1245,3017369182917552128,IrregularV*
[AD95] 1255,3017372305361132544,IrregularV*
[AD95] 1756,3017372618891374976,IrregularV*
[AD95] 1772,3017373954626272896,IrregularV*
[AD95] 1972,3209538354890428288,IrregularV*
[AD95] 2050,3209531723458682752,IrregularV*
2MASS J05351780-0524306,3017361005316983040,IrregularV*
2MASS J05351701-0520120,3017365953118751488,IrregularV*
[H97b] 10351,3017363376129085440,IrregularV*
[DRS2009] 1954,3017359356039665152,IrregularV*
