Star,Gaia_DR3_ID,sptype
V* BN Mic,6787179866880802816,K1IIIp
V* BN Mic,6787179866880802816,K1IIIp
V* BN Mic,6787179866880802816,K1IIIp
V* BN Mic,6787179866880802816,K1IIIp
V* BN Mic,6787179866880802816,K1IIIp
V* BN Mic,6787179866880802816,K1IIIp
V* BN Mic,6787179866880802816,K1IIIp
V* BN Mic,6787179866880802816,K1IIIp
HD  86268,5259525386287723648,K1IIIp
HD  86268,5259525386287723648,K1IIIp
HD  86268,5259525386287723648,K1IIIp
HD  86268,5259525386287723648,K1IIIp
V* YY Men,4649182702130967296,K1IIIp
V* YY Men,4649182702130967296,K1IIIp
V* YY Men,4649182702130967296,K1IIIp
V* YY Men,4649182702130967296,K1IIIp
V* YY Men,4649182702130967296,K1IIIp
V* YY Men,4649182702130967296,K1IIIp
V* YZ Men,4624796839892452864,K1IIIp
V* YZ Men,4624796839892452864,K1IIIp
V* YZ Men,4624796839892452864,K1IIIp
V* YZ Men,4624796839892452864,K1IIIp
V* YZ Men,4624796839892452864,K1IIIp
V* YZ Men,4624796839892452864,K1IIIp
V* YZ Men,4624796839892452864,K1IIIp
HD 146007,5806294651709361408,K1IIIp
HD 146007,5806294651709361408,K1IIIp
HD 146007,5806294651709361408,K1IIIp
