Star,Gaia_DR3_ID,otype
V* V1886 Cyg,1870027528041114368,LongPeriodV*
IRAS 20542+3631,1871546292888415232,LongPeriodV*
IRAS 20522+3616,1870061441104020480,LongPeriodV*
IRAS 20536+3642,1871598901954125696,LongPeriodV*
IRAS 20543+3656,1871611237099816576,LongPeriodV*
IRAS 20500+3644,1870852196121116544,LongPeriodV*
IRAS 20480+3616,1870744615783937792,LongPeriodV*
IRAS 20497+3611,1870071714666360320,LongPeriodV*
IRAS 20562+3540,1869765157075042560,LongPeriodV*
IRAS 20572+3522,1869741998610948096,LongPeriodV*
[WWV2004] J2109439+374937,1868931383663496576,LongPeriodV*
IRAS 21019+3754,1871910269901425920,LongPeriodV*
SV* R   115,1868839643164331264,LongPeriodV*
V* V2484 Cyg,1964794121688360064,LongPeriodV*
[WWV2004] J2127296+391714,1964633906532299008,LongPeriodV*
IRAS 21311+3932,1965945417745617920,LongPeriodV*
IRAS 21368+4018,1966402745861762048,LongPeriodV*
IRAS 21310+3852,1965845499624692352,LongPeriodV*
IRAS 21291+3902,1964408609728269184,LongPeriodV*
V* V647 Cyg,1966609827704150400,LongPeriodV*
IRAS 21432+4023,1954436039261389312,LongPeriodV*
IRAS 21434+4212,1972608423848599936,LongPeriodV*
IRAS 21476+4008,1954204042307276800,LongPeriodV*
V* V640 Cyg,1966494933041681920,LongPeriodV*
V* ET Lac,1959910468994731264,LongPeriodV*
IRAS 21515+4150,1960445798022250112,LongPeriodV*
IRAS 22035+4112,1959782483269637888,LongPeriodV*
IRAS 22000+4208,1960082924817272192,LongPeriodV*
IRAS 21516+4109,1960346910692762752,LongPeriodV*
V* BO Lac,1958401840261859840,LongPeriodV*
IRAS 22055+4243,1961422851539351296,LongPeriodV*
IRAS 22069+4305,1961644128253837312,LongPeriodV*
IRAS 22113+4210,1958394452917837952,LongPeriodV*
V* V352 Lac,1960912368906116480,LongPeriodV*
IRAS 22139+4143,1958188363207338112,LongPeriodV*
FBS 2201+428A,1960173080476089728,LongPeriodV*
[D75] 150,1961966937995575168,LongPeriodV*
IRAS 22206+4252,1958669330825357184,LongPeriodV*
V* RY Lac,1961586953650593536,LongPeriodV*
V* RS Lac,1961583895634027008,LongPeriodV*
V* FY Lac,1983168992514103808,LongPeriodV*
DO 41368,1983020180487097472,LongPeriodV*
IRAS 22322+4412,1982129747866524032,LongPeriodV*
IRAS 22339+4332,1981851227827122176,LongPeriodV*
IRAS 22340+4303,1981778694419348352,LongPeriodV*
2MASS J22281306+4427523,1982833362291803136,LongPeriodV*
IRAS 22213+4433,1959062474952552320,LongPeriodV*
IRAS 22409+4338,1934137096105809152,LongPeriodV*
V* V419 Lac,1982185445002060672,LongPeriodV*
IRAS 22536+4520,1935874427556214400,LongPeriodV*
IRAS 22457+4543,1984125979945735296,LongPeriodV*
V* BC And,1936301106786860928,LongPeriodV*
IRAS 23054+4640,1936252109801157504,LongPeriodV*
BD+44  4381,1937893749379792512,LongPeriodV*
BD+45  4231,1938355819141673856,LongPeriodV*
V* V390 And,1937658007215625728,LongPeriodV*
V* V464 And,1941621712273504768,LongPeriodV*
BD+46  4147,1939331910590061696,LongPeriodV*
V* KS And,1939065416455292288,LongPeriodV*
V* WY And,1940072431671016320,LongPeriodV*
V* GG And,1939954405969055744,LongPeriodV*
V* GL And,1926295104295826176,LongPeriodV*
NSV 14729,1927013944384891136,LongPeriodV*
V* V465 And,1927328885748329344,LongPeriodV*
IRAS 00057+4628,386997757626939520,LongPeriodV*
V* V456 And,386022795752352512,LongPeriodV*
V* FG And,388099640074833920,LongPeriodV*
V* BZ And,388289065312363136,LongPeriodV*
IRAS 00464+4643,390139813964892544,LongPeriodV*
V* LZ Cas,390690192552009088,LongPeriodV*
IRAS 00495+4614,378101093650439296,LongPeriodV*
IRAS 00514+4445,377411321900785024,LongPeriodV*
BD+45   264,377122322142549376,LongPeriodV*
V* EI And,376891390340886784,LongPeriodV*
IRAS 01086+4358,373752800039323520,LongPeriodV*
IRAS 01224+4433,397237303256900224,LongPeriodV*
IRAS 01259+4251,396529385269625088,LongPeriodV*
IRAS 01337+4236,348754402452477056,LongPeriodV*
IRAS 01381+4300,348686133949588736,LongPeriodV*
DO 24888,349136109083099520,LongPeriodV*
V* V434 And,349682119685399040,LongPeriodV*
IRAS 01592+4103,345051457745418368,LongPeriodV*
ATO J031.9594+42.0310,345435049864669440,LongPeriodV*
V* AV And,333066231246958720,LongPeriodV*
2MASX J02133023+4131328,345265587634802560,LongPeriodV*
IRAS 02216+3901,337845464695212416,LongPeriodV*
V* IN Per,143351061854998784,LongPeriodV*
V* V442 Per,333992294915312000,LongPeriodV*
V* V443 Per,141643077916557696,LongPeriodV*
V* V1056 Cyg,1870898169453316224,LongPeriodV*
IRAS 20398+3759,2063315350006303488,LongPeriodV*
IRAS 20405+3739,2063292397700879232,LongPeriodV*
IRAS 20406+3758,2063334763259189888,LongPeriodV*
IRAS 20409+3722,2063232401295950080,LongPeriodV*
IRAS 20414+3737,2063245148755959040,LongPeriodV*
IRAS 20415+3813,2063344315266469888,LongPeriodV*
IRAS 20422+3718,2063222681789858176,LongPeriodV*
IRAS 20438+3754,2063357371965660160,LongPeriodV*
IRAS 20457+3658,1871013068415064576,LongPeriodV*
IRAS 20458+3706,1871016332590280576,LongPeriodV*
IRAS 20465+3851,2064920667038005632,LongPeriodV*
IRAS 20468+3821,1871243755394723200,LongPeriodV*
IRAS 20469+3805,1871224823177300096,LongPeriodV*
IRAS 20470+3744,1871163392270221952,LongPeriodV*
IRAS 20481+3748,1871166965682630656,LongPeriodV*
IRAS 20491+3738,1871149682734093696,LongPeriodV*
IRAS 20465+3734,1871137381947309056,LongPeriodV*
V* V1861 Cyg,1871118106133332096,LongPeriodV*
V* V1863 Cyg,1870915589841049088,LongPeriodV*_Candidate
V* V1878 Cyg,1872475350161329408,LongPeriodV*
V* V1882 Cyg,1872413124673752832,LongPeriodV*
IRAS 20374+3743,2063120044947110016,LongPeriodV*
IRAS 20435+3645,1870995270069964416,LongPeriodV*
IRAS 20436+3650,1870996816258125312,LongPeriodV*
IRAS 20439+3701,1871070036863843328,LongPeriodV*
IRAS 20443+3642,1870981040831920384,LongPeriodV*
IRAS 20462+3631,1870806699518968320,LongPeriodV*
V* V1854 Cyg,1870813094745173632,LongPeriodV*
CGCS 4985,1871136626033045248,LongPeriodV*
IRC +40460,1873175189308754816,LongPeriodV*
IRC +40457,1872877840137912064,LongPeriodV*
2MASS J21021882+3930229,1872982671695689344,LongPeriodV*
V* V2145 Cyg,1872123575157488128,LongPeriodV*
DO 19942,1872329733588407168,LongPeriodV*
IRAS 20577+3847,1872954286245462144,LongPeriodV*
IRAS 20579+4016,1873363652467643392,LongPeriodV*
IRAS 20582+3855,1872961059419249152,LongPeriodV*
IRAS 20587+3838,1872186693999183872,LongPeriodV*
IRAS 20595+3851,1872219060873836032,LongPeriodV*
IRAS 20597+3811,1872161194767637888,LongPeriodV*
IRAS 20586+3826,1872180058273175680,LongPeriodV*
2MASS J21044191+3907414,1872256169386279936,LongPeriodV*
