Star,Gaia_DR3_ID,otype
SDSS J152239.51+490440.3,1594560381630561792,Low-Mass*
2MASS J08544784+3214370,712802839848031872,Low-Mass*
2MASS J12433797-0046306,3683875981871522816,Low-Mass*
2MASS J00282465-0017307,2543527981139427584,Low-Mass*
SDSS J135548.03+574027.9,1658273648781297920,Low-Mass*
2MASS J20271624+1332529,1804126133952006016,Low-Mass*
2MASS J09482303+6817378,1070047568010105856,Low-Mass*
2MASS J10345928+4738171,833840932420429952,Low-Mass*
SDSS J082315.31+431657.7,916254448522802560,Low-Mass*
2MASS J17023112+2835051,1308620017618775936,Low-Mass*
SDSS J120918.34+430604.2,1537581936734420096,Low-Mass*
2MASS J09565740+2148570,628234109156132224,Low-Mass*
2MASS J00181390-0027482,2545160442372860928,Low-Mass*
2MASS J00514243-0001069,2536883834235120256,Low-Mass*
2MASS J00322307+0112463,2544313925795745024,Low-Mass*
SDSS J202149.34+002125.3,4230464515076648320,Low-Mass*
2MASS J00374113+0032068,2543345599648301056,Low-Mass*
2MASS J10562721+0927552,3867789024106585472,Low-Mass*
2MASS J12203511+2004599,3951999966842735232,Low-Mass*
2MASS J23370725+0012313,2645871309430511104,Low-Mass*
2MASS J22384898+0108174,2654647714323164928,Low-Mass*
2MASS J11374135+3756031,766092835551782144,Low-Mass*
2MASS J12101242+3916243,1535801694264148352,Low-Mass*
2MASS J09192401+6103294,1039821718485067136,Low-Mass*
2MASS J09122279+2012539,636762505456625792,Low-Mass*
2MASS J10260066-0637398,3775613257793075584,Low-Mass*
2MASS J07565906+2307356,675155492993941248,Low-Mass*
2MASS J10274572+0629104,3862347987736935040,Low-Mass*
2MASS J11045035+0146363,3805456369898342272,Low-Mass*
SIPS J1500-0131,6340621499955531008,Low-Mass*
2MASS J12362298+3116448,4012319209102483712,Low-Mass*
2MASS J21091534-0027215,2689173719464882432,Low-Mass*
2MASS J10461691+6211517,1054977494136886400,Low-Mass*
2MASS J06574230+2006045,3365927593129065472,Low-Mass*
2MASS J12000829+0108483,3891249685960187520,Low-Mass*
2MASS J23332415-0026517,2644241111646334976,Low-Mass*
2MASS J01185763+0038418,2535069743128355328,Low-Mass*
2MASS J02305491-0909330,5175694320510119936,Low-Mass*
2MASS J15524128+3638495,1373334317091113856,Low-Mass*
2MASS J07545468-6049514,5290728942159964160,Low-Mass*
2MASS J03333928+0017131,3264567258294661888,Low-Mass*
2MASS J00150290-0019260,2545389591763022720,Low-Mass*
2MASS J13570002+5357353,1561215595574548224,Low-Mass*
2MASS J00221068-0935482,2428190959436394368,Low-Mass*
2MASS J10320189+1602140,3889127353641625856,Low-Mass*
2MASS J16271804+1911222,1200939548214424064,Low-Mass*
2MASS J07354056+4036524,924378460767221376,Low-Mass*
2MASS J03185489+0010076,3265936631307683200,Low-Mass*
2MASS J12383884+3135446,1514353074263702144,Low-Mass*
2MASS J13522456+1157242,3727290786904710912,Low-Mass*
2MASS J00125529+0111102,2546448176647677056,Low-Mass*
2MASS J00375554+0009441,2543194653021723776,Low-Mass*
SDSS J205513.66-010507.7,6917343931731227008,Low-Mass*
SDSS J082829.26+574716.1,1035276852811712000,Low-Mass*
2MASS J02114787+0114180,2513373389415596288,Low-Mass*
2MASS J03094233-0043180,3265607705531803648,Low-Mass*
2MASS J04035944+1520502,45336815783568640,Low-Mass*
2MASS J10361525+4551323,830448453715975808,Low-Mass*
SDSS J104656.90+005511.6,3806658926381559936,Low-Mass*
2MASS J03441194+0100447,3269745099068177024,Low-Mass*
2MASS J10481275+5640571,854136027282406144,Low-Mass*
2MASS J10205416+2555431,726990392432071424,Low-Mass*
2MASS J10271412+0607208,3862227350696070272,Low-Mass*
2MASS J02032706-0057434,2506683479636008960,Low-Mass*
Cl* NGC 2547    OJD      68,5514374275879084544,Low-Mass*
SDSS J085555.31+202214.3,660831712636439168,Low-Mass*
2MASS J05321559-0039001,3220693896784093824,Low-Mass*
2MASS J14191300+1958331,1240115083088459136,Low-Mass*
SDSS J093654.94+032512.1,3850747521589339264,Low-Mass*
2MASS J12491460+1440091,3930866429940160640,Low-Mass*
2MASS J00481325+0050050,2549191359375005824,Low-Mass*
2MASS J08584918+1922276,660523402706627456,Low-Mass*
2MASS J00024259+0038572,2738329693183203840,Low-Mass*
