Star,Gaia_DR3_ID,otype
V* V1727 Cyg,1978241050130301312,LowMassXBin
4U 2316+61,2015056268530556672,LowMassXBin
CXO J095549.7+690531,1070471124801139584,LowMassXBin
V* V1055 Ori,3328832132393159296,LowMassXBin
V* V1341 Cyg,1952859683185470208,LowMassXBin
2MASS J12483692-0548007,3676881369933847168,LowMassXBin
[SIB2001] 33,3676881271147417472,LowMassXBin
[SIB2001] 42,3676881408586342784,LowMassXBin
[SIB2001] 46,3676881271147418752,LowMassXBin
[CHP2004] J124831.0-054829,3676881339866642176,LowMassXBin
[SIB2001] 51,3676881408588204672,LowMassXBin
[KKF2001]  41,6088717338726511104,LowMassXBin
CXOU J133704.6-295120,6175800583784544128,LowMassXBin
V* V822 Cen,6205715168442046592,LowMassXBin
V* V926 Sco,5955379701104735104,LowMassXBin
V* V1101 Sco,5976748056765619328,LowMassXBin
V* V691 CrA,6728016172687965568,LowMassXBin
1RXS J161933.6-280736,6039227323926220544,LowMassXBin
V* V2293 Oph,4110788141995042048,LowMassXBin
4U 1758-25,4064425722307189888,LowMassXBin
V* V818 Sco,4328198145165324800,LowMassXBin
2XMM J182833.7-103700,4155700546205464064,LowMassXBin
2MAXI J1753-013,4178766135477201408,LowMassXBin
X Aql X-1,4264296556603631872,LowMassXBin
V* V1408 Aql,4303869526257075968,LowMassXBin
V* V934 Her,4571810378118789760,LowMassXBin
V* UW CrB,1315375795016730880,LowMassXBin
INTREF  1012,2061673641720429312,LowMassXBin
4U 0919-54,5310395631798303104,LowMassXBin
TWA 22,5355751581627180288,LowMassXBin
V* V395 Car,5250451391698996992,LowMassXBin
V* GR Mus,5844938121765636864,LowMassXBin
[CHP2004] J132505.0-430133,6088705175379450752,LowMassXBin
[LB2005] NGC  5128 X5,6088705209738765184,LowMassXBin
[ZGV2011] 43,6088701395807777408,LowMassXBin
V* V801 Ara,5930753870442684544,LowMassXBin
V* HZ Her,1338822021487330304,LowMassXBin
CXOU J133653.1-295430,6175799793510025856,LowMassXBin
[CHP2004] J104750.5+123437,3872445563224292352,LowMassXBin
[CHP2004] J104751.1+123549,3872447281211024000,LowMassXBin
IGR J17062-6143,5913619493527584768,LowMassXBin
[BFK2008] 41,3872447040693215488,LowMassXBin
[BFK2009] 174,4010407300115837568,LowMassXBin
[BGM2013] BHC 26,369257206232009344,LowMassXBin
[ZGV2011] 41,6088705759494675840,LowMassXBin
[ZGV2011] 47,6088699024985801984,LowMassXBin
[ZGV2011] 76,6088704763054871936,LowMassXBin
[ZGV2011] 77,6088705553336230144,LowMassXBin
[ZGV2011] 78,6088718816195300480,LowMassXBin
[ZGV2011] 112,3676881374226566784,LowMassXBin
[ZGV2011] 120,3676881477307681664,LowMassXBin
[ZGV2011] 126,3676881236788051584,LowMassXBin
[ZGV2011] 149,4010407609353213056,LowMassXBin
[ZGV2011] 158,4010407708137820544,LowMassXBin
[ZGV2011] 162,4010407609353338112,LowMassXBin
[ZGV2011] 175,4010407712432160896,LowMassXBin
[ZGV2011] 177,4010407334474943232,LowMassXBin
V* V934 Cen,6158386896580577152,LowMassXBin
CXOGBS J174633.4-262314,4067041116838655872,LowMassXBin
MAXI J1820+070,4477902563164690816,LowMassXBin
