Star,Gaia_DR3_ID,otype
UCAC4 529-069631,4501536260662226560,MainSequence*
Cl* NGC 2168     SB     189,3426262404647269248,MainSequence*
UCAC4 515-137685,1767385231352917120,MainSequence*
[NBN2015] 351,3425512533419993472,MainSequence*
UCAC4 527-141325,1760414701294684288,MainSequence*
ATO J048.6746+52.6953,445995593069492992,MainSequence*
Cl* NGC 2168    BSB    5441,3426307759501379968,MainSequence*
HD  87436,5256690261215474176,MainSequence*
Cl* NGC 2168    BSB    5476,3426295046398601600,MainSequence*
NGC  2168   222,3426264569310748800,MainSequence*
Cl* NGC 2168    MMS     366,3425540674046621056,MainSequence*
2MASS J19453319+4714167,2080564007382539136,MainSequence*
Cl* NGC 2168    BSB    5307,3426268555040413184,MainSequence*
UCAC4 534-047142,658381073018136448,MainSequence*
Gaia DR2 319708466342621696,319708466342621696,MainSequence*
Gaia DR2 1759228092025855616,1759228092025855616,MainSequence*
Gaia DR2 3221067902536355840,3221067902536355840,MainSequence*
TYC 1764-1605-1,300118776907986560,MainSequence*
Gaia DR2 2080459759936046464,2080459759936046464,MainSequence*
ATO J102.1866+39.3024,944566048304571776,MainSequence*
UCAC4 571-025266,3425511266404881408,MainSequence*
Cl* NGC 2168     SB     843,3426263882115970816,MainSequence*
UCAC4 572-025180,3426289961157317888,MainSequence*
HD  11811,342934313745568768,MainSequence*
Cl* NGC 2168    MMS     373,3426299543227838592,MainSequence*
Cl* NGC 2168    MMS     253,3425511335124344832,MainSequence*
[NBN2015] 40,3426254222730220160,MainSequence*
NGC  2168   246,3426268589400145536,MainSequence*
UCAC4 572-024256,3426278862961622272,MainSequence*
UCAC4 573-024931,3426283913843045760,MainSequence*
HD  62551,3029139729781078912,MainSequence*
Cl* NGC 2168    BSB    5436,3426290506616329088,MainSequence*
NGC  2168   680,3426307171089700224,MainSequence*
NGC  2168    50,3426269688911727104,MainSequence*
SDSS J091444.99+155525.8,607678567475591680,MainSequence*
UCAC4 571-025060,3425504222658565888,MainSequence*
2MASS J06094799+2410105,3425513396708618240,MainSequence*
Gaia DR2 3372763948409669632,3372763948409669632,MainSequence*
UCAC4 572-025192,3425513736011051392,MainSequence*
UCAC4 502-018526,3341812867887822080,MainSequence*
Cl* NGC 2168    BSB    5262,3426280787107259264,MainSequence*
SDSS J144921.69+255105.9,1267430284816504960,MainSequence*
Cl* NGC 2168    BSB    5391,3426261541354901888,MainSequence*
NGC  2168   128,3426271028941528832,MainSequence*
TYC 2849-594-1,336682765508713728,MainSequence*
UCAC4 148-120331,6056529651261857280,MainSequence*
Cl* NGC 2168    MMS     364,3426335934486908416,MainSequence*
Cl* NGC 2168    MMS     164,3426256219894394240,MainSequence*
[SS59]  II 135,1533367925276710272,MainSequence*
Cl* NGC 2168     SB     974,3426307518983618432,MainSequence*
NGC  2168   387,3426263396780599936,MainSequence*
Cl* NGC 2168    BSB    5447,3426280924545872384,MainSequence*
NGC  2168   184,3426265462663915392,MainSequence*
UCAC4 571-025013,3426255223461975808,MainSequence*
