Star,Gaia_DR3_ID,otype
2MASS J18213093-2041164,4091289059115376768,Mira
OGLE BLG-LPV-205821,4062915646226317568,Mira
2MASS J18443426-0607548,4253224508874399872,Mira
2MASS J17165204-3115020,5980457293597433216,Mira
2MASS J17333624-3558245,5974752752394117888,Mira
V* LY Sco,5958547905156532992,Mira
V* V605 Ser,4161788748245537280,Mira
OGLE LMC-LPV-81321,4659313396127398656,Mira
IRAS 18218-1956,4092933649303999616,Mira
2MASS J18001760-2632127,4064041958426897792,Mira
IRAS 16408-3746,6019201815590025728,Mira
IRAS 12564-6438,5861635133598260736,Mira
V* V3136 Sgr,4045545046132194816,Mira
2MASS J18515040+0640124,4285801079877096704,Mira
IRAS 15555-5422,5836662200888819968,Mira
2MASS J18492331-0651348,4252406820107991040,Mira
2MASS J17311914-2929196,4058760626158248192,Mira
2MASS J18272669-0920093,4156138117451380352,Mira
2MASS J16574040-4519289,5964060070505544576,Mira
2MASS J18011939-2438543,4065985035952119552,Mira
Mis V0381,4151378159841976704,Mira
2MASS J17405928-3927042,5961170137313948416,Mira
2MASS J17093877-3621500,5976898861634383232,Mira
2MASS J18092926-1802555,4095810006083629952,Mira
2MASS J17510172-1810284,4120454429757008128,Mira
OGLE LMC-LPV-2384,4656303173786126208,Mira
2MASS J17364188-2919400,4060079314161138944,Mira
2MASS J17320163-2407228,4110549921526269568,Mira
V* V335 Her,4506216366292764672,Mira
2MASS J19444700+2229416,1827740139047866752,Mira
ATO J264.7178-16.1164,4124802959482209536,Mira
2MASS J17342972-2359268,4110566624751780480,Mira
[T66b] 277,4059456204687403776,Mira
2MASS J07494396-4823301,5518158249441082240,Mira
2MASS J17530782-2301426,4070151257288199936,Mira
IRAS 18025-1935,4095036843253511808,Mira
2MASS J17563202-2256331,4069413725523700224,Mira
2MASS J17530223-2301116,4068650114775831040,Mira
V* NX Lac,2003282461807603456,Mira
2MASS J17574182-2642075,4064024881635553280,Mira
OGLE BLG-LPV-230383,4053055908762116864,Mira
2MASS J18414544+0354039,4280517037480610944,Mira
2MASS J17330928-2319401,4116662385871988864,Mira
ATO J294.6199+27.8063,2025210297132152448,Mira
V* V487 Cen,6183494588198324480,Mira
