Star,Gaia_DR3_ID,otype
V* V450 Cyg,1869766290946348032,Nova
V* Q Cyg,1966874711229398656,Nova
2MASS J00390599+4822566,390508738772462848,Nova
V* DI Lac,2002212087238591488,Nova
V* DK Lac,2002440098459791744,Nova
V* V723 Cas,411250132279713280,Nova
V* V1500 Cyg,2165295912482637312,Nova
V* V2275 Cyg,2165524400435870464,Nova
V* IV Cep,2005311404366428544,Nova
V* CP Lac,2006109065688505472,Nova
V* V400 Per,435763400421947264,Nova
V* GK Per,238540495056450048,Nova
V* V1974 Cyg,2181756563616247552,Nova
V* V476 Cyg,2089624258071404544,Nova
V* V392 Per,254361745823908736,Nova
V* RW UMi,1704994848488583552,Nova
NSV  6278,1552000489839791488,Nova
V* XX Tau,3394342581362155520,Nova
V* QZ Aur,3449050362952844288,Nova
V* T Aur,3446266197646225536,Nova
V* BT Mon,3106991818813980416,Nova
V* DN Gem,889417190756323584,Nova
V* GI Mon,3054845658802097280,Nova
V* V445 Pup,5614101084334720000,Nova
V* V574 Pup,5613739856095351552,Nova
V* HZ Pup,5597838517072200832,Nova
V* HS Pup,5595281289247725312,Nova
V* CP Pup,5544760551021856000,Nova
V* V351 Pup,5544772684308712192,Nova
HD  17973,32528265529532160,Nova
2MASS J00433768+4110407,369253250564337920,Nova
2MASS J00423622+4120355,381271187537953792,Nova
V* LS And,381884955540495232,Nova
HD  83225,618080913842432640,Nova
V* V992 Sco,5965441877425525248,Nova
V* V394 CrA,4035768120009351936,Nova
V* V696 Sco,4040612220267799808,Nova
V* GW Lib,6226943645600487552,Nova
V* V972 Oph,4060410267160342272,Nova
V* V4169 Sgr,4051419667958619776,Nova
V* V1017 Sgr,4048251562703375488,Nova
V* V732 Sgr,4063588238075660160,Nova
V* V4643 Sgr,4063915686330116864,Nova
V* KY Sgr,4064004158352971520,Nova
V* V1016 Sgr,4065203141422368256,Nova
V* V4065 Sgr,4065235817534912896,Nova
V* V3890 Sgr,4077352126434336640,Nova
V* V4743 Sgr,4081719283536234496,Nova
V* V4642 Sgr,4119225897276223360,Nova
NSV  8265,4134673859475558912,Nova
V* V3888 Sgr,4120337533522856960,Nova
V* V841 Oph,4333061392472253440,Nova
V* V1059 Sgr,4198482401904374016,Nova
V* EL Aql,4255780873390406528,Nova
V* EU Sct,4255373749203542400,Nova
V* X Ser,4358729079104357760,Nova
V* FH Ser,4276984993803967744,Nova
V* V603 Aql,4266547566124966912,Nova
V* V1419 Aql,4267751638733390592,Nova
V* V1370 Aql,4288898099224201856,Nova
V* V368 Aql,4295580518601261696,Nova
V* V841 Aql,4312316597375950464,Nova
V* V2104 Oph,4495453590539471488,Nova
V* V446 Her,4506083222318688000,Nova
V* CT Ser,1192697922589844352,Nova
V* NQ Vul,2017742684676480896,Nova
V* QV Vul,4520655771453037184,Nova
V* HR Del,1813953083546374144,Nova
V* HR Lyr,2040551920255615104,Nova
V* V533 Her,2113091615775375232,Nova
V* V1330 Cyg,1869908024871726208,Nova
V* RR Pic,5477422099543150592,Nova
V* V382 Vel,5354475121660180096,Nova
V* CN Vel,5347263871563224192,Nova
OGLE J005630.42-723628.3,4685986478750585728,Nova
V* MT Cen,5335446762957428992,Nova
V* GQ Mus,5236081560713688448,Nova
V* AP Cru,5861369253563672320,Nova
V* V888 Cen,6056093557416134400,Nova
V* V812 Cen,6063092872357536128,Nova
V* V868 Cen,5864691672765615616,Nova
V* V1039 Cen,5852365632055116672,Nova
V* V842 Cen,5891405647833287296,Nova
V* V2467 Cyg,2068080976989664768,Nova
M31N 2004-06c,381267996378916352,Nova
LHA 120-S 162,4651868362400964224,Nova_Candidate
V* NR TrA,5831360939882877312,Nova
M31N 2007-11a,381262155228555136,Nova
M32N 2010-07a,369150003846437504,Nova
2MASS J00432826+4141248,381300771271459968,Nova
V* KT Eri,3184664584368981760,Nova
NSV  8340,4134628371500389760,Nova
LMCN 2012-03a,4654743409188172800,Nova
V* V1324 Sco,4043499439062100096,Nova
V* V5591 Sgr,4070639406140587776,Nova
V* V5593 Sgr,4094607969324071680,Nova
MAXI J0158-744,4638305096153715584,Nova
M31N 2001-02a,381267068677118720,Nova
SIPS J0032-7420,4685360723490743936,Nova
V* V339 Del,1817026669528976768,Nova
V* V1369 Cen,5870613848610810880,Nova
OGLE 2013-NOVA-2,4649979744976338816,Nova
OGLE MC-DN-12,4642096242309238272,Nova
NSV  8464,4135152460590915584,Nova
NSV  8469,4134961106894369664,Nova
NSV  8473,4134565798097356544,Nova
NSV  8378,4134430042774249472,Nova
NSV  8326,4134402593668618112,Nova
NSV  8280,4128388054577042176,Nova
NSV  8360,4134636823996050432,Nova
V* V5668 Sgr,4048328906465571328,Nova
WRAY 16-84,5338717294658032128,Nova
GALEX J014823.2-004807,2509104161858231552,Nova
V* YZ Ret,4731746232846281344,Nova
V* V906 Car,5254540166225866496,Nova
SMCN 2004-06a,4685676760072765184,Nova
AT 2019kli,4685624636344633728,Nova
AT 2019ckc,5547535580927277312,Nova
V* V2860 Ori,3342442918113299328,Nova
ASASSN -18fk,3950952647657387520,Nova
PNV J19321040-2052505,6773070826298034048,Nova
NOVA Her 2021,4514092717838547584,Nova
NOVA Cas 2021,2015451512907540480,Nova
AT 2022bpq,5307057922488654848,Nova
V* V1280 Sco,6026826447672231680,Nova
TCP J17525020-2024150,4118800145787192064,Nova
