Star,Gaia_DR3_ID,otype
OH 083.4-00.9,2066735685855253632,OH/IR*
V* CU Cep,2198448146563577216,OH/IR*
IRAS 20549+5245,2170560958259204736,OH/IR*
IRAS 01572+5844,507032124930519424,OH/IR*
IRAS 19375+4322,2078084883541533440,OH/IR*
IRAS 19426+4342,2079551975641031168,OH/IR*
IRAS 19441+4520,2080170927677283968,OH/IR*
IRAS 00170+6542,528196044435881088,OH/IR*
V* V524 Cas,529907571724946688,OH/IR*
CIT  4,516010603746128768,OH/IR*
V* V708 Cep,2226507541554678272,OH/IR*
OH 141.7+03.5,462365667641564544,OH/IR*
IRC +50137,265951045055816192,OH/IR*
IRC +60154,285972842558942464,OH/IR*
V* V1012 Her,1383427936913766656,OH/IR*
V* IK Tau,3303343395568710016,OH/IR*
IRC +20082,149374671884595840,OH/IR*
V* BZ Tau,3283100836747825536,OH/IR*
RAFGL 5134,3391512992482899968,OH/IR*
V* UX Pic,4805483262176767744,OH/IR*
IRAS 05423+2905,3443420111797970816,OH/IR*
V* GP Tau,3440763176309638784,OH/IR*
IRAS 05552+1720,3349814666837826048,OH/IR*
IRC +00102,3116620890673528320,OH/IR*
IRC +40156,957462082748149120,OH/IR*
RAFGL 5201,3103523340661817216,OH/IR*
V* GX Mon,3157390786124423168,OH/IR*
V* DL CMa,2933431228309772544,OH/IR*
IRAS 07045+2418,3368664865978795776,OH/IR*
V* UZ Gem,3360777450599869824,OH/IR*
IRC -10151,3046545136283978368,OH/IR*
RAFGL 5229,3032829759523872768,OH/IR*
IRAS 07200-1846,2930666746844665088,OH/IR*
V* SS Pup,5601887984054955264,OH/IR*
V* V353 Pup,5595049846354172800,OH/IR*
V* XY Gem,673931740848800896,OH/IR*
IRAS 08089-3511,5544740248719389312,OH/IR*
RAFGL 1274,5748721302297368064,OH/IR*
V* UU For,5070498859055954176,OH/IR*
V* SY Scl,2335529621301280640,OH/IR*
IRAS 21062+0058,2690676893594833664,OH/IR*
IRAS 21120+0736,1740031718516913664,OH/IR*
V* KZ Peg,2713320510934175616,OH/IR*
V* MP Peg,2717604139516987136,OH/IR*
IRC +10011,2584587112574459264,OH/IR*
V* RU Ari,25602162613059072,OH/IR*
V* YZ Ari,27439175960164352,OH/IR*
IRAS 21079+1822,1788375144551110016,OH/IR*
IRAS 21074+1812,1788279079017521408,OH/IR*
V* NU Del,1765070072182879616,OH/IR*
V* MR Peg,2836754435047772032,OH/IR*
IRAS 21305+2118,1787887927756198784,OH/IR*
IRAS 21100+2205,1839731550273069568,OH/IR*
IRC +30021,310135125973772160,OH/IR*
V* YZ Peg,1902003937498797952,OH/IR*
V* WX Peg,1899796393033966720,OH/IR*
IRC +40525,1927600877433929600,OH/IR*
IRC +40483,1951730793982876672,OH/IR*
IRAS 22052+4034,1956704847143875328,OH/IR*
IRAS 09089-2149,5655019890585276544,OH/IR*
IRAS 09027-2758,5648103000377157632,OH/IR*
V* R LMi,794754943320201600,OH/IR*
V* IW Hya,5664214556572301824,OH/IR*
V* V Ant,5446686420220838144,OH/IR*
V* V450 Hya,3487105186238295296,OH/IR*
V* T Com,3956584281791533056,OH/IR*
V* V463 Hya,6193160635435463424,OH/IR*
RAFGL 1686,3640084602695954176,OH/IR*
IRAS 14251-3246,6216448051194602368,OH/IR*
RAFGL 1771,6013715939740747136,OH/IR*
IRAS 15586-3838,5997808239877093248,OH/IR*
IRAS 16001-3922,5997717461453245056,OH/IR*
IRAS 16280-4154,5968752476901062912,OH/IR*
IRAS 16324-4233,5968479312655745280,OH/IR*
IRAS 16446-4243,5967905784232559360,OH/IR*
IRAS 16458-4231,5967888844874624256,OH/IR*
OH 342.974+02.901,5968333283775960320,OH/IR*
IRAS 16519-4206,5966449377966974720,OH/IR*
OH 342.01+00.25,5964769049332926592,OH/IR*
IRAS 16538-4135,5966477617380396672,OH/IR*
IRAS 16553-4219,5966255039294803200,OH/IR*
IRAS 16563-4141,5966369663385000960,OH/IR*
IRAS 17010-4323,5965380755771206528,OH/IR*
IRAS 17005-4327,5965379724982659328,OH/IR*
OH 344.83-01.67,5965687794390361472,OH/IR*
IRAS 17089-4135,5965829459595508608,OH/IR*
IRAS 17146-4158,5959701125381026176,OH/IR*
IRAS 17186-4208,5959507954942284288,OH/IR*
IRAS 17449-4242,5957181079109321728,OH/IR*
IRAS 18028-4455,6720919340524700416,OH/IR*
IRAS 16502-4051,5969584016937539584,OH/IR*
IRAS 16581-4058,5966796583132170880,OH/IR*
V* V605 Sco,5966875026414011392,OH/IR*
IRAS 17006-3919,5967188009271768576,OH/IR*
OH 346.86-00.18,5972158179826927616,OH/IR*
IRAS 17038-3840,5973235215842146688,OH/IR*
IRAS 17047-4052,5966088600745747712,OH/IR*
OH 347.57+00.11,5973045932337058432,OH/IR*
IRAS 17193-4019,5960312350757068160,OH/IR*
IRAS 17208-4117,5959650479182263040,OH/IR*
IRAS 17259-4119,5959227338972217984,OH/IR*
IRAS 17427-4022,5958011141714027136,OH/IR*
IRAS 17089-3734,5973750994192560512,OH/IR*
IRAS 17048-3832,5973230993902003712,OH/IR*
OH 349.18+00.20,5973523876317807872,OH/IR*
IRAS 17187-3750,5972808266051202304,OH/IR*
IRAS 17198-3611,5975296701362094080,OH/IR*
IRAS 17288-3748,5962121562779932544,OH/IR*
IRAS 17303-3700,5962571774128818176,OH/IR*
IRAS 17353-3856,5961430141820151296,OH/IR*
IRAS 17403-3716,4040098683996657408,OH/IR*
IRAS 17431-3654,4040125033538868864,OH/IR*
V* V924 Sgr,6742342641692698752,OH/IR*
IRAS 16173-3202,6037120762734505088,OH/IR*
IRAS 16548-3321,6026485324240621952,OH/IR*
V* RW Sco,5979057477860814208,OH/IR*
IRAS 17100-3521,5977049975735048960,OH/IR*
IRAS 17066-3457,5977316573009577984,OH/IR*
IRAS 17186-3445,5975636622255775872,OH/IR*
IRAS 17189-3339,5979130011218445440,OH/IR*
IRAS 17239-2812,4059869891553026048,OH/IR*
IRAS 17235-3400,5976138858562360704,OH/IR*
IRAS 17240-3449,5975776706906200576,OH/IR*
IRAS 17277-3616,5974675339890170880,OH/IR*
OH 353.747-01.541,4053317459465550336,OH/IR*
IRAS 17341-3417,4053378722897402752,OH/IR*
IRAS 17373-3339,4053516196217744384,OH/IR*
[RHI84]  8-509,4053283512051388800,OH/IR*
RAFGL 5383,4041755270045999872,OH/IR*
IRAS 17388-3559,4040983378540956672,OH/IR*
IRAS 17437-3409,4041756266478609792,OH/IR*
IRAS 17442-3400,4041764577176401664,OH/IR*
IRAS 17447-3418,4041743686450727552,OH/IR*
IRAS 17499-3520,4040736435071297152,OH/IR*
IRAS 16486-3014,6028057140483875712,OH/IR*
IRAS 16469-3211,6027217736418353024,OH/IR*
IRAS 17021-3054,6028526082196567936,OH/IR*
IRAS 17109-3243,5979845793307273344,OH/IR*
IRAS 17087-3230,5979907640930391552,OH/IR*
IRAS 17132-3057,5980674855118388224,OH/IR*
IRAS 17165-3053,4058894663401231104,OH/IR*
IRAS 17198-3106,4058136756309095936,OH/IR*
OH 353.810+01.452,5976238295647089792,OH/IR*
IRAS 17327-3319,4053760665715089024,OH/IR*
IRAS 17296-3155,4054854061262555136,OH/IR*
IRC -30308,4054994661296674048,OH/IR*
RAFGL 5379,4054291381874482048,OH/IR*
IRAS 17450-3146,4055615644870051456,OH/IR*
IRAS 17453-3340,4041871440315854592,OH/IR*
IRAS 17383-3144,4054330315765459712,OH/IR*
OH 358.039-01.684,4055815408061006592,OH/IR*
IRAS 17471-3235,4043488340950007040,OH/IR*
