Star,Gaia_DR3_ID,otype
2MASS J06420370+0743015,3133660061026800640,OrionV*
2MASS J21395861+5728404,2178385942007270784,OrionV*
V* V2043 Ori,3016453152294702848,OrionV*
V* V1251 Ori,3215633836898528000,OrionV*
NGC  2264    27,3326606755216664448,OrionV*
V* V1490 Ori,3017245831459893760,OrionV*
Cl* NGC 2244     PS     366,3131337067834576256,OrionV*
V* V565 Ori,3209574810572628352,OrionV*
2MASS J06390451+0857397,3326552883443206656,OrionV*
V* V884 Ori,3016099521866628352,OrionV*
V* V385 Vel,5528461493728727808,OrionV*
Gaia DR3 120463116710737920,120463116710737920,OrionV*
V* V1615 Ori,3017351659465491072,OrionV*
V* V966 Ori,3209087486401994496,OrionV*
V* V2481 Ori,3017366395486078976,OrionV*
V* V2355 Ori,3209521411243711744,OrionV*
V* V855 Ori,3016931542931355520,OrionV*
V* V1542 Ori,3017359802723316352,OrionV*
V* EY Mus,5861013016154016640,OrionV*
V* V1789 Sgr,4066069045479281664,OrionV*
V* VY Tau,146469246765971200,OrionV*
2MASS J21424687+6606574,2218012169262022016,OrionV*
V* HR Cha,5201152760634067712,OrionV*
2MASS J06315760+0502290,3131385240186699648,OrionV*
V* BY Ari,84137726429370240,OrionV*
V* V2272 Ori,3017191199475908096,OrionV*
V* V943 Ori,3016493971663668864,OrionV*
[PSP2017] J038.129189+61.460609,465531711374699008,OrionV*
V* V1811 Cyg,1964571681047703936,OrionV*
V* DP Tau,148099749495579648,OrionV*
V* PR Ori,3016976829066516096,OrionV*
2MASS J20530906+4430106,2162978176315967360,OrionV*
2MASS J06394532+0735508,3133830450970076672,OrionV*
EM* LkHA  229,2068912517022692864,OrionV*
V* HV Tau,148450085683504896,OrionV*
V* V2372 Ori,3017365643880749824,OrionV*
V* V552 Mon,3131385961741153920,OrionV*
V* V1937 Ori,3215869922660573568,OrionV*
V* V696 Ori,3209513100480622976,OrionV*
2MASS J06403597+0740181,3133844538462705280,OrionV*
Haro 6-63,3340984042275960960,OrionV*
V* V2748 Ori,3216538086428775040,OrionV*
V* V574 Ori,3017374268171636352,OrionV*
V* V692 Mon,3327002996015281024,OrionV*
V* V1755 Sgr,4066022384988820992,OrionV*
V* CZ Tau,164507594015344896,OrionV*
V* V2709 Ori,3017297263691811584,OrionV*
V* DU Sgr,4143458583752376448,OrionV*
Cl* IC  348    LRL      38,216681688495526016,OrionV*
2MASS J06322611+1019184,3327695825780222720,OrionV*
V* V1462 Ori,3017269470959731456,OrionV*
V* V820 Ori,3215593571581767552,OrionV*
V* V382 Mon,3051058459720723456,OrionV*
Cl* IC  348    LRL      44,216694710836359296,OrionV*
2MASS J21442225+6542522,2217940907164333952,OrionV*
CD-24 12689,6049153921054413440,OrionV*
V* V747 Ori,3209632053896754048,OrionV*
Cl* NGC 2244     PS     128,3131383797077715328,OrionV*
V* V995 Cep,2218012680361769216,OrionV*
V* V2389 Ori,3017360726129090176,OrionV*
V* KS Ori,3017363685373806848,OrionV*
V* V588 Ori,3017272838225693440,OrionV*
V* V2707 Ori,3216072030937556224,OrionV*
V* V1083 Ori,3016896942674845824,OrionV*
V* V1777 Ori,3017291942240221056,OrionV*
2MASS J00012564+6443517,431775948491385216,OrionV*
1RXS J033026.7+310221,121336816137727360,OrionV*
HD  37061,3017367396223983616,OrionV*
2MASS J21532120+4714025,1974545900779587328,OrionV*
V* V1289 Ori,3017367361864255744,OrionV*
2MASS J00015650+6437027,431769042184219392,OrionV*
V* V363 Ori,3209527943889688320,OrionV*
V* V2001 Ori,3017136876729625984,OrionV*
V* V2328 Ori,3209572542829921408,OrionV*
V* V867 Ori,3215992758725409152,OrionV*
BD+73  1031,2231801002846066304,OrionV*
V* V1157 Ori,3209303196839477120,OrionV*
2MASS J03255275+3054490,123998871227590144,OrionV*
V* PQ Ori,3216905529471375872,OrionV*
V* GH Tau,147778284078308096,OrionV*
Ve 2-48,4066020289044822656,OrionV*
2MASS J20515289+4415574,2162948695660669824,OrionV*
Haro 1-12,6045854286665108480,OrionV*
V* V605 Mon,3326695957393340928,OrionV*
V* V416 Ori,3017246759172818560,OrionV*
2MASS J21522283+4710550,1974726010222441728,OrionV*
V* GQ Lup,6011522757643074304,OrionV*
V* GX Ori,3340894500797788288,OrionV*
2MASS J02323922+6124104,465528344120295296,OrionV*
EM* LkHA  159,2163145989282263936,OrionV*
V* V2281 Ori,3209637860692473728,OrionV*
V* V2163 Ori,3209521445603447296,OrionV*
V* V750 Ori,3017242051888552704,OrionV*
V* V2459 Ori,3017367430583730432,OrionV*
2MASS J20583974+4401328,2162224186230287360,OrionV*
2MASS J20050603+3629135,2059895933266183936,OrionV*
V* V636 Ori,3335262458644041088,OrionV*
V* HS Ori,3209608723634530944,OrionV*
V* V2128 Ori,3017365540799887104,OrionV*
V* V1805 Sgr,4066064887981379968,OrionV*
2MASS J06320510+0447387,3131324286010986240,OrionV*
2MASS J20483286+4411596,2067069941690420992,OrionV*
V* IP Tau,152226491513195648,OrionV*
V* V1140 Ori,3016857085377607552,OrionV*
V* V1968 Ori,3215886007314681856,OrionV*
2MASS J06320932+0452413,3131331570272263168,OrionV*
V* V1532 Ori,3017191401338765312,OrionV*
V* V1911 Ori,3209423382907755392,OrionV*
2MASS J06402199+0804194,3133919442691724544,OrionV*
V* V2716 Ori,3017402580596024064,OrionV*
V* V1041 Ori,3209541722144732032,OrionV*
V* V716 Per,216678321241170304,OrionV*
V* V2588 Ori,3016492665993609472,OrionV*
V* V935 Sco,6050218523189626624,OrionV*
V* V1269 Ori,3016506925285303296,OrionV*
2MASS J20502771+4423290,2163140972760521472,OrionV*
2MASS J20512441+4413043,2162947424350344448,OrionV*
V* V2090 Ori,3017266447303733888,OrionV*
V* V2028 Ori,3209552442383007744,OrionV*
2MASS J03285105+3116324,121404126865126784,OrionV*
2MASS J03295403+3120529,121399488300436608,OrionV*
V* V2370 Ori,3017364097690174976,OrionV*
Cl* IC  348     CB      10,216684162396621952,OrionV*
V* EK Cha,5209037736474704512,OrionV*
V* V918 Ori,3209357588303415936,OrionV*
V* V701 Per,216677530967198976,OrionV*
SZ  40,5201303874764724352,OrionV*
V* DI Tau,151374198202645376,OrionV*
NGC  2244   265,3131331604635171584,OrionV*
V* V1782 Ori,3017279538374665472,OrionV*
V* V2205 Ori,3017159893458630400,OrionV*
EM* SR   20,6049107428032112384,OrionV*
2MASS J02321717+6120391,465526316894588544,OrionV*
V* V1527 Ori,3017361108392943488,OrionV*
Cl* IC  348    LRL     185,216706324427926912,OrionV*
2MASS J20533271+4449117,2162991610973734016,OrionV*
V* V995 Ori,3016086740044033280,OrionV*
