Star,Gaia_DR3_ID,otype
PN H  1-41,4042368312133298816,PlanetaryNeb
BMP J0815-4053,5539487911728155520,PlanetaryNeb
PN K  3-5,4283434037501295744,PlanetaryNeb
[RP2006] J051642-685541,4658295999957893760,PlanetaryNeb
IC 2553,5252805514840414592,PlanetaryNeb
PHR J1025-6115,5254617681813177472,PlanetaryNeb
V* V1918 Sgr,4091702303736858240,PlanetaryNeb
SH  2-71,4268419106711771776,PlanetaryNeb
PN M  3-35,2054325021390284032,PlanetaryNeb
PN Bl  3-13,4056540677880158208,PlanetaryNeb
PN Lo    8,6162542191540458112,PlanetaryNeb
NGC  6026,6011169161583903488,PlanetaryNeb
Hen 1-2,2018024881202947200,PlanetaryNeb
LHA 120-N   1,4662595163446815872,PlanetaryNeb
PN Hf  2-2,4048497024309080064,PlanetaryNeb
BMP J1643-5129,5937189621284937216,PlanetaryNeb
PN G003.4+01.4,4067255586030985856,PlanetaryNeb_Candidate
MLA  991,369281361126916992,PlanetaryNeb
PN HaTr    8,4069412793495388416,PlanetaryNeb
PN K  3-62,2172595604536445184,PlanetaryNeb
BMP J1857-1054,4202075953819742080,PlanetaryNeb
IRAS 18415-1945,4080250924463314944,PlanetaryNeb_Candidate
IRAS 14345-5858,5879195502480164864,PlanetaryNeb
WRAY 16-221,5933514606761839872,PlanetaryNeb
PN M  3-27,4509558434941251584,PlanetaryNeb
RCW  69,6055200341668022400,PlanetaryNeb
[RP2006]  295,4659114208415382656,PlanetaryNeb
LHA 120-N 123,4658138842813553024,PlanetaryNeb
2MASS J05185567-6933019,4658171548986493568,PlanetaryNeb
[SMC2011b] PN 4,369148904335716992,PlanetaryNeb
PN A66   63,1820963913284517504,PlanetaryNeb
BMP J0715-2805,5609834734391604736,PlanetaryNeb
PN G328.5+06.0,5986526735217715456,PlanetaryNeb
[RP2006] J052147-694315,4657978138083851776,PlanetaryNeb
IC 2003,218544737933650944,PlanetaryNeb
PN G284.6-04.5,5256301476452488320,PlanetaryNeb
PN G351.1+03.1,5977379756204864384,PlanetaryNeb
PN H  2-27,4041691086085898112,PlanetaryNeb
IRAS 06252+1248,3331504774578361600,PlanetaryNeb
[RP2006] J052728-682052,4658530024142565120,PlanetaryNeb_Candidate
WRAY 17-40,5246408689299887488,PlanetaryNeb
NGC  6543,1633325248915154176,PlanetaryNeb
2MASS J05114605-6930402,4658207832896616704,PlanetaryNeb
Hen 2-442,2022052808961769088,PlanetaryNeb
NGC  7293,6628874205642084224,PlanetaryNeb
PN G356.8-03.6,4043198031104721664,PlanetaryNeb_Candidate
LHA 120-N 151,4658459178688432000,PlanetaryNeb
PN Y-C   37,3058557678775161216,PlanetaryNeb_Candidate
IC  972,6291509197468092672,PlanetaryNeb
NGC  6567,4094749870714268544,PlanetaryNeb
PN G343.7-09.6,5948718619126695168,PlanetaryNeb
PN Pe  1-9,4068846235848254208,PlanetaryNeb
PN M  3-15,4118854193637373184,PlanetaryNeb
PN HaWe    9,2921083334772992896,PlanetaryNeb
IRAS 16311-4311,5944416569412103424,PlanetaryNeb
PN IsWe    1,250358801943821952,PlanetaryNeb
PN H  1-62,4045771305065496832,PlanetaryNeb
PN H  1-43,4042380857826322176,PlanetaryNeb
PN ShWi    4,4050258411965445120,PlanetaryNeb_Candidate
IRAS 18252-1016,4155731538695389312,PlanetaryNeb
PN H  1-22,5962119947915694976,PlanetaryNeb
PN K  4-37,2033668496470691840,PlanetaryNeb
BMP J1651-3930,5970024611844351616,PlanetaryNeb
PN A66   51,4086643583803222400,PlanetaryNeb
PN KjPn    3,2061352305127905280,PlanetaryNeb_Candidate
WRAY 16-159,5876361167674415104,PlanetaryNeb
Ford M 31  92,381265007090581376,PlanetaryNeb
LIN 536,4686211775555252864,PlanetaryNeb
WRAY 16-165,6004438325045425664,PlanetaryNeb
PN G353.9+00.0,5975922765858216576,PlanetaryNeb_Candidate
WRAY 16-108,6054145325942642048,PlanetaryNeb
PN G354.0-01.3,4053343121809563904,PlanetaryNeb_Candidate
LHA 120-N 102,4661274890561611392,PlanetaryNeb
HD 269404,4658744330153413760,PlanetaryNeb
WRAY 16-116,6053470775539684736,PlanetaryNeb
Ford M 31  31,381267103030666368,PlanetaryNeb
EGB  2,2574375123453194752,PlanetaryNeb_Candidate
PN MaC  1-10,4065774303370565376,PlanetaryNeb
CPD-51  6744,5897352631316651264,PlanetaryNeb
PN A66   16,1004051581576523008,PlanetaryNeb
PN K  2-16,6033785806546839936,PlanetaryNeb
PN G012.8-04.7,4092038406321878784,PlanetaryNeb
PN M  2-40,4161093027951979776,PlanetaryNeb
IC 4846,4201385082534035200,PlanetaryNeb
