Star,Gaia_DR3_ID,otype
Gaia DR3 6366949580762470912,6366949580762470912,PulsV*
Gaia DR3 5982220596660953216,5982220596660953216,PulsV*
Gaia DR3 5821151596433958272,5821151596433958272,PulsV*
Gaia DR3 2005062227543876224,2005062227543876224,PulsV*
Gaia DR3 5714604315486434432,5714604315486434432,PulsV*
Gaia DR3 4655091271490533120,4655091271490533120,PulsV*
Gaia DR3 5257440815340133504,5257440815340133504,PulsV*
Gaia DR3 6395471290343201024,6395471290343201024,PulsV*
Gaia DR3 6037069910326497920,6037069910326497920,PulsV*
Gaia DR3 3533150014493013504,3533150014493013504,PulsV*
Gaia DR3 5383420448143015168,5383420448143015168,PulsV*
Gaia DR3 4617327406431115136,4617327406431115136,PulsV*
TYC 7157-597-2,5631238927251365504,PulsV*
TYC 4181-1506-1,1616245297847343616,PulsV*
Gaia DR3 5623141917465811200,5623141917465811200,PulsV*
Gaia DR3 5717634603892217856,5717634603892217856,PulsV*
TYC 7096-417-1,5582416148507880960,PulsV*
Gaia DR3 6066790431180952064,6066790431180952064,PulsV*
HD  60625,3028300252653976704,PulsV*
Gaia DR3 5849869259656064000,5849869259656064000,PulsV*
Gaia DR3 5646142330633009792,5646142330633009792,PulsV*
Gaia DR3 5803684239304642688,5803684239304642688,PulsV*
Gaia DR3 5719146810339430272,5719146810339430272,PulsV*
Gaia DR3 5315002138817653248,5315002138817653248,PulsV*
Gaia DR3 506340055384028160,506340055384028160,PulsV*
LS   I +60  121,427043551666198016,PulsV*
Gaia DR3 6070036155133394688,6070036155133394688,PulsV*
Gaia DR3 1812229053613400064,1812229053613400064,PulsV*
TYC 1877-1224-1,3425381244857249280,PulsV*
ATO J093.1766-18.0984,2942778760769274368,PulsV*
BD+47   985,257970171187488896,PulsV*
Gaia DR3 425991147239454848,425991147239454848,PulsV*
Gaia DR3 5988999433765826688,5988999433765826688,PulsV*
Gaia DR3 5882348416463818880,5882348416463818880,PulsV*
Gaia DR3 5305938623972131584,5305938623972131584,PulsV*
HD    508,429810060361647232,PulsV*
Gaia DR3 202603301098670976,202603301098670976,PulsV*
TYC 7226-368-1,3465158934147080320,PulsV*
TYC 3988-1247-1,2003612517148530176,PulsV*
Gaia DR3 4660678233659690368,4660678233659690368,PulsV*
Gaia DR3 6570403143645204736,6570403143645204736,PulsV*
ATO J110.4156-31.8517,5604877315643674368,PulsV*
LLNS  6264,5332726403694868480,PulsV*
Gaia DR3 5519424783764915840,5519424783764915840,PulsV*
Gaia DR3 5599476170935570432,5599476170935570432,PulsV*
Gaia DR3 4660719946377667200,4660719946377667200,PulsV*
Gaia DR3 5330780920948296704,5330780920948296704,PulsV*
Gaia DR3 4659959324844535424,4659959324844535424,PulsV*
Gaia DR3 5307904035361612160,5307904035361612160,PulsV*
Gaia DR3 3037022193058827136,3037022193058827136,PulsV*
Gaia DR3 1975545597365916928,1975545597365916928,PulsV*
Gaia DR3 5642174571122917376,5642174571122917376,PulsV*
Gaia DR3 5304411883337738752,5304411883337738752,PulsV*
Gaia DR3 5255569068582917760,5255569068582917760,PulsV*
Gaia DR3 4660335289136923264,4660335289136923264,PulsV*
ATO J288.9943-13.0396,4185926979839851008,PulsV*
Gaia DR3 2079606435834866304,2079606435834866304,PulsV*
TYC 7654-334-1,5533841923822931328,PulsV*
Gaia DR3 5829416006878670592,5829416006878670592,PulsV*
HD  42777,2941282875199644160,PulsV*
Gaia DR3 4134362044851130240,4134362044851130240,PulsV*
Gaia DR3 5359103722012711296,5359103722012711296,PulsV*
Gaia DR3 5407682276027439872,5407682276027439872,PulsV*
Gaia DR3 5648097292361094784,5648097292361094784,PulsV*
Gaia DR3 2941346509434974976,2941346509434974976,PulsV*
[DCT2018] F20a 03756,5592501075320439296,PulsV*
Gaia DR3 5610022514668108288,5610022514668108288,PulsV*
ATO J103.8859+11.2892,3159213673327354368,PulsV*
Gaia DR3 5241609497186701824,5241609497186701824,PulsV*
ATO J084.0700+03.6497,3224358088003652992,PulsV*
Gaia DR3 1979112619258527744,1979112619258527744,PulsV*
Gaia DR3 1894672290887810944,1894672290887810944,PulsV*
Gaia DR3 5608782128106173952,5608782128106173952,PulsV*
Gaia DR3 2108511290854429696,2108511290854429696,PulsV*
TYC 7366-1296-1,5979011637616665600,PulsV*
Gaia DR3 3412323895739176704,3412323895739176704,PulsV*
Gaia DR3 5506123716716797184,5506123716716797184,PulsV*
HD 228819,2068372034034865408,PulsV*
Gaia DR3 1465455009038481536,1465455009038481536,PulsV*
TYC 5403-3217-1,3046691951147019520,PulsV*
Gaia DR3 5252170959194315648,5252170959194315648,PulsV*
SK -66  111,4660315772803997696,PulsV*
Gaia DR3 3541620312772631936,3541620312772631936,PulsV*
HD 217241,1914387668244838144,PulsV*
Gaia DR3 6447657204573825664,6447657204573825664,PulsV*
Gaia DR3 5350321647776838400,5350321647776838400,PulsV*
Gaia DR3 5599353300511595648,5599353300511595648,PulsV*
Gaia DR3 6054734144427033088,6054734144427033088,PulsV*
Gaia DR3 6127599368419186816,6127599368419186816,PulsV*
Gaia DR3 4660733277962803328,4660733277962803328,PulsV*
Gaia DR3 5355410767383629184,5355410767383629184,PulsV*
TYC 4851-2185-1,3070672441486041088,PulsV*
Gaia DR3 2920278114301758080,2920278114301758080,PulsV*
Gaia DR3 4690520662841137152,4690520662841137152,PulsV*
Gaia DR3 6451857785668572672,6451857785668572672,PulsV*
Gaia DR3 5613416226029113728,5613416226029113728,PulsV*
Gaia DR3 6071812553625851392,6071812553625851392,PulsV*
Gaia DR3 4655282174193370880,4655282174193370880,PulsV*
Gaia DR3 4221115097129045888,4221115097129045888,PulsV*
Gaia DR3 4662147245594692864,4662147245594692864,PulsV*
Gaia DR3 2047634974184568192,2047634974184568192,PulsV*
Gaia DR3 5699104190834814720,5699104190834814720,PulsV*
Gaia DR3 5353930485457402752,5353930485457402752,PulsV*
Gaia DR3 2928632341094902016,2928632341094902016,PulsV*
Gaia DR3 2924201545447696128,2924201545447696128,PulsV*
ATO J293.3729+40.4468,2053333639851351680,PulsV*
TYC 3676-1908-1,424023674262147072,PulsV*
2MASS J12074132-3848069,3459547851433171328,PulsV*
ATO J107.5738-15.6524,2936030783040281984,PulsV*
Gaia DR3 5597934037160858112,5597934037160858112,PulsV*
Gaia DR3 2901150632065485056,2901150632065485056,PulsV*
TYC  589-1315-1,2743224718950541440,PulsV*
HD 171855,4106247399458197504,PulsV*
Gaia DR3 5309993137494594816,5309993137494594816,PulsV*
Gaia DR3 5250941327212457088,5250941327212457088,PulsV*
UNSW-V 028,4881027373226703232,PulsV*
Gaia DR3 4392914162624372736,4392914162624372736,PulsV*
Gaia DR3 1940405858572996096,1940405858572996096,PulsV*
Gaia DR3 1915782433106103552,1915782433106103552,PulsV*
Gaia DR3 4660948266815847552,4660948266815847552,PulsV*
TYC 3202-1783-1,1956605444420522496,PulsV*
Gaia DR3 356578497130852992,356578497130852992,PulsV*
ATO J115.2454-22.2440,5615984479032786048,PulsV*
ATO J061.5083+26.3494,162623409043659008,PulsV*
Gaia DR3 3043965682002704896,3043965682002704896,PulsV*
Gaia DR3 4040390634313616640,4040390634313616640,PulsV*
Gaia DR3 5716061477631708416,5716061477631708416,PulsV*
Gaia DR3 4592132960774361728,4592132960774361728,PulsV*
[CBH2015] V1553,3451198160134617216,PulsV*
Gaia DR3 6060256548996009856,6060256548996009856,PulsV*
Gaia DR3 3037791580618330880,3037791580618330880,PulsV*
ATO J295.2092+38.6780,2052140772816728448,PulsV*
Gaia DR3 4659853492539604480,4659853492539604480,PulsV*
TYC 2624-102-1,4588603214911445504,PulsV*
Cl* NGC 2168     SB      48,3426261923610950656,PulsV*
Gaia DR3 5866103892398923520,5866103892398923520,PulsV*
Gaia DR3 5644908197549852032,5644908197549852032,PulsV*
Gaia DR3 2003618878007162240,2003618878007162240,PulsV*
Gaia DR3 1963206912237826944,1963206912237826944,PulsV*
TYC 8639-1567-1,5342067575301908096,PulsV*
Gaia DR3 4660689331855899776,4660689331855899776,PulsV*
ATO J307.6016-22.0120,6855941777895556736,PulsV*
Gaia DR3 6082168510031679104,6082168510031679104,PulsV*
Gaia DR3 411925885259313152,411925885259313152,PulsV*
Gaia DR3 1960627801555185664,1960627801555185664,PulsV*
Gaia DR3 6435184894426293888,6435184894426293888,PulsV*
TYC 6557-2730-1,5614500791172199936,PulsV*
Gaia DR3 5820273017926650880,5820273017926650880,PulsV*
TYC 6557-901-1,5698561891088126208,PulsV*
Gaia DR3 4524744614671113216,4524744614671113216,PulsV*
Gaia DR3 2928383714025937920,2928383714025937920,PulsV*
[HCC2011] V29,2164057278280049408,PulsV*
TYC 4514-2487-1,551380552773394432,PulsV*
TYC 8983-2264-1,6053697652892680064,PulsV*
Gaia DR3 5714355379184576000,5714355379184576000,PulsV*
CD-31  4498,5593279838795270400,PulsV*
ATO J112.7621-33.8218,5591654210849387776,PulsV*
Gaia DR3 424582290582917248,424582290582917248,PulsV*
Gaia DR3 6266957485073925760,6266957485073925760,PulsV*
Gaia DR3 6016278729548938368,6016278729548938368,PulsV*
Gaia DR3 5725095202601481728,5725095202601481728,PulsV*
Gaia DR3 4660237535682973568,4660237535682973568,PulsV*
Gaia DR3 5857873837378516736,5857873837378516736,PulsV*
Gaia DR3 191500703260935936,191500703260935936,PulsV*
HD  71349,5528047428823486592,PulsV*
Gaia DR3 5602242885791814016,5602242885791814016,PulsV*
Gaia DR3 5421391051414403584,5421391051414403584,PulsV*
Gaia DR3 6000513107208299392,6000513107208299392,PulsV*
Gaia DR3 2926304670672905216,2926304670672905216,PulsV*
Gaia DR3 6054074957197832576,6054074957197832576,PulsV*
Gaia DR3 3068520761649896960,3068520761649896960,PulsV*
Gaia DR3 6129613158324892160,6129613158324892160,PulsV*
Gaia DR3 5241929038411455616,5241929038411455616,PulsV*
TYC 5999-907-1,5720999483127398528,PulsV*
Gaia DR3 6001840286462739712,6001840286462739712,PulsV*
Gaia DR3 4542752003783319680,4542752003783319680,PulsV*
Gaia DR3 3725433711765308800,3725433711765308800,PulsV*
Gaia DR3 4661537910044222336,4661537910044222336,PulsV*
HD 163463,6432291903238264448,PulsV*
Gaia DR3 5859932849062432384,5859932849062432384,PulsV*
Gaia DR3 4689060305284712704,4689060305284712704,PulsV*
Gaia DR3 5638557585884673152,5638557585884673152,PulsV*
ATO J128.2116-19.5383,5706853166525657344,PulsV*
