Star,Gaia_DR3_ID,otype
PSR B1848+12,4504706118346043392,Pulsar
PSR J1335-3642,6164329241532641536,Pulsar
PSR J0534-6703,4660152083015919872,Pulsar
PSR J1347-5947,5870519526774500736,Pulsar
PSR B1530-53,5885592598562423552,Pulsar
PSR J1548-5607,5884168520525984256,Pulsar
PSR B1902-01,4262491708247480320,Pulsar
PSR J2055+1545,1763537692275731328,Pulsar
PSR B1942+17,1824113571770340352,Pulsar
PSR J1957+2516,1834595731470345472,Pulsar
PSR J1444-5941,5878936116484167040,Pulsar
PSR J1713-3945,5973093589309766144,Pulsar
PSR J1725-3848,5972519128840395136,Pulsar
PSR J2215+51,2001168543319218048,Pulsar
PSR J1012+5307,851610861391010944,Pulsar
HD 230975,4321006450118002304,Pulsar
PSR J1001-5559,5259965255350026368,Pulsar
PSR J1306-4035,6140785016794586752,Pulsar
PSR J1650-4126,5968092495059303680,Pulsar
PSR J1705-43,5965330826749902592,Pulsar
PSR J1744-3130,4055849733443329024,Pulsar
PSR J1946+2052,1825839908094612992,Pulsar
PSR J1653-0158,4379227476242700928,Pulsar
PSR J2129-04,2672030065446134656,Pulsar
PSR J0337+1715,44308738051547264,Pulsar
PSR J1355-6206,5866295787210193792,Pulsar
PSR J1818-1519,4146162862638980864,Pulsar
PSR J1958+2846,2030000280820200960,Pulsar
PSR J1707-4341,5965148788863345664,Pulsar
PSR B1813-36,4038146565444090240,Pulsar
PSR J1900+0227,4268630247305381760,Pulsar
PSR J1425-6210,5854330424971261696,Pulsar
PSR B0329+54,445135392719883904,Pulsar
PSR B1657-45,5963300303657586560,Pulsar
PSR J1032-5911,5255318414308997248,Pulsar
PSR B1844-04,4258299824471461760,Pulsar
PSR J1903-0258,4261581076409458304,Pulsar
PSR B0611+22,3376990741688176384,Pulsar
PSR J1402-5124,6090172744223852800,Pulsar
PSR J1839-0459,4256598742584390272,Pulsar
PSR B1907+10,4312461286246658176,Pulsar
PSR B1839-04,4258439045825710208,Pulsar
PSR J1755-3715,4037273763727266816,Pulsar
PSR B1302-64,5858993350772345984,Pulsar
PSR J1857+0526,4282417401567606400,Pulsar
PSR J1624-4721,5941843098026132608,Pulsar
PSR J1839-0905,4155609699080401920,Pulsar
PSR J1809-0743,4159031649807119488,Pulsar
PSR B1933+16,4321800842917139456,Pulsar
PSR J1852+0040,4266508881354196736,Pulsar
PSR J1928+1245,4316237348443952128,Pulsar
PSR J1056-7117,5231001237154125184,Pulsar
PSR J1959+2048,1823773960079216896,Pulsar
PSR J1431-4715,6098156298150016768,Pulsar
PSR J1237-6725,5856816764375829376,Pulsar
PSR J1910-5320,6644467032871428992,Pulsar
PSR B1953+29,2028584968839606784,Pulsar
PSR B1627-47,5941975447438391424,Pulsar
PSR J1723-2837,4059795674516044800,Pulsar
PSR B0959-54,5260122043135658240,Pulsar
PSR J1810+17,4526229058440076288,Pulsar
PSR J0045-7319,4685849525145183232,Pulsar
PSR J1143-5536,5344654283783966848,Pulsar
PSR J1720-3659,5975156612410606976,Pulsar
PSR J1616-5017,5935105286461295744,Pulsar
PSR B1919+20,4515936422712632832,Pulsar
PSR B1240-64,5862634658368033152,Pulsar
PSR J1555-2908,6041127310076589056,Pulsar
PSR J2033+1736,1812057151844384512,Pulsar
PSR J1012-5830,5258214317448912000,Pulsar
* eta Car,5350358584482202880,Pulsar
PSR J1736-2457,4062231440714447232,Pulsar
XSS J12270-4859,6128369984328414336,Pulsar
PSR J1632-4757,5941203422793565696,Pulsar
PSR J1905+0154A,4267679410273417216,Pulsar
PSR B1907-03,4260681229236436608,Pulsar
PSR J0437-47,4789864076732331648,Pulsar
PSR J1156-5909,5341440995453204096,Pulsar
PSR J2027+4557,2071054503122390144,Pulsar
PSR J1546-5302,5885808648276626304,Pulsar
PSR B2016+28,1837105534255815296,Pulsar
PSR J1743-4212,5957265359205874688,Pulsar
V* CM Tau,3403818172572314624,Pulsar
PSR J1816+4510,2115337192179377792,Pulsar
PSR B1930+22,2018583673636873472,Pulsar
PSR J1459-60,5874930359426631680,Pulsar
PSR J1824-1423,4104296586587171200,Pulsar
PSR J1025-07,3775277872387310208,Pulsar
PSR B0540-69,4657672890443808512,Pulsar
PSR J1048+2339,3990037124929068032,Pulsar
PSR J1913+3732,2099254090144510720,Pulsar
PSR J1509-6015,5876497399692841088,Pulsar
PSR J1841-0524,4256511189624452608,Pulsar
PSR J1538-5519,5885107095440413056,Pulsar
PSR J1806-1618,4144356335016612608,Pulsar
PSR J1542-5133,5886184887428050048,Pulsar
[MT91] 213,2067835682818358400,Pulsar
PSR J1835-0522,4256385437279228288,Pulsar
PSR J1130-6815,5235043660391986944,Pulsar
PSR J1144-6146,5334905773233011328,Pulsar
PSR J1054-5943,5338371090272184320,Pulsar
PSR J1901-1740,4088222589900106496,Pulsar
PSR J1808-1020,4157239342774281344,Pulsar
PSR J0348+0432,3273288485744249344,Pulsar
PSR B1451-68,5800163843613786496,Pulsar
PSR J1417-4402,6096705840454620800,Pulsar
PSR J1036-8317,5192229742737133696,Pulsar
PSR J1435-60,5878387705005976832,Pulsar
PSR J1023+0038,3831382647922429952,Pulsar
PSR J1814-0521,4173242047320925440,Pulsar
