Star,Gaia_DR3_ID,otype
V* V1405 Cyg,1981548243668193664,RCrBV*
V* UV Cas,2013612747200268672,RCrBV*
IRAS 00483+6440,524436985982459904,RCrBV*
MASTER OT J011613.54+640832.0,524750312437344128,RCrBV*
V* XX Cam,275138564223556608,RCrBV*
V* CG Cam,493576271566737792,RCrBV*
IRAS 18364+4720,2120210296433919744,RCrBV*
V* LT Dra,2145480032874126592,RCrBV*
V* Z UMi,1722500658447202176,RCrBV*
V* SU Tau,3398501003057791360,RCrBV*
V* U Aqr,6826788566384202496,RCrBV*
V* UX Ant,5394927765039143552,RCrBV*
IRAS 17155-4347,5953301173110159232,RCrBV*
IRAS 16314-3756,6017874670685973376,RCrBV*
IRAS 17324-3639,5962697118452441088,RCrBV*
V* V653 Sco,5958230391179294208,RCrBV*
V* WX CrA,4037788811843881472,RCrBV*
V* V CrA,6729358818129449216,RCrBV*
IRAS 17491-3410,4041615043589489536,RCrBV*
V* V589 Sgr,4039136813102774656,RCrBV*
V* V618 Sgr,4038647942747847936,RCrBV*
V* RY Sgr,6744092754972174848,RCrBV*
Terz V 3526,5980099471367316224,RCrBV*
V* V731 Sco,4054609866596686336,RCrBV*
Terz V 2046,4053973593010452096,RCrBV*
HD 318952,4042876909344951552,RCrBV*
SV* HV  7863,4107392678264952064,RCrBV*
Terz V   21,4059282653685052800,RCrBV*
V* V1135 Sco,4058629745523627904,RCrBV*
Terz V 1680,4058399642731335936,RCrBV*
IRAS 17507-2931,4056507726799504256,RCrBV*
IRAS 17522-2811,4063388951616538624,RCrBV*
MACHO 118.18666.100,4062267411014275968,RCrBV*
SOPS   II e-4,4050887882337152256,RCrBV*
V* V739 Sgr,4049605881790286208,RCrBV*
V* VZ Sgr,4049697145625982336,RCrBV*
MACHO 135.27132.51,4051375172209867520,RCrBV*
V* V4152 Sgr,6760884256051294464,RCrBV*
V* GV Oph,4108821596706832000,RCrBV*
Terz V 2637,4061383030096759168,RCrBV*
Terz V 2960,4060466484073766272,RCrBV*
IRAS 18100-2750,4050899702040940800,RCrBV*
V* V3795 Sgr,4064750795468217216,RCrBV*
V* V2552 Oph,4111641500443625472,RCrBV*
V* V1860 Sgr,4065241594319714048,RCrBV*
IRAS 18135-2419,4065504235809030784,RCrBV*
V* GU Sgr,4077294337728664320,RCrBV*
IRAS 19393-2039,6868233080945707776,RCrBV*
C* 2413,4115807996620053504,RCrBV*
V* V1773 Oph,4115995218503493376,RCrBV*
IRAS 17353-2034,4118221974479210240,RCrBV*
MACHO 308.38099.66,4090863376362524416,RCrBV*
V* MV Sgr,4079834931105467392,RCrBV*
V* V1157 Sgr,4082204344273193344,RCrBV*
IRAS 17029-1630,4135842472846490752,RCrBV*
IRAS 18172-1936,4094529629145902976,RCrBV*
IRAS 18157-1818,4096383023438819456,RCrBV*
