Star,Gaia_DR3_ID,otype
NGC  5139  1830,6083510837629484160,RGB*
2MASS J15042016+2041067,1261191449682181760,RGB*
2MASS J10475403+2043454,3988309624658276224,RGB*
2MASS J12184246+1443582,3921214848151845888,RGB*
2MASS J17135334+2250323,4568439172389457280,RGB*
UCAC4 680-069249,2127438249656130304,RGB*
2MASS J07175699-0111579,3110066087684869248,RGB*
[KGK2007] T211,3991512978771293184,RGB*
2MASS J19292216-0808397,4206802788631014144,RGB*
2MASS J08304404-0006397,3076842385340161664,RGB*
2MASS J06430872+1452563,3356007356843928576,RGB*
2MASS J15123641-0040264,4418496499668420864,RGB*
2MASS J17105121+4806393,1366079361414258944,RGB*
UCAC4 564-013308,3418319532646268032,RGB*
TYC 3120-225-1,2100126410881422720,RGB*
GB07 Fnx15,5062257778893697280,RGB*
2MASS J07473999+7811494,1138608959886627072,RGB*
2MASS J22591652+5628405,2009763120778781184,RGB*
2MASS J04132643+5258288,274962676721273472,RGB*
2MASS J04261343+4924368,258386091520942976,RGB*
2MASS J00424174-7139294,4689982898573990016,RGB*
2MASS J04231590+5635045,276877098265735808,RGB*
2MASS J05144969-7110095,4651953673289646592,RGB*
2MASS J06450895+2730530,3386151185375529472,RGB*
2MASS J11061924+4558124,782456424726400000,RGB*
[KGS2010] For   13185,5062257259199976960,RGB*
2MASS J06160994+2508585,3426051951247879168,RGB*
2MASS J23141223+5501536,1996875916785077632,RGB*
2MASS J18263929-3333502,4044874309638501888,RGB*
2MASS J19401693-3057353,6751343621841609088,RGB*
2MASS J07100960+3808068,946605745454013952,RGB*
2MASS J17381705-2052511,4118207646466300544,RGB*
2MASS J06202067-0133370,3118471338680673024,RGB*
SDSS J074257.15+283810.0,878427499020217344,RGB*
2MASS J01234419-7223430,4687320087571209472,RGB*
CoRoT 100886908,4263659668794788608,RGB*
2MASS J17202877+2246345,4567742288175725824,RGB*
2MASS J06152568+3157171,3439701494753623936,RGB*
2MASS J07480843+6543282,1095548717290720128,RGB*
2MASS J23101673+5451236,1996659897110164864,RGB*
TYC 4729-517-1,3203522170858998656,RGB*
GB07 Fnx25,5062209670962201856,RGB*
2MASS J00370650+8507344,573946207867874304,RGB*
2MASS J17251495+5335329,1416338140999208576,RGB*
2MASS J16464597-1911003,4130794649311568640,RGB*
2MASS J06115524+2710106,3433238737204558720,RGB*
2MASS J10530974+1605070,3981620157260306176,RGB*
2MASS J18162250-0023518,4274602691393024896,RGB*
2MASS J18045517-2941446,4050303831150182528,RGB*
UCAC4 653-076769,2076544776991721216,RGB*
UCAC4 700-071067,2087235672139854592,RGB*
2MASS J04083961+5726195,469304758545398272,RGB*
2MASS J03121266+7918159,567602541171297152,RGB*
2MASS J20424459+3343391,1863335522319421440,RGB*
2MASS J00091841+5819528,422877227228280832,RGB*
2MASS J18563566-0609283,4253784400792221568,RGB*
2MASS J21114798+4754082,2165284195812203008,RGB*
