Star,Gaia_DR3_ID,otype
ATO J337.6891+54.7081,2006374116707859328,RSCVnV*
ATO J309.7694+30.8534,1862303424492944512,RSCVnV*
ZTF J195909.22+335948.8,2058501378883567488,RSCVnV*
Cl* NGC 2682   SAND    1113,604972089540120832,RSCVnV*
CRTS J091935.1+494736,1012939007078705920,RSCVnV*
ZTF J193358.50+061827.8,4294441321460446720,RSCVnV*
ATO J033.7856+56.5423,457019502813153408,RSCVnV*
CRTS J113142.1+031131,3800447755131576320,RSCVnV*
Cl* NGC 7092   PLAT    2030,1978607153149474688,RSCVnV*
ZTF J184259.72+030834.4,4280211132706418560,RSCVnV*
ATO J094.9010+25.4246,3432026418257973248,RSCVnV*
ZTF J194033.42+330611.3,2046905375181568640,RSCVnV*
ATO J054.5603+57.4175,449008907763899264,RSCVnV*
ATO J276.9094+03.3133,4277280350115061120,RSCVnV*
ZTF J214328.15+463247.6,1974265387882993408,RSCVnV*
ATO J310.1905+13.0756,1756010852285648256,RSCVnV*
ATO J096.5328+32.2214,3439157648814850944,RSCVnV*
ZTF J040729.20+554334.0,468556674019298944,RSCVnV*
ATO J334.6159+47.5497,1963493197578912256,RSCVnV*
1SWASP J155510.85+074146.8,4454134768198751488,RSCVnV*
ATO J063.5443+14.9848,3311735486788417408,RSCVnV*
ATO J296.8284+33.8165,2035042233170697600,RSCVnV*
ATO J083.5902+54.1549,264909189067715968,RSCVnV*
ZTF J035906.91+523858.8,251856646020665728,RSCVnV*
2MASS J16550833+6218579,1630745790337411968,RSCVnV*
ZTF J191038.24+140930.8,4320373127075051008,RSCVnV*
ZTF J010114.63+622514.5,522820768306074112,RSCVnV*
ZTF J235902.18+621802.9,2012804507385384064,RSCVnV*
ZTF J192509.87+084048.3,4308268367385210240,RSCVnV*
[DPM2010] 25516-5,5935960195466993408,RSCVnV*
ZTF J190721.69-014815.4,4262176049671621376,RSCVnV*
ATO J002.1175+28.2988,2860081879902062208,RSCVnV*
ZTF J184616.74+121830.4,4505300060780142976,RSCVnV*
CRTS J171741.9+240537,4570311194014149760,RSCVnV*
ATO J340.1084+58.6023,2008171921301411456,RSCVnV*
ATO J087.6202+31.8030,3444961180424282880,RSCVnV*
ZTF J194725.42+122735.2,4304766732068586112,RSCVnV*
ZTF J195852.23+175056.2,1820555620838435712,RSCVnV*
ZTF J190018.58+201209.6,4518193896204644480,RSCVnV*
ZTF J002029.80+685134.4,530364070907504512,RSCVnV*
ATO J048.3546+58.8093,461931124329024640,RSCVnV*
ATO J081.9910+28.2029,3445322610511006976,RSCVnV*
ATO J286.6246+14.0861,4314432298321302144,RSCVnV*
LAMOST J155657.82+464704.9,1399502418954171136,RSCVnV*
ATO J294.4124+36.6492,2048874226849272832,RSCVnV*
ATO J057.3224+51.0863,251292768352107648,RSCVnV*
ZTF J191358.58-065518.0,4205106036042537216,RSCVnV*
ZTF J204616.83+435804.5,2067087392137105024,RSCVnV*
ZTF J185923.99+373449.9,2093872118166732160,RSCVnV*
2MASS J02240479+5701577,458396842983239424,RSCVnV*
