Star,Gaia_DR3_ID,otype
V* CK Lac,1985356745778644224,RVTauV*
V* EQ Cas,1993916856117284864,RVTauV*
V* V1690 Cyg,2069127913922504704,RVTauV*
V* BT Lac,2006046771487587328,RVTauV*
V* PY Cas,2012623809518831872,RVTauV*
V* DF Cyg,2078705244312711040,RVTauV*
V* V1673 Cyg,2078696074567293440,RVTauV*
V* BI Cep,2223117957663356288,RVTauV*
V* OS Per,258545623786523904,RVTauV*
V* AG Aur,965859254912025600,RVTauV*
V* FW Boo,1596081113587582464,RVTauV*
V* SV UMa,850698747776493824,RVTauV*
V* DZ UMa,839714557895611904,RVTauV*
V* WW Tau,167626152591439488,RVTauV*
V* RV Tau,154255575798532096,RVTauV*
V* FK Aur,200840126828455808,RVTauV*
V* V428 Aur,190403772909300992,RVTauV*
V* LP Aur,192137251772488320,RVTauV*
V* BG Gem,3430457002856349952,RVTauV*
V* SS Gem,3423579012158717184,RVTauV*
V* CT Ori,3329872137250781184,RVTauV*
V* UZ CMa,2944449365609329664,RVTauV*
V* UY CMa,2944446479390897152,RVTauV*
V* GT Pup,5565224592715353088,RVTauV*
V* U Mon,3035408251728251520,RVTauV*
V* V594 Pup,5643572187846151040,RVTauV*
V* DS Aqr,2402785682420206848,RVTauV*
V* KX Eri,5181126079750184704,RVTauV*
Cl* NGC 7089    SAW V11,2686847187224636160,RVTauV*
V* EI Peg,2811286447213986688,RVTauV*
V* AA Ari,103695289508431360,RVTauV*
V* V360 Peg,2868261731016434560,RVTauV*
V* V360 Cyg,1852749557493420032,RVTauV*
V* AB Leo,634469512611911168,RVTauV*
V* Z Sex,3835773929860374016,RVTauV*
NGC  5272   318,1454784523573570816,RVTauV*
V* LR Sco,5952562202589869568,RVTauV*
V* V385 CrA,6725084359289764992,RVTauV*
V* CQ Sco,5957918469109353216,RVTauV*
V* KQ CrA,4035680292139180416,RVTauV*
IRAS 17028-3800,5973318503847073792,RVTauV*
V* V601 Sco,5976714242431192576,RVTauV*
V* V428 Sco,4037281455951370880,RVTauV*
V* V411 Sco,4039938769393211136,RVTauV*
OGLE BLG-T2CEP-83,4039968151344162048,RVTauV*
V* V735 Sco,4041814020840083584,RVTauV*
V* V708 Sco,4041579687419836672,RVTauV*
V* V400 Sco,4040579578519065728,RVTauV*
V* V717 Sco,4042380411149581312,RVTauV*
V* AI Sco,4042392982434552704,RVTauV*
V* V423 Sco,4040728046945051264,RVTauV*
V* V532 Sgr,4042055226200349312,RVTauV*
V* V446 Sco,4037438101994829312,RVTauV*
V* V564 Sgr,4042147241577658880,RVTauV*
V* V558 Sgr,4039012052894387840,RVTauV*
V* V626 Sgr,4039259683524308352,RVTauV*
V* V1284 Sgr,4038336613524114048,RVTauV*
V* V1711 Sgr,6749914394160095872,RVTauV*
V* V1004 Sgr,4043900928263216000,RVTauV*
V* V1180 Sgr,4048795850984927872,RVTauV*
V* V2510 Sgr,4045892556138097152,RVTauV*
V* V1833 Sgr,4049318050260697984,RVTauV*
V* V1290 Sgr,4045563527285331584,RVTauV*
V* V3955 Sgr,6757874579172547584,RVTauV*
V* BT Lib,6239513296886749184,RVTauV*
V* V995 Sgr,4056243152443448064,RVTauV*
V* V997 Sgr,4062250540386015488,RVTauV*
V* V1541 Sgr,4050195121245303680,RVTauV*
V* V1462 Sgr,4050183542058176000,RVTauV*
Mis V0049,4044209242581847552,RVTauV*
V* AZ Sgr,4046405895045652864,RVTauV*
V* EX Oph,4112083534092441728,RVTauV*
V* ET Oph,4111880369315900032,RVTauV*
V* HL Oph,4112037938717865600,RVTauV*
V* KO Oph,4109399557488476160,RVTauV*
V* KP Oph,4109201134377904384,RVTauV*
NSV 22168,4061422818652669824,RVTauV*
V* V2531 Sgr,4052774575604865152,RVTauV*
V* V1864 Sgr,4051542190480156672,RVTauV*
V* V1899 Sgr,4075833911416647680,RVTauV*
V* V338 Lib,6253936930938846848,RVTauV*
V* V2600 Oph,4114352032733967360,RVTauV*
V* V541 Oph,4116399185948808192,RVTauV*
IRAS 17441-2353,4068537204276921472,RVTauV*
V* GW Sgr,4077172498056596096,RVTauV*
V* V2342 Sgr,4077189742313036160,RVTauV*
V* V1670 Sgr,4077746232628589568,RVTauV*
V* HZ Sgr,4077082883521183360,RVTauV*
V* V3808 Sgr,4053206649305197440,RVTauV*
V* V3829 Sgr,4077821961493875584,RVTauV*
V* AR Sgr,4075345968697930624,RVTauV*
V* V2641 Oph,4118384800870181632,RVTauV*
V* V3798 Sgr,4094653805207588608,RVTauV*
V* V1037 Sgr,4086460485077787136,RVTauV*
V* V1077 Sgr,4085507620804499328,RVTauV*
Mis V0629,4119367665544836352,RVTauV*
SV* SVS   459,4124649066555078272,RVTauV*
V* UX Ser,4148449331430886400,RVTauV*
V* GL Ser,4145985295860940032,RVTauV*
V* RX Cap,6879691160336671744,RVTauV*
V* TW Cap,6879331413876961408,RVTauV*
V* V340 Ser,4162959693758887424,RVTauV*
V* DY Aql,4190033758837153280,RVTauV*
V* LU Sct,4203213020672048512,RVTauV*
V* KT Sct,4203053449681826944,RVTauV*
V* AD Aql,4203801018864386944,RVTauV*
HD 172810,4252667782395231616,RVTauV*
V* GK Sct,4251874209903144960,RVTauV*
V* AN Sct,4252432280768559232,RVTauV*
V* V453 Oph,4369992132622393472,RVTauV*
V* V362 Aql,4215184331429218432,RVTauV*
V* V381 Aql,4215056272675643904,RVTauV*
Cl* NGC 5904    SAW V42,4421478929255408768,RVTauV*
Cl* NGC 5904   KUST     756,4421572147228442112,RVTauV*
V* TT Oph,4386330497453246080,RVTauV*
V* DM Ser,4284500735584253952,RVTauV*
BD+03  3950,4292336478264547456,RVTauV*
V* V861 Aql,4290895327728682880,RVTauV*
V* UZ Oph,4394035806222544640,RVTauV*
V* V564 Oph,4487980892900973696,RVTauV*
V* V870 Aql,4294974271026890240,RVTauV*
V* V609 Oph,4480154912730154752,RVTauV*
V* V581 Oph,4478528533187571328,RVTauV*
V* EZ Aql,4301287258804797056,RVTauV*
