Star,Gaia_DR3_ID,otype
Gaia DR3 4182452694883795328,4182452694883795328,RedSG_Candidate
2MASS J01102239-7157125,4687534969152695808,RedSG_Candidate
2MASS J00520073-7302385,4685952089017913856,RedSG_Candidate
2MASS J01330164+3034320,303287676794677760,RedSG_Candidate
2MASS J01044746-7202399,4690510389298224640,RedSG_Candidate
2MASS J00540278-7216029,4689058930895307648,RedSG_Candidate
Gaia DR3 4182446510124246016,4182446510124246016,RedSG_Candidate
Cl* NGC  104    LEE    1205,4689595831823970304,RedSG_Candidate
2MASS J01054080-7357390,4684868039208376704,RedSG_Candidate
2MASS J00540179-7219016,4689010174441095296,RedSG_Candidate
2MASS J01060376-7231598,4687434642965172864,RedSG_Candidate
2MASS J00483731-7316525,4685931198290748288,RedSG_Candidate
2MASS J00531945-7259183,4685953807005685760,RedSG_Candidate
2MASS J01035691-7303581,4687215737061104256,RedSG_Candidate
2dFS  1119,4685980023491878784,RedSG_Candidate
2MASS J00520379-7156388,4689268009865005440,RedSG_Candidate
StRS 314,2018654355930688640,RedSG_Candidate
BBB SMC 264,4687436635829876736,RedSG_Candidate
2MASS J01074486-7237055,4687420143153330176,RedSG_Candidate
2MASS J01153506-7302432,4687183576343325952,RedSG_Candidate
2MASS J00512433-7304108,4685951848499960576,RedSG_Candidate
SkKM 134,4688993063287873664,RedSG_Candidate
2MASS J00521225-7243405,4688966430189593984,RedSG_Candidate
SSTISAGEMA J015015.91-742613.2,4638255996087698432,RedSG_Candidate
2MASS J01015574-7207154,4690506437926910336,RedSG_Candidate
2MASS J01340499+3035052,303367387091821184,RedSG_Candidate
LGGS J194457.38-145408.0,4182258351904951168,RedSG_Candidate
2MASS J01063783-7211279,4687502537812917504,RedSG_Candidate
2MASS J01151861-7328178,4686403919510791936,RedSG_Candidate
2MASS J01341153+3041185,303380168914743296,RedSG_Candidate
2MASS J00543823-7236060,4688988214304264192,RedSG_Candidate
2MASS J00424811-7320091,4688848168249220992,RedSG_Candidate
2MASS J00390794+4029219,381123406298620032,RedSG_Candidate
2MASS J01340357+3031426,303365016269774208,RedSG_Candidate
2MASS J00534751-7230470,4689003920969312384,RedSG_Candidate
SSTISAGEMA J015939.79-742132.8,4638291833294724480,RedSG_Candidate
2MASS J00463578+4210188,375331728800982528,RedSG_Candidate
2MASS J01011568-7332315,4685689546210127360,RedSG_Candidate
SSTISAGEMA J004805.56-731619.0,4685942777526629248,RedSG_Candidate
2MASS J00541421-7227448,4689004711243167616,RedSG_Candidate
2MASS J00522663-7237276,4688968221191534848,RedSG_Candidate
[MSL2009] J004812.70+421426.3,375417387627171712,RedSG_Candidate
2MASS J00572263-7219266,4689001309627083904,RedSG_Candidate
SSTISAGEMA J010733.98-734526.7,4686373025821706880,RedSG_Candidate
[M98a] NGC 6822a-179,4182451556711248768,RedSG_Candidate
SSTISAGEMA J010219.19-732032.6,4685707580807310464,RedSG_Candidate
2MASS J00433865+4124573,369283418415163904,RedSG_Candidate
SSTISAGEMA J005429.71-731102.4,4685889451199586944,RedSG_Candidate
Gaia DR3 4182254125659905920,4182254125659905920,RedSG_Candidate
[M98a] NGC 6822c-237,4182448498694408704,RedSG_Candidate
2MASS J00435579-7334514,4685826847727060736,RedSG_Candidate
