Star,Gaia_DR3_ID,otype
BD+45  3801,1975022607788840960,RedSG
*   5 Lac,1986628812013105152,RedSG
BD+44   337,350666212654957568,RedSG
V* V1388 Cyg,2064154895846744448,RedSG
CIT 11,2063624553284345728,RedSG
NML Cyg,2065235853217670656,RedSG
HD 205349,1971358279140128768,RedSG
V* V424 Lac,1985889115564260224,RedSG
V* V366 And,405336164170476672,RedSG
[NBM54] 67,2067681579393100416,RedSG
HD 195214,2064186403726850304,RedSG
V* RW Cyg,2067323928874639872,RedSG
IRAS 20204+4041,2068317131472085632,RedSG
IRAS 20315+4026,2064747910568516608,RedSG
HaroChavira   2,2067754903072857600,RedSG
IRC +40427,2067736692412228736,RedSG
HaroChavira   1,2067993909412977152,RedSG
MSX6C G086.5890-00.7718,2162696838801402624,RedSG
HD 200945,2165179226821714176,RedSG
BD+45  3395,2163606237996515328,RedSG
BD+48  3418,1978658761473144448,RedSG
HD 235693,1980226561972563584,RedSG
BD+52  3211,2001790115295004032,RedSG
IRAS 20169+4100,2068380387747901568,RedSG
BD+42  3684,2068785214190477056,RedSG
IRAS 20233+4326,2069266933424570240,RedSG
V* RR Cyg,2070149433243897728,RedSG
IRC +40444,2070035668146861952,RedSG
V* AZ Cyg,2163751614044043136,RedSG
IRAS 21538+5343,2173716900237287552,RedSG
Hetzler    I 14,1981443721325135872,RedSG
BD+53  2693,2173516514244634368,RedSG
DO 40174,2173190405970791808,RedSG
BD+54  2713,2006076252137439616,RedSG
IRAS 22091+5450,2005699497611750272,RedSG
HD 209992,2005334391032121856,RedSG
V* RW Cep,2005992002061917312,RedSG
DO 41177,2006033027591006464,RedSG
IRAS 22240+5623,2007570488441972224,RedSG
V* KW Cep,2006044263226439168,RedSG
HD 240011,2006631986545912576,RedSG
V* U Lac,2003598056004201600,RedSG
V* ST Cep,2007597289039287680,RedSG
BD+56  2837,2007015372507488768,RedSG
HD 240169,2010249276715506304,RedSG
HD 240129,2010116132733272832,RedSG
IRAS 22483+5713,2007164253254258048,RedSG
DO 42870,2010457973461961344,RedSG
BD+57  2760,2011021580551301248,RedSG
V* V358 Cas,2010886718578724992,RedSG
V* V356 Cas,1998563976372497280,RedSG
HD   5258,424224433906835456,RedSG
HD   8397,412996328549118336,RedSG
HD   9366,409200230286490880,RedSG
IRAS 22045+5538,2197979720252494464,RedSG
IRAS 22085+5557,2198338229757858432,RedSG
* zet Cep,2199493438511811712,RedSG
BD+57  2490,2198758449355549696,RedSG
LS III +57   47,2200114490792024320,RedSG
DO 41248,2007849180277358848,RedSG
IRAS 22234+5655,2007789359971372416,RedSG
IRAS 22096+5619,2198401039361704448,RedSG
V* V674 Cep,2200441762994058880,RedSG
HD 239991,2008015687570659840,RedSG
