Star,Gaia_DR3_ID,otype
TYC 3549-2291-1,2132126464156311424,RotV*
2MASS J18385765+4339571,2117132733325450752,RotV*
2MASS J19202341+4652528,2127823284884792832,RotV*
2MASS J19171449+4658498,2127789062585458688,RotV*
2MASS J19430988+4737499,2080646024078507392,RotV*
2MASS J19435726+5011481,2135340852042228992,RotV*
2MASS J19504579+4804018,2086511815534147072,RotV*
TYC 3546-2310-1,2130896145006894848,RotV*
KOI-5938,2133038955728304384,RotV*
2MASS J19164950+4657279,2127789470601654656,RotV*
2MASS J19162362+4005332,2101241182534648192,RotV*
2MASS J19252523+4409327,2126202776545200640,RotV*
2MASS J19034381+4107283,2103796035239808384,RotV*
HD 234990,2135405345272279424,RotV*
2MASS J19421889+4851159,2134760722220435328,RotV*
2MASS J19234534+5003245,2130038113619395584,RotV*
2MASS J19345776+4207225,2077715653790997120,RotV*
2MASS J19493304+4405319,2078867082985181952,RotV*
2MASS J19404635+4514545,2079977246129662848,RotV*
2MASS J19572744+4017327,2073536444469032704,RotV*
2MASS J19155847+3911511,2099514811840430208,RotV*
2MASS J19203506+4633081,2127716116860564224,RotV*
2MASS J19305758+4544571,2126730061089776512,RotV*
2MASS J19395285+4630152,2080473950507889280,RotV*
2MASS J19211001+4101528,2101399340411742080,RotV*
TYC 3120-293-1,2100043878790329088,RotV*
2MASS J19185639+5129369,2133270574724857600,RotV*
2MASS J18545966+4719279,2107599280317978752,RotV*
TYC 3134-243-1,2052578271061085952,RotV*
KOI-4109,2078762010906266496,RotV*
Kepler-653,2119511080054847616,RotV*
ASAS J140606-1810.4,6291189759273637888,RotV*
2MASS J19230370+5033419,2130159094257710208,RotV*
2MASS J19471531+4245384,2077208675855012992,RotV*
2MASS J19414855+3846398,2073159071458707456,RotV*
2MASS J19435609+5024476,2135347208594627968,RotV*
TYC 3569-601-1,2135496879614646912,RotV*
2MASS J19285009+4140054,2101672328532873344,RotV*
2MASS J19464370+4450463,2079720059186004096,RotV*
2MASS J19295452+4303556,2125864367482222848,RotV*
2MASS J19413654+4208366,2077858143627163904,RotV*
Kepler-971,2103712163117363200,RotV*
2MASS J19545914+4505087,2079207244396582016,RotV*
2MASS J19415314+4308268,2078016954337485568,RotV*
2MASS J19183972+4333132,2102820184311704832,RotV*
Kepler-380,2143746515354698496,RotV*
2MASS J20000489+4347579,2076042059658515456,RotV*
2MASS J19224120+3753449,2052606141107900032,RotV*
2MASS J20040287+4446256,2082087896141684480,RotV*
2MASS J19195072+4509264,2127053454947427584,RotV*
2MASS J19383197+4401578,2078311657812771328,RotV*
Cl* NGC 2099    HGH V282,3451191700503892096,RotV*
2MASS J19191976+4725263,2127870632603752832,RotV*
CRTS J033748.0-205944,5100503706746120448,RotV*
2MASS J19110892+4745572,2130892262355457920,RotV*
1SWASP J183018.86+344656.4,2094593122915289472,RotV*
2MASS J19401384+4957185,2135137614189170560,RotV*
2MASS J19315365+4606478,2128242095736198656,RotV*
2MASS J19220589+3745294,2051102558958196736,RotV*
2MASS J18411341+4723417,2119424940190789504,RotV*
2MASS J19353265+4143423,2077425210926410112,RotV*
2MASS J19453013+3937173,2073302793935418752,RotV*
