Star,Gaia_DR3_ID,otype
V* V1896 Cyg,1871301415338022272,S*
V* GR Cyg,1871438441973800064,S*
Hen 4-233,1870055531229222528,S*
V* V471 Cyg,1872027127371852800,S*
V* V1235 Cyg,1964977538278646912,S*
S1* 675,1871875051171777536,S*
V* V1338 Cyg,1966285510435065088,S*
V* CE Lac,1934063944222757888,S*
V* V358 Lac,1933999279194641024,S*
V* X And,392259848477966464,S*
V* BB And,386045477477247744,S*
CSS   15,377562229871644928,S*
V* FF Cyg,2063114757846239104,S*
S1* 682,1968840015244402944,S*
S1* 694,1974283529815834752,S*
S1* 706,1986569438382698496,S*
S1* 716,1985207143477472128,S*
S1* 720,1985714739890973440,S*
BD+48  3979,1990809773693117056,S*
V* BT And,1942749879924109568,S*
V* U Cas,390362709883599104,S*
V* V340 Cas,402337181784039168,S*
CSS   27,403108592270749312,S*
V* W And,351930930201512832,S*
CSS   60,337139440791096960,S*
StRS 374,2064673384295731840,S*
CIT 11,2063624553284345728,RedSG
CSS2 59,2066133054702362112,S*
[D75b] Star 78,2065063814010878208,S*
IRAS S20596+4215,2161769778683012608,S*
CSS2 65,1970628233467503232,S*
V* V1242 Cyg,1971263858575554048,S*
V* V633 Cyg,1977587596623290752,S*
S1* 689,1977412361959818880,S*
S1* 695,1974422888625686784,S*
V* LX Cyg,1976303298319464576,C*
S1* 717,1988991696860626304,S*
ATO J344.9507+51.3522,1989140577606979840,S*
V* PR And,1991046271772710400,S*
BD+50    32,395014292607139712,S*
CSS   24,403937413581808256,S*
V* EM And,400522781439178112,S*
V* RZ Per,406578238649879296,S*
CSS   41,405576991577419776,S*
S1* 663,2163156846959620096,S*
V* V2141 Cyg,2163035449703587840,S*
V* V1925 Cyg,2162992504326905984,S*
V* V575 Cyg,2164275668781737088,S*
CSS2 69,1979135915162793216,S*
[D75b] Star 81,1978386116945314688,S*
IRAS 21314+4816,1978639210781896064,S*
[D75b] Star 82,1980767006292031360,S*
V* V1738 Cyg,1981029961374327680,S*
V* YY Lac,2000898754960129536,LongPeriodV*
CSS2 71,2004431451465939584,S*
V* SZ Lac,2001888452861090048,S*
S1* 722,1995430746190014976,S*
S1* 735,1994369408232116480,S*
CSS2 75,1997927389197564928,S*
CSS   42,406149012501041280,S*
CSS   44,359518041470690560,S*
CSS   58,342199358942930944,S*
S1* 645,2069248310444396800,S*
CSS2 58,2069646406669205632,S*
V* CY Cyg,2166355704250883968,S*
S1* 664,2166278291758754816,S*
CSS2 63,2166862682195371136,S*
CSS2 62,2166850999884016768,S*
V* V1542 Cyg,2163965434693124096,S*
V* V1959 Cyg,2168664060189178240,S*
S1* 685,2171664661781361024,S*
S1* 692,2173268814891035776,S*
V* MQ Cyg,1981476156935091456,S*
V* GY Lac,2003649561253998592,S*
DO 42870,2010457973461961344,RedSG
NIKC 4-121,2009457181663078784,S*
S1* 730,2009668730270777984,S*
[D75] 184,2011079339272947584,S*
S1* 732,1997064242512029312,S*
V* WY Cas,1994998221499466240,S*
V* V365 Cas,423959077951794816,S*
CSS2  4,413650434885154560,S*
V* V401 Per,359861673214167552,S*
V* CX Per,358874414851632896,S*
S1*  58,237299077707990016,S*
IRAS 20502+4833,2167293587666370432,S*
S1* 683,2172344675361353600,S*
CSS2 68,2174218238871148288,S*
[ABC90] cyc  3,2175959251118357504,S*
[D75b] Star 87,2007780770036390016,S*
StRS 419,2199597823401448832,S*
V* CV Cep,2014328464849804672,S*
S1* 713,2206765917656273792,AGB*
S1* 724,2014093031925793408,S*
IRAS 23149+6100,2014179927705484160,S*
V* OS Cas,426886562020694400,S*
[I81] M 514,426840824905739008,S*
S1*  18,425855907308487424,S*
V* V890 Cas,426157654521220352,S*
[D75b] Star 13,457424638478548992,S*
V* DI Per,455563577615123840,S*
S1*  45,453918124106703488,S*
