Star,Gaia_DR3_ID,otype
TYC 1309-685-1,3402129219631206016,SB*
UCAC4 595-115199,1857518212448815360,SB*
UCAC4 237-061635,6139047655279931520,SB*
UCAC4 205-003711,4832965727111130368,SB*
UCAC4 458-027039,3114112973370656256,SB*
TYC 4252-1246-1,2196072514235452800,SB*
UCAC4 386-084547,4161589560525200768,SB*
UCAC4 429-026242,3107561537640109312,SB*
UCAC4 259-043188,5432732621233560448,SB*
TYC 3985-2071-1,1990451019363922048,SB*
TYC 4744-1763-1,3200429309072265472,SB*
UCAC4 795-034154,2223072877685905152,SB*
UCAC4 128-136125,5825112788918876032,SB*
TYC 6477-187-1,2960178807155736064,SB*
UCAC3 64-471059,6444587020215085440,SB*
UCAC4 268-050349,5436486525729232000,SB*
TYC 3194-3172-1,1970653114214326912,SB*
TYC 1585-1165-1,4507691532931614208,SB*
UCAC4 173-071467,5343392800366188288,SB*
TYC  519-1372-1,1735148581219743616,SB*
Gaia DR2 5412139073384640512,5412139073384640512,SB*
TYC 4976-654-1,3647787536345996928,SB*
TYC 2289-353-1,363544861070474112,SB*
TYC 3523-123-1,1364561932288995200,SB*
UCAC4 173-032183,5310377489855518080,SB*
UCAC4 114-113379,5809595454346623232,SB*
TYC 4735-138-1,3230384545595932928,SB*
UCAC4 147-057424,5254223365114008832,SB*
TYC 7005-2002-1,5010429515172864256,SB*
UCAC4 775-039504,2242592370174188672,SB*
TYC 4935-1174-1,3599214587260977920,SB*
UCAC4 130-006127,4757023558508218496,SB*
UCAC4 723-011969,410724393921100928,SB*
UCAC4 188-083814,6075058724255399936,SB*
BD+73   436,1123743833260126208,SB*
UCAC4 410-073663,4165716543061359232,SB*
TYC 2112-1756-1,4537527880447992320,SB*
UCAC4 186-135348,5933287557584059392,SB*
UCAC4 292-048577,5641060800203252608,SB*
UCAC4 050-005446,5208529860883914880,SB*
UCAC4 691-122622,1984584162758376960,SB*
UCAC4 633-057416,1336354442515428480,SB*
UCAC4 213-003316,4845954361049170176,SB*
TYC 4632-826-1,1146764896622460800,SB*
Gaia DR3 4510976285245111296,4510976285245111296,SB*
TYC 5019-486-1,4409252703553347968,SB*
UCAC4 335-051866,5701951028291722624,SB*
TYC 3608-325-1,1977903396975202304,SB*
UCAC4 580-091372,2026990337694152704,SB*
BD+10  3711,4311946508653492608,SB*
TYC 1750-1414-1,307047796111149184,SB*
HD  65805,3151105427906767872,SB*
UCAC4 357-018260,2933455073968016384,SB*
UCAC4 193-040006,5405050869836186880,SB*
TYC 1662-132-1,1791347884690130944,SB*
TYC 8909-787-1,5287150409765989632,SB*
UCAC4 731-027184,459752235879943296,SB*
UCAC4 688-044500,968947375053843712,SB*
UCAC2  26588423,2419119889723291648,SB*
TYC 8608-1163-1,5258973362728040960,SB*
TYC 6566-2056-1,5600418177523464960,SB*
CD-41  6229,5390021301777567232,SB*
UCAC4 513-012854,3341186691716089856,SB*
UCAC4 279-219272,6591234555369165952,SB*
HD 152233,5966510229078336768,SB*
TYC 3871-213-1,1600663053418416128,SB*
UCAC4 641-002574,368319043637281280,SB*
Cl* NGC 2168     SB     189,3426262404647269248,MainSequence*
TYC  418-571-1,4376830648272398080,SB*
TYC   83-245-1,3230900147828712448,SB*
TYC 8033-1084-1,4930969802699978368,SB*
UCAC4 226-051841,5367366650662224896,SB*
CD-39  7735,6146278043744408576,SB*
HD  87416B,5465523493942982016,SB*
HD 303461,5350882639239062784,SB*
TYC  271-358-1,3799174658104890752,SB*
UCAC4 605-004861,302850650985736448,SB*
TYC 8141-2400-1,5494273901947590400,SB*
TYC 1853-517-1,3421699774986364928,SB*
TYC 4604-1807-1,2284009976758516736,SB*
UCAC4 524-065985,4500607757451467008,SB*
UCAC4 627-087717,2059396346980427648,SB*
UCAC4 308-107621,6030185073435751552,SB*
UCAC4 536-126101,1809570159635936256,SB*
UCAC4 717-091597,2004596996685316992,SB*
UCAC4 672-084063,2081368403218734208,SB*
CD-31 19363,2326080830688418560,SB*
TYC 7687-1567-1,5522414665114431104,SB*
UCAC4 745-076288,2200230965998386688,SB*
UCAC4 810-017344,1110684250759055488,SB*
TYC 6791-2259-1,6040394214999710464,SB*
TYC 9195-3025-1,5223296512503168128,SB*
UCAC4 612-117197,1853857938233081856,SB*
KOI-2661,2125736995932614272,SB*
UCAC4 058-006371,5209718815208396160,SB*
UCAC4 790-033022,2270005905175110272,SB*
UCAC4 382-027806,3032714242083107968,SB*
UCAC4 671-057311,1549654681781466880,SB*
TYC 8838-848-1,6489430571890728832,SB*
TYC 2578-817-1,1373087923407341184,SB*
TYC 8665-1606-1,5897186089651707136,SB*
UCAC4 229-064420,6138441064163075840,SB*
TYC 2255-716-1,2852528544255806336,SB*
UCAC4 594-103417,2028509583575850496,SB*
TYC  783-488-1,3150553163832485504,SB*
TYC 3025-247-1,1476536196462221440,SB*
TYC 3137-907-1,2072540252579034112,SB*
TYC 5280-694-1,5143075285143163904,SB*
UCAC4 667-054219,816839660859994880,SB*
UCAC4 683-036117,212028039893654784,SB*
UCAC4 599-023322,3444288687326631296,SB*
TYC 8903-1353-1,5286403051096497536,SB*
HD 346981,1819426005752763136,SB*
UCAC4 301-002672,5065806349587479552,SB*
TYC 3939-1243-1,2234912758191623040,SB*
UCAC4 144-084189,5335673507221138944,SB*
TYC 4328-944-1,490584672225990144,SB*
TYC 8057-442-1,4748238941622766336,SB*
BD+38  3679,2052178877767623424,SB*
UCAC4 140-184219,5910404620304378240,SB*
UCAC4 131-178601,6404646268200088960,SB*
HD  77257,5628951569406404480,SB*
UCAC4 649-048301,806436429732315008,SB*
UCAC4 780-046952,2210284561022977536,SB*
UCAC4 467-135588,2739853856817671680,SB*
TYC 8624-752-1,5339885044721599616,SB*
TYC 2669-3752-1,2032146841059407616,SB*
TYC  766-81-1,3159847885377806592,SB*
UCAC4 841-001916,563727724756450048,SB*
TYC 9167-353-1,4657090213670744192,SB*
TYC 9506-2664-1,5193547193890493184,SB*
UCAC4 674-054311,829215836762157184,SB*
TYC 8104-595-1,5552716106057478784,SB*
UCAC4 518-051031,614985994768526336,SB*
HD 347806,1837869939649566464,SB*
UCAC4 675-029815,253135515479262080,SB*
UCAC4 069-015661,5837117879645717248,SB*
TYC 3528-1739-1,2116649601042653184,SB*
TYC 2587-219-1,1329656664355092224,SB*
TYC 3623-1219-1,1936046909145181312,SB*
TYC 6638-931-1,5470322415522994944,SB*
NGC  2682    47,604972501857011840,SB*
UCAC4 180-141400,5885519893359623040,SB*
TYC 2976-2010-1,921463487938842496,SB*
Cl* NGC  188    DGV     144,573931089583018752,SB*
TYC 1552-448-1,4501313094160732800,SB*
TYC 7317-714-1,6207331965931962752,SB*
TYC 9119-2242-1,6399514052863342208,SB*
UCAC4 156-021010,5303316872836405632,SB*
TYC 7631-858-1,5575679062806971904,SB*
CD-60  1562,5479806729808007552,SB*
HD 349800,4519382811877883520,SB*
UCAC4 110-103271,5820700246914182016,SB*
UCAC4 245-085471,6002081491821133824,SB*
TYC 6001-923-1,5720276897829520768,SB*
UCAC4 554-064331,4528032665525697920,SB*
UCAC4 278-007255,2900672962982319360,SB*
UCAC4 582-000470,2850664494089920256,SB*
V* TV LMi,796903389042044544,SB*
LSPM J1217+5932,1581183280786500992,SB*
TYC 8179-3273-1,5313316037747671808,SB*
UCAC4 631-063795,2093498142473290880,SB*
BD+27  2759,4574926153552092800,SB*
RLP  814,2067766791544561920,SB*
TYC 7736-597-1,5388064926994657664,SB*
UCAC4 736-102091,1998779029672541184,SB*
UCAC4 706-014905,359332288428344192,SB*
LSPM J2245+3557,1903730303899031296,SB*
TYC 8646-56-1,6077898728426813824,SB*
TYC 8960-1764-1,5252967997713335296,SB*
TYC 8995-4810-1,5864605429857572096,SB*
TYC 6009-2797-1,5700408211623411712,SB*
TYC 9354-630-1,4635441899155202304,SB*
UCAC4 575-136235,2852170584502919296,SB*
TYC 3206-1624-1,1961319737963245696,SB*
TYC 1862-35-1,3403493546058761344,SB*
BD+43  2802,1349053458218251776,SB*
TYC 3077-1527-1,1341867531255265536,SB*
TYC 3984-1336-1,2002506477173137536,SB*
UCAC2   7638453,5919762911674242304,SB*
BD-22  3373,3512990919769885184,SB*
UCAC4 238-004581,4839964977615424128,SB*
UCAC4 122-123150,5848988409040675584,SB*
UCAC4 533-081512,4511018994399877760,SB*
UCAC4 506-115724,4303073174926942848,SB*
TYC 8238-2028-1,6126563009994647936,SB*
UCAC4 634-092884,2057564766753937280,SB*
UCAC4 140-130509,5854302318710694784,SB*
TYC 4389-386-1,1126294979411276928,SB*
TYC 3464-305-1,1509889744250977792,SB*
TYC 4515-1620-1,552137669609272960,SB*
UCAC4 234-027941,5526342532966039936,SB*
TYC  586-211-1,2643562545467290368,SB*
ATO J117.3194-03.3475,3080867559973760384,SB*
TYC 9287-848-1,5802780440748683392,SB*
UCAC4 390-004375,5114758836342993024,SB*
TYC 4991-662-1,6339192993833158912,SB*
BD+28  4472,1884702228684972416,SB*
UCAC4 433-065876,4356896395081299968,SB*
CD-27  1893,4880887082414758016,SB*
UCAC4 480-130356,1733650805863605760,SB*
TYC 7997-645-1,6594155068705454336,SB*
TYC 8288-1929-1,5901311079348535168,SB*
UCAC4 283-200526,6736309380901862656,SB*
UCAC4 369-135016,4102862308030716032,SB*
UCAC4 875-002567,570786756908576512,SB*
UCAC4 533-010163,3405247438902397056,SB*
UCAC4 552-121157,1817304502367602176,SB*
UCAC4 367-176951,6862058769099223168,SB*
UCAC4 444-068073,4373369278289679744,SB*
UCAC4 293-026350,5598287869435049600,SB*
UCAC4 774-001947,431995992553614976,SB*
UCAC4 239-001462,4959715881372647936,SB*
TYC 7197-578-1,5442472816783175296,SB*
UCAC4 645-095564,2063616375666350592,SB*
TYC 6051-367-1,5677409486379228928,SB*
TYC 5899-254-1,2981284001568933504,SB*
CD-59  7266,6445685608428096512,SB*
UCAC4 397-076902,4157026930866607744,SB*
NGP 28  14,4007524346268446464,SB*
TYC 4493-1907-1,562963701614803840,SB*
UCAC4 139-104354,5868344112997490560,SB*
UCAC4 349-026408,2930049233625972992,SB*
TYC 7070-1484-1,2887453946998488064,SB*
TYC 7606-575-1,4803809766823196800,SB*
TYC 7038-582-1,4884886109283862400,SB*
UCAC4 214-014581,5506717487357156224,SB*
HD 205206A,6465723486288143360,SB*
TYC 1002-976-1,4499186260715427840,SB*
HD 216963,2843229252866208000,SB*
TYC 4302-1896-1,537178676476497152,SB*
UCAC4 474-024924,3129061349343323264,SB*
UCAC4 762-044937,1639886992571686400,SB*
UCAC4 097-063123,5798625317598438016,SB*
TYC 7211-1072-1,5395307027830493312,SB*
BD+49  4121,1943186420399844608,SB*
UCAC4 477-053165,3672035856547322240,SB*
2MASS J14364201+5741462,1611031615570789760,SB*
CD-71   437,5263276950012639616,SB*
TYC 3935-570-1,2137546330630744448,SB*
TYC  222-938-1,594784117876067072,SB*
TYC 2121-37-1,2040456194019006848,SB*
TYC 9260-3197-1,5820623555975093888,SB*
TYC 4733-2107-1,3199238817155600768,SB*
UCAC4 777-052730,2017295114720410240,SB*
TYC 9456-763-1,5774259551499981568,SB*
Gaia DR3 5221682738669737216,5221682738669737216,SB*
UCAC4 657-114101,1920714704829399296,SB*
TYC 3843-283-1,1563182179496667776,SB*
TYC 6011-328-1,5710102841859884544,SB*
TYC 7118-2804-1,5587319553752350208,SB*
UCAC4 447-026315,3112266515387871616,SB*
UCAC4 555-050991,3940481521685438080,SB*
TYC 9247-606-1,5846919235555576320,SB*
UCAC4 781-044692,2210307891285452672,SB*
TYC 1548-1443-1,4566905044432756864,SB*
TYC 5985-2250-1,5718669175616555648,SB*
TYC 3989-807-1,2008990129745602944,SB*
HD 197352,6887366507409935104,SB*
UCAC4 571-018621,3404630814741239168,SB*
TYC  376-1084-1,4437325846750653824,SB*
UCAC4 416-066673,4352752438836523136,SB*
UCAC4 703-021198,440313454416786304,SB*
TYC 3682-2354-1,508996853432118912,SB*
UCAC4 695-024540,249470946305168256,SB*
UCAC4 095-012657,5267080680425990272,SB*
UCAC4 291-001279,5028552524816615296,SB*
UCAC4 079-004049,4629438664450050688,SB*
BD+83   650,2299881873781437056,SB*
HD  12950,4718309444840683648,SB*
UCAC4 761-072227,2015786516050793216,SB*
UCAC4 432-112254,6912823534487364480,SB*
TYC 6881-1282-1,6763746353514083840,SB*
UCAC4 528-091179,4512905245297276544,SB*
HD  18278,4695610680119692416,SB*
TYC 2844-1518-1,341160968992125184,SB*
TYC 2137-892-1,2026604301714994432,SB*
UCAC4 470-050588,1157682462970427520,SB*
UCAC4 831-001946,563032107556506624,SB*
UCAC4 545-045016,669270807978922240,SB*
UCAC4 309-047172,5646406827592740864,SB*
UCAC4 313-256174,6846249479816261504,SB*
UCAC4 327-006988,2958064102698764544,SB*
TYC 7753-441-1,5378898504713490816,SB*
TYC 3258-1400-1,395602913588528384,SB*
UCAC4 745-046901,860552223090809984,SB*
UCAC4 231-022192,5532835973764727552,SB*
TYC 8509-196-1,4777341154688327424,SB*
UCAC4 238-171958,6665234681514932352,SB*
UCAC4 528-148870,1769333011905660032,SB*
TYC 3368-870-1,211080398306996864,SB*
TYC 9011-2153-1,5853250979486455680,SB*
UCAC4 116-075104,5857783196392139648,SB*
UCAC4 790-012878,495592707173048704,SB*
UCAC4 141-059810,5241865923921198976,SB*
TYC 7051-379-1,4826309318076755968,SB*
TYC 8861-1239-1,4701198947967866240,SB*
UCAC4 256-011519,5576318188300301440,SB*
TYC 6610-98-1,5658335227381543680,SB*
UCAC4 661-018383,237252520261744640,SB*
TYC 9253-954-1,5838831983920069632,SB*
HD  38815,2888130971283193856,SB*
UCAC4 665-094211,1969737358478200192,SB*
UCAC4 567-000346,2848855243410651136,SB*
UCAC4 203-114410,5982855122298734336,SB*
UCAC4 543-059933,4467437072186995584,SB*
[NMM2020] WOCS  11010,1995062134920865664,SB*
HD 351639,1809865309788380672,SB*
BD-06   721,3244202692336297088,SB*
TYC 4157-370-1,1584656015248023808,SB*
TYC 1609-1889-1,1825445866276145280,SB*
TYC 8924-356-1,5289722511062185472,SB*
TYC 7322-99-1,6014054451881974144,SB*
UCAC4 385-096898,4150321353045585152,SB*
UCAC4 741-089266,2013151781256323456,SB*
UCAC4 162-116594,5870997097141898752,SB*
UCAC4 790-027768,2258695847536515712,SB*
TYC 5014-241-1,6322139804708765696,SB*
TYC 3477-65-1,1592352394780206720,SB*
TYC 4255-485-1,2197066094794646912,SB*
TYC 8477-654-1,4910927011394113152,SB*
UCAC4 258-058397,3460330257035186176,SB*
ATO J290.2271-20.0265,4082986745566106368,HotSubdwarf
TYC 2016-71-1,1266839606554134272,SB*
2MASS J18594942+3940110,2103330593926306048,SB*
UCAC4 150-147519,5878730404726338304,SB*
UCAC4 813-017613,1122944900624191616,SB*
TYC 3775-1679-1,1000459206506455936,SB*
HD 148284,1318110830190386048,SB*
UCAC4 378-053298,5734575840390908160,SB*
UCAC4 239-111655,5965732389015871104,SB*
UCAC4 513-061639,4460149406039635456,SB*
UCAC4 448-073893,4371403699395843072,SB*
TYC 7902-778-1,6729927574881713536,SB*
UCAC4 686-050852,1013749381508687744,SB*
UCAC4 144-042304,5254653072346218624,SB*
TYC 3989-1083-1,2008696113464058624,SB*
Cl* Blanco    1     ZS     148,2320812486365053696,SB*
CoRoT 105478255,4283548975147643264,SB*
UCAC4 134-095191,5865049289005309568,SB*
BD+41  2207,767644044595016192,SB*
TYC 4842-1554-1,3054486840051958400,SB*
TYC 1299-285-1,3348162508881007872,SB*
TYC 3481-541-1,1587918373622385024,SB*
UCAC4 687-061824,2122403792067448320,SB*
TYC 4974-38-1,3620346616630344832,SB*
TYC 2213-429-1,1892103827428888576,SB*
UCAC4 168-023502,5304741771191622656,SB*
UCAC4 344-001795,5138715240502826496,SB*
UCAC4 792-010350,493024797765619328,SB*
