Star,Gaia_DR3_ID,otype
BD+36  4301,1870103394346059264,SB*
HD 200104,1871380923774965632,SB*
HD 200777,1871454694130161152,SB*
BD+36  4395,1871432841336284544,SB*
HD 201193,1868330534917755648,SB*
BD+35  4409,1868147221411324160,SB*
BD+35  4368,1868275353180301696,SB*
2MASS J20542209+3703358,1870118061638421376,SB*
TYC 2713-2856-1,1868801813092631296,SB*
HD 199495,1871651811639690240,SB*
BD+36  4260,1870791001433152000,SB*
BD+36  4396,1868416777863436288,SB*
TYC 2699-22-1,1870829003297645440,SB*
TYC 2699-348-1,1870726645640697856,SB*
TYC 2699-393-1,1870845629101585920,SB*
TYC 2700-146-1,1871587047843379840,SB*
TYC 2700-625-1,1871254273775742464,SB*
TYC 2700-722-1,1871573510105915648,SB*
TYC 2700-1051-1,1869819308024322304,SB*
TYC 2700-1129-1,1869732377883588480,SB*
TYC 2700-1221-1,1870032510203322624,SB*
TYC 2700-2233-1,1869805495409316608,SB*
TYC 2700-2941-1,1871341272636023680,SB*
TYC 2713-1082-1,1868289715551170048,SB*
TYC 2713-1756-1,1868422790817328768,SB*
TYC 2713-1926-1,1868718490722845312,SB*
TYC 2713-1973-1,1868264461143016448,SB*
TYC 2713-2382-1,1868357713471327488,SB*
TYC 2713-2546-1,1871300590704472704,SB*
TYC 3167-75-1,1871740154837979648,SB*
TYC 3167-471-1,1871741151270819840,SB*
TYC 3168-725-1,1871506302459398016,SB*
UCAC3 257-235378,1964791823893459584,SB*
BD+37  4261,1964761587322796928,SB*
V* V387 Cyg,1868641623682682496,SB*
TYC 3169-1689-1,1964770314698851328,SB*
BD+36  4437B,1868754156135664512,SB*
BD+37  4216,1868989417262688256,SB*
BD+37  4225,1868905613859092736,SB*
BD+37  4275,1964082192216171008,SB*
TYC 2713-1030-1,1868815934943038464,SB*
TYC 2713-2512-1,1868744428020582016,SB*
TYC 2713-2761-1,1868746012873526400,SB*
TYC 2714-1320-1,1868724709835367552,SB*
TYC 2714-2118-1,1868621596260190336,SB*
TYC 2714-2243-1,1868774978134044672,SB*
TYC 2714-2310-1,1868658189382423680,SB*
