Star,Gaia_DR3_ID,otype
RAT J0449+1756,3406718585460824832,SXPheV*
Cl* NGC 5904    KTK V2,4421478345139854336,SXPheV*
Cl* NGC 6254    SAW V15,4365623429326510848,SXPheV*
V* BQ Ind,6457316689102273152,SXPheV*
V* V461 Vir,3687392151337178112,SXPheV*
GD 428,487276688415703040,SXPheV*
Cl* NGC 5024    SAW V77,3939524358158374144,SXPheV*
Cl* NGC 6254    SAW V9,4365623394974443264,SXPheV*
[DCT2018] F20b 33591,5599459953139292672,SXPheV*
Cl* NGC 6362    SAW V48,5813081662107417728,SXPheV*
UCAC3 269-184089,2081883112102764288,SXPheV*
[KER2009] lra2b   674,3101918122408382976,SXPheV*
Cl* NGC 1261    SAW V25,4733794932246020480,SXPheV*
V* V1232 Cen,5385432386918949888,SXPheV*
UCAC3 266-155785,2116834800034649472,SXPheV*
Cl* NGC 6752    SAW V13,6632371825151863680,SXPheV*
Cl* NGC 4590    SAW V52,3496374584656915456,SXPheV*
[KSC2013] C53,5296799272838581632,SXPheV*
RAT J0455+1254,3296221270345812864,SXPheV*
[DCT2018] F20b 02798,5593128312349873664,SXPheV*
Cl* NGC 6362    SAW V46,5813087949955645440,SXPheV*
Cl* NGC 5139    WSB V131,6083674737910148608,SXPheV*
Cl* NGC 6981    SAW V55,6889480627751478528,SXPheV*
Cl* NGC 3201    MKT V11,5413574765001019776,SXPheV*
UCAC3 266-162142,2102567949471052544,SXPheV*
V* V462 Hya,3498086558619015040,SXPheV*
V* V376 Cam,553344379323565312,SXPheV*
V* V4425 Sgr,6755087733809400192,SXPheV*
Cl* IC 4499    SBS       4,5771813309929740288,SXPheV*
V* DY Peg,2818568340927037056,SXPheV*
[MLF2014] 335837,6083714766997198976,SXPheV*
V* BX Scl,2331188130918957440,SXPheV*
Cl* NGC 6934    SAW V95,1748774687088360064,SXPheV*
V* XX Cyg,2236404593612248064,SXPheV*
Cl* NGC 5904    KTK V4,4421473599199171840,SXPheV*
Cl* NGC 7078    CBS       1,1745949152659526528,SXPheV*
Cl* NGC 6254    SAW V12,4365635111638233600,SXPheV*
Cl* NGC 5024    SAW V81,3937270157459810176,SXPheV*
Cl* NGC 5139    SAW V200,6083707826322615680,SXPheV*
V* CY Aqr,2654720453888880640,SXPheV*
[RNS2018] NGC 6254 V20,4365635420883148800,SXPheV*
Cl* NGC 5139    SAW V232,6083720814323686528,SXPheV*
V* NQ Tel,6469393553022450432,SXPheV*
V* V1638 Oph,4116253573708478336,SXPheV*
V* SX Phe,6533852319120781440,SXPheV*
Cl* NGC 6254    SAW V6,4365623394967100288,SXPheV*
Cl* NGC 6362    SAW V47,5813087606356803840,SXPheV*
Cl* NGC 5466    SAW V34,1452629240259559040,SXPheV*
V* KZ Hya,5458300492823597056,SXPheV*
[DCT2018] F20a 06065,5591775943101577600,SXPheV*
Cl* NGC 6934    SAW V52,1748775202484520192,SXPheV*
Cl* NGC 6366    AGR V6,4362227415868070400,SXPheV*
Cl* NGC 6218    VMC V25,4379076636991961088,SXPheV*
NGC  5139  1054,6083505928497639808,SXPheV*
[RNS2018] NGC 6254 V19,4365619512323758848,SXPheV*
Gaia DR3 4733794588648149248,4733794588648149248,SXPheV*
Cl* NGC 6809    SAW V60,6751389251568441216,SXPheV*
Cl* NGC  288    SAW V8,2342907962798730112,SXPheV*
Cl* NGC 6809  MFRBS      59,6751341697696198400,SXPheV*
Cl* NGC 6362    SAW V38,5813082418035839616,SXPheV*
Cl* NGC 6934    SAW V92,1748787473205863424,SXPheV*
Cl* NGC 5053     NC      29,3938682372769709312,SXPheV*
V* LW Dra,2262006859301460224,SXPheV*
Cl* NGC 6254    SAW V7,4365623291887311488,SXPheV*
[MLF2014] 45972,6083701297964062464,SXPheV*
[KER2009] lra2b  1369,3100373441706996480,SXPheV*
Cl* NGC 5904    KTK V3,4421474565568566016,SXPheV*
Cl* NGC 5139    SAW V318,6083702706718809216,SXPheV*
V* LZ Her,4596402055185737600,SXPheV*
KOI-4228,2080404268958618496,SXPheV*
Cl* NGC 5139    NJL     220,6083515274346165632,SXPheV*
[DCT2018] F20b 23882,5593428783953951872,SXPheV*
V* V1828 Ori,3226171491915449088,SXPheV*
GSC 00746-01564,3133839070965469440,SXPheV*
Cl* NGC 5139     JH E39,6083694322961260544,SXPheV*
Cl* NGC 5139    SAW V199,6083702328756452224,SXPheV*
Cl* NGC 5139    SAW V300,6083717137831104896,SXPheV*
2MASS J06371098+0919509,3326768525162081536,SXPheV*
[DCT2018] F20a 06803,5592137480572697088,SXPheV*
V* QV Vir,3639983413266655616,SXPheV*
RAT J0807+1510,654103148153379840,SXPheV*
Cl* NGC 4590    SAW V49,3496374584654914816,SXPheV*
Cl* NGC 6254    SAW V13,4365623360614750976,SXPheV*
Cl* NGC 6254    SAW V11,4365623394974447872,SXPheV*
KOI-376,2133510783655005184,SXPheV*
Cl* NGC 1261    SAW V26,4733794588651476224,SXPheV*
Cl* NGC 7089    SAW V56,2686846950999708800,SXPheV*
KOI-7397,2086724021275509760,SXPheV*
Cl* NGC 6752    SAW V7,6632372581059161728,SXPheV*
V* KT Lib,6279922135911088512,SXPheV*
[MLF2014] 101099,6083514690231152128,SXPheV*
Cl* NGC 4590    SAW V51,3496374550297062656,SXPheV*
Cl* NGC 6652    SAW V14,6736613876890102400,SXPheV*
2MASS J06380069+1022493,3326997051780364800,SXPheV*
V* AE UMa,815052821322018944,SXPheV*
2MASS J20022313+4401320,2076059205168750720,SXPheV*
V* V879 Her,4595307182122073600,SXPheV*
[KSC2013] C52,5248760579037358720,SXPheV*
Cl* NGC 5139    SAW V202,6083725762120415104,SXPheV*
Cl* NGC 6205    SAW V55,1328057081095055488,SXPheV*
V* V336 Boo,1398158575227544960,SXPheV*
Cl* NGC 3201    MKT V9,5413575447891541120,SXPheV*
V* V435 Cam,1143319233340813952,SXPheV*
Cl* NGC 5139    SAW V260,6083693975037537536,SXPheV*
UCAC2  46301581,2077658891504706176,SXPheV*
Cl* NGC 6205    SAW V56,1328057149815076736,SXPheV*
Cl* NGC 6229    SAW V68,1408600495421449984,SXPheV*
[YAM2018] C5,1748789122474056576,SXPheV*
Cl* NGC 5139    SAW V249,6083713530058480256,SXPheV*
V* BY Scl,2337621167294723712,SXPheV*
[MLF2014] 138261,6083707963762172928,SXPheV*
Cl* NGC 4590    SAW V48,3496371354841547520,SXPheV*
Cl* NGC  288    SAW V5,2342907756640293632,SXPheV*
V* MQ Pav,6447688437576148608,SXPheV*
V* V401 Vir,3696491301547958656,SXPheV*
Cl* NGC 5139    SAW V203,6083721742036943744,SXPheV*
Cl* NGC 6254    SAW V8,4365635145998007168,SXPheV*
