Star,Gaia_DR3_ID,otype
* sig Cyg,1965171945678382208,Supergiant
BD+47  3421,1978522009714007168,Supergiant
HD 213470,2007614640707006976,Supergiant
HD 240250,2010819098615527168,Supergiant
BSD  19-1250,2015389115624863104,Supergiant
HD 223960,2011857518631414656,Supergiant
* i Per,457487413730043904,Supergiant
HD  11831,508011587934161408,Supergiant
HD  12953,506778691804372736,Supergiant
HD  13476,506810435899344896,Supergiant
HD  15316,458089636866031744,Supergiant
HD  14433,458456358355233920,Supergiant
HD  14535,458414542551436672,Supergiant
HD  17378,460787426079902208,Supergiant
BD+52   669,446310809308912896,Supergiant
* nu. Cep,2203889767044993920,Supergiant
V* BM Cas,524183995230179968,Supergiant
LS   I +60  224,507551476674619904,Supergiant
HD  16778,464359258321922816,Supergiant
HD  21389,450113435913489792,Supergiant
LS   V +56   55,468641134559750016,Supergiant
BD+55   887,277071917975525376,Supergiant
HD  30353,204531088580182016,Supergiant
BD+43  1168,205501270150651648,Supergiant
TYC 2909-388-1,190688752580100992,Supergiant
HD 248587,3398822751945120128,Supergiant
HD  40589,3431191274757139328,Supergiant
TYC 1321-1264-1,3374386690133672832,Supergiant
HD 253250,3345828623650264192,Supergiant
HD  48452,3351229978819788672,Supergiant
BD-14  1747,3032343431784112512,Supergiant
* l Pup,5599824647403389952,Supergiant
CD-31  5358,5594508611760378368,Supergiant
LGGS J013357.45+303227.6,303365845198721664,Supergiant
FSZ  92,303378863246413696,Supergiant
IFM-B  445,303283652410223488,Supergiant
IFM-B  755,303266678698634624,Supergiant
[HS80] 117,303378760165290880,Supergiant
[HS80] B48,303284000302683136,Supergiant
LGGS J013346.13+303653.8,303378042909406336,Supergiant
[HS80]   5B,303365845202320768,Supergiant
LGGS J013330.99+303652.5,303378901899037184,Supergiant
D33 J013420.8+303943.0,303374018521503744,Supergiant
[HS80]  17B,303283725424771712,Supergiant
[HS80] 117A,303269294334677888,Supergiant
Bol D119,369280635276351872,Supergiant
[BHG88] 40 2711,381167528500409216,Supergiant
LAMOST J004036.92+410119.0,381173056121592576,Supergiant
CD-40 10231,5996582421871778048,Supergiant
CD-33 12119,4054437479477074048,Supergiant
CD-26 13298,4075920734089040384,Supergiant
HD 164514,4069276423992416384,Supergiant
HD 164492B,4069268658698563840,Supergiant
HD 165784,4069845455625999872,Supergiant
[K67] A13,4182449155830707328,Supergiant
BD-13  5061,4103870014799982464,Supergiant
2MASS J18392736-0607408,4253081744151185408,Supergiant
LS  II +20   14,1826563489834910208,Supergiant
HD 186745,2020506380187203200,Supergiant
HD  80057,5423801425726635264,Supergiant
LS 1222,5304709816633460736,Supergiant
HD 269787,4660246606598419968,Supergiant
HD 269781,4660246228686276096,Supergiant
HD 269807,4660245300973506944,Supergiant
HD 271192,4660554298082052864,Supergiant
HD 271279,4660756745664545152,Supergiant
SK -66  119,4660216782399180928,Supergiant
HD 269638,4660180670310935680,Supergiant
HD 269678,4660134628256695424,Supergiant
SK -67  170,4660157340046082560,Supergiant
HD 269566,4660343810359004544,Supergiant
HD 268946,4661920991044444672,Supergiant
SOI  23,4662114024055806336,Supergiant
HD 269790,4660115348103484672,Supergiant
HD 269841,4660135929586764416,Supergiant
HD 269857,4657700412597025408,Supergiant
HD 269661,4658042120182156800,Supergiant
HD 269735,4658036790092717056,Supergiant
HD 269762,4658446534303764096,Supergiant
HD 269809,4657269296613822336,Supergiant
HD 269860,4657690890613081344,Supergiant
RMC 138,4657680410895734784,Supergiant
CPD-69   485,4657675050764209664,Supergiant
HD 269982,4657627947893085184,Supergiant
CPD-69   505,4657633406761305728,Supergiant
CPD-69   512,4657620732347863296,Supergiant
HD 270086,4657722883837695872,Supergiant
HD 269902,4657680513972093952,Supergiant
SK -67  197,4660114630887759360,Supergiant
HD 269662,4658431553453824256,Supergiant
SOI 641,4658035518782398720,Supergiant
SOI 276,4659415169689016320,Supergiant
SOI 246,4660126175761429248,Supergiant
HD 269187,4658832561630349952,Supergiant
HD  33579,4661472149794844288,Supergiant
SK -67   72,4658917881194169216,Supergiant
HD 269634,4660171010879638912,Supergiant
SK -67   88,4658876065399792128,Supergiant
HD 268949,4661332713633908224,Supergiant
HD 269139,4658233400902503680,Supergiant
SK -68   71,4658734022222988416,Supergiant
HD 269541,4658486455992620416,Supergiant
HD 269604,4658483986422695936,Supergiant
HD 269619,4658478454503759104,Supergiant
HD 269316,4658144202986261120,Supergiant
SK -69  150,4658056551313781504,Supergiant
HD 269414,4658176157540288768,Supergiant
V* S Dor,4658193814095915776,Supergiant
SOI 529,4655287809224966528,Supergiant
W61 23-20,4660131157923276544,Supergiant
SK -66   13,4661766990696692864,Supergiant
HD 268727,4662140893372821888,Supergiant
SK -67   11,4661735070496595456,Supergiant
HD 268719,4661720536326765184,Supergiant
HD 268943,4661877216716849024,Supergiant
HD 268845,4655311238206804224,Supergiant
HD 268758,4655365427830892800,Supergiant
SK -69   53,4655262348656785152,Supergiant
SOI 465,4655433352724582784,Supergiant
HD 268669,4661734486381201792,Supergiant
SOI 315,4661562928210961408,Supergiant
SOI 148,4661874021276387328,Supergiant
SOI 304,4655528670957869312,Supergiant
HD 269694,4657851767255138048,Supergiant
SK -70   95,4651860081702733440,Supergiant
SOI 797,4657854825271457664,Supergiant
SOI 857,4651685671657164544,Supergiant
HD 268971,4655053059131622016,Supergiant
HD 268993,4655039349596015488,Supergiant
HD 268973,4654654245650183552,Supergiant
HD 269172,4651629489160555392,Supergiant
LHA 120-S 159,4651614375196321024,Supergiant
SK -70   52,4655047046177406976,Supergiant
SOI 530,4655150095371574400,Supergiant
SOI 509,4655162911555138432,Supergiant
ARDB   54,4654746505860743936,Supergiant
SOI 890,5265841874424666240,Supergiant
HD  92692,5350812957675754112,Supergiant
HD  92207,5350668303173229824,Supergiant
HD 302821,5255421837108859392,Supergiant
HD  94367,5351044233094021376,Supergiant
HD  93737,5350316115858844800,Supergiant
SK  214,4644357632785873408,Supergiant
* y Car,5337672556798367360,Supergiant
SK  199,4638270461537515008,Supergiant
SK  206,4638260497213402240,Supergiant
SK  212,4637565365346213888,Supergiant
SK  209,4637511351838172928,Supergiant
SK  185,4686267648783765376,Supergiant
LIN 530,4686489956292407424,Supergiant
2dFS  3189,4687172267677972992,Supergiant
* omi02 Cen,5336114548828274560,Supergiant
HD 100198,5334418414698679936,Supergiant
SK   97,4687479173187523584,Supergiant
BBB SMC 227,4688952239575814016,Supergiant
SK   49,4688966292708802304,Supergiant
HD   5277,4685940441063717120,Supergiant
SK   60,4685908619580026240,Supergiant
SK  154,4687164055705068288,Supergiant
HD   7583,4687159868124113152,Supergiant
AzV  53,4688955164488763136,Supergiant
Dachs SMC 1-9,4688963303411565056,Supergiant
AzV 127,4685934702985388288,Supergiant
ISO-MCMS J005457.6-730441,4685960537144695552,Supergiant
OM   3,4687165709279578368,Supergiant
2MASS J00412474-7352359,4685772318818326656,Supergiant
2dFS  1472,4685706691722203264,Supergiant
2dFS  2073,4687434157656973952,Supergiant
2MASS J01092109-7322008,4687148769926651904,Supergiant
SK   58,4688992406109956992,Supergiant
SK   71,4689001511429080832,Supergiant
SK  110,4687504045323533568,Supergiant
SK   44,4688985366704795904,Supergiant
SK   59,4689060610187753600,Supergiant
LHA 115-S  27,4690570518837233664,Supergiant
SK   99,4690506914646214912,Supergiant
RMC  22,4690507567482328064,Supergiant
RMC  24,4690507670561677696,Supergiant
SK  113,4690527977165847168,Supergiant
SK  134,4687514804230185600,Supergiant
AzV 142,4689009620370577024,Supergiant
AzV 305,4687499067477912320,Supergiant
SK   98,4690499772138161536,Supergiant
[MA93] 1138,4689015397123167104,Supergiant
AzV  59F,4688993235086546304,Supergiant
AzV  80F,4690500047016009728,Supergiant
Dachs SMC 2-2,4690503306873686912,Supergiant
Cl* NGC  330    ARP       9,4688993402542368512,Supergiant
2dFS   659,4689023536038624256,Supergiant
SK    1,4685784993246304512,Supergiant
HD 107209,6054614851755877248,Supergiant
HD 111613,6056416676437740416,Supergiant
TYC 8993-713-1,5863089649987155200,Supergiant
HD 116119,5868514605999645696,Supergiant
CD-61  3805,5868346552538692352,Supergiant
WRAY 15-1252,5878089806083144064,Supergiant
HD 132136,5880762925023417728,Supergiant
IRAS 15224-5524,5883795240633949952,Supergiant
CD-60  6745,5912245962988846592,Supergiant
Cl* Westerlund    1      W      16,5940106041460473216,Supergiant
[MA93]  871,4688993578683813120,Supergiant
RMC  43,4687207593802365568,Supergiant
RMC  19,4690594364494956672,Supergiant
[SC85b] 51,2415887085018953728,Supergiant
[SC85b] 10,2415883266793635584,Supergiant
D33 J013352.1+303636.5,303379451654860416,Supergiant
LGGS J013327.65+303751.2,303378966323761920,Supergiant
LGGS J013419.51+305532.4,303392886311897984,Supergiant
Pul -3  120290,303363474380375936,Supergiant
AzV  68F,4689019589011024128,Supergiant
[VRJ2006] M31V-J00425283+4123283,381268821014717184,Supergiant
D31 J004441.7+415227.0,387310667465564800,Supergiant
[SK76] A 43,2539072107188195584,Supergiant
[HS80] B215 a,303378008549670272,Supergiant
2MASS J18451981-0324517,4258579577158209280,Supergiant
LGGS J004030.62+404523.8,381156842619409792,Supergiant
LGGS J004201.09+403951.9,369140108242384128,Supergiant
Cl* Stephenson    2    DFK      10,4253086249590677888,Supergiant
Cl* Stephenson    2    DFK       4,4253462316981391232,Supergiant
2MASS J01342090+3030395,303363268221960960,Supergiant
LGGS J013229.61+303513.3,303286985305049728,Supergiant
[HS80] B182,303378077265417344,Supergiant
LAMOST J013340.84+303822.5,303378317783400448,Supergiant
LAMOST J013341.36+303629.6,303378214704289024,Supergiant
[HS80] B241,303365570320837888,Supergiant
PSO J010.1444+40.7527,381153922041653376,Supergiant
2MASS J18394340-0556290,4253462694939171200,Supergiant
MAC 2-505,369290500818671616,Supergiant
IFM-B  315,303283210027296640,Supergiant
LGGS J003922.08+402031.5,381118767733738368,Supergiant
LGGS J003926.72+402239.4,381118973892208256,Supergiant
LGGS J004009.70+403719.0,381129595349087360,Supergiant
LGGS J004053.97+403256.2,369118079354212608,Supergiant
LGGS J004212.20+405513.9,369153882202254848,Supergiant
LGGS J004215.06+405148.3,369152439093194368,Supergiant
LGGS J004229.30+405727.6,369247104468991104,Supergiant
LGGS J004245.97+414422.1,381312178703175552,Supergiant
LGGS J004247.25+410039.2,369247546847352320,Supergiant
LGGS J004259.95+410220.3,369246176756043648,Supergiant
LGGS J004303.69+414543.3,381313931049895936,Supergiant
LGGS J004304.89+410345.9,369246589069514880,Supergiant
LGGS J004458.01+413217.5,369288095637009280,Supergiant
LGGS J004052.19+403116.6,369117877491684224,Supergiant
2MASS J00462314+4138471,375283217145705472,Supergiant
TYC 3334-223-1,250089181077003520,Supergiant
TYC 3724-705-1,449017772576286592,Supergiant
WDG 5,4638474592743220480,Supergiant
TYC 8707-1111-1,5882848526774879616,Supergiant
