Star,Gaia_DR3_ID,otype
[JSR2018] psc160183,1545268523740605952,Supernova
OGLE MBR129.02.00121,4639720820452898048,Supernova
SDSS-II SN  4690,2507289929019174784,Supernova
SDSS-II SN  1775,2688855312065205504,Supernova_Candidate
OGLE MBR138.23.00558,4641449110996964480,Supernova
2MASS J23031846-0051268,2650812411606555648,Supernova
OGLE 2013-SN-147,4659668572746632064,Supernova
PSST 16ku,72235543123077760,Supernova
SNF 20080522-004,3507702539423148160,Supernova
OGLE 2013-SN-133,4657439274243382656,Supernova_Candidate
[JSR2018] psc091755,5060829272764762880,Supernova
SN 1998bs,6169773606500991616,Supernova
SNF 20060514-011,6902947858487512832,Supernova
[JSR2018] psc440101,2641169286609681920,Supernova
SDSS-II SN 13940,2485910681329721472,Supernova_Candidate
[JSR2018] psc040176,1544842046372141184,Supernova
[JSR2018] psc330015,2644559974311562368,Supernova
SN 1997bt,3566143025548006912,Supernova
[JSR2018] psc010009,3834413215501723904,Supernova
[JSR2018] psc370575,854542846585478272,Supernova
SDSS-II SN 15381,4230613262679000704,Supernova
[JSR2018] psc150145,1542423640486102400,Supernova
2MASS J16012208+2028379,1203576559351336960,Supernova
2MASS J02035712-0552289,2490913875848426752,Supernova
2MASS J14323951+2100054,1241878081263678080,Supernova
[JSR2018] psc140122,1545033155235666432,Supernova
SN 1999dl,2844017495328153216,Supernova
[JSR2018] psc160300,1542436177490886912,Supernova
SN 2000bx,3620632244839870336,Supernova
OGLE 2013-SN-18,4656436798820055296,Supernova
[JSR2018] psc140210,1608286929606493312,Supernova
[JSR2018] psc370376,854495906886852992,Supernova
OGLE 2013-SN-3,6354197474966591104,Supernova_Candidate
SDSS-II SN  6614,2509615744003487232,Supernova
OGLE MBR121.21.00889,4645819158617583488,Supernova
SDSS-II SN 20744,2651340314627355904,Supernova
SDSS-II SN  4539,3263347075265853056,Supernova_Candidate
SN 1998fb,4735776836315542912,Supernova
SDSS-II SN  2162,2536226880333254784,Supernova
SN 2009ci,3590176081988814464,Supernova
SN 1962C,1199739607368172288,Supernova
OGLE 2012-SN-52,4759400771351139584,Supernova_Candidate
[JSR2018] psc500009,1544892005430645632,Supernova
SN 1999bi,3756824837458466816,Supernova
[JSR2018] psc390514,1428617585641693824,Supernova
[JSR2018] psc490001,1545047006506128128,Supernova
SDSS-II SN 16981,3263525058710263936,Supernova_Candidate
2MASS J02000048+2456006,104977594944815104,Supernova
SN 2006pm,2681647704107467904,Supernova
SN 2006ht,2690502139965793664,Supernova
[DDM2009] CSS080111 J070447+412518,950977884721216512,Supernova
[JSR2018] psc360137,1545448981084647424,Supernova
OGLE 2011-SN-18,4640786315939937152,Supernova
[JSR2018] psc480198,1542425392832828288,Supernova
[JSR2018] psc310147,5057199265189778688,Supernova
[CBP2015] cdfs2 r 20120118 196A,5060592495513646976,Supernova
[CBP2015] cdfs2 r 20111020  76A,5060603907242255488,Supernova
2MASS J21353529-0101427,2686637803270058624,Supernova
2MASS J14330413+4309212,1493297495313323648,Supernova
[JSR2018] psc090256,2644625635771413120,Supernova
SDSS-II SN 15865,3257645935677121920,Supernova_Candidate
SDSS-II SN 15748,3266029952356668160,Supernova
[JSR2018] psc100102,917133503773132800,Supernova
SDSS-II SN  1858,3266732952603633536,Supernova_Candidate
[JSR2018] psc070567,2679050893865491712,Supernova
2MASS J16034730-2244194,6243160480033201152,Supernova_Candidate
OGLE 2012-SN-29,4642238392842714368,Supernova_Candidate
2MASS J03053202+1200398,27912893673288832,Supernova
NAME KISS15s,3265523970849514880,Supernova
SDSS-II SN  5311,3251430984855841792,Supernova_Candidate
SDSS-II SN 14303,4227840363075377664,Supernova
SN 2007ph,4226894336398228224,Supernova
OGLE 2011-SN-36,4643974139450652928,Supernova
2MASS J02321933+0723505,19572685659709440,Supernova
2MASS J10560374+2808376,731421557435420416,Supernova
[JSR2018] psc151794,854229206597766272,Supernova
2MASS J23241391+0713398,2664642485473414400,Supernova
[JSR2018] psc370335,854235120768974464,Supernova
OGLE MBR137.13.00246,4641904759783795328,Supernova
SDSS-II SN  9324,2655019834584825856,Supernova
